step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
110000,9200,1.580,0.015,10.48,1211179,1173749,4757,4771,28205,5215210,4487904.0,302661.5,0.635,0.082,0.082,0.091,0.109,108,14.27,16.80,2.09,7.57,0.48,2.60,0.20,1.46,11.51,13.66,0.13,0.71,0.016,0.077,1753,0.099,0.714,0.057,0.003,0.225,1176190,1079700,42,0.331,0.147,0.036,4142380,0.077,0.102,0.000,651.12,424279,170,0.058,0.509,0.018,68216179,1.55,16.36,0.033,0.111,0.034,4,6,43,64,4878,52,2.63,0.0042,0.004,236
120000,9408,1.542,0.019,10.34,1176099,1137654,5316,2815,30106,5289305,4390788.5,298593.5,0.628,0.094,0.092,0.085,0.101,116,13.16,15.07,1.74,7.09,0.58,3.30,0.17,1.55,10.67,11.69,0.12,0.65,0.021,0.092,1958,0.111,0.730,0.050,0.005,0.215,1140559,1053262,40,0.384,0.060,0.027,3473496,0.056,0.115,0.000,650.16,407143,132,0.056,0.550,0.019,79167502,1.45,16.68,0.026,0.130,0.037,3,6,35,64,4811,54,3.59,0.0044,0.004,272
130000,9082,1.577,0.018,10.41,1179225,1139207,3671,8952,27721,4916188,4664748.5,317316.9,0.570,0.106,0.102,0.100,0.122,112,14.38,16.28,1.74,7.20,0.52,2.55,0.44,3.00,11.69,13.23,0.10,0.59,0.017,0.076,1801,0.075,0.740,0.040,0.002,0.217,1136677,1021425,31,0.394,0.182,0.051,3453100,0.083,0.117,0.000,649.24,424785,191,0.065,0.336,0.017,67428295,1.47,16.11,0.045,0.095,0.030,4,7,39,64,4786,51,4.52,0.0044,0.008,312
140000,9264,1.559,0.016,9.76,1177047,1144573,4114,2747,25431,4615469,4622651.0,271046.5,0.558,0.107,0.101,0.105,0.128,123,13.92,15.62,1.76,7.12,0.59,3.07,0.43,2.73,11.14,11.84,0.10,0.61,0.018,0.084,1813,0.090,0.742,0.040,0.004,0.214,1134572,1017549,39,0.499,0.067,0.059,4052494,0.074,0.084,0.000,650.82,400976,100,0.059,0.608,0.017,73399972,1.47,16.19,0.041,0.108,0.028,4,6,35,64,4781,54,2.94,0.0045,0.003,363
150000,9191,1.573,0.015,9.84,1124505,1084939,4002,12125,23512,6366711,4474089.5,416408.3,0.548,0.118,0.112,0.100,0.123,107,13.80,16.90,2.42,8.39,0.79,3.66,0.28,2.28,10.30,12.75,0.19,0.82,0.022,0.084,1990,0.094,0.738,0.072,0.006,0.184,1083331,971897,39,0.463,0.063,0.050,5513172,0.072,0.090,0.000,643.26,390770,118,0.065,0.552,0.031,127696939,1.64,16.55,0.057,0.197,0.061,4,6,42,64,4554,84,10.49,0.0047,0.001,359
160000,8930,1.555,0.015,9.58,1057059,1013213,3691,17246,23170,7028400,4545220.5,509765.7,0.531,0.123,0.118,0.103,0.126,131,14.81,17.29,2.33,9.09,0.64,2.96,0.62,4.02,11.21,12.51,0.16,0.77,0.020,0.077,1811,0.068,0.763,0.048,0.004,0.185,1018273,908216,36,0.382,0.086,0.072,5588044,0.075,0.121,0.000,643.34,356010,146,0.073,0.489,0.027,139015636,1.63,15.86,0.067,0.167,0.047,4,7,44,64,4517,56,10.42,0.0045,0.004,280
170000,9127,1.570,0.016,9.88,1107509,1073773,4416,3631,25492,7794328,4511822.5,493647.1,0.565,0.107,0.105,0.101,0.122,125,13.99,17.18,2.36,8.99,0.70,3.04,0.32,2.40,10.61,12.87,0.17,0.79,0.019,0.079,1903,0.053,0.767,0.054,0.003,0.176,1072943,967543,43,0.317,0.123,0.061,6494047,0.066,0.128,0.000,650.09,376185,212,0.063,0.324,0.031,138346067,1.63,16.42,0.058,0.173,0.049,3,6,45,64,4670,60,3.67,0.0047,0.001,221
180000,9244,1.586,0.015,10.21,1068350,1034523,5256,3477,24977,8228521,4376797.5,498917.9,0.579,0.107,0.104,0.095,0.115,122,14.08,18.90,2.63,9.80,0.50,2.55,0.36,2.69,10.60,14.40,0.15,0.74,0.013,0.070,1694,0.106,0.779,0.055,0.003,0.163,1033946,933591,50,0.303,0.054,0.044,3603108,0.082,0.089,0.000,649.04,379159,186,0.061,0.367,0.025,141147448,1.72,17.21,0.084,0.173,0.045,3,6,56,64,4912,59,4.71,0.0045,0.002,264
190000,9253,1.606,0.016,9.86,1045926,1016099,5188,1902,22728,8331384,4325607.5,487751.9,0.591,0.105,0.103,0.093,0.109,129,13.86,18.03,2.54,10.05,0.46,2.35,0.23,1.87,10.64,13.88,0.14,0.71,0.013,0.066,1660,0.069,0.764,0.052,0.001,0.182,1007353,917173,37,0.406,0.149,0.051,4831226,0.071,0.103,0.000,649.32,356707,327,0.059,0.251,0.026,132143531,1.71,17.01,0.069,0.151,0.043,4,6,46,64,5076,59,4.44,0.0044,0.001,247
200000,9435,1.580,0.016,10.22,1062202,1028572,5410,2359,25679,9156549,4298717.0,558286.9,0.602,0.107,0.105,0.086,0.100,107,13.42,17.64,3.42,11.46,0.53,2.41,0.21,1.81,9.27,11.37,0.16,0.76,0.015,0.070,1943,0.092,0.756,0.073,0.003,0.167,1024773,941192,38,0.287,0.299,0.043,3872461,0.080,0.095,0.000,646.81,372225,201,0.061,0.290,0.031,167075332,1.95,17.20,0.073,0.194,0.045,4,6,48,64,4960,67,6.94,0.0049,0.004,281
