step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
10000,8,1472,7.18,0.02,0.12,0.07,6.97,0.00,1.01,0.000,5,841659.8,388.3,4,71
10000,2,937,21.64,0.05,0.80,0.78,20.02,0.00,1.02,0.001,24,814641.2,996.4,3,17
10000,0,90,10.96,0.00,0.33,0.13,10.49,0.00,1.00,0.000,5,93082.5,1087.3,4,89
20000,8,1585,6.48,0.05,0.12,0.06,6.25,0.00,1.02,0.000,6,809881.6,42.5,9,2
20000,2,1085,16.81,0.18,1.00,0.76,14.87,0.01,1.06,0.004,29,822359.5,12.3,8,21
20000,0,59,9.90,0.20,0.29,0.00,9.41,0.00,1.05,0.000,2,1317.8,0.5,7,59
30000,8,1585,6.67,0.15,0.03,0.08,6.41,0.00,1.06,0.000,6,817713.1,50.3,10,0
30000,2,978,20.03,1.09,0.69,0.90,17.35,0.04,1.35,0.015,26,812046.7,318.8,2,0
30000,0,74,10.82,0.20,0.32,0.66,9.64,0.03,1.06,0.014,3,1863.4,1.1,11,74
40000,8,1685,5.62,0.17,0.04,0.08,5.33,0.00,1.06,0.001,5,819376.5,147.0,10,0
40000,2,1097,15.88,0.89,0.46,0.34,14.20,0.07,1.22,0.021,23,807488.9,417.6,3,1
40000,0,55,8.76,0.13,0.15,0.04,8.45,0.00,1.03,0.000,3,1780.2,6.5,10,55
50000,8,1677,5.42,0.10,0.02,0.07,5.22,0.00,1.05,0.000,6,819825.8,48.2,12,0
50000,2,1168,14.10,1.29,0.01,0.34,12.46,0.00,1.42,0.001,25,814783.0,165.7,3,0
50000,0,63,6.89,0.00,0.00,0.14,6.75,0.00,1.00,0.000,3,1754.3,0.3,9,63
60000,8,1657,5.90,0.07,0.03,0.12,5.69,0.00,1.03,0.001,6,821212.2,11.2,8,0
60000,2,1220,13.91,0.62,0.29,0.35,12.66,0.01,1.19,0.007,26,820694.4,118.9,4,1
60000,0,45,10.47,0.18,0.00,1.24,9.04,0.00,1.03,0.000,2,2144.5,0.5,7,44
70000,8,1668,5.50,0.07,0.07,0.11,5.25,0.00,1.03,0.001,6,815228.9,21.1,16,0
70000,2,1137,15.34,1.07,0.07,0.62,13.58,0.00,1.32,0.000,25,817299.4,76.0,5,4
70000,0,57,8.33,0.37,0.16,0.54,7.26,0.00,1.12,0.000,2,1907.4,0.1,11,57
80000,8,1708,5.20,0.12,0.00,0.09,4.99,0.00,1.05,0.000,5,817023.4,62.7,10,1
80000,2,1107,15.98,1.35,0.04,0.08,14.52,0.01,1.34,0.003,23,817969.6,67.2,7,7
80000,0,76,8.78,0.14,0.00,0.26,8.37,0.00,1.04,0.000,3,1553.4,0.0,9,70
90000,8,1687,5.36,0.11,0.00,0.04,5.21,0.00,1.05,0.000,6,818057.3,9.1,10,2
90000,2,1128,15.13,1.55,0.01,0.19,13.37,0.00,1.42,0.000,26,812695.0,62.3,5,6
90000,0,60,6.52,0.50,0.00,0.22,5.80,0.00,1.18,0.000,3,1423.0,0.2,6,58
100000,8,1679,5.39,0.15,0.03,0.05,5.16,0.00,1.07,0.000,5,813056.9,25.1,7,1
100000,2,1054,17.19,0.93,0.47,0.64,15.15,0.01,1.25,0.005,24,815691.1,57.2,6,13
100000,0,65,6.75,0.00,0.00,0.11,6.65,0.00,1.00,0.000,3,1109.6,0.0,7,65
110000,8,1725,5.16,0.08,0.01,0.07,5.01,0.00,1.04,0.001,8,817990.0,3.5,8,0
110000,2,980,18.39,1.01,0.14,0.38,16.87,0.00,1.27,0.001,23,812533.6,123.4,5,3
110000,0,50,9.22,0.00,0.00,1.04,8.18,0.00,1.00,0.000,2,1460.6,0.9,6,49
120000,8,1712,5.02,0.13,0.00,0.06,4.83,0.00,1.05,0.000,5,821287.9,26.4,7,1
120000,2,1113,15.67,0.10,0.87,0.17,14.53,0.00,1.03,0.004,24,813082.9,272.0,6,3
120000,0,68,7.62,0.21,0.01,0.01,7.38,0.00,1.13,0.000,2,1492.4,1.8,9,67
130000,8,1387,8.04,0.14,0.05,0.24,7.61,0.01,1.05,0.004,8,821040.9,9502.7,7,1
130000,2,762,26.53,5.32,1.14,0.61,19.46,0.46,2.35,0.138,22,816130.2,36464.5,5,5
130000,0,104,12.15,2.36,1.26,0.22,8.32,0.38,1.57,0.096,3,867.8,183.0,7,104
140000,8,1644,6.00,0.13,0.01,0.16,5.70,0.00,1.07,0.002,6,813468.0,3365.9,9,1
140000,2,650,30.85,12.26,2.85,0.72,15.02,1.09,4.12,0.338,19,799817.6,205108.0,7,6
140000,0,69,10.14,2.23,0.72,0.07,7.12,0.29,1.61,0.087,2,1090.8,477.8,9,69
150000,8,1602,6.38,0.31,0.07,0.21,5.79,0.01,1.14,0.001,6,820398.7,4959.6,12,4
