step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone
5000,2,1095,7.5,0.0,0.0,0.1,7.4,0.0,1.03,18.2,116,376,26.73,0.00,1057,1,37
5000,1,608,27.3,0.0,0.2,2.6,24.4,0.0,1.01,10.4,122,164,19.95,0.00,350,216,42
5000,3,218,21.0,3.8,0.2,0.3,16.7,0.0,2.11,12.5,124,98,21.53,0.07,3,207,8
5000,4,134,43.8,31.9,4.4,0.0,7.6,2.3,9.44,4.1,86,356,51.32,31.66,0,134,0
6000,2,881,7.1,0.1,0.1,0.1,6.9,0.0,1.04,18.7,86,381,25.88,0.00,858,1,22
6000,1,857,23.5,0.6,0.5,1.0,21.4,0.0,1.20,11.6,290,159,26.61,0.02,368,461,28
6000,4,119,52.4,38.7,4.6,0.0,9.1,2.3,11.16,1.7,80,460,76.40,45.93,2,115,2
7000,2,1219,7.0,0.1,0.0,0.1,6.8,0.0,1.03,18.8,114,423,29.54,0.00,1181,4,34
7000,1,843,24.3,0.3,0.2,0.8,23.0,0.0,1.05,10.8,254,164,24.50,0.01,289,509,45
7000,4,104,56.0,40.4,5.7,0.0,9.9,2.7,11.75,1.6,58,578,102.95,59.82,2,100,2
8000,2,914,6.3,0.1,0.1,0.1,6.1,0.0,1.04,19.5,102,612,43.00,0.00,907,0,7
8000,1,758,24.3,1.1,0.1,1.1,21.9,0.0,1.27,10.0,261,138,21.81,0.01,224,477,57
8000,4,108,56.1,39.7,6.1,0.0,10.3,2.8,11.40,1.1,62,583,103.58,51.57,1,107,0
9000,2,861,7.3,0.2,0.0,0.2,7.0,0.0,1.07,18.1,117,594,42.35,0.00,836,1,24
9000,1,663,27.8,5.7,1.1,1.6,19.3,0.4,2.50,8.6,252,200,32.93,9.96,242,383,38
10000,2,818,6.2,0.0,0.0,0.0,6.1,0.0,1.02,19.7,86,595,41.39,0.00,806,1,11
10000,1,786,22.7,0.5,0.3,1.1,20.7,0.0,1.15,9.7,282,141,25.73,0.02,209,516,61
10000,11,14,5.4,0.0,0.0,0.0,5.4,0.0,1.00,20.1,6,545,30.41,0.00,12,1,1
11000,2,1113,6.3,0.1,0.0,0.1,6.1,0.0,1.04,19.6,113,465,32.14,0.00,1069,6,38
11000,1,329,36.5,1.7,0.2,3.3,31.3,0.0,1.45,2.1,149,80,36.99,0.01,0,320,9
11000,11,16,4.5,0.0,0.0,0.0,4.5,0.0,1.00,21.2,3,548,31.13,0.00,16,0,0
12000,2,985,5.8,0.1,0.0,0.1,5.6,0.0,1.04,20.3,96,520,35.05,0.00,952,11,22
12000,1,906,24.2,4.2,0.7,1.2,18.1,0.3,2.16,9.7,371,175,31.54,3.57,275,592,39
12000,16,91,5.8,0.0,0.0,0.0,5.8,0.0,1.00,20.1,16,451,28.56,0.00,90,0,1
12000,17,13,5.3,0.0,0.0,0.0,5.3,0.0,1.00,20.5,5,485,28.27,0.00,12,0,1
