step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
10000,8,1514,7.14,0.24,0.08,0.08,6.74,0.01,1.08,0.003,5,843695.6,1061.2,3,31
10000,1,647,30.31,5.10,1.13,1.17,22.91,0.37,2.30,0.117,41,812925.6,86165.9,3,4
10000,0,110,14.73,1.33,0.21,0.98,12.21,0.07,1.35,0.018,5,94429.8,1228.8,3,110
20000,8,1677,5.65,0.04,0.11,0.09,5.40,0.00,1.02,0.000,6,819842.6,385.3,6,1
20000,1,875,20.12,5.89,1.34,0.11,12.78,0.43,2.68,0.125,55,813827.0,110717.2,2,1
20000,0,69,14.28,0.07,0.32,0.22,13.67,0.00,1.04,0.000,2,616.4,168.0,5,69
30000,8,1685,5.74,0.10,0.07,0.26,5.31,0.00,1.03,0.000,6,817594.1,18.1,3,0
30000,1,724,26.23,8.17,1.79,0.29,15.98,0.58,3.37,0.152,57,815348.4,192755.9,1,0
30000,0,86,15.80,2.44,0.62,0.15,12.59,0.20,1.70,0.058,3,739.1,191.8,4,86
40000,8,1593,6.37,0.05,0.35,0.17,5.81,0.00,1.03,0.000,6,819686.2,98.9,4,0
40000,1,953,17.87,3.82,1.05,0.33,12.68,0.29,2.09,0.082,63,818930.6,180715.9,2,0
40000,0,69,12.88,1.59,1.84,0.10,9.35,0.20,1.46,0.058,6,709.8,165.6,3,68
50000,8,1602,6.27,0.03,0.35,0.14,5.75,0.00,1.02,0.000,7,818360.4,60.1,3,0
50000,1,848,20.25,5.10,1.15,0.10,13.91,0.36,2.40,0.098,59,818072.3,193863.9,2,0
50000,0,78,18.64,6.99,1.42,0.14,10.09,0.38,3.09,0.103,4,696.2,124.1,3,78
60000,8,1624,6.01,0.04,0.11,0.12,5.74,0.00,1.02,0.000,6,814787.9,152.4,8,0
60000,1,849,22.48,6.11,1.39,0.10,14.87,0.44,2.76,0.115,66,818643.5,189066.9,3,0
60000,0,79,11.48,1.37,0.43,0.29,9.39,0.10,1.44,0.025,6,654.1,139.8,7,78
70000,8,1629,5.78,0.10,0.12,0.14,5.41,0.00,1.04,0.000,6,820394.4,23.8,8,0
70000,1,824,22.05,5.60,1.36,0.33,14.76,0.40,2.61,0.104,71,816965.3,205086.7,4,0
70000,0,70,16.23,1.59,0.39,0.81,13.44,0.11,1.42,0.029,2,590.9,183.5,7,69
80000,8,1660,5.61,0.15,0.12,0.08,5.26,0.00,1.06,0.001,6,817161.6,55.2,10,3
80000,1,853,18.63,6.44,1.73,0.04,10.42,0.48,2.86,0.134,74,821967.8,207968.7,3,0
80000,0,78,15.97,3.09,1.62,0.85,10.42,0.42,1.86,0.090,3,605.9,141.0,6,75
90000,8,1681,5.67,0.10,0.06,0.08,5.44,0.00,1.04,0.001,7,820410.6,34.1,14,6
90000,1,909,19.92,6.28,1.12,0.04,12.49,0.43,2.80,0.127,94,812023.9,217032.3,4,2
90000,0,59,10.54,0.00,0.19,0.08,10.27,0.00,1.00,0.000,4,592.3,190.7,8,58
100000,8,1603,5.70,0.08,0.09,0.09,5.42,0.00,1.04,0.000,6,819183.1,1918.0,9,0
100000,1,818,21.25,8.28,2.05,0.07,10.85,0.65,3.24,0.176,79,793792.1,206808.6,5,2
100000,0,88,11.20,1.26,0.27,0.20,9.47,0.08,1.44,0.034,4,512.3,268.0,8,88
110000,8,1665,5.75,0.10,0.07,0.03,5.55,0.00,1.05,0.000,7,815152.6,51.8,10,0
110000,1,648,28.11,15.58,1.36,0.17,11.00,0.52,5.28,0.162,41,733243.7,194600.3,2,0
110000,0,62,14.18,3.73,0.74,0.05,9.66,0.29,2.04,0.081,3,796.9,744.3,8,61
120000,8,1672,5.27,0.09,0.08,0.05,5.06,0.00,1.05,0.001,6,816369.6,11.8,7,1
120000,1,540,33.70,18.42,2.23,0.01,13.04,0.63,5.82,0.180,47,774188.0,167182.2,4,3
120000,0,85,15.92,2.02,1.75,0.16,11.98,0.13,1.52,0.024,2,927.3,485.5,7,84
130000,8,1645,5.60,0.10,0.16,0.04,5.30,0.00,1.06,0.001,7,818587.6,46.7,9,0
130000,1,508,39.45,24.67,1.18,0.61,12.99,0.46,7.52,0.140,49,744142.4,136553.3,4,0
130000,0,93,17.73,2.55,0.16,0.39,14.63,0.04,1.76,0.011,4,877.6,503.3,10,93
140000,8,1703,5.66,0.14,0.22,0.02,5.28,0.01,1.07,0.002,6,818430.2,240.4,12,0
140000,1,656,27.32,11.94,1.12,0.53,13.74,0.47,4.40,0.146,67,776738.8,169165.2,4,1
140000,0,73,16.52,5.16,0.97,0.93,9.45,0.32,2.52,0.096,2,934.2,291.1,13,73
150000,8,1671,5.52,0.10,0.06,0.02,5.33,0.00,1.04,0.002,5,822284.1,1114.0,13,1
150000,1,649,28.48,13.44,1.10,0.13,13.80,0.43,4.83,0.133,44,774355.9,174525.0,4,1
150000,0,77,14.10,3.82,0.60,0.17,9.52,0.22,2.03,0.065,10,810.1,339.0,12,77
160000,8,1732,5.37,0.10,0.06,0.02,5.18,0.00,1.05,0.001,7,819947.0,638.8,15,15
160000,1,881,20.57,7.24,0.80,0.08,12.45,0.31,3.06,0.098,67,805793.6,147135.4,4,4
160000,0,70,10.33,1.00,0.24,0.01,9.07,0.06,1.25,0.014,2,653.6,129.1,10,69
170000,8,1719,5.05,0.06,0.02,0.01,4.97,0.00,1.03,0.000,6,821971.3,406.1,11,1
170000,1,708,25.76,10.17,1.63,0.04,13.92,0.48,3.92,0.150,63,812190.8,149599.2,3,1
170000,0,72,13.65,1.69,0.36,0.00,11.60,0.00,1.57,0.000,2,672.6,67.6,8,72
180000,8,1719,4.95,0.05,0.03,0.02,4.84,0.00,1.03,0.000,6,823011.0,131.5,16,0
180000,1,763,23.94,10.66,1.46,0.40,11.42,0.42,4.06,0.127,59,809928.9,154834.4,6,3
180000,0,66,10.20,0.09,0.30,0.55,9.26,0.00,1.02,0.000,2,786.7,144.3,11,65
190000,8,1732,5.07,0.07,0.04,0.03,4.93,0.00,1.04,0.000,5,818984.9,14.7,11,0
190000,1,673,30.42,12.99,1.64,0.24,15.55,0.57,4.71,0.184,47,803310.8,159915.9,6,1
190000,0,72,11.61,0.78,0.03,0.51,10.29,0.00,1.24,0.000,2,839.3,169.6,11,72
200000,8,1753,5.23,0.11,0.04,0.12,4.96,0.00,1.04,0.002,5,823331.0,18.9,12,0
200000,1,728,23.17,10.58,0.97,0.07,11.55,0.37,4.05,0.121,59,808098.8,158403.7,5,1
200000,0,72,10.60,0.15,0.35,0.10,10.00,0.00,1.04,0.000,2,832.0,161.9,10,70
210000,8,1726,5.18,0.20,0.01,0.05,4.92,0.00,1.08,0.001,6,821625.5,171.3,9,7
210000,1,542,33.13,15.20,1.54,0.20,16.19,0.44,5.34,0.148,47,792464.9,153903.0,6,8
210000,0,56,10.91,2.36,1.11,0.11,7.34,0.11,1.66,0.036,2,841.2,184.9,8,56
220000,8,1746,5.08,0.08,0.02,0.09,4.90,0.00,1.04,0.000,7,822666.1,3270.2,7,15
220000,1,669,29.63,12.31,2.06,0.03,15.24,0.60,4.57,0.185,52,796114.6,158538.7,5,3
220000,0,63,11.32,2.81,0.63,0.08,7.79,0.10,1.91,0.032,3,643.8,91.5,7,63
230000,8,1734,5.26,0.08,0.05,0.08,5.05,0.00,1.04,0.002,5,827305.9,102.5,6,0
230000,1,768,25.61,8.90,1.59,0.04,15.08,0.48,3.57,0.141,61,812039.6,161969.6,3,0
230000,0,58,10.67,0.91,0.07,0.07,9.62,0.03,1.29,0.017,3,737.6,122.4,7,58
240000,8,1719,5.43,0.04,0.04,0.14,5.21,0.00,1.02,0.000,6,819698.9,12.0,7,0
240000,1,798,22.91,8.97,1.23,0.15,12.56,0.36,3.58,0.119,64,812413.2,167784.7,3,0
240000,0,60,12.27,0.82,0.00,0.45,11.00,0.00,1.20,0.000,3,795.6,150.4,7,60
250000,8,1715,5.32,0.07,0.01,0.12,5.12,0.00,1.03,0.001,5,820573.2,50.9,6,0
250000,1,707,28.67,11.43,1.78,0.15,15.30,0.54,4.29,0.178,52,809940.9,172545.6,3,0
250000,0,61,7.70,0.02,0.07,0.13,7.49,0.02,1.01,0.016,2,842.5,201.1,6,61
260000,8,1751,5.14,0.06,0.10,0.10,4.88,0.00,1.03,0.001,7,823289.4,22.1,8,0
260000,1,707,26.50,10.32,1.29,0.06,14.83,0.45,4.01,0.153,49,802686.8,151915.4,4,1
260000,0,68,9.84,0.00,0.00,0.32,9.51,0.00,1.00,0.000,3,602.3,183.0,6,68
270000,8,1707,5.24,0.04,0.07,0.05,5.08,0.00,1.02,0.000,5,822871.4,80.6,7,0
270000,1,724,26.63,10.97,1.27,0.07,14.32,0.47,4.19,0.169,60,806885.0,154492.4,4,1
270000,0,43,9.84,0.33,0.00,0.05,9.47,0.00,1.07,0.000,2,709.0,207.3,7,43
280000,8,1713,5.17,0.05,0.03,0.12,4.98,0.00,1.02,0.000,8,825532.6,31.1,7,2
280000,1,723,26.56,11.59,1.32,0.12,13.54,0.42,4.36,0.133,53,809762.1,143967.9,4,1
280000,0,64,13.89,4.00,1.28,0.06,8.55,0.31,2.10,0.078,2,732.0,193.3,7,64
290000,8,1682,5.18,0.07,0.05,0.10,4.96,0.00,1.03,0.001,5,823112.2,18.0,6,0
