step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
10000,2354,1.456,0.020,9.14,265484,256498,15,73,8088,206846,1724293.2,14500.3,0.417,0.179,0.124,0.138,0.142,544,13.61,10.56,0.16,1.60,0.37,2.45,0.39,2.44,12.70,9.43,0.02,0.24,0.015,0.078,624,0.045,0.739,0.009,0.001,0.251,248616,211097,8,0.611,0.033,0.048,1291554,0.160,0.063,0.000,162.39,109568,87,0.070,0.548,0.004,11756859,1.05,15.20,0.004,0.065,0.006,6,10,28,64,1025,61,1.04,0.0058,0.007,115
20000,1953,1.658,0.020,8.77,266811,253552,56,4993,8611,939793,1602477.0,77935.6,0.422,0.144,0.095,0.174,0.165,548,19.08,17.76,0.74,3.71,0.86,4.71,0.15,1.04,17.32,16.06,0.11,0.72,0.019,0.089,653,0.039,0.752,0.029,0.005,0.214,255247,210846,12,0.192,0.505,0.035,806286,0.129,0.062,0.000,162.14,104630,111,0.083,0.497,0.018,12520520,1.17,13.42,0.065,0.216,0.027,6,11,56,64,1000,40,1.30,0.0047,0.002,109
30000,2240,1.604,0.021,8.78,270084,258521,337,1559,9380,1749969,1609967.4,105336.0,0.449,0.106,0.062,0.198,0.186,600,14.65,12.48,2.60,7.45,0.64,2.60,0.12,1.22,11.30,9.31,0.23,0.89,0.024,0.082,596,0.053,0.710,0.090,0.004,0.197,256425,225767,11,0.196,0.158,0.015,415090,0.151,0.089,0.000,162.26,96149,119,0.060,0.471,0.021,38760513,1.75,14.52,0.012,0.131,0.072,5,9,32,64,1091,62,1.18,0.0064,0.003,115
40000,2401,1.522,0.022,8.49,297335,285149,601,1165,10259,1746187,1625101.8,103985.8,0.543,0.081,0.048,0.164,0.164,539,12.31,12.20,1.30,5.68,0.79,3.55,0.07,0.88,10.16,9.38,0.16,0.77,0.026,0.100,525,0.077,0.718,0.056,0.005,0.221,283115,260455,10,0.259,0.128,0.015,510120,0.075,0.116,0.000,162.17,107121,119,0.060,0.466,0.025,58508022,1.39,15.93,0.017,0.161,0.051,4,8,24,64,1190,56,1.26,0.0067,0.001,78
50000,2270,1.640,0.025,8.45,293153,278920,1060,2449,10855,1671287,1615239.6,104550.7,0.590,0.066,0.039,0.152,0.153,602,13.45,12.81,2.27,7.06,0.52,2.05,0.17,1.31,10.50,9.93,0.24,0.89,0.016,0.061,473,0.097,0.689,0.107,0.003,0.201,278889,261926,9,0.202,0.328,0.032,357866,0.080,0.107,0.000,161.58,99655,77,0.063,0.589,0.013,61725039,1.62,15.26,0.011,0.138,0.073,4,8,34,64,1195,49,1.86,0.0068,0.000,56
60000,2290,1.601,0.021,8.27,286864,271964,792,2396,11692,1404614,1597885.4,90854.8,0.568,0.073,0.048,0.156,0.155,595,13.83,13.62,1.70,6.48,0.46,1.88,0.14,1.74,11.54,11.74,0.26,0.90,0.017,0.066,445,0.115,0.717,0.084,0.003,0.197,272333,251562,10,0.182,0.198,0.012,435183,0.081,0.105,0.000,160.91,102938,92,0.065,0.612,0.030,58764385,1.47,15.60,0.010,0.128,0.082,4,8,34,64,1228,49,2.53,0.0060,0.000,79
70000,2476,1.520,0.018,7.73,298037,283293,1270,1725,11563,1490625,1598540.0,94039.8,0.623,0.063,0.049,0.134,0.132,671,12.35,12.45,1.48,5.89,0.54,2.82,0.10,1.33,10.24,10.38,0.21,0.85,0.019,0.087,413,0.096,0.696,0.070,0.003,0.231,284809,268203,9,0.209,0.313,0.042,403633,0.060,0.100,0.000,160.51,97541,81,0.063,0.591,0.036,41589645,1.42,16.35,0.011,0.142,0.061,4,7,30,64,1277,58,2.93,0.0063,0.000,85
80000,2446,1.590,0.022,8.14,299101,281252,1155,4830,11894,1983086,1579401.0,135618.5,0.598,0.050,0.039,0.158,0.156,623,10.96,11.11,2.66,6.90,1.00,3.40,0.08,1.17,7.22,6.46,0.49,1.28,0.037,0.109,476,0.093,0.700,0.169,0.005,0.126,287009,271546,7,0.267,0.090,0.015,479474,0.049,0.159,0.000,159.30,98389,69,0.068,0.606,0.047,60787625,1.81,17.13,0.008,0.257,0.145,4,6,24,64,1264,57,4.14,0.0089,0.000,87
90000,2277,1.632,0.021,8.48,255093,236918,1351,7944,9049,2801747,1578944.2,192924.2,0.519,0.055,0.043,0.192,0.191,572,12.28,14.38,3.64,8.73,1.00,3.82,0.17,2.00,7.48,8.07,0.41,1.18,0.030,0.094,479,0.098,0.704,0.172,0.006,0.118,244076,226094,10,0.213,0.062,0.021,427536,0.052,0.142,0.000,158.00,93689,59,0.069,0.662,0.046,108258100,2.04,17.19,0.029,0.213,0.120,4,6,32,64,1261,41,5.44,0.0093,0.000,82
100000,2293,1.662,0.025,8.30,249976,231600,1127,7105,10128,2592696,1546780.9,181442.5,0.519,0.074,0.058,0.175,0.174,558,12.38,14.14,3.56,8.83,1.06,3.65,0.13,1.02,7.63,7.99,0.45,1.26,0.035,0.102,516,0.077,0.704,0.180,0.004,0.112,238790,218074,8,0.174,0.465,0.026,509299,0.074,0.218,0.001,155.05,92709,63,0.070,0.663,0.030,103055950,1.97,16.93,0.024,0.235,0.125,4,6,32,64,1244,51,8.39,0.0088,0.000,67
