step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
10000,8,5726,8.32,0.33,0.23,0.17,7.58,0.03,1.08,0.009,9,2658941.0,26482.0,11,107
10000,1,2563,31.93,5.41,1.51,1.11,23.90,0.44,2.29,0.141,53,3142786.2,259851.6,4,32
10000,0,318,15.02,0.91,0.78,0.46,12.87,0.09,1.18,0.022,3,389288.5,5611.9,9,318
20000,8,6196,7.15,0.20,0.25,0.09,6.60,0.02,1.06,0.007,8,2429289.5,26256.4,15,51
20000,1,2800,26.69,6.78,1.74,0.28,17.90,0.61,2.50,0.201,76,3118034.2,561394.2,5,29
20000,0,241,15.10,2.02,1.35,0.29,11.43,0.28,1.41,0.066,3,2452.9,992.1,12,240
30000,8,6124,7.12,0.23,0.19,0.12,6.59,0.03,1.06,0.007,11,2397970.8,24028.4,11,152
30000,1,3341,21.49,5.49,1.69,0.20,14.11,0.51,2.25,0.155,65,3087073.8,706847.6,5,40
30000,0,270,12.88,1.67,0.81,0.22,10.18,0.15,1.35,0.052,5,2159.5,1169.1,10,270
40000,8,6510,6.40,0.06,0.15,0.11,6.08,0.01,1.02,0.004,6,2324138.8,12008.2,15,26
40000,1,3217,23.20,5.72,1.49,0.32,15.66,0.45,2.20,0.147,65,3162545.8,678307.9,9,5
40000,0,212,13.73,3.04,0.71,0.58,9.40,0.22,1.69,0.061,5,2133.6,1120.2,13,212
50000,8,6437,6.27,0.08,0.14,0.14,5.91,0.01,1.02,0.002,13,2304325.2,25806.8,23,72
50000,1,3444,21.41,5.07,1.38,0.45,14.51,0.44,2.08,0.143,81,3136913.5,728164.6,14,43
50000,0,293,13.77,3.08,1.02,0.30,9.37,0.30,1.62,0.078,5,1973.7,1339.5,19,293
60000,8,6515,6.29,0.10,0.11,0.11,5.97,0.01,1.03,0.003,9,2310521.8,9211.6,28,172
60000,1,3459,21.55,5.55,1.53,0.62,13.85,0.44,2.24,0.138,86,3109903.0,725479.8,18,18
60000,0,203,14.30,1.56,1.02,0.42,11.29,0.16,1.29,0.049,3,2006.5,1303.6,22,202
70000,8,6577,6.30,0.08,0.10,0.14,5.98,0.01,1.03,0.002,8,2286554.0,10961.8,17,73
70000,1,3477,20.73,6.17,1.59,0.23,12.73,0.51,2.34,0.156,98,3053053.2,812641.7,19,19
70000,0,214,13.87,1.88,0.85,0.43,10.71,0.22,1.39,0.051,3,2297.0,1429.7,18,214
80000,8,6545,6.23,0.10,0.12,0.14,5.87,0.01,1.03,0.002,10,2337571.8,16466.6,27,65
80000,1,3296,21.95,6.22,2.14,0.47,13.12,0.55,2.24,0.172,76,3044975.5,832897.4,18,20
80000,0,230,13.80,2.81,1.14,0.77,9.08,0.27,1.59,0.078,3,2084.0,1278.0,24,230
90000,8,6562,6.17,0.11,0.11,0.15,5.79,0.01,1.03,0.003,13,2333185.0,5926.5,27,72
90000,1,3442,21.43,6.29,1.78,0.41,12.94,0.54,2.21,0.162,91,3064451.2,835815.0,20,45
90000,0,251,13.82,3.12,0.82,0.25,9.63,0.27,1.61,0.076,4,2376.7,1279.6,20,249
100000,8,6500,6.25,0.05,0.11,0.12,5.97,0.00,1.02,0.000,8,2326873.2,8764.8,27,16
100000,1,3509,20.99,5.92,1.69,0.25,13.14,0.53,2.21,0.160,73,3074176.2,834235.6,20,9
100000,0,254,12.11,1.36,0.65,0.64,9.46,0.13,1.28,0.043,4,2404.0,1243.2,23,253
110000,8,6560,5.96,0.06,0.12,0.12,5.66,0.01,1.02,0.002,7,2293491.5,4223.1,27,22
110000,1,3563,19.94,5.39,1.54,0.70,12.31,0.51,2.04,0.147,92,3035182.5,778917.6,15,8
110000,0,256,13.43,2.11,0.56,0.20,10.57,0.17,1.47,0.051,3,2262.3,1402.1,22,256
120000,8,6581,5.98,0.06,0.09,0.14,5.70,0.00,1.02,0.001,7,2303897.8,10027.9,25,8
120000,1,3491,20.24,6.35,1.67,0.19,12.04,0.53,2.27,0.162,98,3038784.5,790717.1,15,9
120000,0,252,14.48,3.03,1.16,0.29,10.00,0.33,1.55,0.095,4,2283.1,1419.3,23,249
130000,8,6554,6.09,0.05,0.08,0.13,5.84,0.00,1.02,0.001,7,2298816.5,3754.6,20,5
130000,1,3779,17.23,5.28,1.32,0.22,10.41,0.47,2.09,0.139,72,3067270.5,785427.1,13,6
130000,0,257,13.97,2.13,0.90,0.37,10.57,0.24,1.41,0.070,4,2348.1,1355.6,17,257
140000,8,6562,6.13,0.06,0.10,0.12,5.85,0.00,1.02,0.001,8,2307109.5,3065.0,22,30
140000,1,3770,18.20,6.00,1.47,0.41,10.31,0.52,2.20,0.150,83,3061802.5,850571.5,14,7
140000,0,244,12.12,1.30,0.68,0.25,9.89,0.14,1.28,0.037,3,2217.1,1430.2,20,244
150000,8,6512,6.33,0.22,0.12,0.11,5.88,0.02,1.06,0.005,12,2290427.0,6937.4,23,156
150000,1,3788,17.32,5.46,1.28,0.21,10.37,0.44,2.15,0.125,78,2959023.8,864414.9,15,36
150000,0,307,10.62,1.30,0.47,0.28,8.57,0.13,1.24,0.033,3,2135.1,1134.3,19,306
160000,8,6605,5.78,0.12,0.14,0.08,5.44,0.01,1.03,0.003,6,2275864.8,9201.9,25,85
160000,1,3952,16.84,5.32,1.41,0.21,9.90,0.47,2.08,0.133,95,2998261.5,803467.7,17,25
160000,0,284,11.05,2.10,0.67,0.23,8.05,0.15,1.53,0.042,3,1762.4,950.9,19,283
170000,8,6686,5.81,0.15,0.15,0.08,5.43,0.02,1.03,0.004,6,2257744.5,4910.2,23,38
170000,1,4378,14.98,4.17,1.23,0.13,9.46,0.37,1.85,0.107,93,3022532.5,805482.1,11,8
170000,0,273,9.56,1.24,0.81,0.12,7.39,0.18,1.25,0.048,4,1913.6,1267.5,17,272
180000,8,6622,5.65,0.05,0.10,0.13,5.36,0.00,1.02,0.001,6,2231994.0,5026.5,25,16
180000,1,3844,16.91,5.08,1.37,0.15,10.32,0.42,2.04,0.125,84,3027177.0,742910.8,10,4
