step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
10000,2506,1.481,0.031,7.83,285889,277342,147,57,7381,81284,1751606.8,7097.5,0.516,0.136,0.123,0.098,0.127,692,12.58,9.41,0.84,4.14,0.59,3.04,0.62,2.88,10.53,6.93,0.02,0.24,0.032,0.134,613,0.046,0.710,0.014,0.000,0.276,265635,225540,7,0.385,0.416,0.113,3209000,0.092,0.149,0.000,162.60,107217,122,0.087,0.649,0.000,3428977,1.25,15.52,0.004,0.031,0.006,5,10,25,64,1266,24,0.71,0.0066,0.020,120
20000,2525,1.458,0.029,8.45,368413,354885,882,11,12616,4949,1641422.1,323.6,0.715,0.084,0.072,0.057,0.072,572,11.88,7.98,0.19,1.52,0.46,2.37,0.81,3.49,10.42,6.41,0.01,0.18,0.030,0.117,556,0.038,0.678,0.005,0.000,0.317,354193,325799,8,0.491,0.047,0.103,2788085,0.053,0.116,0.000,163.30,127721,487,0.065,0.273,0.000,1876627,1.07,16.18,0.001,0.024,0.002,5,10,20,64,1218,26,0.02,0.0062,0.004,89
30000,2691,1.447,0.029,9.30,374750,360984,1130,6,12464,5385,1615689.0,250.9,0.731,0.086,0.072,0.050,0.062,478,11.08,7.33,0.34,1.72,0.29,1.77,0.63,2.68,9.82,5.85,0.01,0.13,0.017,0.085,549,0.058,0.664,0.004,0.000,0.331,360921,335478,9,0.224,0.190,0.124,2693835,0.063,0.125,0.000,163.30,140894,204,0.047,0.833,0.000,1613650,1.11,16.84,0.000,0.007,0.002,4,9,20,64,1273,27,0.02,0.0061,0.004,66
40000,2718,1.432,0.024,9.15,375046,361608,1152,6,12253,4008,1620521.6,235.2,0.714,0.096,0.081,0.047,0.062,464,10.56,7.62,0.67,2.68,0.96,3.01,0.52,2.78,8.41,4.84,0.05,0.34,0.053,0.140,555,0.114,0.704,0.008,0.000,0.287,360585,335574,11,0.394,0.235,0.075,1969660,0.096,0.105,0.000,163.30,143679,35,0.059,0.833,0.000,1484969,1.22,16.95,0.000,0.011,0.033,4,8,19,62,1291,25,0.01,0.0071,0.003,87
50000,2813,1.384,0.029,9.21,372830,359582,1241,11,11901,6200,1617617.0,311.0,0.734,0.092,0.079,0.040,0.055,454,10.37,8.10,0.26,2.33,0.82,3.57,0.69,3.54,8.60,5.29,0.02,0.28,0.045,0.146,581,0.060,0.688,0.002,0.000,0.311,359151,332136,7,0.451,0.007,0.082,2405347,0.092,0.181,0.000,163.29,144881,326,0.050,0.636,0.000,1320207,1.08,16.73,0.002,0.020,0.007,4,8,20,64,1330,26,0.02,0.0067,0.002,83
60000,2754,1.405,0.027,9.76,390203,377004,972,26,12260,4331,1630059.0,137.1,0.731,0.093,0.077,0.043,0.056,415,10.25,7.06,0.15,1.20,0.41,2.37,0.55,2.79,9.15,5.69,0.01,0.18,0.026,0.118,513,0.062,0.681,0.003,0.000,0.316,377375,347631,11,0.230,0.055,0.101,2047508,0.089,0.143,0.000,163.29,155019,86,0.032,0.654,0.000,1359422,1.05,17.25,0.001,0.005,0.001,4,8,18,64,1342,23,0.03,0.0065,0.001,69
70000,2631,1.478,0.025,9.50,375674,363296,1325,5,11171,4771,1639880.2,250.0,0.741,0.084,0.072,0.046,0.057,466,11.75,9.23,0.70,2.77,0.96,3.52,0.66,2.91,9.43,5.88,0.05,0.41,0.047,0.135,606,0.085,0.684,0.008,0.002,0.306,362874,334072,10,0.224,0.071,0.109,2822604,0.071,0.105,0.000,163.28,141973,129,0.052,0.800,0.002,1207085,1.19,15.75,0.002,0.013,0.017,4,8,21,64,1354,23,0.04,0.0066,0.001,95
80000,2615,1.434,0.028,9.31,371925,359875,1122,7,10937,6275,1637052.4,303.8,0.716,0.091,0.080,0.050,0.063,435,11.62,9.05,0.31,1.95,0.36,2.26,0.56,3.28,10.40,7.54,0.01,0.19,0.020,0.100,556,0.099,0.678,0.004,0.000,0.318,358625,328728,15,0.219,0.015,0.078,2722454,0.074,0.132,0.000,163.28,142842,27,0.048,1.000,0.000,1534175,1.08,16.14,0.002,0.023,0.003,4,8,23,64,1317,27,0.03,0.0060,0.003,93
90000,2766,1.401,0.027,9.22,389842,375344,1362,7,12978,5557,1635411.2,296.0,0.741,0.086,0.076,0.043,0.055,459,10.48,8.02,0.17,1.71,0.31,2.16,0.56,2.88,9.44,6.70,0.01,0.15,0.017,0.089,522,0.090,0.676,0.000,0.000,0.323,376604,347868,18,0.246,0.181,0.077,2392672,0.077,0.144,0.000,163.26,146812,40,0.053,0.857,0.000,1384262,1.05,17.10,0.003,0.004,0.003,4,7,20,64,1384,25,0.05,0.0063,0.003,95
100000,2810,1.394,0.029,9.37,395501,381186,1319,4,12948,4272,1642459.0,271.7,0.756,0.079,0.070,0.040,0.054,421,10.14,8.49,0.29,2.17,0.18,1.39,0.72,4.16,8.97,6.15,0.00,0.08,0.011,0.066,533,0.103,0.684,0.004,0.000,0.313,382292,353361,10,0.233,0.013,0.073,2632018,0.067,0.146,0.000,163.25,148545,156,0.064,0.750,0.000,1241589,1.09,17.17,0.004,0.008,0.002,4,7,19,64,1341,26,0.07,0.0065,0.001,73
