step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
10000,8607,1.613,0.023,7.26,1022636,996415,873,5716,17165,4293385,5092341.5,291608.6,0.458,0.089,0.088,0.172,0.193,167,15.60,16.90,1.87,6.84,0.63,2.86,0.47,2.87,12.63,14.41,0.16,0.75,0.022,0.086,2484,0.049,0.758,0.071,0.003,0.168,961623,820155,11,0.641,0.216,0.069,8143978,0.084,0.117,0.000,647.66,354952,225,0.068,0.324,0.035,92979008,1.45,14.86,0.050,0.235,0.048,4,9,46,64,4471,53,6.10,0.0047,0.016,318
20000,9237,1.549,0.022,7.52,1097189,1063407,3528,6485,23139,9236018,4524920.5,591640.1,0.588,0.066,0.064,0.139,0.142,151,13.28,14.71,2.25,7.64,0.73,2.74,0.15,1.38,10.15,11.51,0.21,0.82,0.029,0.095,2535,0.056,0.744,0.090,0.007,0.159,1053708,959062,15,0.543,0.263,0.032,4606017,0.072,0.133,0.000,648.02,355427,268,0.064,0.342,0.052,213074423,1.50,15.83,0.025,0.299,0.067,4,7,35,64,4773,76,5.74,0.0048,0.009,241
30000,9735,1.514,0.020,7.20,1153061,1111540,4599,8436,27988,11403500,4459906.5,734256.8,0.637,0.060,0.062,0.123,0.118,141,12.21,13.22,2.07,7.76,0.72,2.87,0.15,1.27,9.27,9.45,0.20,0.83,0.025,0.090,2821,0.048,0.759,0.073,0.005,0.163,1107959,1034557,14,0.660,0.202,0.031,4099258,0.072,0.107,0.000,644.68,372975,223,0.064,0.457,0.049,238030637,1.48,16.17,0.013,0.341,0.059,3,7,28,64,4682,65,9.07,0.0049,0.020,270
40000,9939,1.507,0.015,7.23,1241038,1199018,4861,2959,33996,10804428,4470923.0,692500.1,0.663,0.060,0.060,0.112,0.104,137,11.99,13.06,1.96,7.70,0.60,2.57,0.19,1.56,9.25,9.16,0.16,0.72,0.021,0.093,2650,0.055,0.708,0.067,0.006,0.218,1203236,1134752,20,0.678,0.173,0.040,3570271,0.107,0.080,0.000,650.47,385708,264,0.064,0.445,0.042,231421681,1.42,16.47,0.008,0.271,0.052,4,7,27,64,4746,65,3.28,0.0049,0.003,212
50000,10174,1.485,0.016,7.37,1291758,1245004,5906,4170,36443,11739248,4411503.0,758256.9,0.689,0.061,0.060,0.101,0.089,113,11.61,12.71,1.85,7.61,0.59,2.54,0.25,2.02,8.92,8.63,0.16,0.74,0.022,0.093,2712,0.064,0.714,0.066,0.004,0.216,1258825,1191599,31,0.603,0.047,0.045,4466142,0.092,0.073,0.000,651.25,408893,402,0.065,0.251,0.038,242546905,1.40,16.81,0.008,0.316,0.052,4,7,25,64,4728,81,2.50,0.0049,0.011,293
60000,10177,1.478,0.016,7.38,1306472,1260960,6490,2417,36602,11683181,4331892.5,737019.2,0.691,0.056,0.056,0.105,0.092,126,11.63,13.00,1.98,7.79,0.61,2.72,0.29,2.00,8.75,8.67,0.16,0.72,0.019,0.080,2787,0.029,0.725,0.082,0.005,0.189,1271248,1209790,35,0.390,0.103,0.046,4880690,0.075,0.082,0.000,651.07,416814,335,0.063,0.245,0.042,279703692,1.45,16.65,0.009,0.308,0.050,3,6,28,64,4652,86,2.69,0.0049,0.019,203
70000,10268,1.479,0.015,7.05,1269678,1224504,6158,3420,35505,12750721,4265714.0,825802.8,0.686,0.054,0.051,0.111,0.098,126,11.34,13.49,2.18,8.34,0.62,2.74,0.18,1.51,8.36,9.19,0.18,0.78,0.018,0.079,2705,0.034,0.735,0.076,0.005,0.185,1236772,1180483,27,0.742,0.069,0.044,4263788,0.083,0.090,0.000,650.22,406951,488,0.065,0.271,0.051,302648701,1.48,17.47,0.008,0.368,0.055,3,6,32,64,4520,98,3.53,0.0050,0.009,214
80000,10071,1.493,0.015,7.26,1264566,1222609,6712,3642,31800,13006933,4312224.5,852389.9,0.689,0.059,0.056,0.104,0.092,121,11.55,13.65,2.16,8.14,0.81,3.28,0.26,2.34,8.32,8.62,0.19,0.80,0.023,0.088,2733,0.044,0.733,0.077,0.005,0.185,1234370,1180938,37,0.660,0.036,0.053,4927125,0.070,0.084,0.000,650.28,406907,473,0.066,0.284,0.049,387662043,1.44,17.40,0.012,0.351,0.060,3,6,31,64,4509,76,3.47,0.0051,0.008,230
90000,10255,1.479,0.017,7.37,1291963,1252636,7133,2150,29860,13056257,4355766.5,843644.7,0.695,0.059,0.057,0.101,0.088,115,11.47,13.22,2.26,8.44,0.69,2.75,0.24,1.88,8.29,8.02,0.20,0.81,0.024,0.103,2655,0.038,0.729,0.071,0.006,0.194,1261429,1212189,35,0.522,0.205,0.053,5753532,0.073,0.097,0.000,650.10,430980,290,0.065,0.206,0.049,347368274,1.44,17.30,0.008,0.320,0.058,3,6,27,64,4737,91,3.65,0.0051,0.011,251
100000,10263,1.478,0.017,7.42,1270874,1231825,6493,2744,29804,12914218,4306319.5,845097.4,0.684,0.063,0.061,0.104,0.089,106,11.44,13.06,2.09,7.95,0.66,2.57,0.18,1.38,8.51,8.66,0.19,0.80,0.022,0.078,2728,0.033,0.742,0.074,0.005,0.179,1238197,1181333,37,0.552,0.084,0.053,5414446,0.077,0.098,0.000,650.57,407059,410,0.065,0.238,0.046,281702371,1.43,17.15,0.007,0.320,0.056,3,6,30,64,4781,73,3.19,0.0049,0.002,254
110000,10379,1.498,0.018,7.01,1288084,1245292,6957,3267,32452,11308320,4278037.0,784750.5,0.693,0.058,0.054,0.104,0.090,121,10.95,13.46,1.94,7.77,0.62,2.67,0.32,2.75,8.06,8.74,0.18,0.80,0.019,0.079,2514,0.047,0.751,0.063,0.005,0.181,1256357,1195636,34,0.589,0.142,0.053,5857248,0.075,0.090,0.000,650.12,401093,345,0.069,0.236,0.045,289431728,1.38,17.87,0.008,0.324,0.053,3,6,28,64,4774,92,3.63,0.0051,0.003,256
120000,10324,1.485,0.018,6.82,1251016,1207311,5659,6214,31887,11601103,4283597.5,802565.1,0.665,0.063,0.058,0.115,0.100,124,11.01,13.49,2.26,8.03,0.65,2.69,0.16,1.52,7.95,8.34,0.19,0.80,0.019,0.084,2509,0.038,0.759,0.068,0.006,0.166,1218680,1151202,33,0.633,0.060,0.037,5209967,0.083,0.110,0.000,648.37,375327,309,0.069,0.258,0.044,299159242,1.46,17.79,0.010,0.323,0.058,3,6,28,64,4866,98,5.39,0.0052,0.002,252
130000,10590,1.452,0.017,6.75,1264042,1222389,5855,2382,33150,11539144,4259308.0,790913.6,0.657,0.065,0.060,0.119,0.100,124,10.26,11.55,1.97,7.73,0.54,2.46,0.16,1.57,7.58,6.67,0.18,0.78,0.015,0.071,2502,0.040,0.762,0.065,0.005,0.169,1231421,1163768,29,0.679,0.040,0.036,4998443,0.100,0.094,0.000,651.00,381633,237,0.069,0.353,0.046,310387143,1.41,17.88,0.005,0.341,0.052,3,6,20,64,4916,72,2.76,0.0053,0.001,257
140000,10576,1.478,0.017,7.09,1254171,1214566,5659,2342,31618,12336862,4274105.5,855398.8,0.632,0.074,0.065,0.123,0.106,122,10.57,12.12,2.21,7.97,0.60,2.57,0.23,1.92,7.53,6.73,0.19,0.82,0.018,0.077,2642,0.035,0.763,0.074,0.008,0.155,1220675,1148028,30,0.582,0.101,0.040,3941076,0.086,0.076,0.000,650.09,372861,315,0.069,0.271,0.047,348615519,1.45,17.78,0.006,0.340,0.055,3,6,23,64,5058,83,3.67,0.0054,0.003,244
150000,10607,1.453,0.017,7.00,1232790,1193396,5572,3433,30358,12358301,4204191.0,872792.7,0.632,0.067,0.061,0.130,0.110,105,10.38,11.89,2.12,7.96,0.55,2.48,0.15,1.53,7.56,6.64,0.17,0.77,0.017,0.078,2756,0.033,0.760,0.069,0.007,0.163,1197145,1121686,29,0.628,0.010,0.028,3027426,0.065,0.083,0.000,648.52,373836,291,0.071,0.254,0.047,320559719,1.45,17.79,0.006,0.372,0.049,3,6,22,64,5005,78,5.24,0.0052,0.018,307
160000,10841,1.422,0.018,7.12,1279353,1238973,5817,3770,30559,11130547,4217674.5,813926.7,0.669,0.055,0.051,0.122,0.103,122,9.95,11.91,2.07,8.13,0.61,2.70,0.13,1.36,7.14,6.24,0.18,0.80,0.020,0.082,2842,0.030,0.774,0.067,0.007,0.151,1245135,1171129,29,0.671,0.012,0.023,2672925,0.051,0.097,0.000,649.98,387056,244,0.073,0.264,0.049,260033343,1.43,18.26,0.006,0.379,0.052,3,6,21,64,5084,95,3.77,0.0055,0.010,284
170000,11337,1.403,0.018,6.78,1290677,1246824,5921,4475,32961,11139221,4208040.5,811887.4,0.666,0.056,0.053,0.122,0.103,123,9.44,11.13,1.73,7.28,0.58,2.77,0.10,1.11,7.03,6.15,0.16,0.76,0.020,0.086,2633,0.040,0.773,0.060,0.006,0.162,1256088,1179375,26,0.637,0.082,0.018,2489550,0.056,0.087,0.000,650.18,388737,269,0.073,0.301,0.041,254569855,1.35,18.56,0.003,0.385,0.045,3,6,19,64,5116,93,3.58,0.0053,0.004,273
180000,10777,1.430,0.018,6.60,1334708,1287688,5737,5884,35959,10059229,4196308.5,749204.4,0.676,0.055,0.052,0.119,0.099,127,9.83,11.26,1.89,7.74,0.57,2.50,0.14,1.60,7.24,5.95,0.16,0.74,0.020,0.083,2430,0.050,0.756,0.063,0.005,0.176,1298998,1227730,31,0.605,0.074,0.021,2530002,0.068,0.107,0.000,650.36,369595,269,0.074,0.260,0.042,242556009,1.39,18.27,0.005,0.307,0.046,3,6,20,64,4987,84,3.39,0.0054,0.002,311
190000,11016,1.432,0.018,6.90,1331229,1283465,6120,5803,35602,10627503,4202181.5,767727.7,0.669,0.055,0.051,0.122,0.103,125,9.68,11.21,1.83,7.55,0.60,2.76,0.13,1.25,7.13,5.88,0.16,0.76,0.020,0.088,2428,0.064,0.760,0.059,0.006,0.176,1295844,1225755,30,0.601,0.079,0.027,2806866,0.060,0.087,0.000,650.28,374030,188,0.072,0.397,0.037,252617294,1.36,18.47,0.004,0.335,0.046,3,6,19,64,5073,100,3.48,0.0054,0.004,319
200000,10996,1.410,0.017,7.18,1337249,1290240,6465,5977,34587,10533561,4156651.5,779710.2,0.682,0.054,0.050,0.117,0.098,104,9.46,11.14,1.85,7.48,0.60,2.77,0.12,1.34,6.88,5.84,0.16,0.77,0.020,0.084,2585,0.058,0.775,0.067,0.006,0.153,1304583,1236520,27,0.614,0.061,0.026,2850255,0.062,0.097,0.000,649.55,383299,175,0.074,0.326,0.043,274729316,1.39,18.69,0.003,0.352,0.048,3,6,20,64,4940,91,4.21,0.0055,0.001,297
210000,10845,1.435,0.019,6.90,1283475,1236043,6205,8721,32657,11187473,4101581.2,854752.5,0.660,0.055,0.051,0.127,0.106,123,9.63,11.61,1.87,7.67,0.66,3.09,0.09,1.16,7.01,6.19,0.18,0.80,0.020,0.085,2485,0.048,0.781,0.070,0.005,0.144,1248174,1174138,26,0.596,0.082,0.020,2626215,0.077,0.098,0.000,648.35,362146,225,0.076,0.266,0.048,294575038,1.37,18.66,0.005,0.383,0.052,3,6,20,64,5026,88,5.41,0.0054,0.003,257
