step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
10000,2499,1.530,0.035,7.74,266912,257813,398,15,7693,33885,1746611.0,2472.0,0.552,0.064,0.085,0.149,0.149,807,12.74,13.89,0.03,0.47,0.38,2.57,0.34,2.69,11.99,13.04,0.00,0.08,0.016,0.080,496,0.101,0.726,0.001,0.000,0.273,250399,217988,4,0.431,0.342,0.060,2557859,0.079,0.200,0.000,162.52,88302,73,0.073,0.800,0.000,3414564,1.01,14.70,0.037,0.002,0.000,4,7,32,64,1300,24,0.79,0.0058,0.035,90
20000,2729,1.442,0.035,7.74,365000,348148,963,2,15657,652,1630654.2,55.2,0.729,0.037,0.045,0.095,0.094,693,10.66,11.91,0.10,0.97,0.47,3.91,0.34,2.87,9.74,10.82,0.00,0.11,0.020,0.106,435,0.094,0.716,0.001,0.000,0.284,353879,330866,10,0.387,0.196,0.043,1065940,0.044,0.245,0.001,163.18,101390,68,0.085,0.500,0.000,1492732,1.03,16.49,0.015,0.004,0.001,3,6,26,64,1317,29,0.14,0.0061,0.008,59
30000,2637,1.435,0.035,9.34,360967,348176,1089,31,11763,4150,1607406.4,370.3,0.724,0.034,0.038,0.105,0.098,468,11.74,10.59,0.50,2.55,0.29,2.19,0.40,2.69,10.56,9.34,0.01,0.23,0.013,0.078,654,0.088,0.710,0.003,0.001,0.287,350464,325520,12,0.182,0.320,0.050,1188201,0.065,0.226,0.001,163.03,125301,158,0.089,0.774,0.001,1787475,1.17,15.27,0.005,0.017,0.006,4,8,22,64,1274,26,0.28,0.0058,0.000,74
40000,2837,1.413,0.036,9.11,388570,375124,1427,27,11792,6382,1593434.1,571.1,0.808,0.022,0.029,0.073,0.067,436,9.65,9.19,0.45,3.04,0.21,1.53,0.18,1.59,8.82,7.73,0.03,0.35,0.012,0.085,531,0.157,0.705,0.002,0.000,0.292,381024,363772,12,0.391,0.097,0.035,1101440,0.040,0.237,0.001,163.09,138254,578,0.089,0.444,0.001,1482590,1.12,17.35,0.004,0.017,0.008,3,6,17,64,1409,23,0.23,0.0064,0.000,55
50000,2908,1.359,0.038,9.93,388979,373456,1723,1,13728,3128,1600258.8,214.2,0.780,0.027,0.032,0.082,0.079,380,8.94,8.33,0.58,3.06,0.01,0.25,0.18,1.38,8.17,7.10,0.00,0.02,0.001,0.019,557,0.140,0.702,0.001,0.000,0.297,380361,363989,15,0.339,0.023,0.036,1065010,0.045,0.280,0.001,163.12,148716,1162,0.068,0.000,0.000,1532455,1.20,17.80,0.005,0.011,0.000,3,6,16,64,1374,25,0.19,0.0067,0.000,63
60000,2922,1.373,0.026,10.31,393047,378728,1445,8,12852,2203,1589193.1,130.5,0.753,0.029,0.037,0.093,0.087,375,9.31,7.82,0.30,1.88,0.13,1.57,0.23,1.77,8.65,6.91,0.01,0.14,0.006,0.056,537,0.073,0.700,0.001,0.000,0.299,382736,362612,10,0.298,0.086,0.048,1370507,0.058,0.148,0.000,163.12,156033,82,0.059,0.750,0.000,1801872,1.10,17.16,0.002,0.016,0.003,3,7,19,64,1342,26,0.19,0.0063,0.000,45
70000,2862,1.374,0.028,12.23,397471,383645,1673,1,12212,1640,1606824.9,97.2,0.781,0.024,0.029,0.086,0.080,295,9.46,8.54,0.47,3.14,0.07,1.03,0.32,1.92,8.60,7.16,0.00,0.11,0.006,0.053,502,0.141,0.715,0.002,0.001,0.282,388945,368752,18,0.256,0.071,0.071,1886011,0.045,0.182,0.001,163.12,172169,18,0.059,1.000,0.001,1597234,1.14,17.05,0.002,0.003,0.000,3,6,19,64,1405,25,0.19,0.0065,0.001,57
80000,2891,1.388,0.028,10.62,387336,372779,1549,9,12970,1791,1608330.1,129.9,0.743,0.029,0.034,0.098,0.095,295,9.42,8.99,0.59,3.07,0.02,0.33,0.09,0.89,8.73,7.83,0.00,0.06,0.001,0.026,476,0.166,0.711,0.002,0.000,0.286,377510,356470,12,0.318,0.006,0.020,1661386,0.065,0.180,0.000,163.22,167510,81,0.073,0.444,0.000,1787196,1.16,17.04,0.003,0.006,0.001,3,6,19,64,1473,23,0.10,0.0064,0.003,76
90000,2875,1.361,0.022,10.16,398031,381769,1551,2,14725,670,1622037.9,71.6,0.743,0.033,0.034,0.093,0.096,381,9.21,9.36,0.68,2.98,0.01,0.11,0.10,1.44,8.43,7.93,0.00,0.00,0.001,0.030,443,0.126,0.742,0.001,0.000,0.257,387948,369318,12,0.287,0.004,0.013,795458,0.047,0.140,0.000,163.25,154174,8,0.107,1.000,0.000,1857170,1.20,17.72,0.004,0.002,0.000,4,6,16,64,1405,26,0.07,0.0067,0.003,60
100000,2798,1.391,0.023,10.15,390656,374235,1472,7,15019,1154,1613421.0,82.3,0.722,0.042,0.042,0.094,0.099,381,9.86,10.41,0.44,3.20,0.20,1.66,0.27,2.20,8.96,8.95,0.00,0.09,0.006,0.050,484,0.109,0.714,0.001,0.000,0.285,380774,359751,9,0.306,0.090,0.046,701755,0.053,0.142,0.000,163.25,143819,453,0.071,0.286,0.000,2186246,1.13,17.23,0.009,0.001,0.002,3,6,19,64,1384,24,0.07,0.0064,0.005,65
