step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place
100000,4,4,0,0,0,4,0,1.00,22,0.000,2581,1.13,156.25,0.00,146,8,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2579,2.29,209.50,0.00,101,8,8
100000,5,7,0,0,0,5,0,1.00,20,0.000,2574,2.33,170.79,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2569,1.78,246.44,0.00,147,8,8
100000,9,9,0,0,0,9,0,1.00,14,0.000,2568,2.60,211.89,0.00,147,8,8
100000,57,63,41,13,0,3,4,9.28,0,0.228,2568,5.98,252.01,515.02,191,1,1
100000,4,5,0,0,0,4,0,1.00,24,0.000,2554,2.34,152.56,0.00,204,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2552,2.46,182.62,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2541,0.38,180.36,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2538,2.21,200.52,0.00,101,8,8
100000,9,9,1,0,0,8,0,1.33,14,0.000,2537,1.71,178.39,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2528,1.59,196.66,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2522,2.39,233.91,0.00,101,8,8
100000,7,7,0,0,0,7,0,1.00,16,0.000,2515,2.68,209.50,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2515,1.62,191.13,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2513,1.58,159.86,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2509,1.75,154.79,0.00,146,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2508,2.34,121.00,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2508,1.77,148.29,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2492,0.23,140.24,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2492,1.42,148.53,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2486,1.81,203.13,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2482,1.67,148.42,0.00,101,8,8
100000,3,5,0,0,0,3,0,1.00,24,0.000,2477,1.40,184.26,0.00,60,1,1
100000,4,4,0,0,0,4,0,1.00,22,0.000,2475,2.24,195.21,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2473,1.79,156.31,0.00,204,8,8
100000,13,13,0,0,0,13,0,1.00,10,0.000,2470,2.36,203.85,0.00,101,8,8
