step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place
100000,3,3,0,0,0,3,0,1.00,24,0.000,2999,1.83,177.76,0.00,757,8,8
100000,8,8,0,0,0,8,0,1.00,18,0.000,2998,1.69,252.15,0.00,116,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2995,2.37,191.72,0.00,1,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2990,2.00,217.08,0.00,443,8,8
100000,5,6,0,0,0,5,0,1.00,22,0.000,2981,0.87,190.02,0.00,488,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2979,1.24,167.91,0.00,958,8,8
100000,4,4,0,1,0,3,0,1.00,20,0.250,2978,1.54,174.85,0.00,1,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2972,1.29,174.44,0.00,224,8,8
100000,7,7,0,0,1,6,0,1.00,16,0.000,2972,2.36,207.03,0.00,392,8,8
100000,19,19,0,0,2,17,0,1.00,6,0.000,2971,2.33,282.32,0.00,560,8,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2965,2.16,180.49,0.00,392,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2965,1.74,224.34,0.00,443,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2963,1.45,163.25,0.00,1006,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2962,0.95,160.47,0.00,1,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2956,1.23,127.26,0.00,941,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2953,1.44,199.71,0.00,733,8,8
100000,2,2,0,0,0,2,0,1.00,26,0.000,2947,1.71,117.88,0.00,443,8,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2937,2.65,171.15,0.00,941,8,8
100000,6,6,0,0,1,5,0,1.00,18,0.000,2933,2.31,206.73,0.00,983,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2929,1.58,241.57,0.00,983,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2920,2.13,212.69,0.00,968,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2915,1.97,212.35,0.00,560,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2914,2.35,193.87,0.00,623,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2909,1.84,165.27,0.00,757,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2905,1.89,133.41,0.00,224,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2901,1.70,171.95,0.00,560,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2897,1.80,168.22,0.00,560,8,8
100000,2,2,0,0,0,2,0,1.00,26,0.000,2896,2.13,114.43,0.00,443,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2895,1.24,177.86,0.00,1,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2895,1.76,168.82,0.00,443,8,8
100000,9,9,0,0,0,9,0,1.00,16,0.000,2883,2.51,272.90,0.00,1,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2881,1.21,134.73,0.00,733,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2877,1.68,163.60,0.00,412,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2876,2.07,153.77,0.00,757,8,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2875,1.27,211.58,0.00,623,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2864,2.03,171.07,0.00,757,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2854,2.27,162.04,0.00,1,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2850,2.02,134.99,0.00,560,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2845,2.15,217.37,0.00,1,8,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2839,1.35,174.23,0.00,941,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2837,2.09,163.63,0.00,443,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2835,1.20,227.32,0.00,1,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2829,1.79,151.22,0.00,1,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2826,1.12,148.78,0.00,757,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2824,1.44,216.72,0.00,443,8,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2823,2.51,259.50,0.00,757,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2823,2.53,201.80,0.00,1,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2822,1.23,142.19,0.00,224,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2814,1.64,167.10,0.00,560,8,8
100000,15,15,0,4,0,11,0,1.00,10,0.267,2813,1.98,261.40,0.00,1,8,8
100000,18,19,0,0,0,18,0,1.00,8,0.000,2812,3.78,532.68,0.00,982,8,1
100000,10,10,0,0,0,10,0,1.00,16,0.000,2807,0.02,215.21,0.00,1,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2805,1.48,217.79,0.00,757,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2802,1.35,182.69,0.00,757,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2801,1.21,136.81,0.00,733,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2801,1.66,161.23,0.00,1,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2798,1.28,163.88,0.00,1006,8,8
100000,10,10,0,0,0,10,0,1.00,12,0.000,2791,2.64,243.81,0.00,757,8,8
100000,7,7,0,0,1,6,0,1.00,16,0.000,2784,2.64,185.50,0.00,392,8,8
100000,7,7,0,0,0,7,0,1.00,20,0.000,2778,1.43,223.44,0.00,560,8,8
100000,5,5,0,0,1,4,0,1.00,20,0.000,2775,1.90,185.00,0.00,1,8,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2772,1.15,294.35,0.00,759,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2771,2.07,176.51,0.00,443,8,8
100000,12,12,0,0,0,12,0,1.00,16,0.000,2769,2.96,233.42,0.00,443,8,8
100000,8,8,0,0,0,8,0,1.00,18,0.000,2764,2.22,240.79,0.00,560,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2764,1.76,246.42,0.00,1,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2762,1.77,190.33,0.00,443,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2759,1.46,194.35,0.00,623,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2759,1.27,232.79,0.00,1,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2758,2.02,170.78,0.00,968,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2751,1.40,195.52,0.00,443,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2749,2.21,217.64,0.00,443,8,8
100000,4,5,0,0,0,4,0,1.00,22,0.000,2749,2.24,222.09,0.00,560,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2746,2.04,162.26,0.00,955,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2746,1.27,157.67,0.00,960,8,1
100000,7,7,0,0,0,7,0,1.00,18,0.000,2743,2.25,192.23,0.00,412,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2741,1.76,247.32,0.00,443,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2738,1.91,223.16,0.00,560,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2735,1.94,228.03,0.00,560,8,8
100000,7,7,0,0,0,7,0,1.00,20,0.000,2735,2.13,220.52,0.00,443,8,8
100000,8,8,0,0,2,6,0,1.00,16,0.000,2735,2.21,254.48,0.00,983,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2727,1.92,152.32,0.00,224,8,8
100000,2,2,0,0,0,2,0,1.00,26,0.000,2724,2.11,107.06,0.00,443,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2723,2.06,150.99,0.00,1,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2720,1.94,201.83,0.00,1,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2713,1.77,159.63,0.00,733,8,8
100000,7,7,0,0,1,6,0,1.00,16,0.000,2709,2.42,176.96,0.00,392,8,8
100000,6,6,0,0,0,6,0,1.00,18,0.000,2705,1.48,256.06,0.00,757,8,8
100000,10,10,0,0,0,10,0,1.00,12,0.000,2705,2.81,206.62,0.00,757,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2705,1.72,219.23,0.00,983,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2701,1.32,125.24,0.00,224,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2698,2.35,184.28,0.00,224,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2696,1.52,158.57,0.00,443,8,8
100000,2,2,0,0,0,2,0,1.00,26,0.000,2693,1.60,106.58,0.00,443,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2689,1.45,210.63,0.00,443,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2688,1.76,158.23,0.00,443,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2687,2.13,204.72,0.00,443,8,8
100000,8,8,0,0,0,8,0,1.00,18,0.000,2686,1.55,224.71,0.00,1,8,8
100000,8,8,0,0,0,8,0,1.00,16,0.000,2683,2.42,169.63,0.00,392,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2679,1.82,189.30,0.00,968,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2675,1.75,197.40,0.00,1,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2672,0.71,116.78,0.00,224,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2672,1.65,153.02,0.00,560,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2664,1.40,148.04,0.00,1,8,8
100000,7,7,0,0,0,7,0,1.00,20,0.000,2658,1.29,194.41,0.00,443,8,8
100000,8,8,0,0,0,8,0,1.00,18,0.000,2657,2.45,166.25,0.00,1,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2650,1.15,160.60,0.00,1,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2649,1.38,126.95,0.00,443,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2647,1.87,151.45,0.00,757,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2645,1.26,193.26,0.00,443,8,8
100000,2,2,0,0,0,2,0,1.00,26,0.000,2645,1.89,102.26,0.00,1,8,8
100000,3,5,0,0,0,3,0,1.00,24,0.000,2642,0.60,194.09,0.00,729,0,8
100000,4,7,0,0,0,4,0,1.00,20,0.000,2638,1.92,185.77,0.00,759,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2636,2.38,174.22,0.00,983,8,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2634,2.46,212.41,0.00,1011,8,8
