step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone
5000,1,638,8.1,0.0,0.0,0.1,8.0,0.0,1.00,19.7,160,520,43.22,0.00,636,0,2
5000,3,325,7.8,0.1,0.4,0.3,7.0,0.0,1.03,19.7,105,565,44.96,0.00,325,0,0
5000,4,212,62.7,0.2,2.3,5.9,54.3,0.0,1.04,0.0,66,52,28.87,0.00,1,201,10
6000,1,713,7.9,0.0,0.0,0.0,7.8,0.0,1.00,20.0,188,609,53.51,0.00,706,0,7
6000,9,430,8.8,0.2,0.3,0.1,8.1,0.0,1.07,17.5,91,423,31.97,0.00,391,13,26
6000,3,340,8.4,0.1,0.5,0.3,7.4,0.0,1.05,19.4,111,700,62.49,0.00,340,0,0
6000,10,321,29.5,1.6,0.1,1.0,26.8,0.0,1.43,7.7,140,77,25.65,0.00,1,312,8
6000,4,230,58.9,0.2,1.0,2.4,55.4,0.0,1.02,0.3,50,63,25.91,0.00,3,211,16
7000,1,625,8.3,0.0,0.1,0.1,8.0,0.0,1.00,19.9,163,640,58.32,0.00,624,0,1
7000,9,503,8.6,0.2,0.1,0.0,8.3,0.0,1.07,17.4,103,392,30.89,0.00,477,4,22
7000,10,390,27.2,2.6,0.6,0.9,23.2,0.0,1.65,9.9,177,70,20.97,0.00,0,383,7
7000,3,344,8.6,0.1,0.3,0.3,7.8,0.0,1.03,19.7,106,592,54.53,0.00,344,0,0
7000,4,228,57.1,0.4,0.7,4.9,51.0,0.0,1.07,0.9,55,58,33.18,0.02,0,223,5
7000,12,12,6.8,0.0,0.0,0.0,6.8,0.0,1.00,19.7,3,608,41.76,0.00,12,0,0
8000,1,592,8.0,0.0,0.1,0.1,7.8,0.0,1.00,20.0,166,579,55.73,0.00,591,0,1
8000,9,506,8.0,0.1,0.0,0.0,7.8,0.0,1.05,17.8,93,355,26.64,0.00,467,3,36
8000,10,432,25.1,3.3,0.0,0.3,21.4,0.0,1.91,10.3,220,73,19.04,0.00,0,417,15
8000,3,307,8.9,0.0,0.5,0.3,8.0,0.0,1.00,19.5,97,627,58.19,0.00,307,0,0
8000,4,227,56.6,0.6,0.4,4.5,51.1,0.0,1.12,0.2,66,86,55.66,0.01,3,209,15
8000,12,5,7.2,0.0,0.0,0.0,7.2,0.0,1.00,20.0,2,352,22.68,0.00,4,0,1
9000,9,630,8.7,0.2,0.1,0.0,8.4,0.0,1.08,17.1,131,409,32.00,0.00,595,1,34
