step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
10000,8610,1.621,0.024,8.32,1080729,1046002,844,6858,24563,4181776,5190385.5,281163.7,0.492,0.159,0.159,0.094,0.097,146,15.81,17.41,1.97,7.21,0.80,3.46,0.32,2.02,12.72,14.23,0.20,0.82,0.022,0.094,2539,0.029,0.733,0.073,0.015,0.179,1026490,906833,9,0.456,0.133,0.084,8973703,0.067,0.153,0.000,646.97,385628,128,0.067,0.507,0.046,96455326,1.51,15.05,0.041,0.278,0.067,4,8,48,64,4380,64,6.79,0.0047,0.002,319
20000,9149,1.568,0.021,8.58,1113333,1059425,3882,15428,34059,7115716,4531766.5,491267.8,0.607,0.123,0.122,0.069,0.079,128,13.44,15.71,2.04,7.67,0.51,2.76,0.22,1.83,10.68,12.30,0.14,0.69,0.015,0.074,2240,0.029,0.728,0.067,0.005,0.200,1075574,984929,17,0.448,0.328,0.043,5627482,0.054,0.119,0.000,642.35,407566,89,0.069,0.579,0.025,162457163,1.54,16.21,0.030,0.232,0.044,3,7,40,64,4588,69,11.40,0.0046,0.003,302
30000,8132,1.730,0.022,8.51,1023565,966641,4060,22465,31416,7591169,4496381.0,554993.9,0.583,0.126,0.125,0.078,0.087,140,16.36,17.76,4.71,10.79,0.86,3.00,0.25,2.07,10.54,10.96,0.31,0.99,0.024,0.079,2500,0.032,0.708,0.129,0.005,0.158,984171,893997,25,0.505,0.162,0.042,3680694,0.077,0.135,0.000,639.39,371112,191,0.073,0.513,0.052,207796544,2.21,14.79,0.056,0.273,0.097,4,8,48,64,4330,55,14.37,0.0052,0.009,280
40000,8303,1.697,0.020,7.65,954217,886815,3081,35569,28581,8842602,4609536.5,687540.4,0.549,0.126,0.121,0.097,0.108,153,16.63,17.61,3.94,10.59,0.76,3.28,0.32,2.33,11.61,12.19,0.23,0.91,0.022,0.082,2708,0.035,0.747,0.098,0.007,0.148,913525,803656,22,0.663,0.130,0.059,3816830,0.112,0.108,0.000,635.63,337423,170,0.078,0.489,0.045,180925386,2.05,14.51,0.057,0.355,0.066,3,9,48,64,4374,60,18.13,0.0048,0.007,268
50000,7527,1.806,0.026,8.05,923868,861576,2059,41270,19739,9474219,4875524.5,785900.9,0.508,0.118,0.108,0.122,0.144,151,19.00,19.33,5.48,11.92,1.23,4.15,0.33,2.13,11.96,11.85,0.36,1.11,0.028,0.090,3056,0.031,0.701,0.149,0.010,0.140,878296,744602,21,0.442,0.201,0.072,4591706,0.133,0.149,0.000,646.14,320504,133,0.083,0.384,0.064,137236324,2.38,13.52,0.067,0.420,0.107,4,10,56,64,3921,56,7.62,0.0054,0.006,301
60000,7927,1.780,0.021,8.02,882362,834852,2222,26259,18629,8083587,4936967.0,665963.4,0.499,0.088,0.085,0.148,0.179,170,18.48,19.55,5.79,12.47,0.83,3.47,0.18,1.30,11.68,11.22,0.23,0.90,0.019,0.080,2661,0.030,0.709,0.120,0.015,0.157,836929,715247,19,0.444,0.162,0.046,5416438,0.112,0.085,0.000,647.57,305447,129,0.082,0.336,0.049,122418563,2.50,13.77,0.084,0.306,0.070,4,8,58,64,4141,59,6.18,0.0053,0.021,258
70000,6844,1.849,0.024,8.39,815550,775186,1504,27226,12717,9257257,5048062.5,792006.5,0.450,0.095,0.094,0.170,0.192,185,21.59,21.53,5.93,13.53,1.27,4.46,0.39,3.21,14.00,14.63,0.31,1.03,0.027,0.093,3137,0.053,0.763,0.121,0.005,0.111,774274,652598,18,0.429,0.260,0.053,3980711,0.134,0.117,0.000,645.71,286453,149,0.086,0.396,0.063,117406175,2.51,12.71,0.116,0.590,0.096,3,12,64,64,3579,55,8.04,0.0053,0.019,324
80000,7558,1.729,0.018,8.66,822814,788457,473,20165,13005,9516965,4924976.0,777175.5,0.368,0.122,0.112,0.194,0.203,178,18.53,20.34,3.47,10.65,0.55,2.68,0.33,2.66,14.17,15.87,0.16,0.74,0.014,0.064,2439,0.067,0.809,0.063,0.001,0.127,782315,639131,15,0.345,0.116,0.052,3361833,0.096,0.105,0.000,643.18,288421,229,0.082,0.295,0.029,147558611,1.91,13.27,0.110,0.399,0.047,4,9,64,64,3968,54,10.57,0.0046,0.014,318
90000,7781,1.701,0.020,8.88,883731,855256,898,11832,15522,7497339,4928678.0,559667.6,0.353,0.139,0.129,0.191,0.188,170,17.82,19.96,3.75,11.10,0.87,3.40,0.25,2.28,12.95,14.57,0.27,0.96,0.019,0.076,2659,0.059,0.781,0.091,0.008,0.120,845205,700545,19,0.321,0.227,0.040,3007105,0.087,0.087,0.000,648.32,311775,250,0.075,0.370,0.041,135022997,1.98,13.83,0.093,0.441,0.081,3,9,61,64,3960,51,5.43,0.0049,0.013,324
100000,7981,1.716,0.020,8.75,926040,895702,1025,11111,18002,8072007,4919315.5,611386.4,0.361,0.146,0.139,0.178,0.176,139,17.24,18.87,4.10,11.55,0.77,3.43,0.15,1.74,12.22,12.84,0.21,0.85,0.018,0.081,2604,0.046,0.764,0.093,0.004,0.139,889175,739375,23,0.334,0.141,0.020,1985545,0.093,0.094,0.000,649.99,327984,207,0.076,0.348,0.039,157812593,2.09,14.06,0.074,0.338,0.065,4,8,57,64,4064,55,3.76,0.0050,0.016,261
110000,7325,1.824,0.024,7.80,985545,948673,2486,12586,22456,7025356,4793340.0,543336.1,0.476,0.126,0.118,0.140,0.141,159,20.17,20.55,4.95,11.68,1.38,4.51,0.14,1.50,13.69,13.20,0.35,1.09,0.031,0.102,2844,0.039,0.694,0.125,0.009,0.172,951863,834087,26,0.476,0.110,0.019,1735836,0.095,0.130,0.000,649.70,325172,290,0.077,0.247,0.050,123097195,2.20,12.91,0.100,0.407,0.104,3,10,63,64,3633,85,4.06,0.0048,0.009,272
120000,7310,1.808,0.020,8.15,935976,893658,1285,24550,16498,8358571,4963942.5,740547.4,0.451,0.125,0.111,0.154,0.159,165,19.75,19.58,5.20,12.50,0.90,3.51,0.27,2.12,13.39,12.39,0.28,1.00,0.020,0.076,3090,0.051,0.740,0.111,0.013,0.136,896495,767476,20,0.450,0.140,0.035,1837508,0.122,0.124,0.000,648.39,302049,224,0.089,0.231,0.055,137944191,2.30,13.07,0.087,0.532,0.084,4,12,60,64,3473,80,5.36,0.0051,0.005,310
130000,7281,1.800,0.021,8.97,876185,835368,1210,23553,16083,9931145,5046669.5,825608.2,0.420,0.138,0.121,0.156,0.166,164,20.14,21.69,5.81,13.88,0.97,3.69,0.16,1.63,13.19,13.86,0.28,1.00,0.020,0.078,2248,0.070,0.765,0.099,0.007,0.129,841438,705763,27,0.393,0.163,0.024,1985828,0.123,0.126,0.000,646.61,295237,170,0.083,0.277,0.043,130377885,2.52,13.60,0.124,0.387,0.084,4,8,64,64,3495,61,7.15,0.0053,0.008,272
140000,7572,1.777,0.025,8.25,861039,820990,1594,21959,16205,10431865,4958640.0,846236.2,0.412,0.140,0.123,0.158,0.166,163,18.74,20.19,5.93,13.23,1.08,3.63,0.24,2.29,11.48,11.08,0.33,1.04,0.023,0.078,2598,0.039,0.730,0.133,0.009,0.128,828039,701299,35,0.431,0.088,0.030,2180935,0.162,0.122,0.000,646.67,293481,172,0.081,0.286,0.054,150074922,2.51,13.75,0.096,0.425,0.102,3,8,62,64,3722,76,7.09,0.0057,0.006,336
150000,6811,1.909,0.028,8.22,877346,838618,1640,21537,16312,10851467,4885019.5,868718.3,0.411,0.151,0.127,0.153,0.158,152,21.74,21.94,7.07,14.82,1.45,4.12,0.22,1.81,13.00,13.67,0.39,1.08,0.032,0.089,2683,0.036,0.720,0.171,0.006,0.104,838443,712414,28,0.492,0.164,0.035,1867928,0.101,0.145,0.000,647.77,297941,211,0.080,0.215,0.080,146801468,2.83,12.70,0.126,0.481,0.128,3,9,64,64,3397,51,5.99,0.0055,0.009,282
160000,7493,1.772,0.024,7.36,832991,798538,1485,20211,12075,13191687,4927889.5,1043694.6,0.428,0.158,0.135,0.133,0.146,170,19.06,20.72,5.65,13.84,1.22,3.98,0.14,1.54,12.04,12.78,0.36,1.10,0.024,0.080,2516,0.092,0.760,0.124,0.004,0.112,791711,667943,18,0.493,0.283,0.019,1697806,0.120,0.102,0.000,647.27,274696,242,0.079,0.193,0.065,167322516,2.56,14.18,0.120,0.596,0.103,3,9,64,64,3582,73,6.48,0.0055,0.003,237
170000,7296,1.788,0.023,7.40,847708,804297,1447,29560,12601,14368067,4898275.0,1137686.1,0.430,0.166,0.146,0.125,0.133,181,18.41,20.73,5.71,14.01,1.40,4.26,0.13,1.52,11.17,11.74,0.42,1.18,0.028,0.086,2448,0.115,0.758,0.139,0.004,0.099,806136,684489,21,0.622,0.088,0.019,1443370,0.099,0.109,0.000,645.12,265712,220,0.079,0.194,0.075,181287411,2.53,14.65,0.120,0.635,0.123,3,8,64,64,3578,72,8.63,0.0060,0.023,263
