step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
10000,2076,1.624,0.025,10.75,258356,249487,16,2722,5584,2699857,1707412.1,182245.0,0.380,0.138,0.134,0.156,0.192,507,15.73,14.56,3.31,8.18,0.93,2.87,0.14,1.45,11.34,9.77,0.41,1.09,0.025,0.068,982,0.027,0.730,0.174,0.018,0.078,241309,202356,6,0.318,0.448,0.020,689704,0.110,0.081,0.000,161.14,103415,219,0.068,0.321,0.092,72840633,1.76,14.10,0.010,0.670,0.136,4,10,39,64,1006,67,2.29,0.0073,0.017,109
20000,2168,1.649,0.020,10.79,244836,235598,397,1528,7221,3975858,1617093.2,239423.3,0.421,0.122,0.134,0.146,0.177,487,14.73,15.51,3.50,10.37,0.77,2.93,0.03,0.63,10.42,10.61,0.26,0.90,0.020,0.076,740,0.043,0.735,0.129,0.008,0.128,231720,197381,12,0.542,0.110,0.006,310037,0.047,0.092,0.000,161.78,93449,178,0.060,0.370,0.072,94767566,1.88,15.33,0.018,0.329,0.083,4,9,44,64,1149,65,1.66,0.0072,0.001,83
30000,2374,1.561,0.021,10.72,279897,266670,1295,365,11361,4137884,1617598.0,237397.5,0.595,0.064,0.076,0.117,0.148,484,13.10,14.59,3.08,9.71,0.73,2.98,0.03,0.58,9.25,9.14,0.22,0.85,0.020,0.078,741,0.042,0.749,0.108,0.006,0.137,267500,248113,16,0.305,0.051,0.008,273428,0.039,0.077,0.000,162.69,94627,170,0.057,0.468,0.058,64677746,1.72,16.39,0.011,0.306,0.071,4,7,34,64,1221,63,0.75,0.0074,0.000,65
40000,2454,1.500,0.019,10.32,299762,282772,1251,877,14782,3572351,1610910.6,224066.5,0.607,0.061,0.068,0.119,0.144,461,11.45,13.35,2.47,9.22,0.63,2.78,0.05,0.90,8.31,7.97,0.18,0.79,0.015,0.071,773,0.071,0.781,0.093,0.006,0.121,288776,270628,12,0.264,0.035,0.006,342660,0.033,0.090,0.000,162.52,92572,152,0.063,0.593,0.055,88079537,1.61,17.50,0.010,0.348,0.051,4,7,25,64,1208,68,0.92,0.0079,0.004,88
50000,2610,1.495,0.017,9.59,302739,286452,1186,1239,13706,3529594,1599196.5,228622.1,0.613,0.061,0.070,0.118,0.138,474,10.71,11.93,2.12,8.50,0.55,2.94,0.14,1.22,7.89,6.22,0.15,0.73,0.012,0.066,835,0.044,0.777,0.071,0.003,0.149,291418,270686,11,0.345,0.202,0.025,310803,0.037,0.062,0.000,162.66,91223,257,0.065,0.394,0.037,87241785,1.48,17.61,0.007,0.459,0.041,3,7,19,64,1214,78,0.78,0.0078,0.028,42
60000,2554,1.478,0.019,8.69,313656,299415,1308,1619,11370,3144685,1609436.6,208314.9,0.642,0.058,0.065,0.109,0.126,540,11.31,12.23,1.99,8.07,0.83,3.57,0.05,1.09,8.44,6.67,0.16,0.76,0.024,0.101,884,0.047,0.727,0.076,0.011,0.187,302302,283799,14,0.445,0.030,0.007,250240,0.039,0.064,0.000,162.72,86016,193,0.066,0.555,0.046,80686762,1.45,17.13,0.011,0.426,0.043,4,8,22,64,1175,67,0.71,0.0075,0.023,60
70000,2688,1.415,0.016,8.76,335778,320759,1245,1704,11936,2636796,1623325.0,174879.7,0.648,0.060,0.068,0.106,0.118,574,10.31,12.09,1.82,7.98,0.51,2.54,0.03,1.09,7.96,7.05,0.14,0.72,0.012,0.063,695,0.085,0.769,0.053,0.005,0.173,324347,302513,12,0.431,0.104,0.003,192408,0.041,0.064,0.000,163.05,86896,176,0.066,0.576,0.040,62883970,1.39,18.11,0.012,0.441,0.041,4,7,16,64,1217,79,0.39,0.0076,0.017,63
80000,2605,1.476,0.019,9.28,328794,313278,1285,1812,12502,2987393,1608537.8,191039.9,0.607,0.069,0.083,0.114,0.128,507,10.53,12.55,1.98,8.30,0.64,3.05,0.04,0.65,7.88,7.19,0.17,0.78,0.017,0.089,786,0.100,0.797,0.052,0.006,0.145,316053,295887,12,0.412,0.063,0.007,121261,0.047,0.077,0.000,162.90,93493,222,0.064,0.468,0.045,110775301,1.42,18.19,0.007,0.460,0.045,3,6,21,64,1225,88,0.54,0.0078,0.020,60
90000,2730,1.448,0.015,9.31,337320,320954,1255,1405,13581,2724660,1617625.5,185307.4,0.590,0.076,0.087,0.117,0.129,486,9.99,11.96,1.80,7.96,0.55,2.58,0.03,0.50,7.60,6.70,0.15,0.74,0.013,0.060,802,0.096,0.759,0.058,0.012,0.171,324283,303156,11,0.448,0.099,0.009,179313,0.043,0.057,0.000,162.98,99746,222,0.068,0.436,0.047,129493855,1.41,18.29,0.004,0.386,0.048,3,6,18,64,1277,77,0.46,0.0078,0.007,66
100000,2725,1.451,0.014,9.70,336271,319542,1678,1007,14049,2511639,1595958.0,172619.4,0.612,0.086,0.095,0.100,0.107,471,9.83,11.58,1.51,7.14,0.74,3.28,0.03,0.59,7.54,6.19,0.13,0.69,0.018,0.083,672,0.054,0.808,0.045,0.003,0.143,323573,304836,13,0.392,0.013,0.006,182724,0.040,0.054,0.000,162.97,94842,273,0.069,0.445,0.031,141692198,1.31,18.47,0.002,0.323,0.035,3,6,20,64,1316,79,0.47,0.0078,0.003,98
110000,2774,1.417,0.016,8.73,350643,332654,1815,695,15430,1825839,1592188.2,124726.9,0.588,0.090,0.099,0.107,0.116,432,9.18,10.70,1.43,7.29,0.38,2.22,0.06,1.25,7.31,5.86,0.10,0.62,0.009,0.061,596,0.093,0.769,0.034,0.003,0.194,338081,318988,11,0.461,0.013,0.006,165079,0.043,0.059,0.000,162.94,106927,361,0.068,0.491,0.026,183615946,1.31,18.79,0.007,0.269,0.027,3,6,16,64,1283,67,0.50,0.0078,0.007,58
120000,2758,1.395,0.015,9.20,346056,328452,1617,795,15208,1953195,1601813.0,130940.9,0.586,0.085,0.094,0.114,0.121,446,9.05,10.68,1.28,6.70,0.54,3.59,0.08,1.36,7.14,5.60,0.10,0.63,0.012,0.074,571,0.074,0.806,0.028,0.006,0.161,333125,313233,11,0.416,0.029,0.007,244551,0.030,0.073,0.000,162.90,106200,448,0.067,0.351,0.027,166793814,1.27,18.95,0.003,0.293,0.027,3,6,14,64,1262,65,0.54,0.0081,0.002,85
130000,2893,1.357,0.013,8.15,351484,332957,1573,1127,15692,1836628,1617779.6,127371.8,0.595,0.086,0.093,0.110,0.116,469,9.14,10.26,1.37,6.64,0.38,2.47,0.05,0.58,7.34,5.52,0.09,0.57,0.012,0.075,548,0.130,0.732,0.035,0.011,0.222,338685,318034,14,0.510,0.043,0.020,221430,0.027,0.058,0.000,162.72,98692,294,0.069,0.458,0.029,148593880,1.26,18.64,0.006,0.261,0.025,4,6,13,64,1285,78,0.72,0.0076,0.000,65
140000,2864,1.400,0.014,8.45,344000,326335,1348,835,15511,1994244,1623614.1,141124.1,0.598,0.075,0.081,0.121,0.126,473,8.31,9.49,1.14,6.10,0.43,2.54,0.05,0.98,6.68,5.24,0.09,0.61,0.012,0.071,608,0.092,0.802,0.044,0.002,0.152,332716,311323,13,0.456,0.031,0.005,347625,0.022,0.063,0.000,162.81,93154,261,0.071,0.549,0.028,137908977,1.27,19.37,0.003,0.367,0.026,3,6,13,64,1237,90,0.63,0.0085,0.005,62
150000,2830,1.405,0.015,8.50,345624,328155,1453,1396,14654,2210969,1622181.9,150352.1,0.618,0.068,0.074,0.116,0.124,501,9.18,10.57,1.30,6.39,0.52,3.09,0.06,1.29,7.31,6.29,0.10,0.61,0.013,0.075,638,0.094,0.778,0.042,0.005,0.175,334051,312857,11,0.486,0.059,0.006,210943,0.030,0.061,0.000,162.80,92654,329,0.068,0.362,0.031,99248473,1.29,18.70,0.007,0.342,0.030,3,6,15,64,1259,87,0.64,0.0078,0.002,61
160000,2803,1.389,0.013,8.50,340038,322329,1582,820,15334,2107605,1629524.6,146177.9,0.630,0.069,0.073,0.110,0.119,518,9.11,10.76,1.42,6.35,0.55,3.34,0.05,0.86,7.10,6.27,0.11,0.64,0.013,0.074,587,0.127,0.772,0.055,0.002,0.172,328041,308683,12,0.459,0.071,0.005,202061,0.033,0.055,0.000,162.87,86996,237,0.069,0.622,0.034,115418573,1.32,18.76,0.006,0.304,0.030,4,6,16,64,1290,93,0.56,0.0082,0.001,78
