step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone
5000,3,1138,7.9,0.1,0.2,0.2,7.4,0.0,1.03,17.8,202,407,28.35,0.00,1117,4,17
5000,1,1065,8.2,0.1,0.2,0.4,7.6,0.0,1.03,19.2,156,297,23.74,0.00,1023,1,41
5000,2,649,8.0,0.0,0.1,0.1,7.8,0.0,1.01,19.3,121,270,18.57,0.00,619,2,28
5000,4,583,7.7,0.4,0.0,0.0,7.2,0.0,1.16,16.9,115,279,18.27,0.01,544,3,36
5000,7,226,55.5,2.3,4.8,0.4,47.9,0.4,1.51,1.3,88,58,26.46,0.02,2,219,5
5000,8,193,63.9,0.2,1.2,3.8,58.8,0.0,1.00,0.0,45,70,52.85,0.00,0,186,7
5000,11,14,38.1,19.1,4.9,0.0,14.0,2.7,6.63,2.9,14,91,13.91,12.48,0,14,0
6000,1,4604,15.7,1.1,0.6,0.4,13.6,0.1,1.28,14.4,1266,236,25.17,0.29,2855,1545,204
6000,3,1273,8.4,0.1,0.4,0.3,7.6,0.0,1.03,17.5,262,598,45.51,0.00,1251,8,14
6000,4,636,8.5,0.6,0.0,0.3,7.6,0.0,1.19,16.2,133,295,19.09,0.01,594,0,42
6000,2,314,7.9,0.1,0.1,0.0,7.8,0.0,1.03,19.2,63,296,20.34,0.00,294,3,17
6000,8,215,55.8,0.0,3.5,0.0,52.3,0.0,1.00,1.0,66,67,39.78,0.00,0,211,4
6000,7,159,61.6,8.0,8.4,0.0,45.1,0.9,2.79,0.0,87,82,55.43,0.10,0,156,3
7000,1,4534,18.9,0.8,1.1,0.4,16.6,0.1,1.23,13.4,1272,234,28.12,0.25,2422,1947,165
7000,3,1169,8.0,0.0,0.3,0.3,7.4,0.0,1.01,18.1,254,624,50.17,0.00,1163,2,4
7000,2,476,8.0,0.1,0.1,0.0,7.8,0.0,1.04,19.2,88,335,22.51,0.00,457,2,17
7000,4,465,8.2,0.3,0.1,0.2,7.7,0.0,1.12,16.2,115,311,19.97,0.00,439,0,26
7000,46,276,8.7,0.1,0.0,0.0,8.6,0.0,1.03,17.9,56,204,14.63,0.00,263,1,12
7000,8,141,40.0,0.0,3.7,0.0,36.3,0.0,1.00,1.1,60,79,30.08,0.00,0,139,2
7000,42,58,9.9,0.0,0.0,0.0,9.9,0.0,1.00,18.7,14,139,10.88,0.00,56,0,2
8000,1,3139,16.6,0.8,0.7,0.4,14.7,0.1,1.19,13.6,897,271,28.77,0.40,1653,1383,103
8000,3,1476,8.0,0.1,0.2,0.4,7.4,0.0,1.02,18.1,344,644,52.45,0.00,1467,1,8
8000,46,376,8.1,0.1,0.0,0.0,8.1,0.0,1.02,18.4,102,250,16.77,0.00,362,0,14
8000,4,349,9.5,0.5,0.1,0.3,8.7,0.0,1.14,14.6,118,192,13.89,0.00,332,0,17
8000,2,343,7.9,0.1,0.1,0.1,7.6,0.0,1.01,19.5,58,259,17.24,0.00,316,1,26
8000,8,122,30.4,0.1,1.0,0.0,29.3,0.0,1.01,3.6,77,104,33.80,0.00,0,113,9
8000,42,26,7.4,0.0,0.0,0.1,7.3,0.0,1.00,19.6,6,205,13.69,0.00,24,0,2
9000,1,4412,16.5,1.0,0.9,0.4,14.1,0.1,1.24,14.6,1186,296,29.01,0.75,2723,1518,171
9000,3,1643,7.4,0.0,0.2,0.2,7.0,0.0,1.02,18.9,379,566,43.77,0.00,1641,0,2
9000,4,528,8.7,0.3,0.0,0.5,7.9,0.0,1.10,16.1,128,284,18.87,0.00,476,12,40
9000,46,449,7.2,0.1,0.0,0.0,7.1,0.0,1.05,18.7,103,255,16.03,0.00,429,3,17
9000,2,196,7.4,0.1,0.0,0.0,7.2,0.0,1.04,19.9,66,280,18.62,0.00,178,0,18
9000,64,126,38.3,25.1,5.9,0.0,7.2,2.5,7.80,5.4,85,129,19.61,12.80,2,124,0
9000,8,87,46.5,0.0,0.1,1.1,45.3,0.0,1.00,3.2,60,132,40.96,0.00,0,85,2
10000,1,3922,18.8,2.1,1.1,0.4,15.2,0.2,1.52,13.5,1175,245,24.61,1.25,2095,1626,201
10000,3,1799,7.7,0.1,0.2,0.2,7.2,0.0,1.03,18.8,426,631,49.53,0.00,1792,1,6
10000,4,507,8.1,0.3,0.0,0.3,7.4,0.0,1.10,16.2,165,258,17.09,0.01,483,3,21
10000,46,378,5.8,0.2,0.0,0.0,5.6,0.0,1.06,20.5,101,282,16.76,0.00,361,4,13
10000,2,302,8.1,0.1,0.3,0.0,7.8,0.0,1.02,19.6,57,186,12.72,0.00,276,0,26
10000,8,229,38.2,0.3,0.4,1.1,36.2,0.0,1.11,3.4,164,74,34.18,0.07,0,223,6
10000,64,142,46.4,28.7,5.9,0.1,11.6,2.5,8.59,3.2,96,120,19.68,11.71,0,142,0
10000,69,115,33.3,18.7,4.9,0.1,9.6,2.0,5.80,7.4,96,112,13.56,14.31,0,110,5
10000,68,54,7.1,0.0,0.2,0.0,6.9,0.0,1.00,18.0,9,496,29.73,0.00,49,0,5
11000,1,4244,15.6,1.7,0.9,0.2,12.8,0.2,1.44,15.2,1090,337,31.80,0.95,2754,1321,169
11000,3,1861,7.9,0.0,0.2,0.2,7.5,0.0,1.02,18.5,360,720,57.46,0.00,1853,0,8
11000,4,346,7.6,0.2,0.0,0.4,7.0,0.0,1.08,16.6,87,222,14.62,0.00,332,0,14
11000,2,288,8.4,0.0,0.0,0.0,8.4,0.0,1.01,19.3,46,244,17.08,0.00,267,0,21
11000,46,222,6.0,0.1,0.0,0.0,5.8,0.0,1.05,19.1,55,367,22.12,0.00,216,0,6
11000,8,217,26.7,0.0,0.5,0.2,25.9,0.0,1.00,6.9,104,146,57.51,0.00,0,213,4
11000,69,35,49.1,28.9,6.1,0.0,14.1,2.7,8.70,3.1,26,263,54.00,22.17,0,35,0
11000,68,30,5.7,0.0,0.0,0.0,5.7,0.0,1.00,21.1,6,328,19.80,0.00,27,0,3
11000,80,13,7.2,0.0,0.0,0.0,7.2,0.0,1.00,19.5,7,559,40.75,0.00,13,0,0
11000,83,10,4.5,0.0,0.0,0.0,4.5,0.0,1.00,21.4,3,782,39.31,0.00,10,0,0
12000,1,3876,15.6,2.1,0.6,0.2,12.8,0.2,1.55,15.4,901,372,29.28,0.85,2677,1056,143
12000,3,2039,7.6,0.0,0.2,0.3,7.1,0.0,1.03,18.7,322,656,51.12,0.00,2026,4,9
12000,4,433,8.2,0.2,0.1,0.6,7.3,0.0,1.08,16.2,94,272,18.27,0.00,412,1,20
12000,8,331,22.5,0.0,0.6,0.8,21.2,0.0,1.00,8.1,148,85,24.19,0.00,0,326,5
12000,2,268,8.6,0.0,0.1,0.1,8.3,0.0,1.01,18.8,51,239,17.52,0.00,242,1,25
12000,46,197,5.9,0.1,0.0,0.0,5.8,0.0,1.03,19.1,46,467,28.99,0.00,190,0,7
12000,91,177,24.7,0.8,0.3,1.3,22.3,0.0,1.25,9.5,117,86,20.53,0.00,0,173,4
12000,97,121,10.0,0.0,0.0,0.3,9.7,0.0,1.00,17.9,35,465,35.18,0.00,119,0,2
12000,68,38,6.4,0.0,0.0,0.0,6.4,0.0,1.00,20.2,9,301,18.09,0.00,37,0,1
12000,69,22,39.5,25.8,3.2,0.0,10.6,2.5,7.75,5.4,14,359,78.46,19.76,0,22,0
12000,92,11,6.5,0.5,0.0,0.0,6.0,0.0,1.27,17.8,4,895,54.59,0.01,11,0,0
13000,1,3054,17.7,2.6,1.1,0.3,13.7,0.3,1.67,14.0,872,339,30.59,1.52,1769,1182,103
13000,3,1848,7.2,0.1,0.2,0.2,6.8,0.0,1.05,19.1,281,738,58.04,0.00,1837,0,11
13000,8,654,21.1,0.0,0.9,0.3,19.9,0.0,1.01,8.0,279,97,24.45,0.00,0,634,20
13000,2,276,8.6,0.0,0.1,0.1,8.4,0.0,1.01,18.9,56,200,14.18,0.00,256,0,20
13000,4,237,8.1,0.1,0.1,0.5,7.4,0.0,1.02,16.2,45,260,16.37,0.00,226,0,11
13000,46,140,6.3,0.1,0.0,0.0,6.2,0.0,1.05,18.5,34,457,30.03,0.00,139,0,1
13000,91,104,30.2,0.0,0.4,0.4,29.4,0.0,1.01,8.1,68,60,14.80,0.00,0,97,7
13000,98,65,41.8,29.0,4.1,0.2,8.6,2.3,8.72,3.5,53,62,5.68,13.06,0,65,0
13000,97,60,10.1,0.0,0.0,0.0,10.1,0.0,1.00,18.2,17,866,68.06,0.00,59,0,1
13000,68,45,5.4,0.0,0.0,0.0,5.4,0.0,1.00,21.3,8,470,27.18,0.00,42,0,3
13000,92,26,7.2,0.4,0.1,0.0,6.8,0.0,1.18,17.8,10,510,29.49,0.01,26,0,0
13000,69,10,59.2,41.6,4.6,0.0,13.0,3.4,12.17,0.8,5,314,76.57,16.50,0,10,0
14000,1,3130,16.9,1.9,0.8,0.3,13.9,0.2,1.49,14.4,924,350,31.70,0.76,1883,1084,163
14000,3,1848,7.1,0.0,0.1,0.2,6.7,0.0,1.02,19.2,265,749,56.31,0.00,1845,0,3
14000,8,396,27.2,0.0,0.9,0.6,25.8,0.0,1.00,7.3,198,110,34.97,0.00,0,385,11
14000,2,190,7.2,0.0,0.0,0.0,7.2,0.0,1.02,20.3,26,225,14.52,0.00,180,0,10
14000,106,178,47.1,26.2,2.1,0.0,18.8,1.1,7.45,3.6,121,162,36.72,4.72,0,159,19
14000,4,156,10.4,0.1,0.0,1.8,8.5,0.0,1.03,14.7,33,150,11.26,0.00,140,2,14
14000,46,151,6.4,0.0,0.0,0.0,6.4,0.0,1.01,18.2,35,492,32.71,0.00,147,0,4
14000,68,70,5.8,0.0,0.0,0.0,5.8,0.0,1.00,21.0,12,388,22.61,0.00,70,0,0
14000,98,54,52.7,37.6,5.0,0.0,10.1,2.5,10.91,1.1,40,102,13.80,18.38,0,54,0
14000,97,47,11.7,0.0,0.0,0.0,11.7,0.0,1.00,16.9,17,691,57.59,0.00,47,0,0
14000,105,47,6.5,0.0,0.4,0.0,6.0,0.0,1.00,19.4,8,450,29.69,0.00,46,0,1
14000,92,31,9.5,1.2,0.0,0.0,8.3,0.0,1.48,14.9,15,502,31.20,0.03,31,0,0
14000,107,10,9.8,0.2,0.0,0.0,9.6,0.0,1.06,14.4,4,486,36.08,0.00,9,0,1
14000,69,5,51.2,35.2,3.6,0.0,12.4,2.4,10.35,3.2,2,446,96.36,9.32,0,5,0
15000,1,5165,14.4,1.4,0.7,0.2,12.1,0.1,1.39,16.0,1148,509,41.44,0.83,3996,1080,89
15000,8,298,26.9,0.2,0.9,0.9,24.9,0.0,1.04,8.1,153,124,29.40,0.00,0,295,3
15000,113,226,6.6,0.4,0.0,0.1,6.2,0.0,1.10,18.5,37,521,31.94,0.00,223,0,3
15000,114,215,42.9,25.8,4.6,1.0,11.6,2.6,7.08,2.4,133,219,44.43,8.98,0,204,11
15000,106,183,42.5,21.1,1.3,0.0,20.0,0.6,6.03,4.6,154,118,29.22,4.23,0,168,15
15000,4,162,10.5,0.2,0.0,1.4,8.9,0.0,1.06,14.6,43,152,11.66,0.00,151,0,11
15000,2,146,7.6,0.0,0.1,0.0,7.5,0.0,1.00,19.8,22,289,18.31,0.00,133,0,13
15000,46,81,7.4,0.0,0.0,0.0,7.4,0.0,1.00,18.1,26,600,39.10,0.00,77,1,3
15000,68,80,6.1,0.0,0.0,0.0,6.1,0.0,1.00,20.7,12,350,20.80,0.00,75,0,5
15000,94,73,5.8,0.3,0.4,0.0,5.2,0.0,1.11,21.0,17,545,33.12,0.00,73,0,0
15000,98,46,43.2,32.6,4.4,0.0,6.2,2.1,10.13,1.8,25,71,4.19,18.83,0,46,0
15000,92,39,8.4,0.6,0.1,0.4,7.3,0.1,1.26,17.2,13,546,35.66,0.01,39,0,0
15000,115,38,5.8,0.1,0.0,0.0,5.7,0.0,1.03,20.4,7,606,31.98,0.00,36,0,2
15000,97,34,9.5,0.0,0.0,0.0,9.5,0.0,1.00,18.4,10,684,54.41,0.00,34,0,0
15000,3,13,13.2,0.0,0.0,0.0,13.2,0.0,1.00,14.5,4,436,42.29,0.00,13,0,0
15000,80,10,9.0,0.0,0.0,0.0,9.0,0.0,1.00,19.4,2,234,17.14,0.00,10,0,0
16000,1,3725,17.6,2.7,0.8,0.2,13.9,0.2,1.74,14.4,1002,366,32.59,1.55,2338,1239,148
16000,8,574,20.3,0.0,1.5,0.2,18.6,0.0,1.01,10.5,253,93,20.34,0.00,0,546,28
16000,4,306,8.2,0.3,0.0,0.8,7.1,0.0,1.10,16.7,68,189,12.51,0.00,265,0,41
16000,113,218,6.2,0.2,0.0,0.0,6.0,0.0,1.06,18.4,41,376,21.96,0.00,214,0,4
16000,114,209,46.1,21.1,2.0,1.5,21.5,1.0,6.23,2.4,156,62,18.07,1.89,0,160,49
16000,2,191,7.9,0.0,0.1,0.0,7.8,0.0,1.00,19.7,31,210,14.57,0.00,172,0,19
16000,106,184,39.7,23.6,2.4,0.0,13.7,1.3,6.83,5.5,140,296,53.22,12.61,0,180,4
16000,94,78,5.6,0.3,0.0,0.0,5.2,0.0,1.11,21.2,22,681,44.39,0.00,78,0,0
16000,134,75,19.0,0.0,0.0,0.0,18.9,0.0,1.00,11.7,50,120,23.30,0.00,0,65,10
16000,92,61,7.5,0.5,0.0,0.0,7.0,0.0,1.21,17.4,18,494,33.06,0.01,61,0,0
16000,115,44,5.8,0.2,0.0,0.0,5.5,0.0,1.09,20.4,12,444,23.36,0.00,43,0,1
16000,97,43,8.9,0.0,0.0,0.0,8.9,0.0,1.00,18.5,13,658,51.35,0.00,41,0,2
16000,46,43,6.3,0.1,0.0,0.0,6.2,0.0,1.03,19.3,13,432,27.45,0.00,41,0,2
16000,68,39,5.5,0.0,0.0,0.0,5.5,0.0,1.00,21.4,7,469,28.57,0.00,36,0,3
16000,98,24,53.7,42.8,7.5,0.1,3.2,3.0,13.04,2.0,10,341,17.14,71.69,0,24,0
16000,3,19,14.0,0.0,0.4,0.0,13.6,0.0,1.00,14.3,12,514,54.22,0.00,19,0,0
17000,1,5378,14.4,2.6,0.7,0.2,11.0,0.2,1.67,15.7,1317,489,43.83,1.48,3839,1392,147
17000,8,458,16.9,0.0,0.4,0.0,16.5,0.0,1.00,12.1,170,93,16.38,0.00,0,444,14
17000,140,337,7.1,0.0,0.0,0.3,6.7,0.0,1.01,17.5,69,273,17.99,0.00,319,0,18
17000,113,278,6.4,0.3,0.0,0.0,6.1,0.0,1.09,18.3,45,390,23.78,0.00,263,1,14
17000,106,257,31.1,18.3,2.6,0.0,10.2,1.4,5.67,7.8,194,180,30.20,9.86,0,233,24
17000,2,167,7.6,0.0,0.0,0.0,7.5,0.0,1.01,19.8,45,251,16.03,0.00,159,0,8
17000,4,165,9.6,0.2,0.0,1.8,7.6,0.0,1.04,15.0,37,167,12.08,0.00,143,0,22
17000,94,78,6.9,1.0,0.2,0.0,5.8,0.1,1.31,19.4,26,890,63.28,0.00,78,0,0
17000,46,73,5.1,0.0,0.0,0.0,5.1,0.0,1.01,20.1,17,371,21.41,0.00,73,0,0
17000,98,56,45.3,31.6,6.2,0.0,7.5,3.0,8.68,3.3,39,192,18.78,38.91,0,56,0
17000,68,36,6.1,0.0,0.0,0.0,6.1,0.0,1.00,20.9,4,542,32.92,0.00,34,0,2
17000,143,33,6.5,0.0,0.0,1.9,4.6,0.0,1.00,20.9,14,735,55.77,0.00,33,0,0
17000,92,32,7.7,1.1,0.0,0.0,6.6,0.0,1.37,16.9,12,680,44.01,0.01,31,0,1
17000,134,26,12.3,0.5,0.0,0.0,11.8,0.0,1.09,15.7,13,94,14.77,0.00,0,24,2
17000,3,23,12.4,0.0,0.0,0.0,12.4,0.0,1.00,14.8,13,692,78.28,0.00,23,0,0
17000,97,20,8.9,0.0,1.4,0.4,7.2,0.0,1.00,19.1,8,849,62.89,0.00,16,0,4
17000,115,10,4.8,0.5,0.0,0.0,4.3,0.0,1.28,20.4,4,752,40.70,0.00,10,0,0
18000,1,2581,22.5,2.1,1.0,0.5,18.8,0.2,1.53,12.3,908,310,33.10,1.61,1323,1144,114
18000,8,469,18.5,0.0,0.5,0.2,17.8,0.0,1.00,11.4,187,126,20.84,0.00,0,451,18
18000,140,344,6.7,0.1,0.0,0.3,6.3,0.0,1.03,17.8,64,320,20.86,0.00,327,0,17
18000,2,257,8.3,0.0,0.1,0.0,8.2,0.0,1.00,18.9,58,236,16.14,0.00,235,0,22
18000,106,219,33.9,19.7,2.6,0.0,11.6,1.2,6.02,7.1,172,191,35.82,7.54,0,202,17
18000,113,218,6.0,0.2,0.0,0.0,5.8,0.0,1.09,18.8,36,498,30.29,0.00,213,0,5
18000,148,139,5.8,0.0,0.0,0.0,5.7,0.0,1.00,21.9,17,420,27.71,0.00,134,0,5
