step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
10000,8,1153,11.63,1.16,0.43,0.02,10.02,0.18,1.25,0.045,6,847703.8,20154.3,6,24
10000,1,814,21.69,6.53,1.70,0.32,13.13,0.76,2.53,0.274,67,810020.6,160129.8,5,12
10000,0,109,14.61,2.10,0.50,0.11,11.90,0.21,1.39,0.073,2,92703.1,1939.1,4,109
20000,8,1359,8.65,0.19,0.10,0.00,8.36,0.01,1.07,0.002,6,812273.8,6334.1,10,3
20000,1,726,26.30,9.96,2.10,0.08,14.16,0.75,3.46,0.244,65,807606.6,232581.7,3,0
20000,0,83,13.07,1.28,0.18,0.16,11.46,0.02,1.37,0.012,2,810.4,449.6,8,83
30000,8,1534,7.06,0.14,0.09,0.00,6.84,0.00,1.05,0.001,6,810216.8,160.8,13,0
30000,1,775,24.95,9.15,2.03,0.10,13.67,0.68,3.10,0.215,63,815896.4,236801.7,4,0
30000,0,65,14.17,0.23,0.38,0.02,13.54,0.00,1.02,0.000,2,817.6,431.5,9,64
40000,8,1488,6.72,0.11,0.05,0.01,6.56,0.00,1.05,0.000,6,812291.1,105.2,9,0
40000,1,878,19.39,6.64,1.64,0.12,10.99,0.50,2.59,0.144,68,818100.4,223584.4,5,9
40000,0,88,12.16,0.75,0.27,0.00,11.14,0.00,1.29,0.000,2,728.0,378.1,9,88
50000,8,1554,7.68,0.37,0.10,0.03,7.17,0.02,1.10,0.006,6,809544.4,5978.6,11,57
50000,1,1014,15.51,4.89,1.26,0.33,9.04,0.35,2.09,0.097,78,825557.1,222344.5,5,16
50000,0,42,6.98,0.05,0.07,0.00,6.86,0.00,1.02,0.000,1,496.3,287.0,7,42
60000,8,1508,7.27,0.15,0.11,0.05,6.96,0.00,1.06,0.001,6,807839.6,7601.4,13,33
60000,1,986,17.45,4.89,1.97,0.06,10.54,0.40,2.07,0.109,67,827971.6,200568.0,4,25
60000,0,60,12.02,0.87,0.20,0.00,10.95,0.03,1.23,0.017,3,416.0,119.0,6,60
70000,8,1593,6.87,0.28,0.17,0.00,6.42,0.03,1.06,0.008,9,811533.7,3771.8,12,37
70000,1,1032,15.79,4.30,1.06,0.06,10.37,0.33,1.91,0.095,79,824458.8,170957.9,3,8
70000,0,63,7.57,0.21,0.02,0.06,7.29,0.00,1.09,0.000,3,354.2,141.1,6,63
80000,8,1548,6.64,0.34,0.19,0.01,6.09,0.03,1.10,0.008,6,809391.0,3624.0,12,47
80000,1,997,16.77,4.57,1.36,0.08,10.75,0.39,1.92,0.105,88,822012.1,187224.9,5,4
80000,0,60,7.42,0.97,0.23,0.00,6.22,0.07,1.33,0.017,3,419.2,179.8,8,60
90000,8,1640,6.07,0.09,0.06,0.02,5.90,0.00,1.04,0.002,6,808561.1,1450.4,8,18
90000,1,1024,15.99,4.45,1.25,0.06,10.23,0.38,1.97,0.116,77,821761.8,183682.7,5,1
90000,0,66,14.21,3.32,1.85,0.00,9.05,0.53,1.68,0.152,4,430.9,171.7,8,66
100000,8,1639,6.09,0.20,0.07,0.03,5.79,0.01,1.06,0.003,6,813728.1,999.1,11,7
100000,1,988,15.98,3.70,1.89,0.03,10.36,0.32,1.73,0.088,79,824582.9,171405.9,6,1
100000,0,98,10.42,1.43,0.53,0.00,8.46,0.12,1.32,0.031,4,422.5,211.1,10,97
110000,8,1673,5.68,0.16,0.07,0.04,5.41,0.00,1.06,0.000,5,815725.7,150.6,8,18
110000,1,1043,14.84,3.52,0.91,0.08,10.32,0.27,1.72,0.071,67,825586.6,124404.8,5,1
110000,0,58,8.71,0.29,0.02,0.22,8.17,0.00,1.09,0.000,3,445.4,171.3,7,58
120000,8,1648,5.61,0.11,0.04,0.04,5.42,0.00,1.04,0.001,9,812459.9,159.3,9,5
120000,1,1025,14.51,3.09,1.36,0.17,9.88,0.27,1.58,0.069,65,822303.5,130522.2,4,0
120000,0,85,9.94,2.25,0.26,0.01,7.42,0.05,1.82,0.012,4,450.5,260.0,6,85
130000,8,1652,5.53,0.15,0.12,0.06,5.21,0.01,1.05,0.002,4,812776.8,190.6,11,1
130000,1,1176,14.11,3.07,0.72,0.04,10.28,0.19,1.55,0.055,78,823388.2,126982.4,4,0
130000,0,65,10.95,1.88,0.97,0.00,8.11,0.22,1.35,0.046,4,450.7,198.2,8,65
140000,8,1626,5.87,0.13,0.09,0.02,5.62,0.01,1.06,0.003,6,813862.4,1365.7,10,12
140000,1,1176,11.57,2.55,0.86,0.07,8.09,0.21,1.57,0.058,90,824198.4,139573.1,8,2
140000,0,62,10.42,0.76,1.27,0.39,8.00,0.11,1.11,0.016,2,354.9,184.3,9,61
150000,8,1626,5.99,0.10,0.13,0.04,5.72,0.01,1.04,0.002,8,813903.7,2151.6,7,6
150000,1,1143,13.60,2.98,1.06,0.09,9.47,0.23,1.65,0.070,87,821520.2,148012.9,5,0
150000,0,61,11.57,1.59,0.57,0.00,9.41,0.20,1.24,0.049,3,343.4,178.2,7,61
160000,8,1681,5.67,0.13,0.05,0.03,5.47,0.00,1.05,0.002,5,808925.2,706.2,8,2
160000,1,1044,14.47,3.49,1.21,0.07,9.69,0.27,1.76,0.076,93,824503.9,145231.7,6,0
160000,0,78,11.60,1.42,2.53,0.03,7.63,0.15,1.31,0.038,4,506.2,238.5,8,77
