step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place
100000,5,13,0,0,1,4,0,1.00,20,0.000,2999,1.61,202.18,0.00,1134,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2995,2.08,168.19,0.00,1,8,8
100000,12,12,0,0,0,12,0,1.00,14,0.000,2993,2.47,260.71,0.00,1118,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2992,1.66,198.91,0.00,1,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2990,1.64,286.91,0.00,1056,8,8
100000,7,7,0,1,0,6,0,1.00,20,0.143,2988,1.89,276.75,0.00,979,8,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2985,1.70,215.50,0.00,484,8,8
100000,12,13,0,0,0,12,0,1.00,16,0.000,2984,1.81,288.06,0.00,1,8,8
100000,4,5,0,0,0,4,0,1.00,22,0.000,2981,1.78,271.63,0.00,1129,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2980,1.84,233.68,0.00,1129,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2979,1.91,293.13,0.00,979,8,8
100000,6,6,0,1,0,5,0,1.00,20,0.167,2977,2.20,182.71,0.00,1006,8,8
100000,4,5,0,0,0,4,0,1.00,22,0.000,2977,1.55,215.83,0.00,979,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2975,1.70,178.46,0.00,1,8,8
100000,12,12,0,0,0,12,0,1.00,12,0.000,2975,2.75,277.10,0.00,888,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2974,2.00,197.25,0.00,1056,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2973,2.30,134.88,0.00,1056,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2969,2.11,290.50,0.00,1,8,8
100000,20,20,0,0,2,18,0,1.00,12,0.000,2967,1.81,288.94,0.00,1,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2964,1.47,214.91,0.00,979,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2962,2.20,182.80,0.00,1129,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2962,1.34,276.51,0.00,1056,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2959,1.25,174.83,0.00,487,8,8
100000,9,9,3,0,0,6,0,2.36,18,0.000,2958,1.75,211.23,1.37,1056,8,8
100000,9,9,0,0,0,9,0,1.00,16,0.000,2958,1.89,263.19,0.00,1,8,8
100000,5,7,0,0,0,5,0,1.00,22,0.000,2955,2.08,300.45,0.00,979,8,8
100000,6,33,0,0,2,4,0,1.00,22,0.000,2953,2.31,263.73,0.00,1105,8,8
100000,8,8,0,0,0,8,0,1.00,18,0.000,2948,1.35,182.24,0.00,1,8,8
100000,6,6,0,1,0,5,0,1.00,20,0.167,2945,2.14,179.72,0.00,320,8,8
100000,28,28,9,0,0,19,0,3.29,8,0.000,2944,4.72,295.48,0.21,1,8,8
100000,12,12,2,0,0,10,0,1.70,12,0.000,2943,2.30,253.56,0.11,888,8,8
100000,4,4,0,1,0,3,0,1.00,22,0.250,2943,2.00,154.87,0.00,920,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2940,2.27,277.74,0.00,604,8,8
100000,3,5,0,0,0,3,0,1.00,24,0.000,2937,1.13,200.76,0.00,487,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2937,1.47,188.99,0.00,889,8,8
100000,7,7,0,0,0,7,0,1.00,20,0.000,2935,2.22,228.82,0.00,1028,8,8
100000,11,11,0,0,0,11,0,1.00,16,0.000,2931,2.69,284.38,0.00,1118,8,8
100000,6,6,0,0,0,6,0,1.00,22,0.000,2929,1.42,226.73,0.00,1056,8,8
100000,5,5,1,0,0,4,0,1.40,22,0.000,2926,2.08,230.89,0.00,1056,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2924,1.29,157.43,0.00,1,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2923,2.05,250.03,0.00,1056,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2923,2.39,198.28,0.00,1,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2923,1.91,174.16,0.00,1,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2916,2.12,153.20,0.00,1045,8,8
100000,2,2,0,0,0,2,0,1.00,26,0.000,2911,1.32,116.28,0.00,1056,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2909,1.95,214.70,0.00,1056,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2908,1.23,249.43,0.00,979,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2907,1.27,245.63,0.00,604,8,8
100000,6,6,1,0,0,5,0,1.50,20,0.000,2899,2.09,283.41,0.31,1129,8,8
100000,5,8,0,0,0,5,0,1.00,22,0.000,2896,1.40,198.60,0.00,1119,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2894,1.28,231.43,0.00,1,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2890,1.81,210.47,0.00,1,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2887,1.60,252.13,0.00,604,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2885,1.54,231.01,0.00,604,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2885,1.92,209.38,0.00,1104,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2883,1.41,193.11,0.00,604,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2883,1.68,142.04,0.00,1059,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2877,2.01,192.80,0.00,1056,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2874,1.92,195.24,0.00,1129,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2874,1.89,157.07,0.00,1,8,8
