step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone
5000,1,2504,32.3,1.9,1.5,0.9,27.9,0.3,1.46,10.1,629,228,34.02,0.04,1182,1260,62
5000,2,706,9.7,0.4,0.2,0.1,9.0,0.0,1.13,18.1,181,180,13.47,0.00,646,5,55
5000,10,539,9.4,0.5,0.1,0.1,8.7,0.0,1.16,18.9,106,347,30.60,0.00,525,0,14
5000,3,365,10.5,0.1,0.3,1.4,8.7,0.0,1.04,16.3,196,462,39.22,0.00,360,0,5
5000,13,100,9.4,0.0,0.0,0.1,9.3,0.0,1.00,18.8,34,590,49.94,0.00,100,0,0
5000,5,59,51.9,0.5,0.6,0.0,50.8,0.0,1.09,0.4,39,87,55.14,0.00,0,59,0
5000,11,46,63.2,0.4,0.0,7.4,55.4,0.0,1.07,0.1,23,215,160.71,0.00,2,44,0
5000,12,5,30.4,0.0,0.0,8.8,21.6,0.0,1.00,6.0,2,434,167.53,0.00,0,5,0
6000,1,2670,26.0,2.4,0.7,0.3,22.6,0.0,1.59,12.8,527,327,40.86,0.02,1676,937,57
6000,2,540,9.3,0.2,0.2,0.1,8.8,0.0,1.09,18.3,117,183,13.76,0.00,489,7,44
6000,3,413,10.1,0.2,0.1,1.6,8.1,0.0,1.11,16.7,218,536,49.43,0.01,410,0,3
6000,28,299,9.6,0.1,0.2,0.3,8.9,0.0,1.04,17.4,119,776,72.72,0.00,298,0,1
6000,26,273,10.1,0.2,0.0,0.0,9.9,0.0,1.06,15.7,67,147,11.67,0.00,251,0,22
6000,5,126,57.1,16.8,0.0,0.0,40.3,0.0,5.31,0.0,69,46,22.73,0.09,0,126,0
6000,13,91,10.2,0.0,0.0,0.0,10.2,0.0,1.00,18.3,31,766,65.11,0.00,91,0,0
6000,11,63,62.6,1.0,0.0,6.7,54.8,0.0,1.13,0.1,29,277,252.66,0.03,4,59,0
6000,12,55,37.7,0.1,0.0,1.3,36.2,0.0,1.04,5.9,29,99,39.32,0.00,0,55,0
7000,1,1391,43.2,3.5,0.5,0.2,39.0,0.0,1.84,6.3,348,124,38.08,0.03,277,1089,25
