step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
10000,8,1346,8.68,0.37,0.37,0.37,7.57,0.01,1.13,0.004,6,847308.1,3531.6,7,20
10000,2,1040,17.74,1.52,0.95,0.93,14.35,0.03,1.43,0.011,24,813773.3,2191.1,5,30
10000,0,120,11.61,0.21,0.08,0.68,10.64,0.00,1.07,0.000,2,91098.8,1374.8,6,119
20000,8,1365,8.21,0.18,0.36,0.30,7.37,0.01,1.07,0.003,7,812604.5,148.5,8,2
20000,2,1071,16.75,0.22,0.62,1.51,14.41,0.00,1.06,0.001,26,811254.9,174.8,3,8
20000,0,89,9.62,0.00,0.21,0.19,9.21,0.00,1.00,0.000,2,1294.7,0.3,6,89
30000,8,1461,7.77,0.16,0.19,0.37,7.04,0.00,1.07,0.001,5,815458.3,43.9,9,3
30000,2,1164,15.34,0.57,0.42,0.98,13.37,0.01,1.18,0.003,27,815147.6,204.4,3,9
30000,0,66,9.11,0.02,0.42,0.12,8.55,0.00,1.01,0.000,2,1416.5,2.6,7,65
40000,8,1477,7.40,0.08,0.17,0.30,6.85,0.00,1.04,0.001,8,814274.7,33.5,9,2
40000,2,1154,14.65,1.46,2.01,0.79,10.39,0.11,1.47,0.076,25,819171.6,199.8,5,6
40000,0,87,9.75,0.13,0.32,0.64,8.66,0.00,1.05,0.000,2,1536.9,1.8,6,87
50000,8,1501,7.31,0.14,0.18,0.55,6.44,0.01,1.06,0.001,8,818247.4,18.6,7,4
50000,2,1229,14.18,0.42,1.66,0.88,11.23,0.04,1.12,0.014,26,820119.6,278.6,2,1
50000,0,83,9.36,0.05,0.12,0.31,8.88,0.00,1.01,0.000,2,1361.9,13.9,6,82
60000,8,1508,7.12,0.05,0.17,0.29,6.61,0.00,1.03,0.001,6,815714.9,42.7,11,1
60000,2,1177,14.33,0.28,0.71,0.87,12.48,0.01,1.09,0.003,23,814329.0,93.3,3,1
60000,0,69,9.01,0.07,0.48,0.72,7.74,0.00,1.01,0.000,3,1544.0,1.1,7,68
70000,8,1506,7.16,0.12,0.28,0.43,6.33,0.00,1.05,0.001,6,817263.6,44.1,9,1
70000,2,1030,18.64,1.58,2.02,1.03,14.01,0.12,1.40,0.042,23,813704.2,201.7,5,2
70000,0,95,9.84,0.25,0.23,0.32,9.04,0.00,1.09,0.000,2,1582.0,4.1,9,95
80000,8,1482,7.00,0.10,0.23,0.46,6.21,0.00,1.04,0.001,7,815703.1,50.8,13,0
80000,2,1040,18.55,0.62,0.54,0.75,16.64,0.02,1.15,0.006,27,815448.5,247.4,4,7
80000,0,93,7.82,0.05,0.39,0.00,7.38,0.00,1.01,0.000,2,1576.4,5.6,11,93
90000,8,1545,6.85,0.06,0.26,0.34,6.18,0.00,1.03,0.001,5,815852.4,10.6,16,7
90000,2,1126,15.62,0.33,0.38,0.86,14.05,0.01,1.09,0.004,25,814746.4,279.7,3,2
90000,0,95,8.78,0.08,0.32,0.52,7.86,0.03,1.02,0.011,2,1770.6,5.7,9,94
100000,8,1540,6.91,0.11,0.18,0.19,6.43,0.01,1.04,0.003,5,814608.4,25.9,10,1
100000,2,1197,14.37,0.54,0.16,1.36,12.31,0.00,1.15,0.002,26,817067.9,244.6,4,2
100000,0,73,9.10,0.01,0.34,1.14,7.60,0.00,1.00,0.000,2,1731.6,1.2,10,73
110000,8,1476,7.96,0.18,0.27,0.70,6.81,0.00,1.07,0.002,7,813091.3,78.6,7,0
110000,2,1196,14.16,0.19,0.73,0.55,12.70,0.00,1.05,0.004,32,818036.3,137.1,3,0
110000,0,69,11.48,0.00,0.71,0.84,9.93,0.00,1.00,0.000,2,2116.3,2.1,7,69
120000,8,1496,7.28,0.12,0.14,0.34,6.69,0.00,1.05,0.001,5,814954.1,5.0,8,3
120000,2,959,20.10,0.29,2.72,2.76,14.32,0.02,1.07,0.006,19,813966.7,195.1,6,6
120000,0,73,10.19,0.00,0.11,0.48,9.60,0.00,1.00,0.000,2,1814.9,0.6,7,73
130000,8,1556,6.69,0.06,0.15,0.22,6.26,0.00,1.02,0.000,6,808021.8,15.5,10,16
130000,2,1164,14.83,0.56,1.14,0.61,12.52,0.02,1.18,0.010,24,816518.4,150.5,6,31
130000,0,43,9.77,0.16,0.77,0.00,8.84,0.00,1.04,0.000,1,1321.8,0.6,5,43
140000,8,1497,7.28,0.08,0.25,0.35,6.60,0.00,1.04,0.003,5,812624.6,9.7,10,7
140000,2,1195,13.90,0.81,1.39,0.66,11.04,0.03,1.25,0.008,21,816275.1,465.9,5,15
140000,0,69,9.74,0.20,0.38,0.64,8.52,0.00,1.06,0.000,5,1228.8,14.7,7,69
150000,8,1479,7.49,0.03,0.20,0.41,6.86,0.00,1.01,0.000,6,813004.9,13.3,15,3
150000,2,1105,16.31,0.33,1.56,0.42,14.00,0.02,1.09,0.008,26,815685.8,395.6,5,21
150000,0,72,8.86,0.72,0.01,0.28,7.85,0.00,1.23,0.000,4,1226.8,1.7,11,72
160000,8,1490,8.10,0.08,0.37,0.69,6.95,0.01,1.03,0.002,5,811973.3,29.8,12,10
160000,2,1055,16.84,0.23,2.58,0.38,13.64,0.01,1.08,0.002,22,816651.6,464.7,8,50
160000,0,56,9.71,0.00,0.02,0.32,9.38,0.00,1.00,0.000,2,1133.4,4.3,8,56
170000,8,1487,7.49,0.01,0.23,0.39,6.86,0.00,1.01,0.000,5,810273.0,6.4,11,4
170000,2,1139,15.57,0.91,2.34,0.57,11.75,0.12,1.29,0.057,23,818654.4,433.1,5,30
170000,0,81,8.75,0.16,0.28,0.46,7.85,0.04,1.04,0.025,2,866.8,9.8,9,81
180000,8,1504,7.48,0.07,0.21,0.40,6.80,0.00,1.03,0.001,5,808521.1,87.3,12,17
180000,2,1249,13.00,0.07,1.51,0.85,10.57,0.00,1.02,0.000,24,820399.2,225.1,3,24
180000,0,80,8.27,0.00,0.01,0.25,8.01,0.00,1.00,0.000,2,886.2,4.1,8,80
190000,8,1459,7.98,0.04,0.22,0.51,7.22,0.00,1.01,0.001,6,793037.1,47.2,15,25
190000,2,1290,11.44,0.30,0.18,0.95,10.01,0.01,1.10,0.005,37,843935.5,171.4,5,76
190000,0,65,11.05,0.03,0.15,1.25,9.62,0.00,1.02,0.000,1,687.2,0.7,10,65
200000,8,1509,7.47,0.08,0.26,0.37,6.76,0.00,1.03,0.000,9,800706.5,23.9,15,39
200000,2,1194,13.98,0.57,1.26,0.55,11.60,0.02,1.17,0.003,25,830405.6,374.1,7,36
200000,0,79,8.67,0.75,0.04,0.19,7.70,0.00,1.23,0.000,2,727.8,1.6,7,79
210000,8,1549,6.94,0.04,0.22,0.17,6.51,0.00,1.02,0.000,6,812204.5,31.2,14,41
210000,2,1160,13.60,0.19,1.50,0.34,11.56,0.01,1.05,0.003,22,822012.9,315.7,6,15
210000,0,79,7.32,0.08,0.04,0.09,7.11,0.00,1.02,0.000,2,801.8,3.8,11,79
220000,8,1541,6.95,0.12,0.27,0.22,6.34,0.00,1.04,0.002,8,813284.9,30.1,20,24
220000,2,1113,15.53,0.43,2.29,0.57,12.24,0.03,1.13,0.014,23,815638.4,289.8,11,26
