step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
10000,2271,1.590,0.030,8.08,261081,256045,259,172,3840,1517948,1735453.8,88458.9,0.493,0.054,0.061,0.194,0.198,781,14.11,15.12,1.68,7.52,0.38,1.90,0.44,3.12,11.61,11.91,0.11,0.62,0.012,0.067,492,0.133,0.742,0.055,0.004,0.199,244442,214938,3,0.360,0.288,0.062,1550512,0.124,0.138,0.000,162.05,92452,158,0.058,0.343,0.022,28872318,1.44,15.11,0.028,0.162,0.036,4,7,35,64,1176,41,1.39,0.0066,0.015,110
20000,2621,1.421,0.031,7.31,293446,286152,767,385,5792,1859722,1560274.5,111272.1,0.643,0.051,0.053,0.120,0.133,672,10.70,13.85,1.99,9.26,0.53,2.62,0.10,1.24,8.08,9.12,0.14,0.72,0.014,0.063,510,0.163,0.815,0.043,0.003,0.140,282389,255808,7,0.375,0.483,0.016,1018775,0.081,0.168,0.000,162.42,102994,207,0.060,0.244,0.038,35892107,1.57,18.11,0.035,0.264,0.042,3,6,27,64,1222,55,1.02,0.0074,0.001,69
30000,2495,1.503,0.021,7.85,330696,320438,1086,1071,8227,3489988,1602572.5,192967.6,0.672,0.047,0.049,0.108,0.124,585,12.03,15.89,2.52,10.61,0.59,2.52,0.26,2.06,8.66,10.51,0.18,0.81,0.014,0.065,433,0.166,0.772,0.048,0.002,0.178,319860,299504,4,0.239,0.639,0.053,899206,0.113,0.123,0.000,162.78,101182,192,0.055,0.303,0.046,37047864,1.74,17.74,0.061,0.186,0.046,3,6,30,64,1233,57,0.66,0.0074,0.000,86
40000,2615,1.457,0.030,6.94,363801,352811,1459,678,8733,3456814,1617979.8,180984.1,0.763,0.034,0.036,0.080,0.087,552,10.74,12.03,1.46,7.97,0.64,2.93,0.22,1.94,8.41,7.59,0.11,0.64,0.034,0.102,459,0.180,0.729,0.033,0.001,0.237,355961,342968,5,0.876,0.004,0.046,1298526,0.054,0.203,0.001,162.89,111013,200,0.052,0.245,0.030,31555754,1.43,17.51,0.029,0.150,0.031,4,7,16,64,1206,63,0.54,0.0074,0.000,69
50000,2528,1.478,0.023,7.27,330260,319598,1412,1267,8070,3637772,1592612.8,194050.3,0.705,0.037,0.039,0.107,0.112,562,11.34,13.45,1.95,9.08,0.65,2.91,0.12,1.18,8.62,8.85,0.13,0.70,0.033,0.100,426,0.109,0.746,0.036,0.004,0.214,322536,309350,4,0.724,0.138,0.025,858551,0.071,0.098,0.000,162.95,102100,221,0.053,0.203,0.033,37184529,1.54,17.38,0.036,0.160,0.036,3,7,22,64,1237,59,0.49,0.0073,0.000,78
60000,2552,1.454,0.020,8.22,339226,329400,1267,565,7970,3581064,1592482.8,189359.8,0.683,0.061,0.066,0.093,0.097,594,11.66,13.75,2.10,9.52,0.54,2.44,0.12,1.00,8.89,8.78,0.15,0.75,0.018,0.074,450,0.101,0.745,0.041,0.004,0.211,329142,310585,11,0.304,0.377,0.033,622709,0.111,0.098,0.000,163.10,98978,248,0.053,0.288,0.035,34171364,1.61,17.19,0.045,0.185,0.039,3,7,24,64,1184,66,0.34,0.0070,0.000,79
70000,2523,1.491,0.022,8.11,336614,325686,1577,1268,8112,3703847,1588971.8,205294.7,0.721,0.056,0.059,0.081,0.083,576,11.38,14.97,1.94,9.19,0.54,2.41,0.22,1.77,8.69,10.81,0.13,0.71,0.017,0.067,462,0.130,0.788,0.039,0.002,0.171,328467,313971,12,0.296,0.247,0.065,1024355,0.116,0.100,0.000,162.66,106598,168,0.055,0.278,0.033,38294601,1.56,17.98,0.046,0.201,0.035,3,6,26,64,1244,71,0.78,0.0072,0.000,70
80000,2591,1.445,0.020,8.60,328409,318690,1380,510,7761,3812786,1594890.2,208165.9,0.673,0.077,0.081,0.082,0.087,569,10.21,13.96,2.31,9.65,0.70,3.27,0.09,1.14,7.12,7.94,0.17,0.82,0.021,0.090,460,0.121,0.795,0.047,0.008,0.151,319263,301576,11,0.392,0.291,0.027,787829,0.137,0.127,0.000,163.09,108948,205,0.055,0.353,0.043,39979516,1.68,18.54,0.045,0.254,0.047,3,6,16,64,1261,74,0.35,0.0087,0.001,78
90000,2649,1.474,0.023,7.94,307335,296131,1453,1967,7726,3721355,1559636.1,217260.5,0.662,0.085,0.090,0.079,0.084,594,10.67,14.58,2.22,9.75,0.42,2.06,0.07,0.63,7.96,9.39,0.15,0.72,0.011,0.052,430,0.142,0.790,0.051,0.003,0.157,297404,278691,15,0.586,0.005,0.020,579947,0.148,0.110,0.000,162.11,100872,138,0.058,0.319,0.037,46274906,1.65,18.37,0.049,0.244,0.044,3,6,19,64,1237,94,1.33,0.0074,0.003,59
100000,2509,1.552,0.024,8.22,287619,277448,1426,2260,6625,3224398,1548743.9,209000.5,0.651,0.091,0.097,0.079,0.083,570,10.96,15.50,2.80,10.28,0.74,3.07,0.09,1.02,7.33,8.95,0.21,0.88,0.020,0.087,426,0.129,0.812,0.065,0.001,0.122,277172,259668,12,0.623,0.000,0.021,498240,0.116,0.167,0.000,160.24,99102,230,0.065,0.238,0.042,48920890,1.77,18.43,0.039,0.284,0.059,3,6,28,64,1252,79,3.20,0.0084,0.001,88
