step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone
5000,1,1440,15.7,1.4,0.3,0.3,13.6,0.0,1.40,12.8,471,302,35.53,0.01,903,488,49
5000,3,187,41.7,8.5,3.8,3.7,25.7,1.1,2.26,2.6,115,118,30.77,4.56,0,155,32
5000,4,162,9.0,0.0,0.0,0.0,9.0,0.0,1.00,14.3,24,138,10.08,0.00,129,5,28
5000,7,124,10.1,0.8,0.0,0.0,9.3,0.0,1.29,17.9,41,642,52.74,0.00,124,0,0
6000,1,1762,15.5,1.5,0.4,0.1,13.5,0.0,1.46,13.1,494,340,43.49,0.01,1091,602,69
6000,7,139,10.2,1.1,0.0,0.1,9.0,0.0,1.47,18.2,36,680,56.72,0.00,139,0,0
6000,3,96,43.4,9.9,4.6,5.1,23.8,1.8,2.36,1.3,52,285,73.97,22.94,0,92,4
6000,4,81,7.9,0.0,0.0,0.0,7.9,0.0,1.00,15.3,17,165,11.51,0.00,66,2,13
7000,1,1875,14.9,0.4,0.3,0.1,14.1,0.0,1.11,13.2,488,299,38.85,0.01,1048,737,90
7000,7,158,10.1,1.0,0.0,0.1,8.9,0.0,1.41,18.5,30,708,59.27,0.00,158,0,0
7000,4,97,8.5,0.0,0.2,0.0,8.3,0.0,1.00,15.3,17,185,12.87,0.00,85,2,10
7000,3,57,46.6,11.5,4.7,5.6,24.8,1.9,2.60,1.1,38,354,98.88,29.96,0,56,1
8000,1,1774,14.6,0.3,0.4,0.1,13.8,0.0,1.10,13.7,455,334,41.08,0.00,848,869,57
8000,7,199,10.0,0.8,0.0,0.1,9.0,0.0,1.33,18.2,41,713,57.45,0.00,199,0,0
8000,4,183,8.4,0.0,0.0,0.0,8.4,0.0,1.00,14.7,32,153,11.10,0.00,144,8,31
8000,3,13,55.6,13.3,5.9,6.8,29.5,2.5,2.45,0.0,8,163,28.61,30.45,0,13,0
8000,21,11,9.3,0.0,0.0,0.0,9.3,0.0,1.00,16.0,6,175,12.28,0.00,11,0,0
9000,1,1309,12.5,0.1,0.4,0.1,11.9,0.0,1.04,13.8,273,283,33.04,0.00,750,482,77
9000,7,148,9.9,0.1,0.0,0.1,9.8,0.0,1.04,18.3,39,963,74.84,0.00,147,0,1
9000,4,71,8.5,0.0,0.1,0.0,8.4,0.0,1.00,15.1,19,169,11.81,0.00,62,4,5
9000,3,71,51.5,12.3,5.6,6.7,26.8,2.4,2.78,0.3,48,97,26.50,8.21,0,46,25
10000,1,1315,15.0,0.3,0.6,0.3,13.8,0.0,1.10,13.8,435,401,48.05,0.03,563,730,22
10000,4,152,8.2,0.0,0.0,0.0,8.2,0.0,1.00,15.3,30,146,11.09,0.00,123,5,24
10000,3,104,41.2,9.6,4.8,2.9,23.9,2.5,2.56,3.2,91,139,34.81,11.64,0,88,16
10000,7,59,9.4,0.0,0.0,0.2,9.2,0.0,1.00,18.4,17,671,50.98,0.00,59,0,0
11000,1,777,16.4,0.2,0.9,0.4,15.0,0.0,1.07,13.0,212,401,62.10,0.00,312,457,8
11000,4,131,8.8,0.2,0.0,0.0,8.6,0.0,1.06,14.7,28,150,10.88,0.00,112,5,14
11000,7,105,9.4,0.1,0.0,0.0,9.3,0.0,1.03,18.8,24,656,49.49,0.00,105,0,0
11000,3,79,42.5,9.9,6.2,4.1,22.3,2.7,2.43,3.8,61,283,73.94,21.76,0,73,6
12000,1,1333,13.3,0.3,0.8,0.3,12.0,0.0,1.09,14.2,332,370,37.73,0.00,833,448,52
12000,4,127,7.7,0.0,0.0,0.0,7.7,0.0,1.00,16.0,23,176,12.70,0.00,111,0,16
12000,7,117,7.6,0.0,0.0,0.1,7.5,0.0,1.00,20.2,20,791,56.49,0.00,117,0,0
12000,3,56,40.8,14.7,12.4,1.0,12.6,3.5,3.66,4.6,40,649,165.42,50.56,0,53,3
13000,1,862,17.9,1.1,1.3,0.5,15.1,0.2,1.27,13.4,274,495,67.51,3.39,437,409,16
13000,7,195,7.9,0.0,0.0,0.1,7.8,0.0,1.00,20.0,37,738,52.00,0.00,195,0,0
13000,4,125,7.8,0.0,0.1,0.0,7.7,0.0,1.00,16.4,28,198,13.59,0.00,97,6,22
14000,1,763,17.0,0.4,0.9,0.1,15.6,0.0,1.13,13.4,240,373,53.01,0.00,292,465,6
14000,7,205,8.3,0.0,0.0,0.3,8.1,0.0,1.00,19.6,41,829,57.63,0.00,205,0,0
14000,30,129,7.5,0.0,0.0,0.0,7.5,0.0,1.00,16.2,19,220,14.62,0.00,114,4,11
14000,4,87,8.1,0.0,0.0,0.0,8.1,0.0,1.00,15.6,21,245,17.24,0.00,72,1,14
