step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
90000,0,117,12.53,0.52,1.00,0.84,10.17,0.02,1.17,0.017,4,603.9,5.7,7,115
100000,8,1554,6.39,0.07,0.05,0.23,6.03,0.00,1.02,0.001,5,814676.5,27.5,8,1
100000,1,836,24.32,0.16,0.35,2.09,21.72,0.00,1.05,0.000,59,813005.6,561.3,2,6
100000,0,96,11.65,0.00,0.19,0.81,10.65,0.00,1.00,0.000,3,742.9,13.9,6,96
110000,8,1620,6.41,0.09,0.06,0.11,6.14,0.00,1.03,0.000,6,814869.6,14.9,10,14
110000,1,769,26.18,0.84,0.45,0.77,24.11,0.01,1.11,0.001,56,816296.6,307.3,3,17
110000,0,80,11.02,0.12,0.19,0.52,10.19,0.01,1.09,0.013,5,562.8,14.4,7,79
120000,8,1643,6.83,0.14,0.09,0.21,6.38,0.00,1.04,0.000,5,813541.5,54.4,9,35
120000,1,688,31.00,0.27,0.22,0.84,29.67,0.00,1.08,0.000,41,823002.5,429.5,4,11
120000,0,68,10.57,0.03,0.00,0.32,10.22,0.00,1.04,0.000,3,405.9,2.5,6,68
130000,8,1615,6.88,0.15,0.10,0.27,6.36,0.00,1.05,0.001,6,802516.4,41.1,9,25
130000,1,648,34.83,0.21,0.56,0.77,33.27,0.01,1.04,0.005,46,830403.9,481.2,4,6
130000,0,55,12.33,0.04,0.38,0.29,11.62,0.00,1.02,0.000,2,462.4,1.9,6,54
140000,8,1628,6.94,0.20,0.13,0.08,6.53,0.00,1.07,0.001,8,809207.6,59.3,9,63
140000,1,799,25.38,0.77,0.95,0.64,23.03,0.03,1.18,0.010,55,823785.0,1210.2,4,15
140000,0,82,11.15,0.56,0.76,0.43,9.40,0.06,1.14,0.012,4,517.3,14.0,7,81
150000,8,1637,6.10,0.11,0.08,0.01,5.90,0.00,1.06,0.001,5,812404.6,44.7,12,28
150000,1,907,21.95,0.55,1.36,0.64,19.41,0.02,1.12,0.008,48,820906.1,1181.3,5,9
150000,0,73,11.22,0.00,0.86,0.30,10.05,0.00,1.00,0.000,2,437.9,6.4,7,73
160000,8,1673,6.39,0.17,0.05,0.10,6.07,0.00,1.07,0.001,5,805186.6,38.1,11,32
160000,1,987,18.02,0.42,0.11,0.19,17.30,0.01,1.10,0.002,68,825472.2,1254.1,4,4
160000,0,70,10.21,0.14,0.01,0.14,9.91,0.00,1.03,0.000,3,388.4,9.9,7,70
170000,8,1647,6.12,0.12,0.08,0.07,5.84,0.01,1.04,0.001,5,815177.6,1654.6,15,1
170000,1,809,25.72,6.08,1.44,0.23,17.97,0.57,2.40,0.166,67,788022.6,105677.6,3,2
170000,0,70,13.26,0.27,0.17,0.21,12.60,0.03,1.05,0.014,2,546.0,539.7,10,70
180000,8,1559,7.22,0.31,0.19,0.10,6.62,0.03,1.09,0.008,5,815831.3,9042.3,11,9
180000,1,706,31.87,9.25,0.67,0.41,21.54,0.27,3.06,0.096,47,811856.2,71664.3,5,11
180000,0,67,12.10,0.85,0.04,0.46,10.75,0.00,1.20,0.000,2,468.8,83.4,6,66
190000,8,1587,6.69,0.20,0.05,0.26,6.18,0.00,1.08,0.000,5,813426.4,1337.8,13,21
190000,1,776,27.18,6.58,0.92,0.20,19.47,0.31,2.61,0.077,58,811828.0,72579.2,7,15
190000,0,65,7.68,0.00,0.00,0.26,7.42,0.00,1.00,0.000,2,441.1,118.6,8,65
200000,8,1614,7.34,0.40,0.07,0.20,6.68,0.00,1.11,0.001,6,809130.6,2229.7,17,38
200000,1,651,31.30,12.33,1.42,0.12,17.43,0.65,4.03,0.172,43,819672.3,85502.9,6,20
200000,0,48,7.40,0.08,0.00,0.00,7.31,0.00,1.02,0.000,3,302.1,20.7,8,48
210000,8,1634,6.35,0.22,0.10,0.26,5.77,0.02,1.07,0.004,6,808258.5,1991.2,14,13
210000,1,574,33.45,14.97,2.80,0.42,15.26,1.28,4.74,0.333,57,797450.3,146881.4,5,15
210000,0,64,9.08,2.19,0.75,0.14,6.00,0.25,1.70,0.062,2,330.6,98.8,11,63
220000,8,1623,6.37,0.15,0.04,0.14,6.04,0.00,1.06,0.001,9,809524.6,7774.1,10,3
220000,1,549,39.78,17.51,2.91,0.50,18.86,1.05,5.33,0.317,42,774546.9,182323.9,6,4
220000,0,63,18.21,4.13,1.24,0.95,11.89,0.37,2.06,0.079,3,506.0,301.2,9,62
230000,8,1663,6.29,0.20,0.03,0.17,5.88,0.00,1.06,0.002,7,816781.9,263.3,10,17
230000,1,826,25.84,7.56,1.37,0.54,16.36,0.44,2.84,0.139,78,809281.0,132315.5,3,21
230000,0,51,18.45,3.51,0.49,0.35,14.10,0.18,1.79,0.039,2,726.8,247.8,6,51
240000,8,1634,6.34,0.14,0.08,0.23,5.89,0.00,1.05,0.001,7,815731.1,285.6,10,0
240000,1,849,21.52,7.47,2.48,0.23,11.35,0.83,2.79,0.218,71,823450.2,152021.9,3,0
240000,0,56,13.09,1.66,0.59,0.54,10.30,0.27,1.43,0.071,4,684.3,207.1,8,56
250000,8,1673,5.91,0.20,0.03,0.10,5.58,0.00,1.09,0.000,7,815983.3,460.8,10,0
250000,1,787,21.90,8.63,1.80,0.46,11.02,0.70,3.28,0.192,74,811267.4,168600.1,3,0
250000,0,52,13.90,0.87,0.38,0.25,12.40,0.12,1.23,0.019,3,702.8,257.8,8,50
260000,8,1712,5.96,0.22,0.02,0.10,5.63,0.00,1.08,0.001,6,813679.4,134.9,9,0
260000,1,458,42.45,17.98,2.69,0.19,21.60,1.08,5.29,0.371,46,788612.4,175827.1,3,0
260000,0,63,25.76,5.76,3.10,0.57,16.33,0.32,2.48,0.111,3,851.3,394.5,10,63
270000,8,1710,6.00,0.27,0.05,0.07,5.62,0.01,1.11,0.004,7,820519.6,543.3,9,6
270000,1,859,20.80,6.96,1.55,0.87,11.42,0.63,2.77,0.210,78,789012.2,154315.9,3,0
270000,0,44,18.57,3.84,2.55,0.02,12.16,0.68,1.98,0.159,3,855.4,419.8,9,43
280000,8,1700,6.23,0.18,0.05,0.10,5.90,0.01,1.07,0.003,4,818012.2,1922.8,9,2
280000,1,748,23.04,6.29,1.56,0.33,14.86,0.62,2.53,0.225,60,806967.2,186799.6,3,0
280000,0,60,16.25,4.07,1.78,0.15,10.25,0.47,1.80,0.133,2,596.3,424.9,8,60
290000,8,1660,5.88,0.19,0.05,0.11,5.53,0.00,1.08,0.001,5,820491.9,1271.9,12,3
290000,1,863,20.05,7.14,1.57,0.19,11.15,0.70,2.81,0.222,72,820799.4,169828.4,5,1
290000,0,67,16.85,4.30,0.97,0.90,10.69,0.36,1.98,0.104,4,650.0,255.1,8,67
300000,8,1718,5.97,0.23,0.05,0.11,5.58,0.00,1.09,0.002,6,821363.2,287.6,11,16
300000,1,874,21.93,5.11,1.48,0.43,14.90,0.30,2.44,0.079,57,814413.3,133656.2,5,2
300000,0,24,13.17,2.17,0.46,0.96,9.58,0.17,1.61,0.042,2,669.2,240.2,7,24
310000,8,1713,5.69,0.23,0.00,0.04,5.41,0.00,1.10,0.001,8,814204.0,462.5,12,5
310000,1,866,21.47,6.24,0.92,0.45,13.85,0.24,2.73,0.069,55,818336.8,110630.8,4,1
310000,0,60,21.52,6.77,1.93,0.37,12.45,0.43,2.87,0.133,4,575.1,182.3,7,59
320000,8,1690,5.69,0.27,0.02,0.05,5.35,0.00,1.12,0.001,6,818016.2,16.6,9,1
320000,1,818,22.81,5.73,0.70,0.32,16.07,0.30,2.61,0.089,56,814310.9,102818.4,5,1
320000,0,77,15.92,1.99,1.66,0.79,11.48,0.22,1.39,0.052,2,671.9,187.4,9,77
330000,8,1668,5.95,0.26,0.04,0.10,5.55,0.00,1.11,0.002,6,815858.2,25.1,7,0
330000,1,669,31.24,7.09,0.74,0.47,22.94,0.30,2.96,0.079,42,814396.2,99606.5,4,0
330000,0,48,20.58,2.21,0.19,0.54,17.65,0.08,1.46,0.021,6,748.1,168.4,9,47
340000,8,1680,5.80,0.20,0.02,0.17,5.41,0.00,1.08,0.001,5,815873.0,32.5,9,0
340000,1,730,28.67,7.29,0.66,1.23,19.49,0.27,2.85,0.070,48,814741.1,87856.8,4,0
340000,0,54,20.63,4.81,0.44,0.93,14.44,0.22,1.85,0.074,4,777.0,151.3,7,53
350000,8,1657,5.96,0.24,0.05,0.13,5.53,0.00,1.09,0.002,5,815867.5,41.9,6,0
350000,1,813,25.13,5.14,0.79,0.37,18.83,0.28,2.35,0.074,62,816258.4,97127.6,3,0
350000,0,54,10.48,1.06,0.24,0.04,9.15,0.07,1.30,0.019,3,804.1,183.6,7,54
360000,8,1726,6.08,0.41,0.04,0.08,5.55,0.01,1.16,0.005,5,815783.4,1144.2,8,13
360000,1,872,22.29,5.01,0.58,0.67,16.03,0.26,2.43,0.070,70,814698.2,92852.2,3,0
360000,0,36,10.69,0.56,0.19,1.06,8.89,0.00,1.20,0.000,3,622.2,115.0,5,36
370000,8,1684,5.85,0.24,0.04,0.07,5.50,0.00,1.10,0.002,4,816035.9,461.3,7,2
370000,1,814,23.35,4.37,0.75,0.65,17.58,0.32,2.22,0.085,61,819205.4,104490.9,4,1
370000,0,70,8.97,1.00,0.06,0.10,7.81,0.03,1.36,0.014,2,435.4,66.0,8,70
380000,8,1718,5.67,0.23,0.02,0.02,5.40,0.00,1.09,0.001,5,813867.9,396.9,6,0
380000,1,744,26.58,9.07,1.47,0.33,15.72,0.51,3.48,0.147,60,815803.9,197049.0,6,1
380000,0,42,20.67,3.48,1.40,0.76,15.02,0.10,1.53,0.048,4,665.1,429.1,8,42
390000,8,1725,5.71,0.20,0.03,0.07,5.41,0.01,1.09,0.003,5,816322.9,21.6,5,0
390000,1,635,29.31,12.00,1.93,1.14,14.24,0.67,4.38,0.192,50,809897.4,193443.5,5,1
390000,0,51,18.45,5.63,1.57,1.29,9.96,0.49,2.54,0.137,3,628.8,349.6,7,51
400000,8,1617,6.55,0.16,0.05,0.22,6.13,0.01,1.06,0.002,5,814598.6,25.1,11,0
400000,1,743,26.05,10.17,1.45,0.04,14.38,0.57,3.87,0.162,74,810214.9,186883.9,5,2
400000,0,62,10.95,0.53,0.02,0.10,10.31,0.00,1.09,0.000,2,680.9,315.5,8,62
410000,8,1663,6.12,0.17,0.07,0.13,5.75,0.00,1.06,0.002,5,811541.2,30.6,10,0
410000,1,733,26.01,9.99,1.46,0.25,14.30,0.56,3.79,0.158,63,812170.1,177811.5,4,0
410000,0,66,17.65,2.36,1.48,0.23,13.58,0.27,1.59,0.045,2,816.1,313.1,10,66
420000,8,1640,6.02,0.20,0.04,0.14,5.65,0.01,1.08,0.002,6,817407.2,27.3,10,0
420000,1,740,24.56,9.54,1.38,0.90,12.74,0.51,3.66,0.154,70,812801.4,181503.0,6,1
420000,0,64,17.22,6.25,0.67,0.66,9.64,0.27,2.73,0.078,4,689.9,320.1,11,64
430000,8,1690,6.11,0.20,0.08,0.06,5.77,0.01,1.07,0.002,5,815863.2,71.3,7,0
430000,1,738,26.01,11.94,1.81,0.17,12.10,0.57,4.29,0.165,48,810944.7,166239.9,5,0
430000,0,51,16.33,4.76,1.45,0.16,9.96,0.51,2.32,0.157,4,674.0,290.8,8,51
440000,8,1705,5.94,0.23,0.10,0.09,5.53,0.01,1.08,0.005,6,816235.1,65.7,7,0
440000,1,767,24.40,9.93,1.50,0.08,12.90,0.50,3.83,0.153,57,805211.1,164166.7,5,0
440000,0,67,16.39,5.39,2.16,0.00,8.84,0.45,2.44,0.090,2,708.5,346.7,8,67
450000,8,1710,5.59,0.15,0.10,0.11,5.22,0.01,1.06,0.004,5,815922.0,47.2,12,0
450000,1,716,26.68,12.44,1.86,0.09,12.29,0.66,4.55,0.200,60,804640.8,170443.2,5,0
450000,0,62,15.11,2.35,2.35,0.00,10.40,0.13,1.66,0.032,3,760.1,301.9,9,61
460000,8,1625,6.56,0.23,0.10,0.14,6.09,0.01,1.08,0.002,11,814599.1,585.6,13,6
460000,1,777,23.85,11.84,1.38,0.01,10.61,0.50,4.35,0.181,55,805384.5,171653.6,7,8
460000,0,52,8.63,0.29,0.48,0.00,7.87,0.00,1.04,0.000,2,664.0,246.7,7,52
470000,8,1636,6.45,0.15,0.07,0.38,5.85,0.00,1.06,0.002,5,815095.8,1585.0,12,6
470000,1,701,27.17,12.30,1.33,0.04,13.49,0.48,4.55,0.170,58,802889.6,177452.1,7,3
470000,0,58,12.29,2.52,1.03,0.91,7.83,0.19,1.73,0.052,3,642.1,246.1,12,58
480000,8,1675,6.06,0.36,0.07,0.08,5.56,0.01,1.13,0.005,6,816281.1,3358.0,11,16
480000,1,660,30.97,16.43,1.89,0.25,12.39,0.60,5.69,0.232,56,806822.4,169900.8,11,22
480000,0,56,9.16,0.91,0.30,0.05,7.89,0.04,1.27,0.018,2,607.2,242.1,10,55
490000,8,1677,6.12,0.22,0.14,0.13,5.63,0.01,1.08,0.003,7,813360.1,1584.7,9,1
490000,1,579,33.88,16.39,1.62,0.27,15.61,0.61,5.64,0.228,43,796245.6,150609.4,6,0
490000,0,73,17.19,2.74,1.63,0.10,12.73,0.26,1.73,0.055,2,696.1,297.0,11,73
500000,8,1662,6.59,0.37,0.12,0.20,5.90,0.02,1.11,0.006,7,818497.1,3000.3,14,37
500000,1,570,28.38,14.58,1.45,0.09,12.26,0.42,5.19,0.161,61,788484.6,151209.1,8,9
500000,0,47,8.53,1.64,0.09,0.00,6.81,0.04,1.42,0.021,1,617.9,261.4,11,47
510000,8,1639,6.26,0.32,0.21,0.08,5.65,0.03,1.10,0.007,6,817637.4,3522.7,14,15
510000,1,748,25.58,11.51,1.62,0.24,12.22,0.49,4.18,0.162,41,789869.2,149114.5,9,11
510000,0,50,10.66,2.10,0.28,0.00,8.28,0.08,1.63,0.020,1,365.7,133.4,10,50
520000,8,1359,8.32,0.57,0.35,0.08,7.32,0.07,1.15,0.015,14,814646.0,13128.8,14,5
520000,1,654,23.84,12.95,0.91,0.39,9.59,0.39,4.64,0.162,70,800535.0,150692.3,8,12
520000,0,74,14.84,3.39,1.45,0.04,9.96,0.38,1.88,0.095,3,410.2,194.4,7,73
530000,8,1329,9.77,0.84,0.26,0.25,8.42,0.05,1.22,0.014,7,815026.5,36833.1,7,27
530000,1,599,32.99,19.84,1.11,0.05,12.00,0.37,6.07,0.147,61,778903.2,134634.3,5,19
530000,0,76,16.49,4.54,1.12,0.00,10.83,0.24,2.14,0.079,3,390.7,317.6,7,76
540000,8,1411,9.65,1.31,0.35,0.26,7.73,0.07,1.33,0.026,6,817765.1,48652.9,6,59
540000,1,494,34.66,20.91,2.32,0.04,11.38,0.55,6.23,0.221,37,742308.8,115442.5,4,16
540000,0,47,18.11,6.85,1.43,0.21,9.62,0.34,2.72,0.149,2,436.3,705.8,3,47
550000,8,1574,7.19,0.11,0.08,0.23,6.77,0.01,1.03,0.003,11,814016.9,11768.3,8,1
