step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
10000,9248,1.552,0.021,9.02,1140831,1104255,1319,581,31493,1189275,5139244.0,81113.8,0.558,0.113,0.124,0.107,0.098,146,14.69,15.37,0.61,4.50,0.39,2.65,0.35,2.39,13.34,13.82,0.03,0.32,0.014,0.078,1747,0.055,0.725,0.009,0.002,0.264,1080250,936908,16,0.303,0.259,0.047,6427637,0.120,0.100,0.000,648.96,407287,134,0.068,0.477,0.006,38783494,1.14,14.75,0.032,0.073,0.011,4,8,38,64,4748,60,4.80,0.0042,0.004,305
20000,9890,1.488,0.020,8.73,1269436,1221182,4635,914,42063,1747519,4546071.0,124924.7,0.705,0.080,0.084,0.069,0.063,133,12.77,14.62,0.80,4.78,0.47,3.26,0.24,2.35,11.26,12.83,0.05,0.44,0.019,0.112,1689,0.079,0.730,0.016,0.001,0.253,1231062,1141383,31,0.381,0.099,0.040,4363229,0.078,0.094,0.000,653.14,435680,119,0.071,0.582,0.010,57143325,1.19,16.01,0.030,0.097,0.017,3,6,31,64,4954,65,0.61,0.0041,0.018,216
30000,9683,1.509,0.019,9.22,1290816,1243828,4862,1142,41191,2538877,4536442.5,180486.2,0.710,0.076,0.081,0.068,0.065,121,12.80,13.99,0.81,4.37,0.27,1.86,0.26,1.96,11.45,12.40,0.05,0.42,0.013,0.076,1962,0.042,0.711,0.023,0.001,0.264,1255584,1175669,44,0.292,0.117,0.041,4169500,0.065,0.102,0.000,652.38,462018,197,0.071,0.384,0.012,85936424,1.17,15.82,0.026,0.104,0.017,3,7,31,64,4545,75,1.37,0.0041,0.013,206
40000,10221,1.465,0.019,9.14,1349091,1294066,5086,2952,46449,3005600,4462473.0,216789.7,0.722,0.065,0.069,0.072,0.072,111,11.95,12.87,0.77,4.85,0.31,2.09,0.23,2.01,10.64,10.92,0.05,0.43,0.012,0.068,1779,0.053,0.706,0.014,0.001,0.279,1317763,1230874,49,0.263,0.124,0.033,3369563,0.060,0.101,0.000,651.83,483290,205,0.072,0.251,0.011,78005671,1.16,16.14,0.012,0.079,0.014,3,7,28,64,4829,65,1.92,0.0041,0.014,176
50000,10549,1.430,0.018,8.68,1422284,1364326,5525,1762,50343,3381220,4423507.5,229892.0,0.721,0.070,0.074,0.066,0.069,94,11.21,12.24,0.88,5.22,0.32,2.15,0.24,2.08,9.78,10.20,0.06,0.44,0.012,0.078,1859,0.054,0.722,0.026,0.001,0.250,1394205,1312805,40,0.286,0.248,0.029,3233097,0.066,0.093,0.000,652.45,498678,260,0.068,0.294,0.018,144009423,1.21,16.70,0.012,0.144,0.018,3,6,24,64,4535,84,1.31,0.0043,0.015,159
60000,10405,1.442,0.018,8.17,1425811,1368932,5999,2443,48581,4164890,4405940.0,283898.4,0.736,0.066,0.071,0.061,0.065,109,11.52,12.84,0.85,4.94,0.56,3.39,0.20,2.00,9.91,10.59,0.06,0.46,0.020,0.101,1892,0.101,0.680,0.035,0.001,0.284,1397838,1326194,40,0.594,0.035,0.025,2306856,0.057,0.092,0.000,651.60,497531,269,0.068,0.297,0.017,173359098,1.20,16.96,0.012,0.149,0.019,3,6,26,64,4312,94,2.16,0.0043,0.010,176
70000,9905,1.492,0.018,8.50,1371965,1318361,6652,868,46584,4327249,4412938.5,295008.0,0.737,0.064,0.069,0.063,0.067,110,12.20,14.82,0.95,4.98,0.37,2.52,0.23,2.19,10.64,13.15,0.07,0.48,0.014,0.080,1899,0.074,0.723,0.035,0.002,0.240,1345010,1281002,49,0.497,0.080,0.026,2936522,0.052,0.102,0.000,651.46,485469,305,0.068,0.315,0.020,201140084,1.22,16.97,0.028,0.172,0.024,3,6,33,64,4432,73,2.30,0.0042,0.014,157
80000,9736,1.533,0.019,8.53,1324362,1268206,6063,4734,45528,4695639,4402343.0,330118.2,0.727,0.062,0.066,0.070,0.074,111,12.82,15.33,1.28,6.02,0.54,2.81,0.24,2.21,10.76,12.79,0.09,0.57,0.014,0.070,2099,0.055,0.726,0.035,0.004,0.235,1298798,1229574,41,0.450,0.077,0.030,2481258,0.072,0.110,0.000,651.40,468657,243,0.070,0.413,0.020,171761066,1.29,16.53,0.028,0.179,0.029,4,7,36,64,4737,66,2.35,0.0042,0.005,187
90000,10272,1.491,0.018,8.73,1181364,1122102,4534,16370,37822,8347305,4305585.5,601364.9,0.665,0.069,0.072,0.093,0.100,114,11.33,13.70,2.02,7.70,0.58,2.79,0.16,1.52,8.57,9.44,0.16,0.77,0.017,0.075,2344,0.040,0.751,0.076,0.002,0.170,1153176,1065041,31,0.373,0.101,0.038,3369421,0.117,0.099,0.000,644.25,420283,210,0.072,0.455,0.038,208708575,1.47,17.15,0.016,0.287,0.049,3,6,30,64,4834,98,9.51,0.0049,0.020,192
100000,8828,1.659,0.021,8.71,1041642,966226,3640,41207,32013,7533261,4700027.0,672977.4,0.606,0.076,0.080,0.115,0.123,115,14.93,17.26,3.44,9.52,0.75,3.38,0.23,1.94,10.50,10.81,0.17,0.70,0.020,0.086,2366,0.063,0.716,0.091,0.006,0.186,1010842,906998,31,0.311,0.214,0.044,3702252,0.150,0.097,0.000,641.22,380075,120,0.089,0.389,0.034,157555524,1.79,15.41,0.036,0.255,0.060,3,7,47,64,4436,78,12.53,0.0051,0.026,232
