step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
10000,8,1606,6.93,0.14,0.08,0.31,6.39,0.01,1.05,0.004,7,843455.8,624.1,6,15
10000,2,1256,12.98,0.59,0.71,0.46,11.22,0.02,1.13,0.006,28,818360.4,944.8,4,14
10000,0,44,8.70,0.02,0.00,0.55,8.14,0.00,1.05,0.000,2,102182.1,1508.5,4,44
20000,8,1708,5.90,0.06,0.04,0.17,5.63,0.00,1.02,0.001,6,812395.6,73.9,8,57
20000,2,1358,10.49,0.26,0.45,0.35,9.43,0.01,1.08,0.005,29,822059.5,1529.4,4,15
20000,0,54,8.33,0.09,0.13,0.15,7.96,0.00,1.02,0.000,4,455.8,22.8,6,54
30000,8,1628,6.45,0.08,0.03,0.15,6.18,0.00,1.02,0.001,7,820805.1,410.8,13,20
30000,2,1041,17.25,2.08,0.39,0.83,13.95,0.08,1.57,0.036,24,816417.8,8494.0,3,16
30000,0,81,11.31,0.22,0.15,0.14,10.80,0.00,1.05,0.000,3,789.3,36.5,5,81
40000,8,1525,6.83,0.02,0.15,0.15,6.52,0.00,1.01,0.000,7,816726.4,964.8,10,17
40000,2,1191,14.02,0.37,0.38,0.94,12.33,0.00,1.10,0.000,24,818851.8,16649.9,5,5
40000,0,87,7.43,0.00,0.03,0.01,7.38,0.00,1.00,0.000,2,1116.7,23.4,10,87
50000,8,1689,5.81,0.04,0.06,0.18,5.53,0.00,1.01,0.000,6,815579.5,19.3,13,13
50000,2,1174,14.46,0.18,0.08,0.91,13.29,0.00,1.06,0.000,23,815992.8,259.2,6,5
50000,0,83,7.98,0.01,0.11,0.22,7.64,0.00,1.01,0.000,5,900.7,0.3,10,83
60000,8,1649,6.05,0.01,0.09,0.10,5.85,0.00,1.00,0.000,5,813818.2,140.6,19,14
60000,2,1169,14.04,0.20,0.19,0.21,13.45,0.00,1.07,0.001,31,819134.1,223.9,7,6
60000,0,80,9.04,0.34,0.10,0.21,8.39,0.00,1.19,0.000,3,949.3,0.3,8,80
70000,8,1646,5.61,0.03,0.13,0.11,5.34,0.00,1.02,0.001,6,812952.8,28.4,19,26
70000,2,1252,13.30,0.13,0.57,0.45,12.14,0.02,1.04,0.003,25,815494.8,106.8,9,17
70000,0,46,8.00,0.09,0.20,0.09,7.63,0.00,1.03,0.000,2,944.3,0.1,11,46
80000,8,1689,5.61,0.02,0.13,0.11,5.35,0.00,1.01,0.000,5,815303.6,12.2,20,1
80000,2,1163,14.94,0.28,0.68,0.59,13.39,0.02,1.08,0.006,21,816854.1,183.9,6,3
80000,0,61,8.18,0.02,0.08,0.00,8.08,0.00,1.00,0.000,2,1153.1,0.4,13,61
90000,8,1663,5.75,0.06,0.14,0.18,5.37,0.00,1.02,0.001,6,813281.8,13.9,14,3
90000,2,1133,14.86,0.04,0.14,1.17,13.50,0.00,1.01,0.001,22,813042.1,316.4,6,3
90000,0,74,7.61,0.00,0.07,0.15,7.39,0.00,1.00,0.000,1,1380.7,2.8,13,74
100000,8,1598,6.10,0.10,0.09,0.19,5.71,0.00,1.04,0.000,7,812928.2,17.6,12,1
100000,2,1078,17.91,0.21,0.06,1.88,15.76,0.00,1.07,0.002,21,811863.4,186.1,7,13
100000,0,80,8.21,0.04,0.35,0.41,7.41,0.00,1.00,0.000,2,1489.5,1.5,10,80
