step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
10000,2155,1.623,0.010,10.21,320704,310476,558,13,9030,76879,1741538.1,5130.4,0.785,0.067,0.049,0.052,0.047,504,17.77,18.50,0.39,2.77,0.21,2.13,0.42,2.58,16.76,17.77,0.01,0.12,0.009,0.068,624,0.072,0.645,0.001,0.000,0.353,309796,283120,6,0.325,0.042,0.059,1923938,0.061,0.051,0.000,162.87,129814,76,0.067,0.769,0.000,2576107,1.10,14.83,0.086,0.007,0.002,4,9,55,64,1022,43,0.57,0.0048,0.002,56
20000,2472,1.505,0.013,10.13,336792,327238,1359,4,7874,7761,1628604.2,551.4,0.845,0.032,0.018,0.053,0.052,428,13.65,14.21,0.26,1.63,1.20,5.34,0.65,3.48,11.54,11.31,0.01,0.21,0.029,0.116,580,0.085,0.683,0.004,0.000,0.313,330848,307457,10,0.217,0.395,0.082,1639137,0.020,0.057,0.000,163.33,138603,177,0.071,0.750,0.000,728301,1.09,15.99,0.032,0.005,0.005,4,7,34,64,1238,54,0.11,0.0057,0.026,45
30000,2485,1.506,0.011,10.10,365997,358003,1513,3,6465,18856,1628063.8,1193.7,0.832,0.028,0.014,0.062,0.064,420,12.90,11.29,0.46,2.94,0.20,1.82,0.42,2.60,11.83,9.92,0.00,0.10,0.012,0.072,597,0.078,0.668,0.004,0.000,0.328,358912,334292,13,0.326,0.014,0.068,1553644,0.024,0.063,0.000,163.32,144959,20,0.063,1.000,0.000,1049703,1.14,15.93,0.007,0.022,0.001,4,8,29,64,1185,44,0.12,0.0055,0.004,62
40000,2416,1.544,0.017,9.97,343528,336353,1377,7,5860,8121,1584068.1,579.6,0.799,0.045,0.022,0.067,0.068,468,14.16,12.91,0.54,2.73,0.08,0.93,0.36,2.27,13.19,12.25,0.00,0.06,0.004,0.038,491,0.097,0.705,0.002,0.001,0.292,335850,313195,5,0.287,0.264,0.103,2048518,0.047,0.060,0.000,163.34,132937,44,0.071,0.714,0.001,932037,1.15,15.26,0.006,0.004,0.001,4,8,33,64,1314,43,0.10,0.0050,0.002,84
50000,2546,1.502,0.015,9.44,333986,326781,1111,16,5948,12500,1613368.0,872.0,0.761,0.065,0.028,0.072,0.074,502,12.35,11.16,0.37,2.49,0.35,2.70,0.62,2.54,11.01,9.50,0.03,0.27,0.014,0.082,542,0.121,0.712,0.004,0.002,0.282,324090,297465,10,0.362,0.148,0.150,2950071,0.061,0.050,0.000,163.39,124956,114,0.070,0.625,0.002,903830,1.10,16.01,0.002,0.038,0.010,4,7,31,64,1308,50,0.05,0.0058,0.027,62
60000,2444,1.525,0.016,9.76,344417,338279,1131,25,5084,26608,1617505.1,1878.1,0.761,0.061,0.028,0.073,0.076,544,13.22,12.22,1.12,4.10,0.07,1.02,0.46,2.36,11.57,10.15,0.01,0.18,0.003,0.033,542,0.086,0.715,0.003,0.003,0.279,334391,305726,12,0.313,0.027,0.120,3209404,0.061,0.061,0.000,163.38,120151,68,0.071,0.560,0.003,875469,1.28,15.47,0.003,0.041,0.004,4,7,34,64,1323,48,0.06,0.0057,0.003,61
70000,2582,1.502,0.016,9.31,346054,339163,1411,93,5249,49386,1607666.1,3937.6,0.773,0.059,0.027,0.067,0.074,536,12.18,11.94,0.28,1.92,0.26,2.57,1.24,4.82,10.41,9.49,0.00,0.08,0.009,0.070,505,0.113,0.694,0.001,0.000,0.305,335620,308209,11,0.279,0.009,0.198,4688336,0.052,0.080,0.000,163.26,123536,69,0.080,0.613,0.000,1348606,1.09,16.08,0.008,0.005,0.001,4,7,31,64,1303,63,0.18,0.0060,0.009,60
80000,2576,1.477,0.015,8.89,348714,341086,1438,19,6177,8970,1609509.4,659.2,0.768,0.059,0.028,0.068,0.077,523,12.51,11.81,0.15,1.26,0.11,1.23,1.00,3.71,11.24,10.42,0.00,0.08,0.006,0.048,443,0.127,0.708,0.001,0.000,0.292,338330,311565,10,0.323,0.033,0.148,4401020,0.047,0.056,0.000,163.28,118830,187,0.073,0.421,0.000,3890214,1.04,15.89,0.006,0.019,0.000,4,7,32,64,1307,63,0.15,0.0056,0.001,73
90000,2529,1.487,0.016,8.53,360312,351780,1345,6,7228,7247,1612943.8,603.6,0.774,0.059,0.028,0.066,0.073,590,12.65,11.93,0.30,2.59,0.33,2.51,0.58,3.40,11.45,10.14,0.01,0.13,0.010,0.072,462,0.140,0.686,0.002,0.001,0.311,350017,322915,11,0.348,0.006,0.124,2711245,0.058,0.052,0.000,163.33,114276,108,0.083,0.833,0.001,1084380,1.08,15.68,0.013,0.012,0.004,4,7,27,64,1297,56,0.11,0.0056,0.003,117
100000,2486,1.525,0.017,8.61,350410,341825,1165,11,7452,9583,1615778.4,602.8,0.761,0.059,0.030,0.073,0.076,602,12.62,11.10,0.10,1.31,0.16,1.54,0.88,3.83,11.48,9.44,0.00,0.12,0.006,0.052,436,0.090,0.698,0.001,0.000,0.301,339469,312396,8,0.342,0.300,0.156,3103872,0.054,0.056,0.000,162.96,102992,17,0.063,1.000,0.000,1318163,1.03,15.47,0.004,0.003,0.001,4,7,31,64,1288,59,0.48,0.0057,0.003,96
