step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
10000,2347,1.539,0.026,7.00,269282,260741,261,821,6641,625137,1764684.4,42757.9,0.522,0.111,0.128,0.112,0.127,878,13.57,11.35,0.61,3.05,0.54,2.69,0.32,1.98,12.10,8.91,0.11,0.61,0.018,0.081,667,0.051,0.739,0.035,0.009,0.217,252885,217175,4,0.560,0.304,0.050,1938218,0.179,0.125,0.000,162.83,89623,141,0.068,0.459,0.020,10308325,1.13,14.11,0.006,0.139,0.035,4,9,28,64,1275,22,0.48,0.0062,0.023,140
20000,2193,1.590,0.030,7.59,329896,313639,944,3098,12369,774875,1606673.0,54965.1,0.645,0.058,0.058,0.110,0.128,689,14.37,14.96,1.62,5.65,1.17,4.63,0.17,1.65,11.41,10.02,0.23,0.94,0.024,0.093,680,0.068,0.823,0.063,0.009,0.105,318274,293527,7,0.402,0.016,0.026,586898,0.059,0.184,0.000,163.16,110432,256,0.071,0.536,0.041,6606472,1.31,14.40,0.021,0.472,0.057,4,8,35,64,1155,18,0.15,0.0064,0.008,129
30000,2243,1.598,0.023,7.05,286666,273740,310,4011,8555,2864203,1643628.6,171204.5,0.471,0.085,0.088,0.158,0.198,670,13.82,15.06,1.47,5.74,1.36,5.07,0.11,1.66,10.89,10.54,0.24,0.96,0.030,0.108,575,0.074,0.810,0.055,0.005,0.130,275729,241294,6,0.475,0.185,0.015,442080,0.106,0.088,0.000,163.19,96183,212,0.060,0.638,0.040,12295432,1.26,14.28,0.032,0.470,0.062,4,8,37,64,1234,17,0.13,0.0067,0.000,74
40000,2726,1.417,0.030,7.79,327348,309266,684,3367,13548,2270870,1622544.1,146648.6,0.600,0.074,0.078,0.116,0.132,579,9.64,9.50,0.92,4.06,0.66,3.78,0.11,0.95,7.94,6.54,0.15,0.82,0.018,0.090,701,0.095,0.777,0.040,0.010,0.173,316720,289851,11,0.237,0.182,0.030,751396,0.073,0.175,0.000,163.18,114153,257,0.065,0.575,0.032,15025606,1.21,16.29,0.006,0.390,0.034,4,7,17,64,1238,24,0.14,0.0075,0.007,89
50000,2628,1.473,0.025,8.02,368119,346695,926,2963,17633,1316113,1617075.2,96042.3,0.676,0.062,0.063,0.093,0.106,481,11.15,10.29,0.84,4.04,0.63,3.56,0.06,1.20,9.61,7.69,0.10,0.64,0.019,0.093,657,0.072,0.707,0.042,0.012,0.240,357597,333134,14,0.310,0.025,0.007,569344,0.043,0.138,0.000,163.19,132823,309,0.073,0.479,0.032,13293477,1.17,15.30,0.011,0.309,0.029,4,8,20,64,1280,28,0.13,0.0064,0.027,48
60000,2665,1.453,0.020,8.09,372192,351508,1318,1934,17395,1000946,1605758.1,71340.0,0.730,0.056,0.054,0.075,0.085,516,10.46,9.76,0.51,3.03,0.75,4.01,0.06,0.91,9.13,7.21,0.08,0.60,0.022,0.100,617,0.071,0.737,0.019,0.005,0.239,361516,340669,13,0.245,0.119,0.011,288851,0.063,0.086,0.000,163.28,130066,289,0.071,0.537,0.018,8906825,1.10,16.15,0.005,0.236,0.020,4,8,23,64,1312,25,0.03,0.0066,0.051,65
70000,2909,1.371,0.018,8.73,365196,343651,1183,1468,18650,469161,1628889.2,33398.8,0.724,0.057,0.056,0.080,0.083,532,9.34,7.30,0.22,2.49,0.24,1.91,0.06,1.28,8.82,5.81,0.02,0.28,0.010,0.075,547,0.088,0.706,0.004,0.001,0.289,355873,336052,13,0.294,0.017,0.014,232600,0.079,0.085,0.000,163.25,132444,336,0.071,0.490,0.003,4548894,1.04,16.31,0.004,0.092,0.005,4,7,16,64,1371,27,0.07,0.0064,0.031,56
80000,2616,1.448,0.028,8.67,361301,343904,1235,1511,14944,263640,1632863.5,19083.5,0.737,0.071,0.060,0.065,0.067,512,11.29,9.33,0.07,0.91,0.30,2.19,0.07,0.84,10.84,8.85,0.01,0.19,0.021,0.116,574,0.093,0.709,0.002,0.000,0.289,351105,336011,9,0.286,0.010,0.017,257805,0.073,0.192,0.001,163.27,133648,295,0.072,0.490,0.000,2647891,1.02,15.54,0.004,0.018,0.002,4,8,23,64,1321,21,0.05,0.0058,0.040,50
90000,2665,1.473,0.024,9.10,350023,332674,1092,23,16185,3459,1616240.0,172.7,0.712,0.085,0.068,0.067,0.068,571,11.53,11.85,0.35,3.77,0.23,1.97,0.18,2.08,10.77,10.90,0.01,0.21,0.012,0.063,536,0.097,0.708,0.000,0.000,0.292,340456,319485,10,0.215,0.006,0.015,295706,0.039,0.120,0.000,163.28,121178,27,0.050,0.783,0.000,1354517,1.12,16.32,0.007,0.010,0.002,4,7,27,64,1399,22,0.03,0.0056,0.014,50
100000,2784,1.437,0.023,9.09,356635,340134,1421,36,14925,9075,1606839.5,675.9,0.740,0.071,0.062,0.064,0.064,489,10.49,9.84,0.27,2.30,0.38,2.73,0.05,0.71,9.79,9.10,0.01,0.18,0.019,0.105,606,0.065,0.706,0.005,0.000,0.289,348015,327671,13,0.191,0.031,0.009,562626,0.037,0.108,0.000,163.29,129423,348,0.074,0.583,0.001,1456835,1.10,16.05,0.003,0.038,0.003,4,7,23,64,1392,23,0.03,0.0059,0.003,53
