step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std
10000,5184,1.704,0.588,5.33,386010,359960,21,0,22341,2989,1026750.8,2762385.2,0.106,0.590,0.123,0.181,87,13.44,5.54,0.05,0.70,0.05,1.03,0.15,1.25,13.20,5.23,0.00,0.00,0.003,0.044,519,0.183,0.018,0.956,0.000,0.026,717445,634849,7,0.843,0.135,0.059,2916179,0.144,2.099,0.040,13.52,179809,0,924.184,0.000,0.885,30135920,1.02,15.51,0.002,0.000,0.000,8.0,13.0,18.0,64.0,69654,0.266,0.00,0.0015,0.042,398,0.870,0.000,0.902,0.473,3.29,4.48,3.82,0.00,0.001,1.01,1.01,1.02,0.870,0.00119,2.13,411.0183,8031.53,63336.3,140227.0,49.254,112.6086,334.266,422.541,0.830,0.215,7.0,6.184,157.751,219,495.1,71.96,26.195,98.936,635.6,88.530,0.135,2.00,10.9996,57021.9,1.0356,0.3124,13.44,1.000,0.000
20000,5045,1.665,0.586,5.14,362248,340878,40,3,21466,109,779817.6,2603394.2,0.026,0.755,0.058,0.162,113,13.14,4.95,0.05,0.73,0.02,0.65,0.11,1.23,12.97,4.69,0.00,0.00,0.001,0.027,436,0.178,0.028,0.949,0.000,0.023,685130,622155,7,0.848,0.000,0.023,1680946,0.110,2.185,0.040,11.51,153866,80,23884.351,0.667,0.879,36773399,1.02,15.68,0.001,0.000,0.000,8.0,13.0,16.0,64.0,66304,0.253,0.00,0.0012,0.038,439,0.872,0.000,0.932,0.483,3.30,4.56,3.73,0.00,0.000,1.02,1.02,1.02,0.872,0.00137,2.73,364.3939,8012.27,63845.9,140227.0,68.891,85.3462,299.536,174.458,0.825,0.220,5.8,6.925,151.942,230,461.9,58.74,5.315,80.707,637.9,74.435,0.134,2.00,11.3089,57053.6,1.0550,0.2864,13.14,1.000,0.000
30000,5076,1.671,0.547,5.16,358189,337592,51,1,20514,101,765268.9,2521186.5,0.024,0.758,0.061,0.157,113,12.53,4.97,0.05,0.73,0.01,0.29,0.13,1.58,12.34,4.60,0.00,0.00,0.001,0.033,403,0.137,0.023,0.954,0.000,0.022,673449,620713,3,0.979,0.000,0.020,1103308,0.142,2.110,0.035,10.93,153151,223,24962.243,0.000,0.881,37559816,1.02,15.99,0.001,0.001,0.000,8.0,13.0,16.0,64.0,63598,0.243,0.00,0.0012,0.038,440,0.871,0.000,0.940,0.480,3.30,4.40,3.98,0.00,0.000,1.02,1.02,1.02,0.871,0.00126,2.70,356.3392,7525.65,63144.1,140227.0,70.506,84.1573,293.923,169.466,0.759,0.218,6.1,6.406,151.658,158,299.7,74.76,4.637,79.708,633.2,73.456,0.135,2.00,11.4980,58363.6,1.1156,0.3899,12.53,1.000,0.000
40000,4957,1.653,0.605,5.11,355657,334532,62,1,21181,139,762892.1,2430937.8,0.026,0.741,0.067,0.166,111,11.99,5.16,0.07,0.92,0.03,0.55,0.17,1.76,11.72,4.55,0.00,0.04,0.002,0.031,438,0.130,0.020,0.953,0.000,0.027,656797,606224,3,0.986,0.004,0.027,1047077,0.159,2.456,0.040,10.30,147987,73,17488.761,0.000,0.881,37956751,1.02,16.34,0.001,0.000,0.000,7.0,12.0,15.0,64.0,59457,0.227,0.00,0.0013,0.040,385,0.870,0.000,0.937,0.472,3.34,4.25,4.32,0.00,0.001,1.02,1.03,1.03,0.870,0.00116,2.54,348.4165,8314.71,62325.5,140227.0,70.484,84.9838,288.627,170.759,0.790,0.215,5.3,5.749,152.613,185,375.5,71.76,4.456,80.511,712.6,73.955,0.135,2.00,11.8206,58594.6,1.1871,0.6610,11.99,1.000,0.000
50000,4911,1.653,0.575,5.39,342279,322133,69,3,20120,220,759501.9,2373341.2,0.038,0.731,0.058,0.172,107,11.89,4.80,0.10,1.13,0.01,0.33,0.16,1.66,11.61,4.26,0.00,0.04,0.001,0.022,427,0.128,0.019,0.954,0.000,0.027,640857,587387,3,0.975,0.000,0.027,1157971,0.157,2.105,0.038,10.31,138562,34,10787.915,0.667,0.881,37188059,1.04,15.64,0.001,0.000,0.000,8.0,12.0,16.0,64.0,58383,0.223,0.00,0.0013,0.040,435,0.873,0.000,0.936,0.479,3.53,4.57,4.70,0.00,0.000,1.03,1.05,1.03,0.873,0.00110,2.55,340.5546,7859.88,62846.0,140227.0,70.638,85.3161,281.046,168.403,0.824,0.212,5.3,5.390,153.028,183,378.8,67.34,4.600,80.344,736.9,73.422,0.135,2.00,11.9458,58665.7,1.2006,0.6522,11.89,1.000,0.000
60000,4808,1.685,0.550,5.27,329844,311406,123,2,18416,66,756142.6,2322211.0,0.060,0.725,0.049,0.166,108,12.27,4.97,0.08,0.99,0.01,0.18,0.18,1.79,12.01,4.61,0.00,0.00,0.000,0.014,384,0.140,0.020,0.958,0.000,0.022,619668,557789,3,0.984,0.000,0.024,1086846,0.167,2.074,0.035,10.52,125085,148,35185.015,0.500,0.879,36246692,1.03,15.03,0.001,0.000,0.000,8.0,12.0,16.0,64.0,58989,0.225,0.00,0.0013,0.036,437,0.875,0.000,0.935,0.480,3.68,5.04,4.47,0.00,0.000,1.04,1.04,1.04,0.875,0.00107,2.80,332.2528,7393.35,62209.0,140227.0,70.256,85.5901,274.370,174.988,0.787,0.212,5.1,5.126,152.492,169,353.8,61.07,4.800,80.260,800.6,72.719,0.135,2.00,12.4222,59726.1,1.1952,0.4488,12.27,1.000,0.000
70000,4720,1.723,0.575,5.18,335642,316112,102,0,19516,13,760020.2,2376287.5,0.074,0.718,0.054,0.154,108,12.77,4.81,0.07,0.98,0.00,0.09,0.16,1.49,12.54,4.52,0.00,0.00,0.001,0.022,390,0.147,0.019,0.953,0.000,0.027,631849,565763,2,0.977,0.002,0.023,1156239,0.178,2.170,0.039,10.69,121540,0,182791.346,0.000,0.884,34513383,1.02,14.11,0.001,0.000,0.000,8.0,13.0,16.0,64.0,60257,0.230,0.00,0.0013,0.035,510,0.868,0.000,0.936,0.481,3.74,5.59,4.05,0.00,0.000,1.02,1.03,1.02,0.868,0.00116,2.96,337.8014,7872.52,62750.9,140227.0,69.248,86.2042,277.709,182.608,0.814,0.214,5.4,5.483,153.033,170,357.6,69.39,4.869,80.946,767.7,73.067,0.134,2.00,12.4391,58712.5,1.1517,0.3526,12.77,1.000,0.000
80000,4685,1.738,0.587,5.28,331040,311260,117,0,19698,64,765388.1,2402798.0,0.075,0.702,0.051,0.172,108,13.09,4.98,0.06,0.69,0.01,0.26,0.16,1.67,12.87,4.70,0.00,0.00,0.000,0.014,393,0.168,0.018,0.956,0.000,0.025,639877,577042,2,0.973,0.000,0.025,1215616,0.185,2.141,0.041,10.87,123840,0,37543.719,0.000,0.886,32708148,1.02,13.20,0.001,0.000,0.000,8.0,13.0,16.0,64.0,61346,0.234,0.00,0.0013,0.036,487,0.868,0.000,0.934,0.494,3.86,6.19,3.73,0.00,0.000,1.02,1.02,1.03,0.868,0.00118,2.98,339.7202,8044.95,61808.2,140227.0,68.492,86.7677,277.349,189.838,0.818,0.212,5.0,5.509,153.315,161,320.7,58.15,5.052,81.504,820.4,73.378,0.135,2.00,12.6860,59434.0,1.1550,0.9989,13.09,1.000,0.000
90000,4747,1.734,0.622,5.19,334987,314783,138,0,20004,25,774419.9,2450068.8,0.090,0.691,0.050,0.169,108,13.36,4.43,0.07,1.01,0.00,0.01,0.15,1.48,13.14,4.18,0.00,0.00,0.000,0.015,372,0.190,0.020,0.956,0.000,0.023,652486,590223,1,0.996,0.004,0.023,1273093,0.200,2.129,0.043,11.40,127753,0,98002.750,0.000,0.878,31365698,1.02,12.95,0.000,0.000,0.000,8.0,14.0,16.0,64.0,63419,0.242,0.00,0.0012,0.035,626,0.866,0.000,0.935,0.498,3.86,6.25,3.69,0.00,0.000,1.02,1.03,1.02,0.866,0.00121,3.14,344.9160,8491.95,61818.5,140227.0,67.017,87.9590,280.363,197.988,0.896,0.211,5.9,5.726,154.089,214,471.6,55.70,5.415,82.282,830.9,73.843,0.135,2.00,12.3693,58717.0,1.1005,1.1817,13.36,1.000,0.000
100000,4968,1.714,0.564,5.20,346133,325913,89,0,19910,23,779045.4,2492737.0,0.090,0.651,0.068,0.191,105,12.83,4.85,0.08,1.19,0.00,0.07,0.17,1.59,12.58,4.57,0.00,0.00,0.000,0.004,428,0.153,0.021,0.958,0.000,0.021,665183,591366,1,0.980,0.020,0.033,1430124,0.207,1.884,0.039,10.84,133885,0,108379.870,0.000,0.885,30646170,1.03,13.37,0.000,0.000,0.000,8.0,12.0,16.0,64.0,63730,0.243,0.00,0.0012,0.039,558,0.867,0.000,0.939,0.491,3.73,6.13,3.52,0.00,0.000,1.03,1.04,1.03,0.867,0.00111,3.08,352.9568,7783.43,63146.1,140227.0,66.509,88.8887,287.692,204.486,0.811,0.215,5.2,5.495,154.672,135,295.1,29.94,5.162,83.415,771.1,75.266,0.135,2.00,11.6819,58035.5,1.1135,0.3528,12.83,1.000,0.000
