step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,967,30.60,2.04,4.52,0.16,15.76,0.56,1.49,0.143,0.249,447625.8,1081867.9,1,56,4.14,1.52,1.29,107.8105,2749.96,92912.5,0.1065,5.5525,5462,7.2861,116,48.3733,373187.4
10000,1,667,32.41,1.95,5.57,0.32,16.21,0.63,1.45,0.139,0.182,378749.8,845787.8,1,72,4.29,1.52,1.21,86.4384,2447.04,11977.9,11.3873,7.2973,5461,7.2847,237,37.1402,282029.3
10000,2,275,30.70,1.52,4.80,0.82,19.60,0.26,1.29,0.051,0.085,234308.2,475007.8,1,19,4.63,1.20,1.29,51.4372,1178.31,669.3,28.3506,8.8864,5461,7.2847,407,14.8330,111505.0
20000,0,686,43.67,3.53,7.37,0.26,19.91,0.89,1.93,0.322,0.244,386279.2,911070.3,1,48,4.95,2.00,1.16,79.0841,2849.41,96173.8,0.0000,4.9729,5462,8.2364,99,48.9394,349589.7
20000,1,748,31.15,2.22,4.30,0.20,16.85,0.54,1.61,0.191,0.202,311383.1,640717.4,1,61,4.29,1.62,1.16,57.8522,2142.43,11946.1,15.4769,7.5458,5461,8.2349,181,33.6086,245135.0
20000,2,381,30.47,1.72,3.56,0.11,19.13,0.45,1.46,0.155,0.107,147629.5,266059.7,1,42,4.33,1.49,1.08,28.1272,1055.27,719.9,34.8584,9.5795,5461,8.2349,235,6.6801,53738.4
30000,0,636,39.51,4.00,7.05,0.38,22.16,0.79,2.11,0.292,0.246,359120.7,827998.6,1,42,5.05,1.99,1.42,70.1199,2700.59,99156.2,0.0000,4.1544,5462,8.1193,125,48.6781,327227.7
30000,1,509,37.26,2.98,6.61,0.51,22.92,0.81,1.79,0.306,0.189,312487.2,653902.6,1,50,5.21,1.77,1.16,54.6072,2046.24,13018.9,15.1647,6.9720,5461,8.1178,214,36.5900,250767.8
30000,2,356,30.73,2.02,5.19,0.69,19.76,0.59,1.51,0.213,0.115,142184.4,267417.5,1,44,4.55,1.51,1.08,26.1703,843.68,465.6,34.4055,9.6703,5461,8.1178,184,5.8165,47680.0
40000,0,561,41.73,4.32,7.55,0.28,21.99,0.97,2.19,0.442,0.218,347308.3,752761.4,1,50,5.09,2.16,1.20,66.2696,2444.38,99497.5,0.0000,3.8421,5462,7.5929,80,48.0604,317079.8
40000,1,549,37.54,3.50,6.32,0.61,21.64,0.76,1.94,0.353,0.201,310309.2,600641.9,1,37,5.02,1.95,1.13,52.4572,2102.13,12936.8,15.6608,6.8406,5461,7.5915,174,37.1822,249190.3
