step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std
10000,5667,1.320,0.855,26.08,403305,338424,0,44965,15754,1979028,947107.9,2264489.2,0.063,0.731,0.094,0.112,51,9.86,8.39,0.22,1.35,1.45,2.06,0.02,0.37,4.74,6.74,0.00,0.10,0.180,0.170,2121,0.310,0.018,0.939,0.003,0.040,589127,431126,4,0.217,0.764,0.010,2593233,0.150,2.351,0.058,20.87,264231,96,1.144,0.491,0.803,24225474,1.07,20.46,0.001,0.403,0.002,4.0,6.0,20.0,92.1,36476,0.139,0.00,0.0035,0.090,1066,0.678,0.001,0.780,0.331,2.40,4.48,2.50,0.01,0.004,1.05,1.09,1.08,0.719,0.00303,2.49,236.4698,8743.72,96618.0,140456.7,37.291,116.5778,248.799,504.405,0.977,0.287,20.5,17.141,158.248,490,1218.9,39.26,35.188,103.182,3480.1,70.182,0.135,2.00,3.7427,21209.7,1.2557,0.5014,6.44,1.743,0.414
20000,3701,1.932,0.616,24.13,298451,278967,396,10013,11041,769310,818688.4,1825813.8,0.012,0.853,0.060,0.075,53,17.57,10.08,0.06,0.67,1.35,2.82,0.08,0.74,9.63,6.21,0.00,0.07,0.059,0.101,1353,0.056,0.021,0.962,0.001,0.016,422214,293922,18,0.395,0.069,0.027,790403,0.076,2.220,0.040,18.99,219972,100,2.373,0.585,0.780,35531122,1.02,14.72,0.002,0.238,0.000,7.5,16.0,26.0,120.0,41165,0.157,0.00,0.0023,0.053,486,0.790,0.000,0.784,0.319,3.49,6.11,3.79,0.01,0.002,1.02,1.02,1.02,0.806,0.00348,2.70,224.1951,7184.82,68386.9,140456.7,57.572,87.8560,232.089,248.487,0.926,0.219,12.9,12.892,157.155,419,1041.4,88.00,12.738,84.578,1386.7,69.432,0.134,2.00,14.4606,53518.8,1.9005,0.5953,11.12,1.666,0.447
30000,3579,1.925,0.599,24.34,232645,219757,684,4546,7780,462032,772753.3,1604546.9,0.007,0.850,0.070,0.073,55,18.18,11.92,0.11,1.08,1.14,2.70,0.07,0.69,9.98,6.93,0.00,0.02,0.048,0.095,1247,0.080,0.020,0.963,0.001,0.016,359046,264799,12,0.392,0.055,0.024,915362,0.082,2.248,0.040,18.44,189240,132,3.473,0.463,0.796,32232177,1.04,14.70,0.004,0.221,0.001,8.0,16.0,27.3,128.0,40455,0.154,0.00,0.0022,0.054,480,0.805,0.000,0.764,0.381,3.71,6.19,4.35,0.00,0.001,1.03,1.04,1.04,0.814,0.00332,2.89,213.5240,6851.61,68337.1,140456.7,64.049,85.0274,206.370,218.674,0.904,0.223,11.8,11.870,155.471,382,1014.0,57.91,11.294,78.463,1452.2,64.566,0.134,2.00,15.1161,54100.5,2.0017,0.6446,11.30,1.668,0.439
40000,3765,1.898,0.590,23.84,228023,215787,742,2902,8406,309994,750706.4,1577530.0,0.003,0.855,0.076,0.065,56,16.08,9.47,0.09,0.89,0.57,2.41,0.04,0.61,9.55,5.32,0.00,0.00,0.023,0.081,1102,0.083,0.019,0.960,0.000,0.020,349599,275399,16,0.395,0.133,0.009,641603,0.094,2.211,0.039,17.43,180332,130,5.089,0.462,0.810,36110090,1.03,16.04,0.001,0.125,0.000,8.0,13.7,26.0,122.0,38604,0.147,0.00,0.0021,0.033,444,0.827,0.000,0.747,0.379,3.86,5.81,5.20,0.00,0.001,1.04,1.04,1.03,0.833,0.00266,2.90,219.6602,7286.62,62426.6,140456.7,67.950,82.3952,206.527,203.405,0.904,0.206,8.9,10.001,155.030,358,792.4,60.96,10.411,75.554,1136.6,63.479,0.135,2.00,15.9374,60004.3,2.0819,0.6668,10.25,1.631,0.457
50000,3607,1.905,0.516,22.63,227042,214919,839,1690,9752,136452,726328.6,1539712.8,0.006,0.838,0.082,0.074,56,16.96,11.22,0.15,1.33,0.14,1.37,0.05,0.75,10.73,6.33,0.00,0.04,0.007,0.044,902,0.140,0.021,0.964,0.000,0.016,343015,289747,16,0.442,0.104,0.007,351683,0.122,1.834,0.037,15.88,175301,105,11.284,0.525,0.808,38596554,1.04,15.50,0.004,0.030,0.001,8.0,13.7,26.0,172.0,39933,0.152,0.00,0.0019,0.032,357,0.851,0.000,0.719,0.373,4.14,5.79,5.72,0.01,0.002,1.05,1.05,1.04,0.853,0.00200,2.58,226.7391,6271.09,57744.7,140456.7,72.436,81.1453,204.551,181.971,0.853,0.191,5.7,7.207,155.890,357,842.8,41.21,9.654,72.938,922.0,62.269,0.134,2.01,18.3432,66164.0,2.0886,0.6926,11.07,1.583,0.469
60000,4305,1.747,0.564,25.74,235005,220343,847,2332,10785,85914,708745.6,1556935.6,0.011,0.823,0.086,0.080,56,14.21,10.94,0.22,1.66,0.43,1.73,0.02,0.37,8.14,5.92,0.00,0.02,0.041,0.112,1264,0.044,0.021,0.953,0.001,0.026,361182,313294,24,0.365,0.223,0.008,233000,0.163,1.944,0.038,14.43,183870,105,18.122,0.609,0.830,39396589,1.07,17.51,0.001,0.159,0.000,5.6,11.6,24.0,196.0,37916,0.145,0.00,0.0020,0.037,407,0.857,0.000,0.734,0.380,3.64,5.91,4.66,0.00,0.002,1.08,1.08,1.06,0.859,0.00138,2.62,231.8588,6998.70,59635.9,140456.7,73.805,81.6469,204.123,165.801,0.821,0.195,7.0,5.959,155.130,257,605.8,41.50,8.430,72.987,1151.2,62.399,0.134,2.00,14.5954,62833.2,2.0608,0.8229,8.81,1.662,0.447
70000,3671,1.900,0.562,23.20,212621,203190,949,886,8230,42535,692804.6,1485769.1,0.022,0.808,0.090,0.079,58,15.85,9.93,0.19,1.43,0.09,0.87,0.01,0.35,9.88,5.32,0.00,0.00,0.004,0.037,856,0.077,0.020,0.959,0.000,0.021,340600,297580,26,0.434,0.128,0.004,194156,0.168,2.166,0.041,13.27,181727,89,34.931,0.608,0.827,38411214,1.06,16.13,0.002,0.016,0.000,8.0,12.7,26.0,124.0,37356,0.143,0.00,0.0019,0.035,296,0.862,0.000,0.780,0.404,4.06,6.13,5.20,0.01,0.003,1.06,1.08,1.06,0.863,0.00141,2.69,224.4269,7042.50,55743.0,140456.7,76.334,79.2610,195.378,151.737,0.801,0.183,5.1,5.168,152.896,307,772.6,62.56,7.488,71.544,961.5,61.148,0.134,2.00,18.3485,67357.5,2.1142,0.6905,10.18,1.585,0.467
80000,3728,1.858,0.535,20.70,217309,206316,941,335,9660,25366,694850.7,1532036.4,0.017,0.787,0.098,0.097,60,15.71,9.57,0.14,1.11,0.07,0.62,0.04,1.06,10.14,5.17,0.00,0.00,0.004,0.039,837,0.112,0.024,0.953,0.000,0.023,350949,309227,39,0.504,0.073,0.008,238380,0.156,2.054,0.037,12.85,175056,102,60.397,0.478,0.820,37076013,1.05,16.26,0.001,0.014,0.000,8.3,12.0,26.0,96.0,38687,0.148,0.00,0.0018,0.032,277,0.857,0.000,0.788,0.408,4.01,5.95,5.09,0.00,0.002,1.05,1.06,1.05,0.858,0.00139,2.60,231.5391,6631.09,55210.2,140456.7,76.590,79.4132,198.869,148.450,0.781,0.180,5.1,5.187,152.998,324,776.4,52.95,7.246,71.806,900.6,61.830,0.135,2.00,18.3443,68387.5,2.0613,0.4211,10.38,1.530,0.467
90000,5290,1.678,0.634,27.34,247637,228689,858,5266,11262,166532,689301.9,1631132.0,0.013,0.813,0.085,0.088,53,12.62,9.10,0.30,1.39,0.80,1.99,0.01,0.36,6.29,5.15,0.32,1.15,0.065,0.129,1870,0.033,0.017,0.946,0.004,0.033,391491,337983,17,0.301,0.140,0.005,198821,0.133,1.975,0.042,13.64,204999,110,9.795,0.587,0.829,39623788,1.13,18.92,0.000,0.413,0.086,4.0,10.6,22.0,186.0,39183,0.149,0.00,0.0021,0.042,529,0.844,0.000,0.780,0.393,3.25,5.92,3.91,0.32,0.087,1.33,1.08,1.12,0.848,0.00110,2.70,231.2678,7965.73,65288.1,140456.7,75.199,81.1226,204.666,157.846,0.880,0.212,12.8,5.830,152.970,306,677.0,38.08,7.714,72.304,1234.0,61.302,0.135,2.00,10.3127,54554.2,1.8048,0.9062,7.41,1.723,0.424
100000,4772,1.476,0.675,22.38,451103,401774,82,33353,16412,1697928,793094.1,2370951.8,0.005,0.845,0.072,0.078,35,11.70,9.51,0.47,1.29,1.24,2.81,0.02,0.48,5.78,6.34,0.68,1.25,0.084,0.119,1838,0.080,0.024,0.954,0.003,0.019,633638,403260,3,0.478,0.069,0.004,277585,0.139,2.167,0.043,19.90,344475,148,1.396,0.388,0.736,40588578,1.22,19.14,0.001,0.578,0.260,4.0,10.5,18.0,124.0,35874,0.137,0.00,0.0029,0.078,779,0.691,0.000,0.749,0.307,2.64,5.26,2.76,0.69,0.264,1.65,1.08,1.19,0.721,0.00424,3.47,222.6976,6782.75,99340.4,140456.7,48.459,95.0691,269.750,305.112,0.982,0.292,21.3,20.246,156.630,351,829.4,32.85,12.915,92.009,2963.9,68.810,0.135,2.00,4.5847,21878.4,1.3265,0.7389,7.52,1.575,0.468
110000,4372,1.516,0.673,21.56,400760,356081,0,30051,15028,1497660,777956.1,2094852.8,0.003,0.839,0.085,0.073,42,12.30,9.41,0.46,1.15,1.22,2.68,0.03,0.59,6.47,6.50,0.66,1.20,0.081,0.119,1775,0.083,0.027,0.954,0.000,0.019,542462,326861,4,0.484,0.237,0.006,215771,0.165,2.226,0.045,19.10,281045,154,1.399,0.374,0.731,31689252,1.21,18.65,0.001,0.586,0.261,4.0,12.0,17.9,120.0,35759,0.136,0.00,0.0027,0.087,740,0.644,0.000,0.709,0.285,2.70,5.25,2.95,0.66,0.261,1.67,1.06,1.18,0.675,0.00461,3.15,193.6267,6529.86,100730.1,140456.7,44.745,95.9360,244.193,299.747,0.985,0.296,18.3,20.150,157.634,329,767.0,35.89,12.498,96.847,3306.3,66.701,0.135,2.00,4.7984,20978.4,1.2808,0.7281,8.18,1.542,0.473
120000,4578,1.471,0.629,20.26,408490,362229,1,30171,15883,1553459,780321.1,2128452.2,0.003,0.845,0.081,0.072,42,12.22,8.83,0.53,1.47,1.17,2.64,0.03,0.53,6.46,6.34,0.67,1.23,0.079,0.124,1809,0.074,0.031,0.945,0.002,0.022,546870,331507,8,0.515,0.062,0.006,217987,0.161,2.219,0.039,19.02,280327,153,1.370,0.383,0.749,31769485,1.25,18.91,0.000,0.577,0.262,4.0,12.0,18.0,108.0,37479,0.143,0.00,0.0026,0.083,742,0.640,0.000,0.689,0.279,2.62,5.17,2.81,0.67,0.264,1.74,1.08,1.22,0.672,0.00458,3.23,195.3747,6264.01,100782.8,140456.7,45.271,94.3608,246.465,299.280,0.976,0.295,20.7,20.983,157.398,251,534.6,37.65,12.027,96.316,3114.1,66.931,0.135,2.00,4.6939,21488.7,1.2218,0.7034,8.19,1.514,0.473
130000,4874,1.474,0.643,21.27,411552,364144,0,30475,16637,1531493,776430.6,2123074.5,0.004,0.840,0.083,0.072,44,11.63,9.25,0.53,1.54,1.11,2.20,0.04,0.72,5.88,6.04,0.68,1.23,0.081,0.117,1833,0.089,0.021,0.955,0.002,0.021,549735,346797,9,0.470,0.086,0.005,226935,0.174,2.166,0.041,18.32,275874,154,1.386,0.384,0.755,31335289,1.24,19.31,0.001,0.578,0.269,4.0,10.6,16.9,164.0,36822,0.140,0.00,0.0027,0.087,784,0.638,0.000,0.676,0.279,2.56,5.14,2.69,0.69,0.271,1.73,1.07,1.21,0.670,0.00427,3.13,195.6829,6429.52,99504.6,140456.7,45.040,94.7449,245.299,301.053,0.980,0.292,21.1,20.798,157.593,308,646.3,35.62,11.331,97.354,3034.2,67.135,0.135,2.00,4.5298,22078.1,1.3021,0.7048,7.55,1.557,0.471
