step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std
10000,5023,1.584,0.580,7.54,343464,321322,95,23,18438,4261,998368.9,2338497.5,0.146,0.468,0.236,0.150,83,10.16,3.96,0.07,0.73,0.04,0.69,0.11,1.39,9.93,3.53,0.00,0.09,0.002,0.034,633,0.055,0.019,0.958,0.000,0.023,654446,580310,14,0.682,0.107,0.018,2005223,0.211,1.977,0.042,14.36,206377,123,548.814,0.522,0.854,22197226,1.03,14.94,0.000,0.001,0.000,6.0,10.0,14.0,64.0,51035,0.195,0.00,0.0020,0.041,338,0.834,0.000,0.855,0.488,3.55,6.26,4.05,0.00,0.001,1.03,1.04,1.02,0.834,0.00101,2.27,364.7969,7679.45,57408.5,139737.2,51.003,111.2115,297.010,371.312,0.819,0.189,5.2,5.095,158.334,256,615.1,47.34,26.758,96.210,807.3,84.398,0.135,2.00,12.7093,63839.1,1.5061,0.3840,10.16,1.000,0.000
20000,4142,1.666,0.555,7.34,271720,259057,474,6,13064,464,732596.4,1995820.4,0.163,0.521,0.192,0.124,104,10.31,3.62,0.04,0.54,0.01,0.24,0.14,1.70,10.11,3.19,0.00,0.02,0.002,0.030,465,0.189,0.009,0.977,0.000,0.014,542273,485354,9,0.500,0.159,0.029,1182914,0.178,2.064,0.035,10.87,155804,161,4301.337,0.167,0.897,27626191,1.02,14.89,0.000,0.000,0.000,7.0,10.0,13.0,64.0,42688,0.163,0.00,0.0017,0.021,173,0.854,0.000,0.857,0.511,4.90,7.34,6.24,0.00,0.000,1.01,1.02,1.02,0.854,0.00092,2.36,292.6878,6917.68,43715.7,139737.2,72.434,83.8480,245.707,159.041,0.554,0.144,2.9,3.827,152.449,374,829.2,47.94,5.896,78.175,758.2,69.800,0.134,2.00,19.1146,79172.7,2.1139,0.3425,10.31,1.000,0.000
30000,3740,1.709,0.536,6.81,186472,173365,928,1,12580,125,635536.7,1767207.5,0.225,0.452,0.213,0.110,108,10.29,3.43,0.02,0.25,0.01,0.19,0.06,0.63,10.20,3.42,0.00,0.00,0.002,0.033,363,0.347,0.003,0.984,0.000,0.012,488513,475613,12,0.454,0.054,0.020,978103,0.141,1.864,0.037,7.88,124254,32,14137.660,1.000,0.921,26238718,1.01,15.53,0.001,0.000,0.000,7.0,10.0,12.0,64.0,38471,0.147,0.00,0.0017,0.009,27,0.921,0.000,0.805,0.624,5.64,7.71,7.45,0.00,0.000,1.01,1.01,1.00,0.921,0.00043,1.75,258.5392,5678.65,38829.1,139737.2,85.343,74.6448,206.679,129.348,0.430,0.126,0.8,1.614,145.948,535,1582.1,47.34,4.441,68.863,736.9,60.945,0.134,2.00,22.7194,84970.5,2.4235,0.5846,10.29,1.000,0.000
40000,3811,1.716,0.507,5.98,165053,150257,1088,0,13637,24,603467.0,1764578.2,0.251,0.466,0.175,0.107,111,10.65,3.10,0.04,0.58,0.03,0.67,0.03,0.63,10.56,2.95,0.00,0.08,0.003,0.042,265,0.482,0.003,0.987,0.000,0.010,486276,482207,9,0.561,0.086,0.005,433462,0.169,1.945,0.033,6.77,106816,0,73524.094,0.000,0.923,26853363,1.01,15.74,0.000,0.000,0.000,7.0,12.0,12.0,48.0,40594,0.155,0.00,0.0015,0.012,60,0.941,0.000,0.727,0.665,5.96,7.73,7.53,0.00,0.001,1.01,1.01,1.01,0.941,0.00029,1.50,253.8006,5943.03,36855.2,139737.2,90.315,70.7377,198.132,118.624,0.414,0.121,1.3,1.091,143.470,408,1045.8,45.54,3.950,65.252,689.4,57.883,0.135,2.00,22.8862,87219.5,2.3315,0.5384,10.65,1.000,0.000
50000,3650,1.751,0.495,5.40,160221,144903,1065,0,14414,21,595388.6,1787565.1,0.277,0.489,0.123,0.112,113,10.85,2.72,0.01,0.38,0.01,0.29,0.02,0.41,10.80,2.67,0.00,0.00,0.001,0.019,187,0.582,0.004,0.989,0.000,0.007,491633,488421,6,0.671,0.086,0.005,228083,0.197,1.866,0.034,6.76,92629,0,85122.149,0.000,0.933,27529393,1.01,15.99,0.000,0.000,0.000,8.0,12.0,12.0,38.0,39593,0.151,0.00,0.0015,0.012,49,0.941,0.000,0.683,0.678,6.13,7.78,7.56,0.00,0.000,1.01,1.00,1.01,0.941,0.00030,1.51,254.7077,5611.87,36234.2,139737.2,91.419,69.7557,196.759,118.769,0.421,0.116,0.9,1.096,144.195,458,1233.5,43.70,3.874,64.151,644.6,56.942,0.135,2.00,24.1647,88201.2,2.3875,0.7766,10.85,1.000,0.000
60000,3740,1.716,0.526,5.14,160672,144117,1049,0,15416,9,594664.3,1825516.9,0.293,0.515,0.095,0.097,114,11.15,3.36,0.02,0.43,0.01,0.25,0.02,0.36,11.10,3.33,0.00,0.00,0.001,0.027,190,0.673,0.001,0.990,0.000,0.009,497432,494775,5,0.805,0.000,0.007,215429,0.186,2.129,0.035,6.64,89558,0,202835.208,0.000,0.931,29096208,1.01,16.09,0.000,0.000,0.000,8.0,12.0,12.0,64.0,41700,0.159,0.00,0.0014,0.015,64,0.944,0.000,0.614,0.681,6.19,7.76,7.56,0.00,0.000,1.01,1.01,1.01,0.944,0.00030,1.58,258.8480,6075.44,35485.0,139737.2,91.532,69.5204,199.432,121.993,0.429,0.113,1.3,1.137,143.244,442,1202.5,44.47,3.770,64.089,699.4,56.981,0.134,2.00,23.6311,88380.5,2.2908,0.9050,11.15,1.000,0.000
70000,3730,1.763,0.538,4.87,165247,148214,988,0,16055,4,602055.4,1852157.4,0.302,0.539,0.079,0.081,114,11.22,3.20,0.01,0.16,0.03,1.12,0.05,0.56,11.13,3.07,0.00,0.00,0.001,0.027,166,0.702,0.003,0.989,0.000,0.008,498320,494775,2,0.862,0.000,0.009,230428,0.189,2.074,0.036,7.41,90420,0,463039.344,0.000,0.921,30415571,1.00,16.11,0.001,0.000,0.000,8.0,12.0,12.0,64.0,41847,0.160,0.00,0.0014,0.016,81,0.936,0.000,0.571,0.673,6.21,7.74,7.52,0.00,0.000,1.00,1.00,1.00,0.936,0.00036,1.75,262.7614,6511.17,36444.4,139737.2,90.402,70.4466,203.309,123.549,0.456,0.115,1.5,1.335,144.256,356,885.3,55.65,4.236,64.272,824.0,57.054,0.135,2.00,23.3409,87061.5,2.2427,0.2701,11.22,1.000,0.000
80000,3773,1.754,0.553,4.89,165590,148107,903,0,16537,4,600052.3,1865475.1,0.309,0.550,0.069,0.072,114,11.22,2.85,0.02,0.34,0.01,0.29,0.05,1.07,11.14,2.67,0.00,0.00,0.001,0.017,168,0.742,0.003,0.986,0.000,0.011,496604,493579,2,0.827,0.063,0.006,197968,0.206,2.106,0.038,7.47,92801,0,466368.781,0.000,0.931,30960955,1.01,16.19,0.000,0.000,0.000,9.0,12.0,12.0,61.0,42325,0.161,0.00,0.0014,0.013,83,0.936,0.000,0.506,0.671,6.27,7.76,7.54,0.00,0.000,1.01,1.01,1.01,0.936,0.00036,1.81,263.8323,6661.08,35968.0,139737.2,90.653,69.9553,204.596,125.874,0.433,0.114,1.5,1.371,143.676,376,1034.9,36.19,4.224,63.908,755.4,56.839,0.136,2.00,23.1238,87246.3,2.1954,0.3235,11.22,1.000,0.000
90000,3707,1.802,0.580,4.95,164789,146874,894,0,17087,9,599494.9,1877379.5,0.325,0.542,0.064,0.069,114,11.37,3.00,0.02,0.35,0.01,0.29,0.02,0.45,11.32,2.93,0.00,0.00,0.001,0.025,158,0.767,0.002,0.988,0.000,0.009,501078,498250,2,0.917,0.000,0.004,240152,0.204,2.183,0.040,7.33,97158,0,208597.722,0.000,0.934,30507779,1.01,16.15,0.000,0.000,0.000,9.0,12.0,12.0,64.0,42138,0.161,0.00,0.0014,0.013,69,0.939,0.000,0.442,0.676,6.38,7.78,7.56,0.00,0.000,1.00,1.01,1.01,0.939,0.00036,1.80,264.9665,7000.48,36866.4,139737.2,90.723,70.0834,204.367,123.891,0.452,0.117,1.3,1.326,144.139,456,1242.6,52.59,4.104,63.985,695.3,56.877,0.134,2.00,23.1563,85840.3,2.1819,0.2429,11.37,1.000,0.000
100000,3706,1.737,0.541,4.87,166603,148899,926,0,16779,5,602071.8,1877960.0,0.337,0.537,0.063,0.063,113,11.46,2.94,0.02,0.61,0.03,0.72,0.03,0.60,11.39,2.77,0.00,0.00,0.001,0.027,160,0.775,0.005,0.987,0.000,0.008,500427,496721,2,0.873,0.079,0.004,314618,0.193,2.105,0.037,7.56,93323,0,375592.000,0.000,0.922,29809174,1.01,16.10,0.000,0.000,0.000,9.0,12.0,12.0,56.0,42482,0.162,0.00,0.0014,0.017,96,0.934,0.000,0.408,0.672,6.38,7.72,7.56,0.00,0.000,1.01,1.01,1.01,0.934,0.00038,1.91,264.7517,6709.02,35873.7,139737.2,90.345,70.0944,204.769,125.079,0.466,0.116,1.4,1.394,144.035,354,949.1,44.91,4.248,64.029,674.1,56.915,0.135,2.00,23.6650,87702.4,2.2129,0.5964,11.46,1.000,0.000
