step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std
10000,3782,2.015,0.737,5.41,333066,273454,0,32504,24746,1375543,1087178.0,2786798.8,0.096,0.510,0.166,0.228,87,19.41,18.65,1.92,6.05,2.40,7.79,0.13,1.41,13.10,8.48,0.36,1.20,0.038,0.124,1239,0.043,0.027,0.947,0.000,0.026,624721,522017,3,0.955,0.026,0.020,1817066,0.197,2.124,0.057,17.37,174046,137,2.026,0.316,0.788,18064168,1.45,12.92,0.017,0.274,0.090,5.0,14.0,45.0,128.0,66391,0.253,0.00,0.0022,0.061,610,0.786,0.001,0.826,0.484,3.58,4.02,5.57,0.45,0.091,1.62,1.11,1.56,0.805,0.00360,2.37,330.7944,8978.86,93670.6,140040.5,36.783,120.4354,287.947,411.440,0.977,0.319,14.6,13.623,159.227,307,847.9,38.36,29.576,107.324,1866.5,88.221,0.134,2.00,6.6611,25192.4,0.7400,0.5313,17.55,1.000,0.000
20000,2997,2.146,0.696,5.81,341219,266836,0,48052,27116,1895659,936365.1,2640481.5,0.023,0.637,0.159,0.181,109,22.74,20.35,2.48,5.80,3.36,7.83,0.12,1.55,14.37,9.80,0.53,1.23,0.062,0.144,1210,0.037,0.025,0.952,0.000,0.023,576244,462858,1,0.778,0.222,0.010,347344,0.193,2.182,0.050,15.89,153418,133,1.393,0.325,0.772,20689834,1.58,11.65,0.020,0.347,0.170,5.0,14.0,60.0,128.0,60927,0.232,0.00,0.0022,0.079,436,0.756,0.001,0.836,0.429,3.86,4.57,5.65,0.55,0.172,1.74,1.16,1.75,0.779,0.00561,2.75,269.5849,8244.39,94483.4,140040.5,41.581,102.7677,259.575,286.550,0.934,0.326,16.0,16.821,157.521,306,701.1,50.44,9.729,103.619,1953.4,83.861,0.135,2.00,8.7904,26344.8,0.8415,0.5106,20.33,1.000,0.000
30000,3149,2.142,0.719,5.71,297523,236418,10,38548,22395,1861616,945698.6,2531334.0,0.020,0.705,0.146,0.130,113,22.28,19.66,2.22,5.06,3.20,7.42,0.13,1.63,14.57,9.27,0.52,1.19,0.065,0.159,1199,0.046,0.034,0.939,0.000,0.026,556823,461396,2,0.726,0.036,0.011,269806,0.174,2.756,0.048,15.26,149782,137,1.360,0.333,0.773,21063694,1.50,11.55,0.019,0.347,0.175,6.0,15.0,58.0,128.0,63372,0.242,0.00,0.0021,0.071,534,0.773,0.001,0.848,0.482,3.80,4.50,5.76,0.55,0.178,1.63,1.12,1.67,0.795,0.00497,2.69,261.7878,8986.22,93994.3,140040.5,43.146,102.3071,241.285,269.777,0.923,0.326,15.9,15.651,156.080,261,620.0,76.81,8.791,102.748,1725.2,84.881,0.135,2.00,8.2865,26094.2,0.7944,0.4943,20.12,1.000,0.000
40000,3101,2.221,0.698,5.63,302735,239696,9,40022,23056,1983360,944921.6,2628839.8,0.018,0.723,0.138,0.121,114,22.82,19.91,2.26,4.84,3.48,7.53,0.07,1.16,14.78,9.47,0.59,1.25,0.068,0.151,1179,0.079,0.029,0.949,0.000,0.022,582076,478377,1,0.737,0.263,0.007,231481,0.176,2.353,0.047,14.83,148210,138,1.325,0.329,0.778,22391392,1.51,11.30,0.019,0.387,0.195,5.0,14.0,58.0,128.0,63869,0.244,0.00,0.0021,0.070,591,0.785,0.001,0.866,0.495,3.88,4.53,5.85,0.61,0.197,1.62,1.12,1.70,0.807,0.00505,2.79,268.6685,8652.34,94971.7,140040.5,44.019,101.4596,245.184,268.197,0.952,0.327,18.2,15.665,155.854,256,563.8,53.60,8.210,102.196,1743.2,85.416,0.135,2.00,8.1652,25320.4,0.8120,0.4877,20.60,1.000,0.000
50000,3361,2.074,0.676,5.40,297785,237047,10,39687,20781,1953558,947452.9,2596377.5,0.021,0.736,0.128,0.114,112,20.92,19.48,2.18,5.34,2.95,7.21,0.06,1.37,13.59,8.73,0.51,1.20,0.055,0.137,1166,0.046,0.029,0.949,0.000,0.022,576138,472037,2,0.781,0.000,0.004,244548,0.189,2.238,0.048,14.81,146426,140,1.329,0.326,0.779,22899349,1.51,12.00,0.015,0.346,0.165,5.0,13.0,58.0,128.0,63095,0.241,0.00,0.0021,0.072,514,0.789,0.001,0.873,0.497,3.71,4.37,5.67,0.53,0.166,1.62,1.15,1.69,0.811,0.00461,2.92,266.3226,8398.37,93554.8,140040.5,43.202,102.0969,243.755,268.318,0.937,0.324,18.3,15.477,155.067,239,512.4,67.32,7.850,102.903,1711.7,85.695,0.134,2.00,8.0372,27012.9,0.8209,0.4933,18.77,1.000,0.000
60000,3419,2.100,0.688,5.44,304161,242339,14,41090,20660,1940576,944976.8,2598073.8,0.016,0.723,0.129,0.132,112,20.74,19.59,2.22,5.42,2.97,7.17,0.05,0.91,13.31,8.20,0.51,1.17,0.056,0.136,1062,0.119,0.027,0.949,0.000,0.024,580097,469197,2,0.781,0.000,0.006,218294,0.179,2.305,0.049,14.25,144934,141,1.339,0.323,0.773,22627946,1.52,11.98,0.018,0.343,0.170,5.0,12.0,58.0,128.0,63414,0.242,0.00,0.0021,0.068,548,0.780,0.001,0.876,0.490,3.77,4.53,5.53,0.53,0.171,1.63,1.16,1.70,0.801,0.00453,2.82,266.2789,8654.01,92153.7,140040.5,43.139,102.2673,244.878,276.836,0.936,0.319,14.5,15.477,155.793,254,582.6,52.99,7.518,103.631,1620.4,86.122,0.134,2.00,8.1924,28009.9,0.8454,0.5007,18.55,1.000,0.000
70000,3723,1.966,0.642,5.06,322743,251743,5,48327,22364,1957105,948829.6,2660122.2,0.013,0.677,0.129,0.181,114,18.57,19.00,1.89,4.96,2.82,7.21,0.05,0.83,11.95,7.76,0.46,1.16,0.054,0.140,893,0.216,0.030,0.944,0.000,0.026,605299,501256,2,0.790,0.003,0.006,139789,0.190,2.221,0.045,13.82,148661,137,1.359,0.327,0.786,21768114,1.43,13.07,0.015,0.325,0.150,5.0,11.0,56.0,128.0,62200,0.237,0.00,0.0021,0.067,599,0.757,0.001,0.881,0.481,3.52,4.90,4.62,0.49,0.152,1.53,1.10,1.58,0.780,0.00421,2.84,271.1048,8113.90,91530.5,140040.5,42.461,102.8064,251.083,273.045,0.942,0.316,15.6,15.668,156.038,178,378.3,55.19,7.082,104.718,1650.0,87.691,0.135,2.00,7.8617,29269.1,0.8803,0.5243,16.71,1.000,0.000
80000,3661,1.987,0.634,4.92,329995,255518,7,51325,23207,1915088,943582.1,2645186.2,0.011,0.654,0.134,0.202,115,18.36,18.93,1.73,4.89,2.47,6.56,0.03,0.73,12.41,8.43,0.41,1.09,0.048,0.130,840,0.154,0.028,0.947,0.000,0.025,606265,504635,2,0.810,0.000,0.003,128955,0.191,2.302,0.041,13.61,150593,135,1.381,0.330,0.790,21007889,1.40,13.16,0.018,0.304,0.136,5.0,11.0,56.0,128.0,60921,0.232,0.00,0.0021,0.073,551,0.744,0.001,0.885,0.471,3.49,4.82,4.64,0.43,0.138,1.49,1.11,1.54,0.767,0.00426,2.88,269.7392,7952.04,92100.1,140040.5,43.124,102.3035,251.426,268.286,0.926,0.319,15.9,15.590,155.721,214,469.8,51.96,6.656,104.230,1569.8,87.437,0.135,2.00,7.8976,28913.1,0.9109,0.5384,16.64,1.000,0.000
90000,3539,2.040,0.679,5.06,326566,251608,8,52870,22202,2025137,941502.8,2657761.0,0.011,0.658,0.134,0.197,114,19.37,19.94,2.15,5.28,2.90,7.17,0.03,0.69,12.15,8.15,0.49,1.17,0.054,0.135,907,0.187,0.025,0.949,0.000,0.025,600928,490112,2,0.783,0.014,0.004,144647,0.189,2.252,0.047,13.97,144735,134,1.312,0.326,0.796,20679405,1.51,12.98,0.017,0.342,0.160,5.0,11.0,58.0,128.0,61001,0.233,0.00,0.0022,0.069,590,0.743,0.001,0.884,0.472,3.57,4.82,4.72,0.51,0.162,1.62,1.12,1.70,0.767,0.00460,2.91,265.8321,8525.12,93766.1,140040.5,42.886,101.9290,249.461,273.042,0.928,0.323,17.5,16.284,155.755,235,471.1,45.27,7.059,104.073,1691.4,86.591,0.135,2.00,7.5019,26549.1,0.8586,0.5257,17.24,1.000,0.000
100000,3498,1.940,0.689,4.90,330488,253001,4,55981,21543,2108688,936704.4,2655631.5,0.011,0.653,0.136,0.200,113,18.37,19.00,1.78,4.44,2.60,6.91,0.01,0.40,12.21,8.48,0.43,1.11,0.049,0.132,859,0.140,0.027,0.953,0.000,0.019,596345,487387,3,0.801,0.000,0.002,135216,0.182,2.381,0.046,14.29,140701,132,1.259,0.333,0.776,20381910,1.42,13.32,0.023,0.320,0.141,5.0,11.0,57.0,128.0,58049,0.221,0.00,0.0022,0.076,535,0.737,0.001,0.883,0.462,3.47,4.72,4.64,0.44,0.142,1.50,1.10,1.59,0.762,0.00480,2.99,261.6400,8378.44,93379.7,140040.5,42.831,101.2021,250.135,274.307,0.932,0.322,15.8,16.780,155.863,232,581.0,64.69,7.213,103.730,1903.1,85.646,0.135,2.00,7.8010,27287.7,0.9096,0.5175,16.59,1.000,0.000
