step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std
10000,2594,2.308,0.667,16.86,270413,220709,0,37322,11225,2338563,1038663.5,2201755.5,0.113,0.662,0.116,0.108,68,27.43,27.04,0.25,1.70,4.23,8.11,0.75,2.75,14.86,10.34,0.00,0.08,0.088,0.158,1702,0.008,0.032,0.926,0.000,0.042,444541,339764,6,0.289,0.661,0.167,3395124,0.154,2.052,0.048,25.22,185250,107,0.941,0.398,0.679,14708853,1.06,11.70,0.005,0.420,0.001,4.9,17.9,69.0,225.0,52108,0.199,0.00,0.0027,0.076,491,0.680,0.001,0.792,0.419,3.80,5.04,5.21,0.07,0.022,1.05,1.09,1.07,0.722,0.00871,2.13,222.2389,6843.10,101712.7,139958.7,37.521,111.7616,226.865,503.290,0.966,0.312,24.6,22.602,158.345,414,1128.5,46.15,39.852,98.967,2441.2,70.350,0.135,2.00,7.6635,19879.0,0.7100,0.3928,20.09,1.246,0.522
20000,2754,2.186,0.686,18.58,274100,219249,13,41897,12781,1961606,859693.2,1875891.4,0.028,0.737,0.087,0.149,64,23.68,19.59,0.23,1.28,4.01,8.07,0.32,1.84,12.76,8.91,0.01,0.11,0.097,0.168,1549,0.014,0.037,0.916,0.000,0.047,393855,272793,9,0.137,0.561,0.059,2115890,0.137,2.240,0.049,21.35,214146,108,0.956,0.414,0.688,14706151,1.08,12.10,0.004,0.338,0.003,6.0,17.8,48.0,128.0,47709,0.182,0.00,0.0024,0.074,428,0.647,0.001,0.780,0.344,3.60,4.35,5.66,0.01,0.005,1.08,1.07,1.08,0.679,0.00781,2.97,184.7679,7494.89,95657.0,139958.7,44.111,94.6376,199.323,298.710,0.948,0.295,19.4,21.515,155.504,298,671.0,43.77,15.088,95.413,2603.8,68.428,0.135,2.00,9.3399,25722.2,0.8338,0.3970,17.32,1.299,0.465
30000,2743,2.186,0.684,20.38,275679,223674,52,38955,13009,1487623,845886.6,1829556.4,0.029,0.712,0.091,0.168,63,24.08,20.04,0.16,1.18,4.44,7.59,0.18,1.35,11.60,8.25,0.00,0.00,0.114,0.176,1485,0.020,0.032,0.918,0.001,0.048,396032,276896,19,0.064,0.568,0.054,1797873,0.142,2.120,0.048,19.38,207251,111,1.230,0.416,0.671,16178215,1.06,12.34,0.003,0.323,0.000,5.5,17.2,52.0,128.0,44952,0.171,0.00,0.0027,0.081,494,0.683,0.001,0.797,0.342,3.61,4.74,5.19,0.01,0.002,1.07,1.07,1.07,0.706,0.00678,2.99,194.6277,6699.33,96588.0,139958.7,47.137,95.1959,202.152,268.898,0.960,0.296,18.6,18.609,155.340,439,1095.0,59.61,12.502,94.332,2873.9,69.472,0.134,2.00,9.0500,24824.0,0.8811,0.4437,16.39,1.374,0.503
40000,3208,2.188,0.660,20.64,280197,228896,52,36167,14617,1300209,856046.4,1866007.4,0.030,0.714,0.092,0.163,60,24.16,20.31,0.25,1.52,3.46,7.40,0.23,1.61,12.28,8.21,0.00,0.11,0.084,0.155,1668,0.012,0.028,0.932,0.000,0.040,403146,281418,21,0.114,0.411,0.050,1731789,0.132,2.239,0.045,18.67,209814,110,1.435,0.412,0.736,18261993,1.08,12.31,0.006,0.289,0.001,6.4,17.8,54.0,130.0,52041,0.199,0.00,0.0022,0.068,459,0.718,0.001,0.804,0.340,3.59,4.45,5.54,0.03,0.011,1.08,1.08,1.09,0.736,0.00536,3.01,206.0403,7521.80,90004.8,139958.7,48.378,94.5990,210.471,265.347,0.959,0.277,20.5,17.194,155.289,342,832.6,61.84,12.194,93.776,1987.0,71.721,0.135,2.00,9.5242,30553.5,0.9354,0.4723,16.22,1.428,0.478
50000,3625,2.068,0.701,20.74,294842,243927,33,33208,17257,1224164,860821.7,2019032.4,0.022,0.705,0.110,0.163,57,21.37,18.18,0.10,0.99,2.79,6.45,0.20,1.38,11.12,7.34,0.00,0.04,0.071,0.146,1475,0.019,0.033,0.922,0.000,0.045,430607,304256,25,0.195,0.176,0.056,2011965,0.149,2.262,0.050,17.97,221041,114,1.649,0.404,0.762,20819931,1.04,13.22,0.002,0.242,0.001,6.0,16.0,48.0,134.0,51529,0.197,0.00,0.0021,0.066,460,0.743,0.001,0.812,0.345,3.38,4.08,5.49,0.01,0.004,1.04,1.05,1.04,0.759,0.00463,3.18,227.3599,8357.30,88904.0,139958.7,49.634,94.1274,225.939,256.447,0.951,0.272,16.7,16.786,154.992,319,810.0,57.12,10.997,93.051,1880.6,74.017,0.136,2.00,8.4169,30511.4,0.9721,0.4854,14.21,1.454,0.469
60000,2966,2.186,0.755,20.98,299435,248646,25,32856,18567,1177007,856576.9,2046588.0,0.027,0.694,0.110,0.169,55,24.42,20.98,0.05,0.71,3.67,7.44,0.28,1.98,11.52,8.18,0.00,0.00,0.083,0.153,1260,0.038,0.030,0.929,0.000,0.041,432610,309540,20,0.418,0.227,0.072,2124076,0.154,2.255,0.056,18.03,218588,115,1.739,0.403,0.717,21787369,1.02,12.15,0.005,0.253,0.000,6.0,16.2,52.0,128.0,46058,0.176,0.00,0.0025,0.065,426,0.761,0.001,0.823,0.336,3.58,4.18,5.92,0.00,0.001,1.01,1.02,1.02,0.776,0.00535,3.44,232.3798,8276.03,90616.8,139958.7,50.224,94.4829,229.875,248.134,0.932,0.278,16.1,15.867,154.116,449,1241.2,56.06,10.961,92.146,2357.7,73.591,0.135,2.00,9.7859,29024.9,0.9688,0.4946,15.53,1.484,0.469
70000,2883,2.232,0.672,21.35,253768,214215,26,27084,12526,1121576,847132.6,1812149.0,0.031,0.691,0.097,0.182,60,24.81,20.58,0.04,0.75,3.63,7.24,0.19,1.58,12.11,9.08,0.00,0.00,0.087,0.159,1184,0.026,0.029,0.921,0.000,0.050,374057,278583,11,0.513,0.181,0.055,1972140,0.177,2.281,0.048,18.38,177834,113,1.616,0.399,0.685,18339665,1.01,11.75,0.006,0.245,0.000,6.0,16.9,50.0,128.0,46028,0.176,0.00,0.0024,0.065,421,0.750,0.001,0.801,0.351,3.68,4.13,6.20,0.00,0.001,1.02,1.01,1.01,0.767,0.00555,3.39,210.2697,7247.00,90155.9,139958.7,49.782,94.6329,207.661,247.150,0.885,0.273,18.0,15.993,153.905,300,747.6,59.01,11.910,92.295,2531.5,70.912,0.134,2.00,10.7204,30906.9,1.0120,0.4595,15.97,1.491,0.473
80000,3470,2.193,0.680,24.63,258628,217821,75,25493,14652,971712,841743.0,1782151.5,0.042,0.680,0.091,0.186,58,23.17,19.70,0.03,0.73,2.77,6.39,0.20,1.60,11.24,8.18,0.00,0.02,0.064,0.140,1275,0.041,0.035,0.925,0.000,0.040,381472,294038,14,0.437,0.117,0.046,1654213,0.185,2.305,0.050,17.31,181547,112,1.834,0.410,0.741,19728077,1.01,12.57,0.004,0.185,0.000,6.0,17.0,50.0,128.0,49416,0.189,0.00,0.0022,0.054,441,0.764,0.000,0.812,0.351,3.63,4.36,6.19,0.00,0.001,1.01,1.01,1.01,0.777,0.00420,3.48,214.6956,7967.58,82295.9,139958.7,50.066,94.9442,208.701,237.310,0.921,0.254,15.8,14.564,153.048,336,907.0,76.20,10.536,92.985,1833.3,72.087,0.135,2.00,10.7470,37291.9,1.2068,0.4757,14.24,1.588,0.471
90000,3510,2.108,0.622,21.26,273488,233268,113,22387,17680,819910,831633.2,1868931.8,0.056,0.654,0.104,0.187,56,21.34,18.98,0.01,0.38,2.39,6.06,0.20,1.74,11.30,7.79,0.00,0.00,0.054,0.129,1263,0.040,0.029,0.937,0.000,0.034,406394,318918,21,0.455,0.162,0.048,1864339,0.187,1.991,0.044,16.55,195521,117,2.279,0.402,0.751,22432731,1.00,13.16,0.005,0.196,0.000,6.2,15.2,50.0,128.0,48788,0.186,0.00,0.0021,0.054,414,0.785,0.000,0.828,0.353,3.68,4.68,5.76,0.00,0.000,1.00,1.00,1.00,0.796,0.00366,3.34,232.1865,7239.99,79841.5,139958.7,54.121,93.2771,220.387,225.814,0.892,0.244,15.0,12.858,153.429,296,749.5,55.73,9.950,89.832,1731.9,72.473,0.135,2.00,11.6846,41012.9,1.2909,0.5014,13.90,1.494,0.460
100000,3590,2.058,0.682,20.83,268191,226949,195,23351,17616,846162,827233.4,1832712.0,0.065,0.653,0.108,0.175,57,19.93,17.14,0.03,0.47,2.00,5.32,0.15,1.32,10.79,7.33,0.00,0.10,0.052,0.130,1252,0.047,0.032,0.933,0.000,0.035,396559,308447,18,0.427,0.195,0.036,1420456,0.188,2.407,0.047,16.99,189765,114,2.166,0.399,0.776,21309624,1.01,13.87,0.004,0.170,0.000,6.0,15.1,46.0,128.0,46545,0.178,0.00,0.0021,0.061,420,0.755,0.000,0.807,0.353,3.55,4.64,5.59,0.00,0.001,1.01,1.01,1.01,0.767,0.00388,3.45,226.0552,8546.49,77838.1,139958.7,54.861,91.4039,216.079,224.399,0.895,0.237,14.1,13.928,153.351,242,562.0,62.03,10.014,88.546,1653.6,71.297,0.136,2.00,11.7308,42113.5,1.3159,0.4944,12.97,1.492,0.447
