step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std
110000,3592,2.048,0.653,5.85,277075,233028,4,33883,9225,2459426,947371.3,2662377.0,0.062,0.688,0.125,0.124,117,19.97,14.92,2.14,3.89,2.33,4.80,0.04,0.75,13.52,8.88,0.45,0.92,0.064,0.126,1409,0.079,0.029,0.941,0.000,0.030,571500,481028,2,0.992,0.003,0.004,298074,0.150,2.175,0.046,15.21,116085,140,1.083,0.330,0.797,18073720,1.73,13.59,0.019,0.435,0.215,5.6,14.7,41.3,79.2,64774,0.247,0.00,0.0020,0.077,476,0.706,0.000,0.818,0.531,3.48,4.84,4.49,0.45,0.216,1.87,1.22,2.01,0.736,0.00533,2.69,258.5523,8293.70,94157.2,139719.6,44.502,97.1784,240.311,279.915,0.976,0.325,21.0,19.132,156.112,270,667.8,47.92,8.317,101.439,1370.6,85.118,0.134,2.00,7.2516,26047.6,0.8191,0.4293,18.03,1.115,0.053
120000,3367,1.912,0.668,7.00,334295,285950,0,34909,13661,3119016,932765.4,2848875.8,0.042,0.758,0.103,0.097,105,18.15,13.34,2.37,3.94,3.18,5.03,0.07,0.93,10.52,8.20,0.84,1.28,0.128,0.182,1558,0.081,0.023,0.943,0.000,0.034,678675,568154,2,0.653,0.006,0.009,202519,0.166,2.128,0.045,16.33,160117,142,0.913,0.333,0.779,23885670,1.92,14.29,0.008,0.531,0.338,4.5,14.7,34.8,88.1,54313,0.207,0.00,0.0026,0.095,497,0.726,0.001,0.833,0.520,3.46,5.20,4.02,0.84,0.338,2.13,1.28,2.23,0.764,0.00590,2.81,259.0989,7186.58,99346.9,139719.6,43.232,98.4405,252.353,294.195,0.933,0.342,18.7,19.881,156.035,404,989.6,40.65,9.234,101.470,2276.1,83.115,0.135,2.00,6.4577,21743.2,0.8962,0.4177,16.13,1.131,0.064
130000,4327,1.738,0.683,7.67,362431,321969,1,24088,15413,2798825,879613.4,2604269.2,0.036,0.777,0.123,0.063,102,14.77,9.24,1.69,2.39,2.32,3.36,0.16,1.23,8.30,6.03,0.73,1.02,0.131,0.169,2047,0.059,0.021,0.938,0.000,0.041,675429,564273,2,0.728,0.006,0.033,976368,0.140,2.052,0.047,17.23,175440,152,0.930,0.346,0.807,26808569,1.76,15.56,0.000,0.609,0.382,4.5,13.8,26.7,79.1,53923,0.206,0.00,0.0025,0.097,606,0.730,0.001,0.827,0.477,3.06,5.63,3.17,0.73,0.382,2.20,1.21,1.88,0.769,0.00413,2.90,236.7532,7695.28,95909.3,139719.6,44.535,98.1733,245.319,281.406,0.938,0.332,18.1,17.887,155.616,294,753.4,41.56,10.135,99.178,2278.0,77.313,0.135,2.00,5.5023,23808.5,0.9433,0.4493,12.46,1.179,0.054
140000,4178,1.711,0.674,8.24,369391,335398,0,19398,14744,2588202,872528.7,2553223.0,0.039,0.765,0.141,0.055,98,14.92,9.16,1.60,2.62,2.03,2.81,0.31,2.25,8.20,5.90,0.70,0.97,0.119,0.151,2175,0.048,0.024,0.935,0.000,0.041,669531,575193,2,0.739,0.012,0.049,1651530,0.124,2.051,0.043,17.88,192626,164,0.986,0.321,0.798,26807797,1.70,15.61,0.001,0.626,0.378,4.7,13.9,26.1,82.4,50694,0.193,0.00,0.0025,0.103,639,0.724,0.001,0.826,0.463,3.03,5.65,3.16,0.70,0.379,2.13,1.22,1.77,0.764,0.00413,2.95,234.6419,7231.45,96908.1,139719.6,44.986,98.7363,245.209,276.406,0.948,0.334,19.2,17.267,155.814,370,893.5,41.73,10.844,98.025,2389.0,75.770,0.135,2.00,5.5911,23359.8,0.9958,0.4726,12.13,1.232,0.093
150000,5287,1.575,0.695,9.28,460905,416642,0,22221,20933,2848114,859053.2,2657865.5,0.038,0.817,0.091,0.053,89,13.10,8.80,0.95,2.30,1.54,2.60,0.42,1.68,6.94,6.26,0.56,0.89,0.116,0.149,2649,0.069,0.023,0.930,0.001,0.046,729373,584860,3,0.754,0.014,0.142,2547859,0.079,2.017,0.040,18.91,231634,160,0.933,0.340,0.783,32538735,1.42,16.36,0.000,0.636,0.327,4.2,11.1,24.8,72.6,52057,0.199,0.00,0.0023,0.106,868,0.687,0.001,0.821,0.381,2.87,5.98,2.74,0.57,0.327,1.96,1.17,1.41,0.731,0.00389,3.67,236.0655,7402.06,96624.2,139719.6,41.068,98.5108,270.312,293.853,0.958,0.331,20.9,20.562,155.182,403,963.6,38.70,11.157,100.187,2519.9,75.405,0.135,2.00,4.1569,21977.7,0.9210,0.5014,9.85,1.346,0.138
160000,4681,1.763,0.623,9.78,446406,409623,0,21427,15962,2552059,868390.9,2687627.0,0.039,0.805,0.078,0.078,87,15.97,9.35,1.33,2.62,1.80,3.01,0.04,0.60,8.28,6.53,0.77,1.22,0.097,0.136,2660,0.033,0.023,0.939,0.001,0.036,694498,501442,2,0.564,0.085,0.012,3952721,0.050,1.843,0.039,19.18,241823,178,1.053,0.297,0.776,33924055,1.57,15.53,0.001,0.601,0.341,5.4,14.7,26.0,95.8,53663,0.205,0.00,0.0022,0.091,755,0.713,0.000,0.816,0.372,2.98,5.59,3.31,0.78,0.342,2.13,1.24,1.56,0.753,0.00438,3.97,241.3738,6925.51,95334.9,139719.6,41.500,97.7274,278.260,283.062,0.943,0.328,23.1,20.513,154.776,295,697.3,41.00,11.082,99.187,2103.4,75.579,0.135,2.00,5.2130,24402.0,0.9601,0.5384,11.46,1.411,0.221
170000,4633,1.798,0.655,10.51,412603,376141,0,21185,15325,2299447,872312.1,2611963.2,0.036,0.791,0.085,0.088,87,16.81,9.82,1.31,2.33,1.62,2.48,0.04,0.44,8.26,6.34,0.67,1.00,0.085,0.114,2544,0.059,0.019,0.939,0.001,0.041,663334,488849,3,0.675,0.021,0.016,798067,0.103,1.875,0.043,18.96,234559,187,1.136,0.282,0.797,32687466,1.56,15.48,0.001,0.599,0.360,5.3,15.7,27.7,101.9,52008,0.198,0.00,0.0023,0.092,707,0.724,0.000,0.822,0.392,3.03,5.80,3.23,0.67,0.361,2.09,1.23,1.55,0.760,0.00443,3.88,240.4096,7266.16,92303.2,139719.6,42.282,96.8401,271.049,282.940,0.936,0.316,21.9,20.537,154.398,348,887.8,49.66,10.933,98.718,2064.5,76.424,0.135,2.00,5.7806,26781.4,1.0729,0.5690,11.23,1.520,0.269
180000,4848,1.833,0.635,10.29,408535,379007,1,15138,14174,2139028,878979.6,2678922.0,0.048,0.781,0.078,0.093,86,16.97,9.61,1.25,2.51,1.46,2.35,0.04,0.56,8.50,6.74,0.64,0.99,0.078,0.108,2513,0.046,0.022,0.936,0.000,0.042,653143,486823,2,0.612,0.036,0.013,613057,0.120,1.824,0.041,19.32,238175,187,1.252,0.311,0.796,33299203,1.54,15.26,0.002,0.565,0.343,5.7,16.3,27.8,112.0,54563,0.208,0.00,0.0021,0.087,713,0.730,0.000,0.847,0.389,3.03,5.75,3.33,0.64,0.344,2.11,1.23,1.51,0.765,0.00434,4.03,251.3689,7295.45,90522.3,139719.6,42.931,95.6787,281.580,283.872,0.938,0.310,21.7,21.026,154.492,271,635.0,41.62,11.278,97.565,1971.9,77.205,0.134,2.00,5.8264,28246.5,1.0475,0.5982,11.25,1.564,0.334
190000,5835,1.715,0.648,10.52,478581,436186,1,20066,21341,2012206,853955.2,2766852.0,0.078,0.734,0.096,0.092,84,15.39,8.63,0.80,2.06,1.39,2.34,0.07,0.69,7.59,5.62,0.64,1.22,0.080,0.118,2786,0.094,0.022,0.935,0.002,0.040,714777,523447,2,0.425,0.220,0.023,800561,0.130,1.967,0.042,18.18,254989,179,1.375,0.339,0.829,35271435,1.33,16.37,0.000,0.604,0.275,5.9,14.7,27.8,101.1,57482,0.219,0.00,0.0019,0.078,849,0.712,0.000,0.846,0.346,2.77,5.61,2.91,0.64,0.276,1.83,1.15,1.31,0.748,0.00348,3.89,265.1873,7806.66,87961.5,139719.6,44.106,95.2980,301.667,285.687,0.964,0.302,24.3,20.286,155.519,261,636.2,53.00,10.090,97.660,1705.0,77.972,0.135,2.00,5.0245,29317.9,1.0526,0.6630,9.85,1.638,0.387
200000,5055,1.758,0.586,10.10,454022,416751,0,18676,19375,1961634,857658.4,2741072.8,0.043,0.689,0.160,0.107,89,15.99,9.65,0.87,2.16,1.32,2.42,0.10,1.25,8.28,6.60,0.73,1.37,0.075,0.114,2396,0.101,0.025,0.942,0.001,0.032,680575,537120,3,0.366,0.059,0.026,926002,0.128,1.702,0.038,18.26,221959,189,1.397,0.289,0.802,30205740,1.35,16.08,0.001,0.576,0.276,6.0,14.7,27.7,98.9,53404,0.204,0.00,0.0020,0.095,826,0.656,0.000,0.851,0.351,2.82,5.58,3.05,0.74,0.277,1.79,1.16,1.33,0.696,0.00448,3.73,260.1834,6681.15,90614.4,139719.6,43.887,93.8388,301.237,300.605,0.969,0.306,21.8,22.646,156.369,259,586.7,31.91,10.112,97.956,1869.6,77.592,0.135,2.00,5.7333,28982.1,1.1466,0.6688,10.56,1.609,0.380
