step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std
10000,5439,1.570,0.561,6.11,379217,357743,56,2,17460,3356,1017281.4,2597250.8,0.170,0.402,0.164,0.264,83,11.09,4.01,0.08,1.04,0.05,0.55,0.04,0.49,10.93,3.80,0.00,0.00,0.003,0.036,765,0.056,0.021,0.958,0.000,0.021,695466,601441,14,0.836,0.066,0.009,1921866,0.229,2.092,0.039,12.54,217852,66,773.913,0.500,0.885,20494714,1.03,15.68,0.000,0.000,0.000,7.0,11.0,15.0,61.0,60342,0.230,0.00,0.0017,0.028,351,0.830,0.000,0.875,0.466,3.45,4.83,4.23,0.00,0.001,1.02,1.03,1.03,0.830,0.00101,2.44,401.4691,7922.89,59047.8,140074.5,48.504,113.3155,331.009,409.806,0.815,0.197,5.2,5.482,157.764,163,319.5,73.43,24.961,100.354,610.6,89.511,0.135,2.00,11.4149,62085.7,1.2533,0.3212,11.09,1.000,0.000
20000,4966,1.613,0.581,5.91,346387,330377,263,1,16219,124,768290.9,2304861.2,0.197,0.449,0.149,0.205,107,11.02,4.21,0.09,1.04,0.03,0.48,0.03,0.43,10.87,4.01,0.00,0.00,0.002,0.041,657,0.193,0.022,0.958,0.000,0.021,608629,518916,7,0.846,0.023,0.010,534482,0.236,2.285,0.040,10.60,163214,61,18587.591,0.000,0.886,22966520,1.03,15.69,0.000,0.000,0.000,7.0,11.0,14.0,64.0,54740,0.209,0.00,0.0014,0.025,330,0.812,0.000,0.860,0.444,4.18,5.45,5.11,0.00,0.003,1.02,1.04,1.03,0.812,0.00107,2.89,341.2481,7992.97,50264.3,140074.5,68.318,86.4500,292.373,169.485,0.828,0.163,5.0,5.305,153.372,217,451.7,70.65,5.087,82.033,731.6,75.227,0.135,2.00,14.3343,71184.2,1.5193,0.3075,11.02,1.000,0.000
30000,4442,1.693,0.543,5.82,275983,262286,500,0,13721,76,713921.6,2154574.0,0.284,0.410,0.137,0.169,112,11.28,3.87,0.09,1.32,0.02,0.37,0.03,0.72,11.14,3.55,0.00,0.00,0.002,0.030,456,0.429,0.013,0.974,0.000,0.013,551208,498686,4,0.800,0.024,0.004,383198,0.239,2.102,0.037,10.76,134725,0,28349.658,0.000,0.898,19858980,1.02,15.49,0.000,0.000,0.000,7.0,12.0,14.0,64.0,50100,0.191,0.00,0.0014,0.022,292,0.809,0.000,0.746,0.511,5.38,6.53,6.35,0.00,0.000,1.02,1.03,1.03,0.809,0.00096,3.15,311.2176,7239.34,44134.1,140074.5,75.127,80.6642,261.355,152.246,0.674,0.143,4.1,4.286,149.962,227,495.1,43.76,5.337,74.807,780.8,67.886,0.135,2.00,17.6775,78523.4,1.7489,0.6163,11.28,1.000,0.000
40000,3896,1.736,0.529,6.02,196721,183871,703,0,12693,24,639756.4,1974507.2,0.387,0.362,0.104,0.147,116,11.42,3.66,0.06,1.02,0.03,0.52,0.04,0.98,11.30,3.48,0.00,0.00,0.003,0.049,276,0.652,0.003,0.983,0.001,0.014,495700,478226,4,0.762,0.009,0.005,212943,0.231,2.129,0.036,9.70,108462,0,82271.135,0.000,0.908,17741736,1.02,15.85,0.001,0.000,0.000,8.0,12.0,13.0,64.0,44511,0.170,0.00,0.0015,0.009,117,0.842,0.000,0.581,0.612,6.34,7.38,7.39,0.00,0.001,1.02,1.03,1.02,0.842,0.00067,2.75,279.3915,6544.21,38553.3,140074.5,84.891,73.0198,225.667,133.756,0.466,0.126,1.8,2.626,146.966,376,940.9,66.05,5.126,66.507,664.9,59.583,0.135,2.00,21.8666,85192.4,2.0562,0.2535,11.42,1.000,0.000
50000,3579,1.776,0.482,6.24,155142,142821,926,0,11712,5,579442.0,1875267.2,0.436,0.344,0.082,0.138,115,11.71,3.60,0.03,0.48,0.04,0.76,0.05,1.17,11.60,3.08,0.00,0.00,0.002,0.041,205,0.721,0.002,0.987,0.000,0.010,479901,476379,5,0.429,0.000,0.004,178755,0.238,1.928,0.034,7.25,104597,0,375053.450,0.000,0.928,17477238,1.01,15.76,0.001,0.000,0.000,9.0,12.0,13.0,64.0,41926,0.160,0.00,0.0014,0.008,81,0.905,0.000,0.427,0.681,6.68,7.72,7.59,0.00,0.000,1.01,1.01,1.01,0.905,0.00039,2.23,261.2566,5835.39,37237.1,140074.5,93.344,66.7397,203.410,128.771,0.433,0.124,1.6,1.395,138.917,332,881.5,47.89,3.990,61.019,686.3,54.587,0.135,2.00,24.5156,87741.3,2.2413,0.1405,11.71,1.000,0.000
60000,3542,1.803,0.501,6.25,147998,135492,958,0,11585,36,569006.5,1845375.4,0.436,0.341,0.083,0.140,116,11.82,3.72,0.04,0.68,0.01,0.40,0.03,0.91,11.73,3.53,0.00,0.00,0.001,0.036,190,0.777,0.004,0.986,0.000,0.010,476051,473343,4,0.445,0.054,0.005,122395,0.253,1.944,0.035,7.03,105845,0,51260.427,0.000,0.925,16877617,1.01,15.77,0.001,0.000,0.000,10.0,12.0,12.0,64.0,41852,0.160,0.00,0.0014,0.011,79,0.909,0.000,0.350,0.693,6.76,7.75,7.59,0.00,0.000,1.01,1.01,1.01,0.909,0.00037,2.09,256.7230,5889.70,37435.7,140074.5,94.645,65.7980,198.015,129.723,0.414,0.123,1.1,1.323,139.020,401,1141.4,40.08,3.881,60.075,636.0,53.545,0.134,2.00,24.6220,87211.2,2.2488,0.3856,11.82,1.000,0.000
70000,3615,1.772,0.480,6.31,146823,133850,980,0,11920,24,557742.5,1845216.9,0.448,0.323,0.089,0.140,115,11.66,3.02,0.03,0.86,0.01,0.31,0.02,0.45,11.60,2.74,0.00,0.00,0.001,0.032,158,0.800,0.002,0.989,0.000,0.009,469260,466814,4,0.433,0.050,0.002,123256,0.265,1.911,0.033,6.51,105228,0,76884.036,0.000,0.940,16118323,1.01,15.93,0.000,0.000,0.000,10.0,12.0,12.0,64.0,42165,0.161,0.00,0.0013,0.006,64,0.911,0.000,0.259,0.691,6.87,7.75,7.69,0.00,0.000,1.00,1.01,1.01,0.911,0.00032,1.97,255.6912,5586.12,37238.0,140074.5,96.398,64.2942,198.245,128.276,0.393,0.122,1.2,1.156,137.092,397,1089.2,55.59,3.638,58.958,629.6,52.764,0.134,2.00,24.2646,87716.7,2.2370,0.0647,11.66,1.000,0.000
80000,3389,1.790,0.511,6.40,142154,128955,1077,0,12348,9,546009.3,1817443.2,0.472,0.294,0.092,0.142,116,11.86,3.44,0.06,1.23,0.01,0.28,0.02,0.65,11.76,3.15,0.00,0.00,0.001,0.023,167,0.818,0.001,0.992,0.000,0.007,465987,463479,5,0.416,0.021,0.003,109839,0.293,1.986,0.036,6.26,106442,0,201938.139,0.000,0.947,14134515,1.02,15.92,0.001,0.000,0.000,12.0,12.0,12.0,64.0,40182,0.153,0.00,0.0014,0.009,24,0.907,0.000,0.242,0.698,7.00,7.74,7.68,0.00,0.000,1.02,1.02,1.02,0.907,0.00032,1.63,250.5762,5702.01,36927.9,140074.5,98.124,62.9758,192.712,127.818,0.412,0.121,0.9,1.075,142.586,476,1453.7,45.93,3.501,57.821,596.2,51.540,0.134,2.00,25.9405,87912.2,2.3486,0.3801,11.86,1.000,0.000
90000,3367,1.772,0.474,6.35,138982,125293,1106,0,12605,10,536755.3,1811852.6,0.480,0.267,0.099,0.154,115,11.78,3.13,0.02,0.22,0.02,0.31,0.03,0.70,11.72,3.02,0.00,0.00,0.003,0.047,160,0.831,0.002,0.986,0.000,0.012,462697,460437,5,0.421,0.000,0.004,111985,0.275,1.799,0.031,5.86,107260,0,181185.263,0.000,0.944,12849348,1.01,16.02,0.000,0.000,0.000,12.0,12.0,12.0,64.0,39675,0.151,0.00,0.0014,0.006,31,0.915,0.000,0.233,0.703,7.01,7.82,7.63,0.00,0.000,1.00,1.01,1.01,0.915,0.00030,1.50,248.6485,5098.30,35722.4,140074.5,99.676,61.5449,191.001,124.999,0.402,0.116,0.9,1.003,144.159,476,1360.0,40.06,3.315,56.807,596.6,50.833,0.134,2.00,26.6782,89825.6,2.4190,2.3166,11.78,1.000,0.000
100000,3371,1.837,0.500,6.35,137529,123888,1150,0,12487,28,532570.1,1814765.1,0.486,0.259,0.098,0.158,116,11.67,3.06,0.03,0.50,0.01,0.26,0.03,0.56,11.60,2.95,0.00,0.07,0.001,0.028,141,0.816,0.002,0.988,0.000,0.010,465565,463255,5,0.425,0.006,0.004,125698,0.278,1.962,0.034,5.57,105982,0,64813.040,0.000,0.943,12487382,1.01,16.10,0.000,0.000,0.000,10.0,12.0,12.0,64.0,39329,0.150,0.00,0.0014,0.006,45,0.915,0.000,0.231,0.707,6.93,7.83,7.57,0.00,0.000,1.00,1.01,1.01,0.915,0.00029,1.48,248.6601,5794.60,37305.0,140074.5,100.168,61.3902,189.969,131.602,0.389,0.122,0.9,0.963,139.856,404,1144.0,40.97,3.154,56.625,610.2,50.581,0.135,2.00,25.9833,87589.8,2.3734,0.2147,11.67,1.000,0.000
