step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density
5000,1,2742,13.8,0.1,0.2,0.1,13.5,0.0,1.03,11.8,440,183,6.19,13.67,1573,846,323,0.0,1.03,1.05,1.02,3.87,5.80,4.87,25.3,1.000
5000,3,211,21.3,0.6,0.5,0.0,20.2,0.0,1.14,9.5,65,122,3.91,10.46,52,96,63,0.0,1.11,1.20,1.12,4.22,4.08,7.20,32.3,1.000
5000,23,201,17.0,0.6,0.2,0.3,15.9,0.0,1.14,12.9,63,105,3.53,7.18,19,87,95,0.0,1.04,1.22,1.16,3.46,3.96,5.60,36.8,1.000
5000,6,119,14.4,0.0,0.1,0.1,14.1,0.0,1.03,13.0,25,141,3.83,10.64,11,86,22,0.0,1.02,1.02,1.04,3.63,3.45,6.04,32.5,1.000
5000,4,109,11.4,0.6,0.0,0.0,10.7,0.0,1.19,13.9,26,173,4.83,10.96,48,54,7,0.0,1.19,1.19,1.19,3.44,7.12,3.14,26.1,1.000
5000,15,102,12.8,0.0,0.0,0.0,12.8,0.0,1.00,13.5,30,245,7.21,16.19,83,15,4,0.0,1.00,1.00,1.00,3.19,2.58,6.79,22.3,1.000
5000,34,72,15.5,0.0,0.0,0.0,15.5,0.0,1.00,11.5,22,148,4.93,10.14,24,36,12,0.0,1.00,1.00,1.00,3.67,3.35,6.92,30.2,1.000
5000,40,57,18.0,0.0,0.4,0.2,17.4,0.0,1.00,11.3,25,210,7.27,17.03,53,4,0,0.0,1.00,1.00,1.00,4.16,3.16,7.30,18.1,1.000
5000,18,27,9.0,0.1,0.0,0.0,8.9,0.0,1.06,14.8,9,419,10.17,26.10,27,0,0,0.0,1.19,1.00,1.05,4.56,7.48,7.48,12.8,1.000
5000,72,27,8.0,0.1,0.0,0.1,7.8,0.0,1.07,16.2,11,213,5.08,11.08,24,3,0,0.0,1.06,1.10,1.06,2.85,5.81,2.11,22.8,1.000
5000,29,24,9.0,0.0,0.0,0.0,9.0,0.0,1.02,18.2,10,240,7.52,15.28,20,4,0,0.0,1.02,1.02,1.01,2.54,2.96,3.96,22.5,1.000
5000,50,22,11.2,0.0,0.0,0.0,11.2,0.0,1.00,16.3,9,142,3.03,9.94,19,3,0,0.0,1.00,1.00,1.00,2.82,4.41,3.45,17.5,1.000
5000,36,20,9.9,0.0,0.0,0.0,9.9,0.0,1.00,17.1,3,193,5.10,12.22,11,9,0,0.0,1.00,1.00,1.00,3.15,4.80,2.65,25.3,1.000
5000,2,10,17.5,0.0,0.0,0.0,17.5,0.0,1.00,10.0,3,213,5.59,16.32,8,2,0,0.0,1.00,1.00,1.00,3.60,7.80,3.20,19.2,1.000
5000,35,10,12.0,0.0,0.0,0.0,12.0,0.0,1.00,10.0,1,117,3.75,7.45,10,0,0,0.0,1.00,1.00,1.00,3.90,8.00,3.00,18.3,1.000
5000,5,6,13.2,0.0,0.0,0.0,13.2,0.0,1.00,11.7,3,633,19.63,45.78,1,5,0,0.0,1.00,1.00,1.00,4.67,7.00,3.67,28.7,1.000
6000,1,2915,13.5,0.1,0.1,0.1,13.2,0.0,1.03,12.2,435,201,6.40,14.42,1699,913,303,0.0,1.02,1.04,1.02,3.93,6.08,4.67,24.9,1.000
6000,3,228,18.0,0.2,0.1,0.0,17.7,0.0,1.06,11.4,75,135,3.55,11.78,104,74,50,0.0,1.04,1.08,1.06,3.86,3.70,6.65,29.2,1.000
6000,23,205,14.8,0.1,0.0,0.1,14.5,0.0,1.06,13.5,44,126,4.05,8.45,42,104,59,0.0,1.08,1.09,1.05,3.37,3.69,5.59,33.6,1.000
6000,93,143,12.5,0.0,0.0,0.1,12.4,0.0,1.00,11.9,31,183,5.66,13.10,108,35,0,0.0,1.00,1.00,1.00,3.80,7.51,2.59,20.9,1.000
6000,90,128,14.5,0.0,0.0,0.1,14.4,0.0,1.01,12.3,27,162,5.03,13.65,80,46,2,0.0,1.08,1.00,1.01,3.77,7.38,2.45,24.3,1.000
6000,6,100,16.7,0.0,0.0,0.0,16.7,0.0,1.00,10.0,17,144,4.03,12.15,14,49,37,0.0,1.00,1.00,1.00,3.91,3.83,7.25,35.0,1.000
6000,15,94,10.7,0.0,0.0,0.0,10.7,0.0,1.00,14.7,20,185,5.64,12.38,90,4,0,0.0,1.00,1.00,1.00,2.93,2.12,6.53,20.8,1.000
6000,34,60,14.3,0.0,0.0,0.0,14.3,0.0,1.00,12.3,20,141,3.80,10.08,16,43,1,0.0,1.00,1.00,1.00,3.32,3.37,6.53,29.0,1.000
6000,18,39,8.1,0.0,0.0,0.0,8.1,0.0,1.00,14.9,10,223,4.34,11.78,39,0,0,0.0,1.00,1.00,1.00,4.44,7.31,7.51,12.4,1.000
6000,102,37,8.7,0.5,0.0,0.0,8.2,0.0,1.17,16.6,16,325,12.72,19.04,26,11,0,0.0,1.16,1.14,1.20,3.38,3.43,5.84,24.8,1.000
