step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density
5000,1,590,46.6,12.3,15.3,1.3,19.3,3.1,4.16,2.5,472,81,6.39,22.23,261,233,96,3.1,4.92,1.66,5.42,6.59,7.22,7.73,27.7,0.967
5000,34,446,14.9,0.5,0.4,0.0,14.5,0.0,1.16,13.8,278,96,4.89,6.65,243,157,46,0.0,1.09,1.21,1.19,3.30,3.58,5.58,24.8,0.966
5000,15,156,68.1,0.0,10.9,0.0,30.6,0.0,1.00,5.4,139,166,19.64,40.43,89,52,15,0.0,1.00,1.00,1.00,6.08,6.60,6.84,25.5,1.640
5000,14,35,13.2,0.3,0.0,0.0,14.1,0.0,1.07,13.1,25,70,2.91,5.42,0,27,8,0.0,1.07,1.04,1.11,3.26,4.51,5.00,35.3,0.905
5000,20,22,13.2,0.0,0.0,0.0,11.1,0.0,1.00,18.5,17,98,3.31,7.21,0,16,6,0.0,1.00,1.00,1.00,2.45,3.36,3.36,34.1,1.187
5000,27,10,11.1,0.0,0.0,0.0,9.6,0.0,1.00,17.2,6,99,10.47,5.96,0,4,6,0.0,1.00,1.00,1.00,2.60,3.60,3.80,37.9,1.151
6000,1,622,45.9,12.3,13.3,0.7,21.2,2.7,4.09,2.7,468,109,10.97,26.12,294,210,118,2.8,4.88,1.66,5.28,6.39,7.03,7.73,27.0,0.969
6000,34,220,15.7,0.8,0.6,0.0,14.7,0.0,1.18,14.1,145,118,7.62,8.83,175,31,14,0.0,1.08,1.19,1.24,3.34,3.87,5.12,20.9,0.973
6000,100,84,20.4,0.3,0.6,0.0,19.1,0.0,1.08,8.5,68,103,7.01,8.74,15,38,31,0.0,1.03,1.13,1.08,4.33,5.65,6.19,34.0,1.021
6000,15,37,67.9,0.1,15.4,0.0,24.4,0.0,1.01,5.2,37,191,20.95,45.36,18,8,11,0.1,1.01,1.02,1.00,5.89,6.84,6.68,28.9,1.710
6000,14,25,22.9,0.0,0.0,0.5,20.9,0.0,1.01,9.7,18,111,4.95,10.32,1,20,4,0.0,1.00,1.02,1.01,4.16,5.52,5.68,32.9,1.059
7000,1,818,44.4,8.7,10.9,0.3,23.3,1.8,3.21,4.1,562,121,11.75,25.81,404,298,116,1.9,3.67,1.44,4.18,6.09,6.77,7.29,26.5,1.032
7000,117,123,23.7,0.0,0.1,0.1,28.1,0.0,1.01,6.8,84,94,5.86,8.91,12,30,81,0.0,1.00,1.01,1.01,4.98,5.39,7.26,42.3,0.838
7000,100,95,20.6,0.0,0.6,0.0,18.0,0.0,1.02,9.6,53,89,5.24,6.04,38,30,27,0.0,1.02,1.02,1.02,4.00,4.86,6.37,31.1,1.094
7000,34,63,13.6,0.0,1.4,0.0,11.2,0.0,1.01,15.7,49,116,4.80,8.01,43,6,14,0.0,1.02,1.02,1.01,2.83,3.79,4.38,24.9,1.080
7000,15,17,67.7,0.0,19.4,0.0,22.4,0.0,1.00,5.2,14,190,17.20,51.63,12,4,1,0.0,1.00,1.00,1.00,6.06,6.53,6.88,22.7,1.633
8000,1,842,43.6,8.1,10.2,0.2,22.7,1.6,3.15,4.9,584,127,13.64,28.89,445,273,124,1.6,3.47,1.49,4.19,5.90,6.51,7.21,26.6,1.071
8000,117,199,20.2,0.0,0.4,0.0,23.4,0.0,1.00,7.7,122,90,5.58,7.72,47,66,86,0.0,1.00,1.00,1.00,4.59,5.21,7.02,35.3,0.849
8000,137,99,11.3,0.0,0.0,0.5,14.1,0.0,1.00,11.6,53,97,4.21,7.03,0,61,38,0.0,1.00,1.01,1.00,3.72,3.86,6.56,37.2,0.776
8000,100,95,21.3,0.1,0.7,0.0,18.2,0.0,1.03,8.4,50,115,5.94,8.36,16,55,24,0.0,1.01,1.04,1.03,4.26,5.84,6.09,33.5,1.092
8000,34,56,9.2,0.0,0.0,0.0,8.5,0.0,1.00,18.0,24,122,4.95,6.87,33,23,0,0.0,1.00,1.00,1.00,2.45,3.12,3.86,19.5,1.084
8000,129,42,16.8,0.2,0.2,0.0,13.9,0.0,1.12,12.7,32,107,3.38,6.59,13,26,3,0.0,1.02,1.26,1.11,3.29,3.86,5.93,28.6,1.196
9000,1,932,41.8,6.3,9.4,0.2,22.4,1.1,2.64,5.8,649,145,14.12,27.92,507,330,95,1.1,2.90,1.38,3.40,5.48,6.31,6.88,25.7,1.110
9000,117,111,19.2,0.0,0.0,0.0,22.9,0.0,1.00,8.3,70,113,11.08,8.87,7,42,62,0.0,1.00,1.00,1.00,4.67,4.85,7.06,41.5,0.840
9000,100,105,17.0,0.8,0.3,0.0,14.8,0.0,1.17,11.8,66,110,7.15,9.50,61,28,16,0.0,1.07,1.29,1.16,3.52,4.98,5.20,24.8,1.069
9000,34,73,12.9,0.0,0.6,0.0,11.1,0.0,1.00,16.6,39,95,4.55,6.23,56,11,6,0.0,1.00,1.00,1.00,2.89,3.49,4.19,21.4,1.094
9000,129,65,22.5,0.1,0.1,0.0,18.2,0.0,1.04,10.5,46,151,9.15,12.58,27,33,5,0.0,1.00,1.07,1.05,4.31,4.37,6.63,26.6,1.221
9000,137,60,17.1,0.3,1.9,0.3,18.1,0.0,1.09,9.5,46,136,5.48,10.34,0,23,37,0.0,1.05,1.07,1.23,4.73,4.97,6.57,38.5,0.812
9000,146,48,10.7,1.6,0.0,0.0,10.1,0.0,1.55,12.7,29,168,9.58,8.36,30,17,1,0.0,1.38,1.71,1.66,3.73,3.23,6.65,24.3,0.929
9000,166,43,11.1,1.3,0.0,0.1,11.0,0.0,1.48,11.9,21,87,4.30,4.17,11,32,0,0.0,1.18,1.61,1.58,3.12,4.98,5.33,28.7,0.915
10000,1,956,41.6,7.5,9.0,0.1,22.5,1.3,2.97,5.8,634,144,14.83,28.98,529,333,94,1.3,3.23,1.45,3.94,5.47,6.32,6.92,25.7,1.084
10000,117,73,21.0,0.0,1.2,0.0,22.0,0.0,1.00,8.6,49,111,5.86,10.04,2,13,58,0.0,1.00,1.00,1.00,4.26,4.84,6.86,47.7,0.907
10000,146,67,10.4,1.0,0.5,0.0,10.3,0.0,1.29,14.3,48,102,4.39,7.26,59,8,0,0.0,1.11,1.35,1.40,3.36,3.00,5.99,18.5,0.878
10000,185,59,14.9,0.1,1.5,0.0,16.4,0.0,1.02,13.9,43,112,6.40,8.09,18,38,3,0.0,1.04,1.00,1.03,3.42,4.44,4.59,28.5,0.826
10000,129,46,18.1,0.0,0.1,0.0,15.2,0.0,1.00,13.3,30,164,11.89,13.40,44,2,0,0.0,1.00,1.00,1.00,3.11,3.87,5.63,19.7,1.181
10000,100,45,12.2,0.1,0.4,0.1,11.6,0.0,1.02,13.6,27,133,6.18,7.44,18,15,12,0.0,1.00,1.04,1.02,2.98,4.84,4.44,31.2,1.013
10000,182,44,17.7,1.0,0.1,0.0,18.8,0.0,1.32,10.3,25,103,8.25,10.21,31,12,1,0.0,1.23,1.41,1.33,3.75,4.00,7.00,21.3,0.891
10000,180,28,20.1,0.0,2.6,0.0,20.3,0.0,1.00,8.0,17,87,4.64,6.65,1,12,15,0.0,1.00,1.00,1.00,4.93,5.07,7.07,37.0,0.873
10000,34,25,15.0,0.0,0.8,0.0,12.7,0.0,1.00,15.0,17,96,3.48,5.35,9,15,1,0.0,1.00,1.00,1.00,2.84,3.96,4.64,26.9,1.108
10000,175,17,23.8,1.3,0.0,0.0,22.5,0.0,1.32,7.9,11,73,3.39,6.36,0,5,12,0.0,1.23,1.53,1.32,5.18,4.94,7.35,42.2,1.005
10000,137,8,16.8,0.4,0.0,0.4,22.5,0.0,1.07,9.5,5,64,4.90,5.26,0,0,8,0.0,1.00,1.10,1.08,4.38,5.00,6.62,44.4,0.719
11000,1,1040,44.6,7.3,9.2,0.3,24.6,1.3,2.85,5.0,688,135,13.09,27.21,580,354,106,1.3,3.17,1.44,3.73,5.77,6.47,7.13,25.4,1.093
11000,34,53,13.0,0.0,0.2,0.0,10.3,0.0,1.00,17.5,37,92,4.95,8.05,42,11,0,0.0,1.00,1.00,1.00,2.53,3.25,4.02,17.5,1.232
11000,182,49,12.5,0.4,0.0,0.0,12.4,0.0,1.11,14.8,22,130,7.75,8.61,43,6,0,0.0,1.03,1.13,1.14,3.16,3.33,5.29,16.9,0.989
11000,117,48,20.3,0.8,0.2,0.0,20.8,0.0,1.22,9.9,36,81,6.28,5.59,32,10,6,0.0,1.01,1.28,1.31,4.29,5.21,5.90,21.8,0.940
11000,208,41,16.2,0.0,0.9,0.1,14.9,0.0,1.00,11.1,30,134,5.26,9.27,0,18,23,0.0,1.00,1.00,1.00,4.24,4.90,5.61,40.3,1.021
11000,129,36,16.9,0.2,0.0,0.0,14.1,0.0,1.09,12.8,24,107,5.56,7.61,19,14,3,0.0,1.00,1.19,1.08,3.61,4.86,5.08,25.9,1.164
11000,203,31,10.5,1.7,0.0,0.1,9.9,0.0,1.61,14.2,23,205,9.01,13.70,29,2,0,0.0,1.58,1.64,1.66,2.94,3.94,5.29,20.2,0.902
11000,175,20,20.9,0.0,0.4,0.0,19.3,0.0,1.00,9.7,11,73,3.15,5.54,0,17,3,0.0,1.00,1.00,1.00,4.30,4.25,7.00,35.2,1.061
11000,100,18,9.1,0.3,0.0,0.0,8.7,0.0,1.13,17.2,9,122,5.42,6.60,14,4,0,0.0,1.04,1.22,1.13,2.67,4.11,3.28,21.8,1.019
11000,146,17,11.5,0.0,2.5,0.0,10.6,0.0,1.00,13.3,16,95,5.71,5.82,11,3,3,0.0,1.00,1.00,1.00,3.06,3.18,6.76,26.1,0.848
11000,137,13,13.9,0.0,0.0,0.0,19.0,0.0,1.00,12.5,10,136,5.32,10.35,6,6,1,0.0,1.00,1.00,1.00,3.00,3.77,6.62,28.2,0.721
11000,185,7,14.3,0.0,0.0,0.0,16.9,0.0,1.00,12.0,2,102,3.61,7.55,1,4,2,0.0,1.00,1.00,1.00,3.43,5.00,5.00,32.8,0.850
11000,166,7,12.8,2.0,0.0,0.0,9.7,0.0,1.72,12.6,3,67,2.08,3.74,0,2,5,0.0,1.00,2.13,1.90,3.14,4.57,5.14,38.2,1.089
12000,1,837,48.3,9.5,9.9,0.3,24.6,1.4,3.51,4.2,539,150,15.79,30.38,427,295,115,1.5,3.87,1.55,4.77,6.01,6.57,7.41,25.9,1.096
12000,220,288,15.6,0.5,0.3,0.0,14.2,0.0,1.13,12.9,165,132,7.08,9.37,142,94,52,0.0,1.02,1.19,1.16,3.38,3.92,5.69,28.1,1.027
12000,208,90,14.2,0.3,2.2,0.1,11.0,0.0,1.10,13.1,61,113,5.37,7.67,15,57,18,0.1,1.09,1.09,1.13,3.34,4.41,5.12,32.2,1.036
12000,34,71,16.9,0.0,0.3,0.0,13.2,0.0,1.00,14.9,37,87,4.15,5.93,42,24,5,0.0,1.00,1.00,1.00,2.86,3.80,4.76,21.6,1.231
12000,129,46,14.1,0.0,0.0,0.0,12.8,0.0,1.00,14.1,34,120,4.27,8.55,24,18,4,0.0,1.00,1.00,1.00,3.70,4.15,4.80,26.5,1.095
12000,117,42,12.5,0.0,0.0,0.0,13.4,0.0,1.00,12.9,22,84,4.17,4.99,2,25,15,0.0,1.00,1.00,1.00,3.19,4.79,4.76,34.9,0.932
12000,225,36,9.4,2.6,0.0,0.0,7.7,0.0,1.96,16.8,16,153,8.53,5.19,29,7,0,0.0,1.24,2.50,2.09,2.58,3.56,4.11,22.8,0.908
12000,203,31,8.6,0.0,0.0,0.0,9.9,0.0,1.00,14.7,18,102,4.47,5.95,31,0,0,0.0,1.00,1.00,1.00,3.35,2.94,6.52,18.4,0.877
12000,100,28,13.3,0.0,0.0,0.0,12.8,0.0,1.00,13.2,15,100,4.30,7.00,24,4,0,0.0,1.00,1.00,1.00,3.25,4.75,4.64,12.1,1.033
12000,175,27,9.1,0.0,0.0,0.0,7.7,0.0,1.00,17.9,17,97,3.39,6.78,1,26,0,0.0,1.00,1.00,1.00,2.96,3.04,5.33,28.3,1.192
12000,226,18,21.0,0.2,0.9,0.0,18.7,0.0,1.05,11.6,13,59,2.63,4.38,18,0,0,0.1,1.00,1.07,1.07,4.11,3.72,6.50,9.2,1.052
12000,182,17,12.6,0.8,0.0,0.0,12.0,0.0,1.31,13.8,12,221,18.11,12.50,17,0,0,0.0,1.26,1.26,1.43,3.53,3.71,5.41,15.3,0.984
13000,1,781,52.4,8.9,10.3,0.1,27.3,1.4,3.25,3.2,544,157,17.86,32.10,401,294,86,1.4,3.67,1.42,4.34,6.36,6.88,7.66,25.8,1.125
13000,220,218,15.3,0.6,0.2,0.0,14.5,0.0,1.18,12.3,135,132,6.07,9.34,100,72,46,0.0,1.14,1.18,1.19,3.38,4.02,5.83,28.4,0.997
13000,208,144,13.5,1.1,0.1,0.2,12.0,0.0,1.31,13.0,71,125,5.05,8.54,74,42,28,0.0,1.25,1.32,1.35,3.17,4.10,5.48,27.2,1.012
13000,129,76,16.1,0.0,0.0,0.1,14.2,0.0,1.01,12.5,36,145,5.72,9.10,35,41,0,0.0,1.00,1.01,1.01,3.51,4.30,5.45,24.3,1.124
13000,34,53,13.5,0.0,0.0,0.0,11.0,0.0,1.00,17.4,31,176,13.02,11.30,49,4,0,0.0,1.00,1.00,1.00,2.57,3.04,4.28,12.8,1.220
13000,117,48,12.1,0.0,1.0,0.0,11.8,0.0,1.00,13.6,31,111,4.79,8.90,3,36,9,0.0,1.00,1.00,1.00,3.02,4.77,4.44,33.0,0.950
13000,225,41,8.2,2.1,0.0,0.0,6.8,0.0,1.85,17.8,23,215,8.72,11.35,39,2,0,0.0,1.20,2.45,1.88,2.15,3.49,3.71,22.1,0.912
13000,175,30,13.0,0.1,0.0,0.0,11.5,0.0,1.01,11.8,12,126,5.81,7.49,11,19,0,0.0,1.00,1.00,1.01,3.53,7.43,2.77,27.6,1.119
13000,236,30,18.2,0.0,1.2,0.0,12.4,0.0,1.00,16.1,14,123,4.16,10.04,0,30,0,0.0,1.00,1.00,1.00,3.23,4.20,3.77,31.3,1.334
13000,226,24,23.3,0.0,0.0,0.7,19.2,0.0,1.02,10.4,21,220,18.36,18.01,24,0,0,0.0,1.00,1.02,1.02,4.12,3.96,6.92,7.9,1.127
13000,203,16,9.0,0.0,0.0,0.1,10.1,0.0,1.00,14.8,11,169,6.76,7.86,14,1,1,0.0,1.00,1.00,1.00,3.19,3.06,5.56,21.8,0.880
13000,100,6,15.5,0.0,0.0,0.0,13.5,0.0,1.00,12.0,6,165,8.10,9.66,2,3,1,0.0,1.00,1.00,1.00,4.17,4.00,6.00,28.5,1.139
14000,1,849,50.3,7.5,10.1,0.3,26.1,1.2,2.91,3.5,591,152,16.51,32.62,446,328,75,1.2,3.25,1.49,3.79,6.05,6.78,7.63,25.9,1.143
14000,220,217,11.5,0.3,0.3,0.1,11.7,0.0,1.12,15.0,140,131,6.60,9.17,151,59,7,0.0,1.05,1.14,1.17,3.13,3.60,4.98,22.3,0.926
14000,208,184,15.4,0.9,0.5,0.2,13.2,0.1,1.19,12.6,103,104,4.30,7.35,84,71,29,0.1,1.14,1.14,1.24,3.47,4.61,5.11,28.2,1.021
14000,250,107,18.9,0.0,0.2,0.0,20.9,0.0,1.00,10.2,81,101,5.16,8.85,23,45,39,0.0,1.00,1.00,1.00,4.19,4.13,6.84,34.0,0.896
14000,249,77,11.0,0.4,0.2,0.0,13.2,0.0,1.14,13.2,50,114,5.76,7.89,42,33,2,0.0,1.16,1.17,1.13,3.34,4.14,5.30,25.1,0.804
14000,117,47,10.2,0.0,0.5,0.0,9.4,0.0,1.00,16.0,24,85,4.08,4.65,10,36,1,0.0,1.00,1.00,1.00,2.72,4.09,3.91,29.1,1.040
14000,100,41,13.5,0.0,0.0,0.0,12.7,0.0,1.00,13.6,28,173,7.44,7.82,24,13,4,0.0,1.00,1.00,1.00,3.17,3.85,5.51,25.1,1.076
14000,245,41,18.5,0.0,0.7,0.0,21.8,0.0,1.00,7.9,29,114,6.36,9.94,0,12,29,0.0,1.00,1.00,1.00,4.68,4.76,7.44,43.0,0.820
14000,34,40,15.0,0.0,0.1,0.0,12.3,0.0,1.00,16.4,25,146,11.33,10.63,37,3,0,0.0,1.00,1.00,1.00,2.85,3.80,4.03,16.6,1.204
14000,129,24,11.1,0.2,0.2,0.0,9.1,0.0,1.08,16.4,19,151,4.56,9.15,0,23,1,0.0,1.00,1.17,1.08,2.75,3.83,3.96,32.1,1.164
14000,225,23,8.9,3.7,0.0,0.0,6.3,0.0,2.38,17.2,9,224,6.04,11.18,23,0,0,0.0,1.34,3.05,2.61,3.04,3.17,4.22,20.7,0.890
14000,175,19,20.0,0.3,1.9,0.0,14.7,0.0,1.03,7.3,11,106,3.43,8.44,18,1,0,0.0,1.00,1.00,1.05,3.84,8.00,4.68,21.4,1.188
14000,226,15,13.3,0.0,0.0,2.9,10.5,0.0,1.00,10.7,7,146,9.03,8.80,15,0,0,0.0,1.00,1.00,1.00,3.33,3.67,7.00,1.6,0.994
14000,182,13,23.3,0.0,0.0,0.0,20.4,0.0,1.00,7.5,8,75,4.16,5.69,13,0,0,0.0,1.00,1.00,1.00,3.54,4.54,7.69,20.2,1.135
14000,246,8,28.3,0.0,0.0,0.0,39.0,0.0,1.00,0.8,7,56,4.41,7.80,8,0,0,0.0,1.00,1.00,1.00,6.50,7.75,7.88,5.3,0.727
15000,1,905,48.3,7.0,9.6,0.2,24.9,1.1,2.80,4.2,636,169,18.04,33.61,479,327,99,1.1,3.13,1.53,3.61,5.98,6.69,7.52,25.6,1.158
15000,220,173,15.5,0.9,0.2,0.0,13.3,0.0,1.36,12.9,86,111,5.37,8.46,116,49,8,0.0,1.06,1.38,1.56,3.45,4.08,5.60,24.1,1.063
15000,208,152,15.0,0.6,0.1,0.1,13.8,0.0,1.23,13.0,85,125,6.17,8.68,94,26,32,0.0,1.19,1.24,1.26,3.38,4.26,5.32,27.8,1.017
15000,270,139,15.1,0.0,0.8,0.0,15.5,0.0,1.00,10.3,82,103,4.47,7.00,51,28,60,0.0,1.00,1.00,1.00,3.87,5.50,5.41,34.6,0.928
15000,249,100,13.0,0.0,0.0,0.1,15.2,0.0,1.00,12.1,49,124,5.15,8.52,64,23,13,0.0,1.00,1.00,1.00,3.47,3.84,6.21,25.5,0.843
15000,250,66,17.2,0.0,0.4,0.0,18.8,0.0,1.00,10.9,42,79,3.55,6.73,40,21,5,0.0,1.00,1.00,1.00,3.89,3.77,7.03,24.1,0.895
15000,117,34,15.2,0.0,0.2,0.0,14.6,0.0,1.00,11.8,21,113,3.71,6.42,1,3,30,0.0,1.00,1.00,1.00,3.85,5.00,5.15,52.1,1.037
15000,225,18,10.5,4.1,0.0,0.0,7.1,0.0,2.41,15.7,7,144,3.93,7.58,18,0,0,0.0,1.70,2.84,2.60,2.78,3.28,4.89,17.2,0.927
15000,226,14,9.9,0.0,0.0,0.9,9.2,0.0,1.00,15.4,14,135,6.74,8.18,13,1,0,0.0,1.00,1.00,1.00,2.64,2.86,5.71,8.6,0.981
15000,34,13,9.1,0.0,0.8,0.0,6.3,0.0,1.00,20.2,7,115,4.21,4.47,12,1,0,0.0,1.00,1.00,1.00,2.31,2.92,3.00,20.8,1.253
15000,100,7,22.8,0.0,0.0,0.0,23.1,0.0,1.00,10.6,7,196,8.84,12.33,7,0,0,0.0,1.00,1.00,1.00,4.14,5.29,5.43,2.0,1.005
