step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,4.00,16,0,1,0,1,0,1.00,10,0.250,3428,-0.00,121.84,23.81,597,2,0,0,1.00,1.00,1.00,1,2,1,48.6,1.006,2,2.000,0.994,4,1.000,13,37.66,26.25,0,0.0000,0.000,0.0000,3428,1.0000
100000,12.00,16,0,3,0,3,0,1.00,2,0.250,3317,0.00,136.44,66.58,766,0,0,0,1.00,1.00,1.00,1,3,4,14.5,17.372,6,2.000,0.976,4,1.000,9,28.40,28.00,0,0.0000,0.000,0.0000,3317,1.0000
100000,14.00,16,0,4,0,3,0,1.00,2,0.286,2920,0.00,94.54,118.47,766,1,0,0,1.00,1.00,1.00,2,3,4,35.7,24.367,7,2.000,0.985,4,1.000,8,37.01,37.00,0,0.0000,0.252,0.0000,2920,1.0000
100000,20.00,16,0,6,0,4,0,1.00,0,0.300,2809,0.00,156.37,62.59,766,2,0,0,1.00,1.00,1.00,2,4,4,39.6,85.280,10,2.000,0.976,4,1.000,6,65.93,23.75,0,0.0000,0.000,0.0000,2809,1.0000
100000,26.00,16,0,8,0,5,0,1.00,0,0.308,2765,0.00,94.21,73.74,766,1,0,0,1.00,1.00,1.00,4,4,4,31.3,43.777,13,2.000,0.976,4,1.000,3,25.46,24.25,0,0.0000,0.000,0.0000,2765,1.0000
100000,22.00,16,0,6,0,5,0,1.00,0,0.273,2678,0.00,112.17,26.87,766,0,0,0,1.00,1.00,1.00,2,4,4,21.0,32.244,11,2.000,0.976,4,1.000,5,16.31,4.25,0,0.0000,0.000,0.0000,2678,1.0000
100000,32.00,16,0,5,0,11,0,1.00,0,0.156,2399,0.00,128.19,11.97,597,2,0,0,1.00,1.00,1.00,4,4,4,38.3,33.566,16,2.000,0.994,4,1.000,0,34.59,12.50,0,0.0000,0.000,0.0000,2399,1.0000
100000,24.00,16,0,4,0,8,0,1.00,0,0.167,2398,1.49,135.70,12.21,766,1,0,0,1.00,1.00,1.00,4,4,4,27.8,39.152,12,2.000,0.981,4,1.000,4,23.73,17.75,0,0.0000,0.068,0.0000,2398,1.0000
100000,22.00,16,0,4,0,7,0,1.00,0,0.182,2337,0.00,104.76,17.04,597,0,0,0,1.00,1.00,1.00,3,4,4,25.3,20.904,11,2.000,0.994,4,1.000,5,21.75,-15.00,0,0.0000,0.000,0.0000,2337,1.0000
100000,28.00,16,0,4,0,10,0,1.00,0,0.143,2307,0.00,120.60,28.78,597,0,0,0,1.00,1.00,1.00,2,4,4,23.7,27.316,14,2.000,0.994,4,1.000,2,30.99,29.50,0,0.0000,0.000,0.0000,2307,1.0000
100000,26.00,16,0,4,0,9,0,1.00,0,0.154,2292,0.00,112.22,24.16,597,0,0,0,1.00,1.00,1.00,2,4,4,14.7,13.112,13,2.000,0.994,4,1.000,3,4.91,1.25,0,0.0000,0.000,0.0000,2292,1.0000
100000,26.00,16,0,3,0,10,0,1.00,0,0.115,2284,-0.00,114.41,17.87,766,0,0,0,1.00,1.00,1.00,2,4,4,12.8,16.339,13,2.000,0.981,4,1.000,3,16.73,-16.50,0,0.0000,0.068,0.0000,2284,1.0000
100000,26.00,16,0,7,0,6,0,1.00,0,0.269,2266,0.00,77.27,30.78,766,2,1,0,1.00,1.00,1.00,4,4,4,43.3,0.237,13,2.000,0.931,4,1.000,3,26.28,20.25,0,0.0000,0.618,0.0000,2266,1.0000
