step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest,pace,turned
10000,882,1.552,0.842,10.28,43541,39783,0,3798,499,660058,608428.2,353918.5,0.096,0.701,0.107,0.096,111,52.28,26.35,2.10,5.11,11.66,8.26,0.58,2.09,19.60,11.93,0.28,0.94,0.238,0.152,677,0.036,0.054,0.938,0.001,0.007,102646,89354,3,0.241,0.604,0.108,1372789,0.194,2.149,0.096,45.27,37722,232,0.536,0.214,0.245,5886554,1.45,2.38,0.350,0.641,0.099,15.5,54.0,82.1,158.0,29934,0.114,0.00,0.0035,0.092,234,0.634,0.000,0.451,0.589,4.99,6.15,6.06,0.50,0.176,1.49,1.41,1.47,0.655,0.00390,30.74,25.6394,653.35,114381.9,140122.1,3.715,14.5915,116.709,0.000,1.000,0.386,43.2,51.599,151.825,2290,12216.7,25.22,54.087,6.63,9.483,218.4,4.545,0.134,2.00,10.8996,9613.4,0.4576,0.2964,33.94,1.445,0.261,1.5345,0.0000,0.525,0.142,0.491,0.0000,6.70,0.64,11,36,49,70,48.9068,0.0008,0.4966,0.0000,0.0000,162.2037,100.00,95.4757,193.5507,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2973,0.0000,0.0000,0.0033,0.0014,0.000006,0,0.1328,0.0510,0.0243,61,212,523,0.0000,0.0000,0.0136,0.040,2.3920,0.0119,0.7620,0.0215,0.2885,0.0905,0.6285,0.00184,0.458,0.0129,0.799,0.186,0.50,0.108,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8426,0.0000,1.2803,0.00000,0.04939,1.0000,1.0000
20000,739,2.064,0.635,10.07,12671,11814,0,997,2,205227,218067.6,94174.8,0.043,0.771,0.114,0.071,153,56.48,35.05,1.79,5.47,13.35,11.30,0.30,1.34,22.49,14.23,0.16,0.70,0.239,0.144,567,0.024,0.078,0.915,0.001,0.005,15330,11966,2,0.495,0.027,0.123,435031,0.166,1.840,0.068,20.81,6790,371,0.459,0.163,0.254,1244765,1.45,2.41,0.349,0.639,0.061,19.0,49.2,108.9,196.0,28031,0.107,0.00,0.0013,0.103,215,0.362,0.000,0.397,0.284,5.51,6.47,6.47,0.37,0.138,1.37,1.44,1.53,0.380,0.00416,4.62,4.0432,482.33,118984.6,140122.1,0.013,3.1548,44.069,0.000,1.000,0.395,35.7,20.030,44.228,1771,8848.8,18.32,15.617,6.61,1.915,193.4,0.724,0.134,1.99,11.2869,8341.0,0.4427,0.3570,37.93,1.394,0.253,0.4655,0.0000,0.436,0.063,0.154,0.0000,7.07,1.10,13,36,64,100,18.0072,0.0000,0.4425,0.0000,0.0000,48.9128,100.00,107.0277,106.2294,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2900,0.0000,0.0000,0.0028,0.0012,0.000008,1,0.1144,0.0379,0.0448,62,195,729,0.0000,0.0000,0.0002,0.000,0.5545,0.0131,0.1744,0.0176,0.4879,0.0793,0.6049,0.00122,0.271,0.0034,0.793,0.110,0.27,0.123,0.000,0.000,0.0000,0.000,0.000,0.0000,0.5532,0.0000,0.6218,0.00000,0.09721,1.0000,1.0000
30000,986,1.749,1.204,17.40,39078,30032,0,8762,37,970650,520948.3,461684.8,0.060,0.789,0.113,0.039,109,41.44,22.55,2.59,6.18,9.60,8.77,0.64,2.59,13.48,10.57,0.55,1.43,0.219,0.152,758,0.031,0.044,0.935,0.006,0.015,70592,50978,2,0.412,0.577,0.121,1281832,0.130,2.528,0.141,49.30,33545,251,0.476,0.156,0.279,4958375,1.75,2.46,0.292,0.658,0.144,12.0,42.0,69.6,158.8,25945,0.099,0.00,0.0039,0.089,320,0.535,0.000,0.597,0.467,4.19,5.25,5.38,0.65,0.174,1.87,1.23,1.98,0.568,0.00730,26.77,21.3048,670.23,109822.3,140122.1,1.090,16.0475,104.854,0.000,1.000,0.325,34.3,41.893,144.508,3215,17893.1,14.56,43.382,6.75,9.552,405.1,4.025,0.135,2.00,8.1170,8003.4,0.4921,0.3662,26.31,1.583,0.498,1.5345,0.0000,0.551,0.159,0.616,0.0000,5.93,0.95,9,25,49,64,36.1396,0.0002,0.4300,0.0000,0.0000,164.6899,100.00,97.0334,199.3901,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2895,0.0000,0.0000,0.0028,0.0011,0.000010,0,0.1112,0.0203,0.0238,57,195,560,0.0000,0.0000,0.0030,0.006,2.6084,0.0086,0.8312,0.0193,0.3506,0.1146,0.6559,0.00262,0.568,0.0345,0.626,0.529,0.47,0.121,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9249,0.0000,1.4416,0.00000,0.05784,1.0000,1.0000
40000,1075,1.335,0.915,19.61,16580,14714,0,1735,41,217534,214958.2,99819.7,0.081,0.821,0.071,0.026,126,34.20,16.78,0.96,3.13,8.10,6.30,0.89,2.02,9.99,7.86,0.22,0.91,0.234,0.138,879,0.021,0.069,0.914,0.006,0.011,20790,15825,3,0.500,0.269,0.254,981222,0.152,2.270,0.104,20.28,9966,279,0.459,0.205,0.331,1837639,1.27,2.49,0.260,0.711,0.061,11.5,34.6,50.0,115.2,21435,0.082,0.00,0.0020,0.115,251,0.438,0.000,0.423,0.286,3.61,4.64,4.69,0.36,0.120,1.30,1.22,1.30,0.455,0.00261,4.31,4.1138,486.35,115577.0,140122.1,0.018,3.3992,43.943,0.000,1.000,0.412,34.6,19.876,48.664,2371,13410.0,16.14,16.025,6.11,2.424,361.6,0.823,0.134,2.01,6.8315,7343.8,0.5365,0.3517,19.94,1.768,0.402,0.4655,0.0000,0.739,0.201,0.784,0.0000,5.29,0.82,7,20,34,64,17.9976,0.0003,0.4428,0.0000,0.0000,49.2502,100.00,105.4957,104.7470,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2997,0.0000,0.0000,0.0031,0.0014,0.000005,1,0.0806,0.0223,0.0286,59,185,599,0.0000,0.0000,0.0112,0.042,0.4648,0.0086,0.1745,0.0186,0.4260,0.0608,0.5861,0.00224,0.739,0.0453,0.969,0.670,0.85,0.254,0.000,0.000,0.0000,0.000,0.000,0.0000,0.6479,0.0000,0.8898,0.00000,0.07981,1.0000,1.0000
50000,1456,1.231,1.251,31.04,65285,51208,0,13637,58,830895,515534.7,431459.4,0.100,0.734,0.124,0.043,75,29.35,12.75,0.36,2.13,7.37,6.93,0.08,1.02,8.79,7.83,0.05,0.41,0.247,0.184,803,0.089,0.070,0.910,0.003,0.016,102274,70273,3,0.087,0.847,0.015,1385663,0.176,2.597,0.151,48.12,59236,210,0.519,0.222,0.258,7451911,1.11,1.52,0.446,0.518,0.018,12.0,32.0,46.2,128.0,24158,0.092,0.00,0.0040,0.046,691,0.573,0.000,0.480,0.383,2.96,4.12,4.12,0.09,0.037,1.12,1.11,1.12,0.598,0.00323,25.01,18.0511,435.47,107504.2,140122.1,1.360,13.4918,109.913,0.000,1.000,0.357,44.0,44.741,158.364,3254,18921.8,13.54,43.129,5.00,10.919,477.6,4.476,0.136,2.00,6.4806,9435.8,0.5879,0.3885,16.59,1.906,0.335,1.5345,0.0000,0.883,0.180,0.922,0.0000,4.50,1.13,6,16,25,81,40.9513,0.0002,0.4657,0.0000,0.0000,165.9955,100.00,95.0823,200.4786,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3004,0.0000,0.0000,0.0032,0.0013,0.000004,1,0.0910,0.0158,0.0127,51,182,504,0.0000,0.0000,0.0019,0.004,2.0145,0.0032,0.8538,0.0165,0.3241,0.1015,0.6600,0.00295,0.554,0.0177,0.927,0.841,0.05,0.015,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9868,0.0000,1.7195,0.00000,0.03871,1.0000,1.0000
60000,925,1.896,0.744,12.52,16827,14970,0,2379,6,255332,214606.2,106162.8,0.171,0.699,0.077,0.053,119,39.13,22.60,0.01,0.18,12.79,10.62,0.40,2.05,12.38,9.29,0.00,0.00,0.307,0.172,743,0.021,0.037,0.951,0.002,0.010,21324,15400,1,0.987,0.013,0.054,435689,0.204,2.012,0.083,19.90,11225,255,0.416,0.203,0.406,1607306,1.01,4.08,0.326,0.646,0.000,8.8,39.5,64.7,139.9,23661,0.090,0.00,0.0019,0.111,153,0.442,0.000,0.406,0.288,4.43,5.04,5.34,0.03,0.005,1.00,1.01,1.01,0.466,0.00318,4.37,3.9633,743.69,118720.0,140122.1,0.018,3.3980,44.315,0.000,1.000,0.360,29.6,20.012,45.057,2037,10504.2,16.67,15.731,6.26,2.391,203.7,0.771,0.130,2.01,7.2526,6708.7,0.4471,0.3307,25.58,1.525,0.113,0.4655,0.0000,0.481,0.100,0.509,0.0000,6.21,0.65,6,25,45,81,17.8918,0.0011,0.3481,0.0000,0.0000,49.6012,100.00,104.8818,103.8460,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2805,0.0000,0.0000,0.0031,0.0014,0.000005,3,0.1052,0.0195,0.0283,55,184,606,0.0000,0.0000,0.0034,0.008,0.5694,0.0125,0.1955,0.0108,0.3875,0.0810,0.5886,0.00331,0.364,0.0038,0.951,0.267,0.33,0.054,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7203,0.0000,1.0101,0.00000,0.10598,1.0000,1.0000
70000,1092,1.109,1.511,29.32,72525,49860,0,22484,14,1141609,514878.5,572107.8,0.091,0.753,0.107,0.048,79,31.42,16.63,0.00,0.00,7.43,6.06,0.01,0.34,8.30,9.17,0.00,0.00,0.245,0.169,504,0.123,0.031,0.932,0.005,0.031,117719,80854,1,0.108,0.892,0.002,431907,0.167,2.815,0.180,48.88,66891,195,0.501,0.226,0.327,7129094,1.00,1.54,0.582,0.418,0.000,12.0,32.0,50.0,160.7,17197,0.066,0.00,0.0057,0.088,334,0.530,0.000,0.460,0.400,2.96,3.99,4.00,0.00,0.000,1.00,1.00,1.00,0.564,0.00594,25.13,23.7250,411.66,105778.3,140122.1,0.734,17.8637,108.872,0.000,1.000,0.317,33.5,40.594,160.354,3857,22939.1,14.31,44.273,4.86,10.872,652.5,4.148,0.134,2.00,7.0181,7663.7,0.6373,0.3940,15.75,1.998,0.032,1.5345,0.0000,0.823,0.242,0.861,0.0000,4.38,0.79,6,16,25,81,35.2877,0.0000,0.4945,0.0000,0.0000,165.7909,100.00,94.5707,191.6608,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2935,0.0000,0.0000,0.0031,0.0012,0.000009,0,0.0723,0.0165,0.0093,40,160,454,0.0000,0.0000,0.0011,0.004,2.0309,0.0025,0.8900,0.0046,0.3439,0.1709,0.6507,0.00333,0.416,0.0249,0.788,0.407,0.01,0.002,0.000,0.000,0.0000,0.000,0.000,0.0000,1.2802,0.0000,2.1922,0.00000,0.05107,1.0000,1.0000
80000,1055,1.306,1.419,28.00,20368,17878,0,2514,6,155855,195527.8,82710.0,0.099,0.813,0.077,0.012,82,30.83,13.30,0.00,0.00,6.74,5.47,0.00,0.00,8.71,6.19,0.00,0.00,0.217,0.137,454,0.195,0.099,0.851,0.005,0.045,22839,16920,2,0.549,0.271,0.000,6907,0.187,2.744,0.168,18.51,14767,214,0.531,0.304,0.251,2375611,1.00,1.23,0.623,0.372,0.000,14.0,32.0,48.8,150.0,16306,0.062,0.00,0.0021,0.087,200,0.464,0.000,0.248,0.209,2.86,3.96,4.01,0.00,0.000,1.00,1.00,1.00,0.476,0.00191,2.86,3.7018,321.61,106974.5,140122.1,0.016,5.2293,39.481,0.000,1.000,0.306,29.2,18.087,54.418,3663,21472.3,11.54,15.993,4.51,4.684,654.5,0.999,0.138,1.99,7.4289,7837.5,0.6464,0.3923,15.46,1.996,0.025,0.4655,0.0000,0.939,0.131,0.977,0.0000,4.29,0.65,7,16,25,75,16.7102,0.0008,0.4417,0.0000,0.0000,50.1972,100.00,95.5263,98.8865,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3078,0.0000,0.0000,0.0030,0.0013,0.000004,7,0.1154,0.0237,0.0233,51,186,604,0.0000,0.0000,0.0009,0.004,0.1980,0.0115,0.0924,0.0114,0.4277,0.0598,0.5684,0.00081,0.157,0.0058,0.410,0.121,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8920,0.0000,1.5613,0.00000,0.04267,1.0000,1.0000
90000,1240,1.199,1.528,29.30,56744,46481,0,10041,17,448368,497644.8,239599.6,0.033,0.865,0.094,0.008,71,30.36,10.44,0.00,0.03,6.50,4.26,0.00,0.00,8.68,5.60,0.00,0.00,0.216,0.129,388,0.200,0.094,0.876,0.001,0.029,74885,58696,1,0.929,0.071,0.000,2235,0.115,2.843,0.183,45.73,43961,143,0.534,0.323,0.154,9338539,1.00,0.77,0.701,0.298,0.000,18.0,32.0,32.0,98.0,18833,0.072,0.00,0.0046,0.099,344,0.617,0.000,0.278,0.281,2.67,3.91,3.95,0.00,0.000,1.00,1.00,1.00,0.628,0.00325,17.52,10.8009,220.73,101223.1,140122.1,6.111,11.5430,103.333,0.000,1.000,0.304,37.1,47.100,179.317,3861,23332.7,9.70,41.485,4.16,13.492,777.0,5.314,0.136,1.99,9.3427,11584.9,0.7649,0.3699,15.19,1.999,0.005,1.5345,0.0000,0.985,0.043,1.000,0.0000,4.12,0.43,9,16,16,49,44.3104,0.0013,0.4774,0.0000,0.0000,168.5532,100.00,88.7948,203.6310,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2858,0.0000,0.0000,0.0028,0.0012,0.000005,20,0.4466,0.0790,0.0276,43,172,572,0.0000,0.0000,0.0006,0.001,0.4602,0.0424,0.2472,0.0121,0.3052,0.1072,0.6989,0.00141,0.043,0.0012,0.140,0.035,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9223,0.0000,1.6347,0.00000,0.03169,1.0000,1.0000
100000,1219,1.182,1.448,32.03,20103,17848,0,2260,1,123118,194200.0,67104.4,0.067,0.837,0.085,0.011,91,28.25,8.53,0.00,0.00,5.62,4.08,0.00,0.00,8.51,4.69,0.00,0.00,0.198,0.131,443,0.121,0.135,0.842,0.002,0.021,21918,15865,2,0.567,0.099,0.000,0,0.000,2.738,0.169,18.33,14751,162,0.545,0.323,0.173,2695302,1.00,0.97,0.655,0.340,0.000,14.0,32.0,32.0,72.0,17219,0.066,0.00,0.0019,0.090,333,0.498,0.000,0.197,0.187,2.64,3.81,3.82,0.00,0.000,1.00,1.00,1.00,0.507,0.00151,2.73,3.1373,196.12,104368.9,140122.1,0.021,5.3396,39.296,0.000,1.000,0.303,33.1,18.510,53.598,3782,21884.1,9.79,15.846,4.25,5.210,649.7,1.099,0.135,1.99,8.1001,9874.0,0.7263,0.3895,14.13,2.000,0.000,0.4655,0.0000,0.954,0.080,0.997,0.0000,4.06,0.24,7,16,16,36,17.2863,0.0000,0.4561,0.0000,0.0000,49.9892,100.00,94.9141,97.3497,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2946,0.0000,0.0000,0.0029,0.0013,0.000003,15,0.1989,0.0427,0.0312,57,187,626,0.0000,0.0000,0.0002,0.000,0.1689,0.0227,0.0837,0.0098,0.4025,0.0506,0.5670,0.00060,0.054,0.0029,0.261,0.090,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8858,0.0000,1.5285,0.00000,0.04057,1.0000,1.0000
