step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest,pace,turned
10000,1507,1.325,1.055,18.39,50785,42078,0,7844,799,538667,574619.8,348316.5,0.130,0.634,0.177,0.058,116,32.34,18.47,0.68,2.00,7.30,5.78,0.69,2.06,7.56,7.53,0.00,0.09,0.238,0.149,1189,0.017,0.033,0.936,0.007,0.025,113940,97515,1,0.465,0.535,0.301,2818139,0.150,2.404,0.122,41.86,42684,240,0.647,0.194,0.400,5756358,1.16,3.33,0.119,0.690,0.002,9.7,30.8,52.1,137.5,24465,0.093,0.00,0.0050,0.060,525,0.628,0.000,0.599,0.563,3.32,4.27,4.51,0.21,0.114,1.12,1.21,1.16,0.650,0.00186,40.19,25.7371,722.64,110518.0,140215.1,2.175,17.2738,107.758,0.000,1.000,0.349,36.7,46.648,127.082,2787,15541.9,16.42,51.364,6.63,11.009,386.9,4.624,0.136,1.99,6.2434,9408.8,0.5963,0.3755,16.23,1.957,0.063,1.5299,0.0000,0.877,0.083,0.998,0.0000,5.23,0.99,5,15,25,64,44.4003,0.0003,0.4638,0.0000,0.0000,155.4286,100.00,90.5754,176.1784,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2756,0.0000,0.0000,0.0032,0.0014,0.000002,0,0.1068,0.0173,0.0179,67,235,589,0.0000,0.0000,0.0341,0.088,2.5488,0.0072,1.0122,0.0571,0.2867,0.0573,0.5758,0.00244,0.082,0.0019,0.003,0.000,0.60,0.301,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9988,0.0000,1.7457,0.00000,0.03898,0.8514,0.8501
20000,1396,1.242,1.381,29.80,26115,20224,0,5972,28,291285,190086.6,163753.9,0.041,0.835,0.102,0.022,97,23.75,12.91,0.36,1.48,6.62,4.80,0.11,0.77,4.49,4.21,0.01,0.11,0.275,0.141,761,0.104,0.047,0.908,0.004,0.042,33239,22103,2,0.133,0.738,0.045,1811981,0.110,2.673,0.166,18.73,19695,257,0.562,0.220,0.422,2971599,1.15,2.62,0.286,0.669,0.005,8.0,24.0,33.0,125.8,16178,0.062,0.00,0.0030,0.082,296,0.467,0.000,0.400,0.257,2.65,3.51,3.62,0.16,0.077,1.13,1.16,1.16,0.487,0.00196,4.43,4.9710,536.97,108604.8,140215.1,0.001,5.2812,42.244,0.000,1.000,0.324,29.3,16.998,51.939,3671,20831.6,17.36,15.498,4.15,3.743,524.3,0.908,0.136,1.99,4.6976,6557.8,0.6436,0.4761,11.59,1.998,0.014,0.4701,0.0000,0.838,0.128,0.978,0.0000,4.22,0.63,4,12,16,63,14.9435,0.0005,0.4112,0.0000,0.0000,50.1138,100.00,96.4238,95.6703,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2817,0.0000,0.0000,0.0029,0.0012,0.000003,2,0.0440,0.0072,0.0128,54,208,656,0.0000,0.0000,0.0084,0.012,0.7565,0.0042,0.3987,0.0301,0.3944,0.0716,0.5483,0.00167,0.010,0.0002,0.001,0.000,0.11,0.045,0.000,0.000,0.0000,0.000,0.000,0.0000,1.3201,0.0000,1.8744,0.00000,0.06299,0.8901,0.8885
30000,1551,0.978,1.174,40.30,62213,45546,0,16046,464,608316,476338.4,350702.8,0.063,0.805,0.109,0.023,63,27.52,8.61,0.07,0.77,7.45,3.90,0.10,0.76,6.11,3.28,0.01,0.11,0.263,0.116,593,0.222,0.076,0.900,0.002,0.022,89713,57900,3,0.812,0.182,0.033,1158623,0.141,2.532,0.138,42.78,59391,215,0.577,0.246,0.173,8677745,1.03,0.88,0.538,0.357,0.005,14.0,32.0,32.0,74.5,21305,0.081,0.00,0.0050,0.096,599,0.594,0.000,0.424,0.328,3.02,3.81,3.83,0.02,0.009,1.04,1.02,1.03,0.612,0.00310,26.52,14.0629,252.42,101634.4,140215.1,1.386,18.0978,98.446,0.000,1.000,0.293,41.2,40.263,165.541,3098,17711.9,11.87,40.390,4.13,16.278,642.9,4.568,0.135,2.00,10.9205,16937.8,0.9068,0.4527,13.74,2.000,0.001,1.5299,0.0000,0.907,0.083,0.992,0.0000,4.04,0.26,7,16,16,36,36.7746,0.0012,0.5242,0.0000,0.0000,163.7031,100.00,82.6046,181.4832,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3063,0.0000,0.0000,0.0027,0.0011,0.000004,2,0.1787,0.0903,0.0149,46,194,612,0.0000,0.0000,0.0237,0.037,1.5338,0.0215,0.8230,0.0380,0.2974,0.1181,0.5987,0.00342,0.025,0.0010,0.016,0.002,0.09,0.033,0.000,0.000,0.0000,0.000,0.000,0.0000,1.5020,0.0000,2.4005,0.00000,0.04692,0.8951,0.8935
40000,1340,1.269,1.052,40.40,15762,13594,0,2208,141,97815,202459.0,60428.2,0.021,0.867,0.090,0.022,103,31.27,12.92,0.18,1.47,7.36,4.56,0.06,0.56,7.89,4.92,0.02,0.18,0.234,0.122,631,0.139,0.118,0.857,0.003,0.022,16548,9710,1,0.385,0.615,0.017,103986,0.135,2.356,0.122,19.12,12677,218,0.618,0.280,0.137,2890851,1.06,0.88,0.543,0.384,0.008,16.0,32.0,50.0,140.0,20750,0.079,0.00,0.0019,0.096,363,0.487,0.000,0.212,0.157,3.07,4.01,4.04,0.06,0.024,1.08,1.05,1.06,0.494,0.00190,4.33,2.7325,230.93,105480.8,140215.1,0.132,3.9970,40.874,0.000,1.000,0.333,32.0,19.205,48.516,2915,15718.1,15.33,15.817,4.08,3.696,467.7,1.015,0.134,1.99,11.1389,14926.1,0.8627,0.4721,15.49,2.000,0.000,0.4701,0.0000,0.959,0.062,0.993,0.0000,4.25,0.56,8,16,24,49,17.6887,0.0005,0.4455,0.0000,0.0000,49.7334,100.00,96.2298,100.2318,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3035,0.0000,0.0000,0.0021,0.0009,0.000002,30,0.3817,0.0672,0.0617,65,235,1202,0.0000,0.0000,0.0204,0.039,0.1932,0.0549,0.1521,0.0239,0.3892,0.0646,0.5189,0.00146,0.005,0.0001,0.005,0.001,0.06,0.017,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0626,0.0000,1.3288,0.00000,0.06517,0.8661,0.8651
50000,1769,1.171,0.929,39.93,41799,35325,0,5509,504,267113,519087.0,168340.5,0.038,0.790,0.143,0.030,96,28.46,10.56,0.13,0.97,6.80,3.88,0.03,0.49,7.15,4.90,0.00,0.05,0.237,0.119,710,0.137,0.089,0.890,0.001,0.020,53607,33875,3,0.331,0.431,0.007,132363,0.166,2.294,0.107,47.63,38681,191,0.630,0.290,0.107,8621664,1.04,0.89,0.428,0.347,0.003,14.0,30.0,32.0,179.9,24962,0.095,0.00,0.0041,0.071,526,0.613,0.000,0.244,0.261,2.98,3.91,3.90,0.04,0.018,1.06,1.04,1.04,0.620,0.00235,32.20,8.2994,304.16,100821.1,140215.1,4.336,8.8569,104.164,0.000,1.000,0.303,41.4,48.390,94.354,2472,13832.3,17.85,41.656,4.17,10.080,507.5,4.215,0.134,2.01,11.9041,21058.4,1.0080,0.4340,14.11,2.000,0.001,1.5299,0.0000,0.934,0.089,0.993,0.0000,4.12,0.48,7,15,16,90,45.8976,0.0004,0.4760,0.0000,0.0000,156.4165,100.00,86.3739,198.0691,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3215,0.0000,0.0000,0.0021,0.0009,0.000003,32,0.6807,0.0904,0.0509,64,248,1127,0.0000,0.0000,0.0304,0.054,0.6918,0.0909,0.4360,0.0317,0.3010,0.0782,0.6239,0.00286,0.132,0.0039,0.019,0.005,0.03,0.007,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9987,0.0000,1.2179,0.00000,0.04681,0.8620,0.8611
60000,1554,1.275,1.079,39.58,15039,13543,0,1499,169,77721,205615.3,51877.2,0.051,0.761,0.158,0.031,119,28.88,10.14,0.09,0.76,6.39,4.12,0.03,0.40,7.85,5.07,0.00,0.05,0.222,0.121,604,0.207,0.124,0.852,0.002,0.022,15387,9790,3,0.692,0.144,0.010,52811,0.157,2.410,0.122,19.98,11898,249,0.667,0.290,0.109,2468985,1.03,0.72,0.536,0.357,0.003,16.0,32.0,32.0,128.0,22323,0.085,0.00,0.0017,0.088,384,0.464,0.000,0.186,0.149,2.97,3.92,3.93,0.03,0.016,1.03,1.04,1.03,0.470,0.00139,4.91,2.8411,254.91,101457.1,140215.1,0.329,3.4603,41.384,0.000,0.997,0.307,32.6,19.598,39.700,2922,16036.3,10.72,15.904,4.07,3.011,543.5,0.916,0.136,2.00,11.6943,18172.9,0.9776,0.4787,14.36,2.000,0.000,0.4701,0.0000,0.953,0.080,0.992,0.0000,4.10,0.43,8,16,16,64,18.2689,0.0038,0.4176,0.0000,0.0000,48.7861,100.00,97.9552,109.5681,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3263,0.0000,0.0000,0.0020,0.0009,0.000001,43,0.4051,0.0611,0.0683,74,257,1365,0.0000,0.0000,0.0281,0.046,0.1675,0.0711,0.1410,0.0245,0.4156,0.0484,0.5222,0.00230,0.030,0.0011,0.011,0.003,0.03,0.010,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9909,0.0000,1.2363,0.00000,0.06039,0.8689,0.8681
70000,1593,0.995,0.816,39.02,42753,37374,0,4969,336,276216,521248.6,178541.6,0.054,0.750,0.156,0.041,102,29.51,10.48,0.10,0.78,7.31,3.90,0.01,0.25,7.23,5.61,0.01,0.11,0.248,0.120,553,0.173,0.064,0.913,0.001,0.021,55906,37228,2,0.842,0.153,0.001,93299,0.206,2.156,0.094,47.71,39545,235,0.646,0.275,0.100,8017226,1.04,0.58,0.569,0.351,0.006,18.0,32.0,32.0,242.0,23343,0.089,0.00,0.0045,0.065,435,0.597,0.000,0.232,0.273,3.03,3.91,3.93,0.06,0.026,1.05,1.04,1.04,0.605,0.00252,32.91,8.9657,212.36,101283.4,140215.1,3.721,8.8506,105.262,0.000,1.000,0.331,44.8,48.649,83.804,2161,12157.0,18.26,42.005,4.16,9.803,381.4,4.227,0.135,2.00,14.4315,22989.4,1.1163,0.4419,14.65,2.000,0.000,1.5299,0.0000,0.967,0.051,0.998,0.0000,4.06,0.35,9,16,16,121,46.1848,0.0005,0.5480,0.0000,0.0000,156.5130,100.00,86.9399,197.0523,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2772,0.0000,0.0000,0.0022,0.0010,0.000003,35,0.6377,0.1268,0.0461,67,257,1021,0.0000,0.0000,0.0137,0.022,0.5254,0.0715,0.3553,0.0213,0.3154,0.0846,0.6253,0.00292,0.036,0.0015,0.002,0.001,0.01,0.001,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9686,0.0000,1.2060,0.00000,0.04653,0.8601,0.8592
80000,1470,1.257,0.687,39.19,14259,12658,0,1541,131,84537,215380.7,51658.4,0.039,0.778,0.158,0.026,132,36.13,15.92,0.09,1.04,8.57,4.94,0.01,0.23,9.31,6.66,0.00,0.11,0.240,0.108,590,0.116,0.075,0.905,0.002,0.018,14610,9451,1,0.929,0.071,0.001,9422,0.224,1.894,0.074,20.54,11294,223,0.611,0.357,0.105,2407374,1.03,0.92,0.606,0.297,0.003,18.0,32.0,50.0,200.0,26421,0.101,0.00,0.0016,0.081,489,0.453,0.000,0.151,0.154,3.38,4.27,4.30,0.03,0.013,1.02,1.03,1.03,0.459,0.00167,5.52,3.3263,285.08,105144.9,140215.1,0.205,3.5649,42.398,0.000,0.999,0.338,37.6,20.079,32.110,1971,9890.4,13.01,16.743,4.26,2.718,199.6,0.840,0.135,2.00,14.1894,20858.4,0.9308,0.4170,17.97,2.000,0.000,0.4701,0.0000,0.952,0.053,0.998,0.0000,4.52,0.73,9,16,25,100,18.5884,0.0028,0.4694,0.0000,0.0000,48.0293,100.00,97.5943,108.9743,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2861,0.0000,0.0000,0.0019,0.0009,0.000002,52,0.5334,0.0837,0.0834,57,236,1613,0.0000,0.0000,0.0226,0.041,0.1511,0.0835,0.1326,0.0190,0.4208,0.0533,0.4976,0.00237,0.019,0.0006,0.000,0.000,0.01,0.001,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0103,0.0000,1.1691,0.00000,0.06721,0.8518,0.8509
90000,1230,1.316,0.661,39.12,29972,25592,0,4131,442,224876,504865.7,137809.2,0.044,0.757,0.167,0.032,107,42.31,16.04,0.09,0.75,9.31,5.37,0.00,0.05,11.66,7.51,0.00,0.00,0.224,0.109,670,0.034,0.082,0.905,0.000,0.013,41138,28852,2,0.455,0.467,0.002,11234,0.233,1.953,0.074,47.44,29228,181,0.613,0.336,0.038,6862649,1.02,0.71,0.186,0.333,0.000,24.0,44.0,50.0,162.0,25910,0.099,0.00,0.0035,0.085,293,0.616,0.000,0.214,0.309,3.86,4.86,4.89,0.04,0.013,1.02,1.01,1.02,0.623,0.00339,38.70,8.6705,226.53,104538.1,140215.1,5.602,6.8303,99.492,0.000,1.000,0.348,36.6,47.326,61.275,1760,9702.0,11.25,40.398,4.80,6.773,326.1,3.258,0.131,2.02,18.0075,22149.3,1.0190,0.3765,21.07,2.000,0.000,1.5299,0.0000,0.915,0.073,0.996,0.0000,5.05,0.69,12,22,25,81,44.7944,0.0005,0.5317,0.0000,0.0000,152.1469,100.00,85.1641,191.7768,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2769,0.0000,0.0000,0.0019,0.0008,0.000004,47,0.9413,0.1667,0.0816,58,256,1651,0.0000,0.0000,0.0390,0.079,0.6278,0.1493,0.3639,0.0350,0.2999,0.0859,0.6175,0.00420,0.029,0.0007,0.021,0.007,0.00,0.002,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8811,0.0000,0.8316,0.00000,0.05522,0.8082,0.8074
100000,1197,1.526,0.734,38.73,11209,10148,0,826,234,65618,215045.6,41207.4,0.066,0.765,0.142,0.028,149,42.78,17.50,0.06,0.73,9.21,5.25,0.00,0.00,12.07,8.08,0.00,0.03,0.220,0.105,592,0.054,0.120,0.865,0.001,0.013,11393,7508,2,0.889,0.033,0.000,4504,0.110,1.970,0.078,20.85,8885,256,0.628,0.332,0.047,2191388,1.02,0.73,0.327,0.277,0.001,24.0,44.0,50.0,160.0,25534,0.097,0.00,0.0015,0.086,417,0.488,0.000,0.178,0.170,3.83,4.83,4.85,0.01,0.006,1.02,1.02,1.02,0.494,0.00200,6.27,3.2772,239.19,105830.4,140215.1,0.128,3.1268,41.817,0.000,1.000,0.284,32.7,20.178,27.951,2066,10522.0,11.58,16.468,5.05,2.323,295.5,0.811,0.137,1.98,16.2746,19480.7,0.9241,0.3756,21.33,2.000,0.000,0.4701,0.0000,0.938,0.064,0.997,0.0000,5.02,0.78,12,22,25,80,18.7335,0.0000,0.4837,0.0000,0.0000,47.4402,100.00,97.9305,107.9621,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2856,0.0000,0.0000,0.0018,0.0008,0.000002,34,0.5466,0.0986,0.1009,70,294,1905,0.0000,0.0000,0.0492,0.104,0.2420,0.1617,0.1631,0.0343,0.3966,0.0501,0.4983,0.00313,0.043,0.0011,0.001,0.000,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8441,0.0000,0.8870,0.00000,0.07064,0.8012,0.8006
