step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1739,0.00,14.07,82.04,703,2,2,0,1.00,1.00,1.00,2,4,4,57.5,7.597,16,2.000,0.003,4,1.000,0,24.74,7.75,0,0.0000,0.579,0.0000,1462,0.8409
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,1715,-0.00,19.66,62.17,703,1,1,0,1.00,1.00,1.00,4,4,4,35.9,3.359,15,2.000,0.003,4,1.000,0,25.00,0.00,0,0.0000,0.587,0.0000,1449,0.8546
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1681,3.40,40.91,86.54,703,2,2,0,1.00,1.00,1.00,1,4,4,52.2,28.768,16,2.000,0.003,4,1.000,0,53.69,11.25,0,0.0000,0.579,0.0000,1413,0.8409
100000,16.00,25,0,5,0,3,0,1.00,6,0.313,1675,0.00,64.13,27.07,310,1,1,0,1.00,1.00,1.00,4,5,2,26.4,1.642,8,2.000,0.002,5,1.000,1,13.75,-13.75,0,0.0366,0.527,0.0000,1369,1.0000
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1592,2.84,26.17,107.90,703,2,1,0,1.00,1.00,1.00,4,4,4,55.6,30.602,16,2.000,0.003,4,1.000,0,29.26,29.25,0,0.0000,0.579,0.0000,1338,0.8409
100000,26.00,49,0,8,8,1,0,1.00,8,0.308,1568,0.00,4.42,156.93,703,1,2,0,1.00,1.00,1.00,4,3,7,23.9,13.833,17,2.000,0.003,7,1.000,2,45.50,45.50,8,0.0000,0.866,0.0000,1042,0.8857
100000,26.00,25,0,8,0,5,0,1.00,4,0.308,1536,0.00,38.45,21.28,703,1,1,0,1.00,1.00,1.00,2,4,4,24.0,1.303,13,2.000,0.002,5,1.000,0,13.40,-8.00,0,0.0000,0.770,0.0000,1219,0.8857
100000,50.00,25,0,19,0,6,0,1.00,0,0.380,1533,4.63,44.29,92.90,703,1,2,0,1.00,1.00,1.00,4,5,5,28.3,59.258,25,2.000,0.002,5,1.000,0,29.67,8.25,0,0.0000,0.640,0.0000,1153,0.7521
100000,10.00,25,0,0,0,5,0,1.00,8,0.000,1511,0.00,55.12,123.37,310,1,1,0,1.00,1.00,1.00,2,1,5,34.0,8.969,5,2.000,0.002,5,1.000,0,60.25,0.00,0,0.0366,0.527,0.0000,1191,1.0000
100000,24.46,49,6,2,0,6,0,2.88,2,0.082,1500,0.00,32.32,56.67,722,1,1,0,2.86,2.86,2.92,4,6,7,27.9,7.369,14,1.223,0.469,7,1.000,0,5.27,0.50,0,0.0000,0.000,0.0000,1123,0.8994
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,1486,0.00,33.98,57.83,703,0,0,0,1.00,1.00,1.00,2,4,4,18.4,8.263,15,2.000,0.003,4,1.000,0,16.57,13.75,0,0.0000,0.579,0.0000,1254,0.8546
100000,29.00,16,0,10,1,4,0,1.00,0,0.345,1481,2.92,46.73,58.10,703,1,1,0,1.00,1.00,1.00,4,4,4,26.4,34.640,15,2.000,0.011,4,1.000,0,46.20,28.00,1,0.0139,0.510,0.0000,1276,0.8618
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,1478,0.00,30.52,30.52,703,0,0,0,1.00,1.00,1.00,1,4,4,22.7,5.686,16,2.000,0.003,4,1.000,0,34.80,33.75,0,0.0000,0.553,0.0000,1242,0.8409
100000,19.93,56,0,2,0,14,0,1.00,14,0.100,1477,0.00,121.48,3.08,722,1,0,0,1.00,1.00,1.00,2,4,5,32.4,21.451,16,1.245,0.548,8,1.000,0,21.25,-19.25,0,0.0000,0.000,0.0000,1275,0.9466
100000,24.00,16,0,6,0,6,0,1.00,0,0.250,1466,0.42,33.53,58.13,741,2,2,0,1.00,1.00,1.00,3,4,4,56.3,25.023,12,2.000,0.003,4,1.000,0,8.60,5.00,0,0.0000,0.778,0.0000,1304,0.9036
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1449,0.00,32.90,58.87,703,2,0,0,1.00,1.00,1.00,1,4,4,57.1,17.423,16,2.000,0.003,4,1.000,0,60.61,12.75,0,0.0000,0.588,0.0000,1218,0.8409
100000,41.00,25,0,10,7,7,0,1.00,0,0.244,1445,0.00,30.21,49.67,703,2,0,0,1.00,1.00,1.00,4,5,5,56.1,13.224,24,2.000,0.001,5,1.000,1,40.50,0.00,7,0.0000,0.367,0.0000,1133,0.7904
100000,24.00,16,0,8,0,4,0,1.00,0,0.333,1352,3.37,34.62,42.37,703,0,2,0,1.00,1.00,1.00,2,4,4,10.2,28.460,12,2.000,0.003,4,1.000,0,41.75,0.00,0,0.0000,0.579,0.0000,1189,0.9036
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,1335,2.42,30.08,111.66,703,2,2,0,1.00,1.00,1.00,1,4,4,38.6,49.334,15,2.000,0.003,4,1.000,0,55.10,33.50,0,0.0000,0.579,0.0000,1128,0.8546
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1329,0.00,28.78,87.01,703,1,1,0,1.00,1.00,1.00,4,4,4,28.2,45.027,16,2.000,0.003,4,1.000,0,49.82,42.50,0,0.0000,0.579,0.0000,1117,0.8409
100000,28.00,16,0,9,0,5,0,1.00,0,0.321,1326,0.00,29.33,81.21,703,2,1,0,1.00,1.00,1.00,2,4,4,40.2,29.575,14,2.000,0.003,4,1.000,0,57.00,0.75,0,0.0000,0.579,0.0000,1140,0.8694
100000,46.00,25,0,17,0,6,0,1.00,0,0.370,1320,2.93,52.51,43.39,703,0,1,0,1.00,1.00,1.00,4,5,5,20.0,50.674,23,2.000,0.001,5,1.000,0,50.22,14.75,0,0.0198,0.709,0.0000,996,0.7680
100000,6.20,49,0,1,0,4,0,1.00,16,0.161,1300,0.00,84.50,13.72,722,0,0,0,1.00,1.00,1.00,2,5,1,19.8,2.183,5,1.239,0.522,7,1.000,0,5.15,-1.25,0,0.0000,0.000,0.0000,1122,1.0000
100000,47.00,25,0,17,1,6,0,1.00,0,0.362,1281,0.00,38.54,80.20,310,2,2,0,1.00,1.00,1.00,4,5,5,62.3,47.694,24,2.000,0.011,5,1.000,0,35.66,27.25,1,0.0270,0.697,0.0000,978,0.7638
100000,50.00,25,0,14,0,11,0,1.00,0,0.280,1271,6.11,42.79,53.82,310,0,0,0,1.00,1.00,1.00,4,5,5,22.5,25.598,25,2.000,0.004,5,1.000,0,48.86,28.75,0,0.0206,0.711,0.0000,955,0.7521
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1248,0.00,63.52,46.73,310,2,2,0,1.00,1.00,1.00,4,4,4,50.4,47.113,16,2.000,0.012,4,1.000,0,35.70,21.50,0,0.0432,0.700,0.0000,1049,0.8409
100000,14.00,25,0,3,0,4,0,1.00,8,0.214,1244,1.35,18.65,64.07,310,0,0,0,1.00,1.00,1.00,2,3,3,19.9,3.851,7,2.000,0.003,5,1.000,0,4.26,3.25,0,0.0612,0.448,0.0000,1035,1.0000
100000,50.00,25,0,14,0,11,0,1.00,0,0.280,1221,0.00,70.63,36.91,310,0,1,0,1.00,1.00,1.00,4,5,5,20.6,46.293,25,2.000,0.004,5,1.000,0,37.85,-10.00,0,0.0206,0.711,0.0000,918,0.7521
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1211,1.87,43.80,18.94,703,0,1,0,1.00,1.00,1.00,2,4,4,21.7,39.335,16,2.000,0.003,4,1.000,0,31.85,31.75,0,0.0000,0.579,0.0000,1018,0.8409
100000,48.00,25,0,13,0,11,0,1.00,0,0.271,1176,0.00,26.94,50.29,310,1,1,0,1.00,1.00,1.00,4,5,5,23.7,8.371,24,2.000,0.004,5,1.000,0,17.00,0.25,0,0.0206,0.711,0.0000,891,0.7598
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1175,0.53,17.24,50.63,703,0,0,0,1.00,1.00,1.00,1,4,4,20.6,9.548,16,2.000,0.003,4,1.000,0,24.70,13.00,0,0.0000,0.579,0.0000,988,0.8409
100000,3.72,36,0,2,0,1,0,1.00,16,0.538,1159,0.00,74.89,23.95,722,1,1,0,1.00,1.00,1.00,1,3,1,32.4,5.278,3,1.240,0.451,6,1.000,0,18.55,4.50,0,0.0000,0.000,0.0000,1049,1.0000
100000,15.70,42,0,1,0,12,0,1.00,16,0.064,1143,0.00,70.91,5.07,722,1,0,0,1.00,1.00,1.00,4,5,3,24.0,10.540,13,1.208,0.537,8,1.000,0,13.27,0.75,0,0.0000,0.000,0.0000,1013,1.0000
100000,28.00,25,0,8,2,5,0,1.00,2,0.286,1139,2.50,49.16,0.36,703,0,1,0,1.00,1.00,1.00,2,5,4,15.2,20.067,15,2.000,0.010,5,1.000,0,7.35,-7.00,2,0.0066,0.561,0.0000,907,0.8694
