step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain
10000,4797,1.681,0.605,7.10,381775,356209,32,4,22229,3637,1024722.9,2682780.2,0.096,0.569,0.175,0.160,74,12.90,5.91,0.08,0.81,0.12,1.29,0.12,1.08,12.58,5.52,0.00,0.05,0.005,0.048,808,0.045,0.024,0.956,0.000,0.020,699710,605411,5,0.902,0.066,0.034,2108533,0.198,2.378,0.040,13.42,199802,140,737.635,0.500,0.874,28548865,1.03,15.01,0.002,0.001,0.000,8,12,18,64,61875,0.236,0.00,0.0017,0.031,412,0.849,0.000,0.902,0.467,3.30,4.43,4.29,0.00,0.001,1.03,1.02,1.04,0.849,0.00146,2.07,403.5436,8308.92,66951.9,140226.9,49.508,111.9911,329.659,419.299,0.865,0.230,6.6,6.969,158.814,222,458.4,75.44,26.026,98.847,729.2,88.565,0.135,2.00,11.2683,54053.9,1.1123,0.3178
20000,4769,1.696,0.552,7.49,341450,320172,104,20,21182,2224,772290.3,2338048.5,0.057,0.579,0.203,0.161,88,12.54,4.93,0.05,0.64,0.10,1.04,0.16,1.02,12.24,4.76,0.00,0.09,0.007,0.064,795,0.039,0.023,0.950,0.000,0.027,625943,519338,9,0.430,0.469,0.063,2074593,0.171,2.041,0.038,11.59,180175,125,1051.281,0.400,0.864,27091356,1.02,14.76,0.001,0.001,0.001,8,12,18,64,59824,0.228,0.00,0.0013,0.029,438,0.831,0.000,0.927,0.469,3.54,4.72,4.79,0.00,0.001,1.02,1.01,1.02,0.831,0.00135,2.77,333.8894,7663.81,66852.7,140225.9,68.693,85.9539,277.567,180.012,0.800,0.227,6.7,6.409,152.864,135,260.3,61.52,5.313,80.785,705.4,73.673,0.135,2.00,11.5401,55034.6,1.1404,0.5030
30000,4662,1.657,0.535,7.01,324603,304628,157,20,19905,1876,757728.1,2217702.5,0.041,0.564,0.191,0.205,82,11.61,4.07,0.05,0.48,0.04,0.57,0.13,0.93,11.40,3.95,0.00,0.08,0.003,0.038,577,0.129,0.018,0.964,0.000,0.019,586447,497240,12,0.522,0.174,0.043,2576066,0.182,1.917,0.035,11.36,169180,164,1182.144,0.500,0.885,28668729,1.01,15.08,0.000,0.001,0.000,8,12,16,64,54139,0.207,0.00,0.0014,0.028,312,0.827,0.000,0.910,0.462,3.95,5.31,5.35,0.00,0.001,1.02,1.01,1.02,0.827,0.00129,2.87,319.8399,7178.53,62539.9,140224.7,70.101,84.4567,269.538,192.190,0.756,0.211,5.6,5.984,152.606,186,402.4,36.24,5.130,79.517,739.2,72.309,0.135,2.00,12.8923,60103.7,1.3418,0.4355
40000,4538,1.307,0.654,9.42,471280,426691,164,21051,23498,1478373,723812.4,2524420.2,0.021,0.625,0.202,0.153,70,8.93,6.25,1.06,1.41,2.25,3.55,0.30,1.90,5.33,5.83,1.07,1.40,0.234,0.264,1527,0.201,0.023,0.922,0.002,0.053,760191,650294,1,0.871,0.129,0.065,3029242,0.182,2.036,0.036,14.56,212142,146,1.708,0.276,0.737,31110851,1.59,18.71,0.000,0.530,0.421,3,8,15,64,40545,0.155,0.00,0.0030,0.074,804,0.713,0.001,0.897,0.394,2.57,4.01,2.89,1.07,0.421,1.97,1.10,1.66,0.741,0.00235,4.00,282.2553,6108.92,108398.8,140199.9,63.140,90.6940,280.285,247.193,0.923,0.338,18.4,10.589,151.334,392,903.6,39.23,6.502,82.134,3057.5,67.515,0.135,2.00,3.1569,14326.1,0.7448,0.5728
50000,4472,1.291,0.689,9.15,615656,559727,0,36756,19239,3110042,751532.9,2259467.0,0.016,0.843,0.077,0.065,66,9.15,6.26,1.36,1.80,2.18,3.18,0.34,2.01,5.28,6.43,0.99,1.15,0.250,0.255,1671,0.196,0.023,0.905,0.001,0.070,714386,457313,3,0.828,0.040,0.077,3196905,0.123,2.003,0.038,22.35,250036,128,0.727,0.299,0.724,25634906,1.80,18.70,0.000,0.514,0.485,4,8,17,64,40930,0.156,0.00,0.0032,0.079,881,0.540,0.002,0.802,0.162,2.52,4.11,2.83,0.99,0.485,2.22,1.20,1.89,0.588,0.00456,5.31,173.6135,5970.41,109976.5,140152.0,45.503,92.9529,250.322,284.226,0.943,0.350,20.3,20.228,152.068,544,1290.1,31.23,12.017,90.674,3329.6,59.275,0.135,2.00,2.7451,12276.2,0.6219,0.4603
60000,4857,1.245,0.682,9.26,638951,585289,0,34248,19029,3259602,754118.8,2265447.5,0.015,0.870,0.074,0.041,67,8.59,5.65,1.39,1.80,2.11,2.87,0.33,1.87,4.76,5.84,0.99,1.14,0.250,0.250,1658,0.219,0.028,0.897,0.002,0.074,717065,416439,2,0.812,0.055,0.070,3252754,0.104,2.009,0.035,23.26,242561,123,0.695,0.316,0.734,26381292,1.83,19.18,0.000,0.518,0.490,3,8,15,56,41708,0.159,0.00,0.0033,0.085,989,0.534,0.002,0.769,0.135,2.43,3.95,2.74,1.00,0.491,2.27,1.23,1.91,0.582,0.00432,5.02,170.8306,6059.90,109235.4,140103.6,44.349,93.5960,252.886,276.849,0.937,0.344,21.4,20.800,153.013,464,1092.1,34.03,13.204,91.213,3270.1,58.720,0.135,2.00,2.6346,12796.3,0.6307,0.4471
70000,4770,1.283,0.678,9.13,658683,602297,1,37216,19256,3291488,753195.9,2297665.8,0.013,0.869,0.072,0.046,67,8.67,5.70,1.26,1.69,2.07,3.01,0.35,2.16,4.99,5.82,0.97,1.18,0.245,0.255,1558,0.205,0.024,0.901,0.004,0.071,732297,410612,1,0.921,0.079,0.067,3226034,0.104,1.928,0.037,23.39,246069,124,0.698,0.309,0.713,26574196,1.76,19.11,0.000,0.510,0.465,3,8,15,62,41355,0.158,0.00,0.0032,0.078,1012,0.525,0.002,0.756,0.128,2.42,3.93,2.77,0.98,0.466,2.15,1.20,1.84,0.573,0.00447,5.28,171.6408,6131.52,110036.7,140052.8,44.377,93.0905,256.593,276.251,0.968,0.347,21.3,21.173,152.469,499,1209.2,34.69,12.966,90.792,3121.2,58.901,0.135,2.00,2.5033,11941.0,0.6082,0.4545
80000,4941,1.259,0.684,9.23,650020,593009,0,37446,19394,3236496,752043.1,2272391.2,0.012,0.871,0.071,0.045,69,8.56,5.49,1.36,1.85,2.16,3.15,0.33,2.06,4.71,5.39,0.98,1.14,0.253,0.259,1587,0.236,0.025,0.901,0.002,0.072,727974,419023,2,0.797,0.190,0.068,3265944,0.106,1.860,0.037,22.93,239676,123,0.702,0.307,0.728,26380166,1.81,19.21,0.000,0.508,0.480,3,8,15,64,42316,0.161,0.00,0.0032,0.079,1081,0.527,0.002,0.757,0.134,2.43,3.89,2.73,0.98,0.481,2.22,1.21,1.91,0.574,0.00427,5.29,171.0496,6305.75,109059.4,140004.1,44.019,93.5042,253.698,278.432,0.946,0.346,21.1,20.928,152.349,468,1093.3,28.89,12.480,91.600,3130.2,59.173,0.135,2.00,2.5591,12644.4,0.6258,0.4547
90000,4809,1.250,0.666,9.35,648258,593468,0,36048,18874,3182257,749555.6,2273756.0,0.012,0.866,0.078,0.044,68,8.47,5.65,1.31,2.01,2.01,3.06,0.31,2.27,4.84,5.42,0.91,1.13,0.234,0.255,1596,0.216,0.022,0.906,0.001,0.070,720561,435672,1,0.817,0.183,0.066,3301667,0.104,1.904,0.039,22.55,252666,126,0.715,0.296,0.714,26285417,1.78,19.29,0.000,0.515,0.445,3,8,15,64,40754,0.155,0.00,0.0032,0.077,1001,0.526,0.002,0.737,0.130,2.38,3.84,2.74,0.91,0.446,2.15,1.21,1.87,0.573,0.00436,5.46,171.5889,5995.44,108804.7,139954.9,44.531,93.0162,254.407,276.133,0.947,0.345,19.4,20.811,152.234,472,1205.6,30.95,12.092,91.302,3063.5,59.199,0.135,2.00,2.7855,13395.6,0.6753,0.4582
100000,4894,1.257,0.663,9.26,643168,588138,0,36761,18184,3122656,741096.6,2252980.8,0.012,0.861,0.080,0.046,68,8.43,5.21,1.33,1.76,2.20,3.12,0.31,1.70,4.58,5.13,0.99,1.15,0.257,0.257,1578,0.232,0.026,0.899,0.001,0.073,715247,428008,2,0.796,0.202,0.068,3355714,0.104,2.017,0.035,22.22,248739,127,0.721,0.299,0.727,25748984,1.79,19.26,0.000,0.511,0.484,3,8,14,58,41237,0.157,0.00,0.0033,0.073,1065,0.522,0.002,0.727,0.131,2.38,3.95,2.66,0.99,0.484,2.21,1.19,1.87,0.568,0.00424,5.40,169.5766,5893.05,109547.2,139901.1,44.903,93.0075,251.663,274.547,0.950,0.347,21.2,20.601,152.317,369,863.3,30.83,11.675,91.312,3452.0,58.554,0.135,2.00,2.5535,12496.9,0.6327,0.4629
