step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain
110000,2723,1.573,0.346,6.41,221780,208000,198,0,13730,146,1068325.0,805077.9,0.115,0.642,0.114,0.129,187,11.29,6.88,0.08,1.50,0.08,1.05,0.20,2.19,10.93,6.12,0.00,0.00,0.006,0.068,215,0.368,0.046,0.927,0.000,0.027,349363,329794,3,0.822,0.016,0.022,767905,0.207,1.719,0.020,25.97,76603,0,5514.232,0.000,0.389,16303244,1.02,13.45,0.004,0.000,0.000,8,9,16,64,30742,0.117,0.00,0.0036,0.051,541,0.688,0.000,0.685,0.392,3.81,2.69,7.55,0.00,0.000,1.00,1.03,1.02,0.688,0.00230,8.42,109.3028,2817.00,110564.1,139699.0,28.556,44.6249,158.337,571.132,0.965,0.359,79.7,82.268,141.106,211,622.2,62.21,8.860,100.892,1771.2,84.361,0.135,2.00,6.7871,18481.3,0.8255,0.0596
120000,2703,1.567,0.332,6.51,220821,207257,179,4,13401,168,1070166.0,816658.9,0.125,0.628,0.119,0.128,189,11.28,6.00,0.12,1.90,0.11,1.36,0.18,2.14,10.86,5.09,0.00,0.00,0.007,0.075,195,0.308,0.051,0.923,0.000,0.027,356526,336944,3,0.883,0.000,0.026,752057,0.216,1.755,0.018,25.90,77485,111,4861.065,0.250,0.404,15742144,1.03,13.22,0.003,0.000,0.000,8,10,14,64,30488,0.116,0.00,0.0036,0.055,528,0.683,0.000,0.677,0.407,3.79,2.62,7.68,0.00,0.000,1.02,1.04,1.04,0.683,0.00231,8.89,110.6737,2718.15,109046.0,139698.9,27.740,45.1551,157.638,575.975,0.965,0.355,79.5,81.904,139.982,167,450.1,58.56,8.162,101.311,1791.9,84.591,0.134,2.00,7.5050,20286.0,0.9136,0.0514
130000,2824,1.555,0.330,6.72,218596,204268,275,0,13932,132,1062219.5,823227.6,0.140,0.604,0.118,0.137,188,11.05,6.48,0.08,1.57,0.09,1.18,0.20,1.71,10.68,5.93,0.00,0.00,0.007,0.069,228,0.289,0.049,0.933,0.000,0.018,363123,343786,2,0.902,0.000,0.034,970821,0.207,1.508,0.020,25.41,82939,0,6236.573,0.000,0.402,15066248,1.02,13.40,0.002,0.000,0.000,8,10,14,64,31210,0.119,0.00,0.0035,0.051,509,0.682,0.000,0.680,0.424,3.78,2.62,7.62,0.00,0.000,1.01,1.03,1.03,0.682,0.00213,8.95,111.6958,2629.34,110703.1,139698.4,28.953,45.1975,155.862,573.828,0.969,0.361,82.3,80.900,139.373,248,705.1,39.63,7.376,100.523,1591.4,84.080,0.135,2.00,6.5493,18495.2,0.8266,0.0495
140000,2723,1.597,0.376,6.67,216084,202289,282,0,13614,131,1063034.5,811305.1,0.132,0.617,0.117,0.133,187,11.55,6.50,0.04,1.18,0.14,1.31,0.22,1.93,11.14,6.22,0.00,0.00,0.011,0.088,210,0.209,0.041,0.931,0.001,0.027,360773,341938,2,0.902,0.017,0.039,1144622,0.197,2.116,0.021,25.41,83621,0,6193.169,0.000,0.418,15540185,1.02,12.94,0.002,0.000,0.000,7,10,16,64,31441,0.120,0.00,0.0035,0.051,576,0.688,0.000,0.687,0.427,3.86,2.96,7.53,0.00,0.000,1.01,1.02,1.02,0.688,0.00218,8.89,110.9609,3414.04,110216.2,139698.6,27.920,46.5195,155.036,566.365,0.957,0.364,80.8,80.459,139.220,174,471.0,66.36,7.397,101.620,1774.3,84.093,0.135,2.00,6.7066,18262.1,0.8292,0.0723
150000,2693,1.625,0.346,6.56,212330,198752,249,1,13358,138,1062422.6,830432.5,0.139,0.616,0.117,0.128,184,12.03,6.25,0.05,1.02,0.15,1.44,0.16,1.40,11.66,5.87,0.00,0.00,0.009,0.078,191,0.244,0.051,0.928,0.001,0.020,366475,348846,2,0.850,0.002,0.030,970497,0.199,1.656,0.021,24.70,83501,292,6017.627,0.000,0.431,15333590,1.01,12.55,0.003,0.000,0.000,8,10,20,64,32391,0.124,0.00,0.0034,0.052,504,0.692,0.000,0.673,0.445,3.99,3.03,7.46,0.00,0.001,1.01,1.02,1.02,0.693,0.00222,8.74,112.7829,3028.25,109591.8,139698.3,27.728,47.0273,154.654,568.384,0.969,0.363,81.1,80.281,139.380,174,473.2,44.20,7.119,102.673,1714.4,84.762,0.135,2.00,7.1785,19331.8,0.8306,0.0864
160000,2570,1.676,0.387,6.86,212551,199315,313,1,13045,163,1063024.9,843134.2,0.151,0.607,0.115,0.127,187,12.67,7.10,0.04,0.63,0.16,1.38,0.24,2.12,12.23,6.69,0.00,0.02,0.011,0.090,233,0.330,0.046,0.926,0.000,0.028,379904,362375,2,0.904,0.017,0.032,793643,0.205,1.903,0.024,23.55,83366,52,5172.602,0.000,0.475,14551756,1.01,11.66,0.003,0.002,0.000,8,10,19,64,32551,0.124,0.00,0.0034,0.046,499,0.689,0.000,0.673,0.463,4.11,3.34,7.55,0.00,0.001,1.01,1.01,1.02,0.689,0.00229,7.85,114.9261,3388.27,107067.5,139697.9,28.860,47.5563,152.811,577.581,0.964,0.351,79.2,79.319,141.425,197,568.4,60.88,7.112,103.574,1986.3,85.899,0.136,2.00,8.2665,21244.9,0.8645,0.0396
170000,2448,1.689,0.390,6.88,203357,190355,333,2,12789,228,1058618.5,862382.8,0.141,0.614,0.113,0.132,183,12.75,6.04,0.08,1.44,0.16,1.59,0.36,2.45,12.15,5.46,0.00,0.06,0.009,0.081,227,0.206,0.051,0.913,0.000,0.036,393566,379690,2,0.871,0.004,0.059,1078488,0.198,1.875,0.025,22.48,83268,237,3782.380,0.000,0.434,15168413,1.02,11.62,0.000,0.000,0.000,7,12,18,64,31208,0.119,0.00,0.0036,0.036,472,0.710,0.000,0.682,0.502,4.29,3.89,7.41,0.01,0.001,1.02,1.03,1.03,0.710,0.00226,7.45,117.4834,3288.72,105594.3,139697.2,29.149,49.1360,150.453,571.009,0.947,0.340,74.5,77.962,142.085,173,658.1,40.94,6.863,104.764,2032.1,86.303,0.134,2.00,9.3436,22873.0,0.9445,0.0684
180000,2462,1.685,0.400,6.68,196327,182945,406,3,12959,225,1053878.1,870677.9,0.155,0.607,0.106,0.132,180,12.92,6.21,0.04,1.13,0.09,1.13,0.27,2.02,12.52,5.79,0.00,0.00,0.006,0.065,225,0.179,0.038,0.934,0.000,0.028,402290,389156,2,0.829,0.000,0.063,1204080,0.193,1.733,0.027,21.30,80333,307,3869.680,0.667,0.468,15201494,1.02,11.35,0.002,0.000,0.000,8,12,17,64,31820,0.121,0.00,0.0034,0.043,427,0.722,0.000,0.680,0.529,4.47,3.98,7.53,0.00,0.000,1.02,1.02,1.02,0.722,0.00212,7.11,119.4305,3268.03,106094.5,139696.8,29.191,51.2520,147.512,570.643,0.978,0.335,75.4,76.333,142.677,281,1061.2,39.01,6.426,106.240,1862.2,86.901,0.135,2.00,9.0135,22191.3,0.8658,0.0471
190000,2384,1.730,0.416,6.62,188748,175043,522,1,13260,122,1044048.0,887898.6,0.183,0.580,0.093,0.144,177,13.13,6.27,0.10,1.56,0.05,0.59,0.22,1.74,12.76,5.91,0.00,0.06,0.004,0.051,223,0.229,0.039,0.936,0.000,0.025,420357,410391,2,0.786,0.000,0.044,1064088,0.204,1.919,0.028,19.36,76840,981,7277.857,0.000,0.471,15254409,1.03,11.25,0.002,0.000,0.000,6,13,18,64,31303,0.119,0.00,0.0034,0.034,429,0.753,0.000,0.700,0.565,4.67,4.56,7.43,0.00,0.001,1.02,1.03,1.03,0.753,0.00179,6.15,121.9289,3346.18,102712.4,139696.3,30.523,52.7204,143.990,570.292,0.966,0.330,73.3,74.109,145.143,261,1052.5,42.90,6.356,107.803,2002.9,87.635,0.135,2.00,10.6322,25347.1,0.9981,0.0672
200000,2240,1.819,0.442,6.40,177132,164293,574,5,12404,237,1029017.1,895368.1,0.199,0.574,0.079,0.148,171,13.66,6.81,0.09,1.41,0.09,1.17,0.33,2.07,13.15,6.31,0.00,0.00,0.005,0.059,234,0.394,0.032,0.941,0.000,0.027,427216,418555,2,0.874,0.012,0.066,1097680,0.201,1.865,0.033,17.18,74905,771,3777.924,0.400,0.486,15910787,1.02,10.37,0.003,0.003,0.000,6,16,16,64,30591,0.117,0.00,0.0035,0.028,371,0.802,0.000,0.730,0.596,5.15,5.66,7.38,0.00,0.000,1.01,1.03,1.02,0.802,0.00152,4.96,123.2339,3017.67,100844.9,139695.1,33.001,53.8057,140.412,563.521,0.955,0.327,69.3,71.890,148.377,375,1587.8,40.69,6.698,108.706,2210.7,88.210,0.135,2.00,11.9902,26858.1,1.0514,0.0096
