step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain
10000,2083,1.627,0.297,6.37,162274,152650,47,10,8904,3915,1155798.9,537656.8,0.067,0.574,0.194,0.166,161,11.98,6.16,0.18,1.36,0.45,1.91,0.07,0.85,11.28,5.57,0.00,0.00,0.029,0.116,310,0.189,0.081,0.897,0.000,0.023,304244,295606,1,0.999,0.001,0.014,736338,0.203,1.633,0.018,27.00,78865,41,137.333,0.800,0.256,7061196,1.06,12.26,0.000,0.002,0.000,7,11,21,51,24964,0.095,0.00,0.0049,0.051,484,0.558,0.000,0.697,0.497,3.33,3.86,6.05,0.01,0.010,1.05,1.10,1.07,0.558,0.00323,7.94,80.2382,1928.45,122419.4,139700.7,23.479,53.0622,128.027,666.337,0.921,0.394,88.2,91.606,137.947,151,525.4,40.44,27.435,105.426,1856.1,78.343,0.134,2.00,4.0525,8441.3,0.5518,0.1281
20000,2370,1.574,0.264,7.04,196581,182211,183,0,13900,312,1103906.4,503920.8,0.044,0.573,0.173,0.210,204,11.84,6.76,0.25,1.94,0.18,1.39,0.01,0.18,11.40,6.00,0.00,0.00,0.010,0.066,304,0.211,0.086,0.888,0.002,0.024,307035,295951,2,0.933,0.000,0.003,96011,0.189,1.422,0.016,36.13,82854,0,1615.131,0.000,0.267,8508848,1.07,12.76,0.000,0.000,0.000,6,10,19,64,28050,0.107,0.00,0.0041,0.049,532,0.518,0.000,0.705,0.400,3.36,3.62,6.08,0.00,0.002,1.03,1.11,1.08,0.518,0.00303,13.23,68.5832,1925.06,121224.7,139700.6,20.104,35.6496,132.286,534.170,0.954,0.391,99.0,94.732,123.159,111,312.0,33.02,7.019,94.371,1565.7,76.851,0.135,2.00,4.1206,9765.7,0.5719,0.1767
30000,2277,1.580,0.261,7.81,191598,178572,143,0,12976,167,1092363.8,514802.4,0.088,0.529,0.151,0.233,201,11.64,7.06,0.24,2.09,0.18,1.07,0.07,0.86,11.15,6.55,0.00,0.00,0.014,0.082,343,0.167,0.087,0.895,0.000,0.018,306661,292956,3,0.914,0.019,0.013,206197,0.207,1.600,0.014,35.25,89384,0,3082.649,0.000,0.246,7820912,1.06,13.51,0.003,0.000,0.000,7,10,21,64,26508,0.101,0.00,0.0043,0.061,580,0.510,0.000,0.678,0.413,3.28,3.72,5.61,0.01,0.006,1.03,1.09,1.06,0.510,0.00280,13.20,69.6311,1826.53,122548.5,139700.6,21.973,34.9949,131.294,552.119,0.927,0.398,94.7,93.801,123.767,112,315.3,57.68,6.939,93.417,1627.6,76.445,0.135,2.00,3.7967,8645.0,0.5541,0.1759
40000,2233,1.546,0.271,7.68,191202,178900,123,0,12223,355,1063543.9,484741.9,0.093,0.509,0.156,0.242,198,10.51,6.01,0.29,2.22,0.27,1.50,0.07,1.04,9.88,5.04,0.00,0.00,0.016,0.079,303,0.094,0.086,0.889,0.000,0.025,296626,281893,2,0.915,0.062,0.009,303775,0.199,1.469,0.017,31.75,92248,0,1365.470,0.000,0.270,7311404,1.08,14.48,0.000,0.002,0.000,6,9,18,53,23474,0.090,0.00,0.0048,0.053,470,0.517,0.000,0.670,0.395,3.13,3.67,5.22,0.01,0.004,1.06,1.12,1.09,0.517,0.00260,10.97,66.5300,1679.44,122475.5,139700.4,26.008,36.3355,126.854,586.756,0.964,0.391,88.6,90.521,130.197,155,483.5,34.56,8.110,95.115,1764.7,76.706,0.135,2.00,3.9288,8773.0,0.6195,0.1634
50000,2242,1.510,0.268,7.73,187874,176040,194,0,11631,474,1051328.6,468174.6,0.082,0.511,0.166,0.241,198,10.82,6.39,0.43,2.68,0.19,1.13,0.01,0.26,10.19,5.61,0.00,0.00,0.017,0.081,294,0.105,0.084,0.888,0.000,0.028,288835,273188,1,0.986,0.014,0.004,234440,0.197,1.499,0.017,32.81,87407,0,987.710,0.000,0.289,7151499,1.13,14.24,0.000,0.000,0.000,6,9,19,64,24264,0.093,0.00,0.0046,0.048,496,0.502,0.000,0.666,0.391,3.14,3.85,5.16,0.01,0.003,1.08,1.18,1.13,0.502,0.00261,11.65,64.5179,1647.54,121988.1,139699.9,25.345,37.3780,125.264,570.279,0.956,0.394,89.3,89.419,127.885,145,511.2,36.81,7.521,94.036,1796.1,74.263,0.134,2.00,4.1779,9366.9,0.6339,0.2207
60000,2139,1.536,0.287,7.82,188173,176434,168,0,11674,368,1056500.0,479362.2,0.093,0.505,0.165,0.237,200,11.14,6.11,0.35,2.53,0.38,1.78,0.04,0.54,10.37,5.22,0.00,0.04,0.026,0.099,306,0.131,0.088,0.889,0.000,0.023,296245,279366,1,0.991,0.009,0.007,257664,0.225,1.566,0.018,33.26,88072,0,1302.615,0.000,0.245,7123375,1.11,13.95,0.001,0.004,0.001,7,10,18,64,23828,0.091,0.00,0.0048,0.050,455,0.507,0.000,0.681,0.403,3.16,3.78,5.29,0.02,0.008,1.06,1.15,1.13,0.507,0.00278,12.09,65.5436,1742.03,122060.3,139699.7,25.502,36.0647,126.317,581.072,0.964,0.389,86.8,90.186,127.161,173,560.0,45.74,7.632,92.980,1950.7,74.388,0.135,2.00,4.2513,9093.4,0.5930,0.2233
70000,2225,1.571,0.300,7.73,194163,181552,179,1,12345,346,1060178.9,474111.9,0.102,0.484,0.170,0.245,198,10.73,5.96,0.25,1.87,0.23,1.62,0.10,0.86,10.15,5.45,0.00,0.00,0.018,0.102,307,0.125,0.088,0.877,0.001,0.034,293891,276667,3,0.947,0.027,0.020,337373,0.195,1.672,0.018,33.16,90225,259,1370.266,0.000,0.291,6787731,1.08,14.84,0.000,0.000,0.000,6,9,18,48,23871,0.091,0.00,0.0047,0.041,434,0.496,0.000,0.660,0.381,3.02,3.67,4.98,0.01,0.004,1.05,1.10,1.09,0.496,0.00258,11.75,64.6685,1940.86,121055.5,139699.3,26.021,35.1034,127.371,581.776,0.928,0.390,88.6,90.864,128.311,159,549.4,58.08,8.279,92.908,1906.7,74.910,0.133,2.00,4.3485,9675.5,0.6664,0.1176
80000,2379,1.469,0.275,7.81,187552,176504,142,1,10751,332,1048845.9,462779.3,0.106,0.477,0.166,0.251,199,10.32,6.31,0.51,3.29,0.25,1.72,0.02,0.38,9.54,4.66,0.01,0.25,0.015,0.091,272,0.184,0.101,0.879,0.000,0.019,277564,259465,1,0.978,0.022,0.003,214666,0.195,1.772,0.016,34.35,88042,142,1393.914,0.000,0.227,6491298,1.15,15.19,0.001,0.000,0.002,7,9,15,64,24550,0.094,0.00,0.0046,0.052,570,0.489,0.000,0.627,0.370,2.97,3.55,4.90,0.02,0.004,1.07,1.20,1.16,0.489,0.00237,12.53,63.2822,1789.72,121598.1,139699.4,25.619,35.6376,126.330,570.984,0.922,0.396,94.1,90.104,126.156,116,312.3,51.69,8.297,91.340,1839.2,72.601,0.134,2.00,4.0023,9521.4,0.6215,0.1630
90000,2260,1.507,0.315,7.71,191640,180694,154,1,10910,444,1049133.4,474507.2,0.112,0.472,0.170,0.246,198,10.89,6.88,0.54,3.31,0.28,1.56,0.03,0.52,10.03,5.25,0.00,0.00,0.024,0.113,334,0.118,0.087,0.884,0.000,0.029,295272,278123,1,0.864,0.136,0.007,116188,0.218,1.525,0.021,31.73,91153,6,1068.710,1.000,0.282,6768006,1.13,14.10,0.002,0.000,0.000,6,9,18,64,24616,0.094,0.00,0.0046,0.048,427,0.511,0.000,0.662,0.390,3.14,3.81,5.34,0.01,0.006,1.07,1.20,1.14,0.511,0.00235,11.01,65.1393,1734.64,122474.8,139699.1,26.821,36.6336,125.554,589.815,0.979,0.394,89.4,89.464,130.458,241,836.4,39.89,8.614,94.284,2121.2,75.187,0.135,2.00,3.5750,8079.6,0.5539,0.1358
100000,2177,1.606,0.285,7.74,187255,175823,162,0,11353,412,1043307.4,479674.5,0.116,0.483,0.167,0.234,195,11.35,7.93,0.54,2.79,0.27,1.72,0.05,0.72,10.48,6.49,0.00,0.02,0.018,0.097,322,0.135,0.088,0.888,0.000,0.024,297544,281541,2,0.918,0.067,0.012,267606,0.204,1.582,0.017,29.90,90962,0,1164.258,0.000,0.244,7228741,1.13,14.10,0.001,0.000,0.000,6,9,22,64,24711,0.094,0.00,0.0046,0.041,531,0.536,0.000,0.686,0.407,3.14,3.84,5.20,0.01,0.004,1.04,1.21,1.14,0.536,0.00233,10.02,66.1121,1825.63,122621.5,139699.0,28.037,37.5062,123.984,607.422,0.930,0.398,88.1,88.294,133.421,129,414.3,44.61,8.740,95.890,1841.1,76.433,0.133,2.00,3.8273,8332.0,0.5911,0.1342
