step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain
10000,2268,2.228,0.570,7.96,230068,197900,5,21571,9744,1513925,1128275.0,1890362.9,0.104,0.578,0.166,0.151,86,24.76,19.93,3.08,6.23,3.52,7.34,0.21,2.24,17.96,11.39,0.47,1.04,0.066,0.134,1051,0.037,0.037,0.935,0.000,0.029,431843,356292,5,0.624,0.076,0.019,1052744,0.201,2.086,0.038,21.71,137653,131,1.249,0.339,0.633,11014822,1.82,9.57,0.138,0.372,0.193,6,17,64,64,56158,0.214,0.00,0.0028,0.078,419,0.660,0.001,0.765,0.492,4.42,5.16,6.15,0.50,0.197,1.86,1.21,2.29,0.687,0.00720,2.42,210.7521,5873.75,109522.8,139667.4,33.442,92.9267,214.759,545.870,0.975,0.363,50.3,45.999,157.793,322,881.5,49.69,34.193,106.266,2143.1,83.086,0.134,2.00,6.4310,14585.5,0.5822,0.3590
20000,2160,2.227,0.540,7.87,213451,180001,8,25778,7772,1917029,994209.8,1745569.5,0.061,0.669,0.142,0.129,106,23.72,19.39,2.87,6.29,2.82,6.30,0.22,1.91,17.82,12.00,0.36,0.87,0.056,0.117,991,0.052,0.039,0.935,0.000,0.025,366223,289166,7,0.399,0.099,0.020,380955,0.153,2.190,0.034,20.37,118011,129,0.911,0.345,0.631,10236522,1.79,10.21,0.120,0.316,0.166,6,16,64,64,51241,0.195,0.00,0.0026,0.075,445,0.594,0.001,0.763,0.450,4.28,5.15,5.81,0.38,0.170,1.81,1.26,2.21,0.627,0.00930,3.42,169.6924,5561.70,108756.9,139627.5,35.403,79.1117,192.548,417.764,0.976,0.364,45.8,45.829,154.295,263,724.2,53.60,12.636,104.648,2137.2,81.954,0.135,2.00,7.4734,16142.5,0.6661,0.3436
30000,2056,2.398,0.571,7.51,209473,176508,1,24731,8337,1954614,1018204.1,1811012.6,0.044,0.711,0.141,0.105,102,26.56,20.98,3.97,7.57,3.75,7.71,0.38,3.08,18.46,12.58,0.59,1.26,0.066,0.133,998,0.042,0.037,0.934,0.000,0.028,380873,304883,7,0.345,0.154,0.027,431802,0.156,2.218,0.038,19.68,117779,133,0.927,0.341,0.627,10687468,2.05,9.49,0.152,0.358,0.213,7,17,64,64,54605,0.208,0.00,0.0027,0.085,411,0.598,0.001,0.755,0.480,4.53,5.30,6.01,0.60,0.214,2.20,1.31,2.53,0.629,0.00999,3.44,176.9497,5725.66,109162.6,139588.8,34.517,79.5100,193.894,421.378,0.973,0.363,45.0,46.410,154.203,323,847.2,62.80,11.545,106.196,2362.1,84.936,0.135,2.00,7.3001,15009.0,0.6103,0.3416
40000,1990,2.341,0.582,7.53,194639,166074,2,20977,7652,1903831,1002762.3,1758729.8,0.044,0.718,0.125,0.113,98,24.68,20.28,3.52,6.28,3.76,7.47,0.32,2.85,17.09,11.00,0.60,1.21,0.070,0.135,1050,0.025,0.033,0.948,0.000,0.020,373326,307220,8,0.313,0.253,0.025,486186,0.140,2.230,0.038,18.38,117357,143,0.924,0.327,0.636,11450138,1.91,9.68,0.126,0.364,0.221,6,16,64,64,49115,0.187,0.00,0.0029,0.075,339,0.649,0.001,0.777,0.502,4.37,5.33,5.92,0.61,0.226,2.01,1.25,2.35,0.678,0.00883,3.61,174.2772,5974.74,108321.6,139548.1,34.939,82.2494,187.499,391.279,0.951,0.359,40.0,42.961,152.569,266,662.9,49.16,9.715,106.912,2360.3,84.591,0.134,2.00,8.0428,16005.1,0.6894,0.3462
50000,2071,2.288,0.533,6.74,190081,166036,6,16671,7287,1791438,999140.7,1743460.2,0.035,0.730,0.122,0.113,97,24.59,19.12,3.35,6.08,3.43,7.25,0.12,1.37,17.70,11.37,0.54,1.16,0.067,0.137,990,0.088,0.027,0.954,0.000,0.019,377440,311529,7,0.535,0.078,0.013,422445,0.130,2.089,0.036,18.58,110920,149,0.973,0.307,0.622,12107225,1.89,8.67,0.113,0.372,0.194,7,18,64,64,50933,0.194,0.00,0.0027,0.073,376,0.667,0.001,0.767,0.518,4.50,5.30,6.45,0.55,0.195,2.03,1.28,2.29,0.693,0.00809,3.78,176.7505,5543.07,106088.6,139511.7,35.930,81.6367,187.502,376.679,0.951,0.357,41.8,42.267,151.798,264,696.1,56.24,9.363,105.545,2032.6,84.179,0.136,2.00,9.1254,18898.6,0.7073,0.3466
60000,2200,2.313,0.547,6.45,192482,169971,4,14649,7729,1702447,995573.4,1751094.4,0.029,0.725,0.137,0.109,98,24.45,18.68,3.25,5.34,3.35,7.23,0.14,1.41,17.70,11.45,0.50,1.10,0.067,0.142,953,0.154,0.030,0.945,0.000,0.025,385811,321467,9,0.497,0.032,0.017,345379,0.134,2.245,0.036,18.36,109743,145,1.029,0.320,0.680,12472304,1.85,9.17,0.115,0.370,0.192,8,18,64,64,53787,0.205,0.00,0.0026,0.066,394,0.676,0.001,0.763,0.523,4.39,5.18,6.29,0.51,0.195,2.03,1.25,2.19,0.700,0.00741,3.68,180.7890,6031.81,104333.6,139478.5,37.321,80.5737,188.821,380.124,0.969,0.351,42.0,42.091,152.516,229,585.8,67.29,9.538,104.478,1942.7,84.130,0.134,2.00,9.0809,19978.0,0.7312,0.3477
70000,2466,2.169,0.505,6.21,206060,186651,30,11314,7799,1468887,1003888.2,1787853.1,0.027,0.729,0.138,0.106,99,22.75,18.52,2.96,5.51,2.93,6.91,0.19,2.07,16.67,11.16,0.43,1.05,0.055,0.131,999,0.078,0.043,0.930,0.000,0.027,403128,345250,1,0.406,0.594,0.017,347900,0.141,2.070,0.031,17.83,106738,148,1.217,0.320,0.670,13678115,1.78,10.48,0.108,0.323,0.163,7,16,64,64,56100,0.214,0.00,0.0024,0.068,456,0.684,0.001,0.762,0.510,4.14,4.91,5.93,0.44,0.164,1.92,1.25,2.13,0.703,0.00638,3.98,191.3659,5718.32,102680.5,139447.2,36.800,80.0041,197.467,383.035,0.958,0.345,44.1,42.891,151.907,192,460.9,42.31,8.269,105.226,1685.7,85.851,0.134,2.00,8.9149,21984.0,0.7227,0.3590
80000,2549,2.081,0.515,6.55,226527,201100,16,15331,9997,1575361,1005335.5,1821380.9,0.025,0.728,0.133,0.114,99,21.32,18.62,2.85,5.82,2.79,6.95,0.12,1.56,15.56,11.06,0.39,1.00,0.051,0.123,989,0.089,0.037,0.934,0.000,0.028,410115,339369,4,0.452,0.060,0.010,311386,0.125,2.029,0.034,17.69,110933,142,1.156,0.336,0.660,14091383,1.77,11.67,0.104,0.296,0.151,7,13,64,64,54352,0.207,0.00,0.0025,0.076,458,0.663,0.001,0.772,0.473,3.88,4.69,5.51,0.40,0.154,1.85,1.28,2.12,0.682,0.00643,3.48,190.0450,5592.46,102967.2,139414.8,37.155,79.1958,201.472,405.750,0.968,0.347,47.5,44.041,153.658,189,473.0,43.71,8.832,105.514,1948.3,86.365,0.134,2.00,8.4618,21569.0,0.7623,0.3657
90000,2492,2.122,0.546,6.44,225619,200055,15,15965,9641,1664220,1006313.9,1832122.2,0.025,0.740,0.130,0.104,99,20.95,17.67,2.69,5.68,2.37,6.20,0.21,2.12,15.68,10.99,0.33,0.92,0.048,0.121,1084,0.088,0.043,0.921,0.000,0.036,408303,344654,4,0.364,0.014,0.017,296253,0.134,2.239,0.034,17.74,111166,144,1.101,0.338,0.653,14351856,1.74,11.42,0.081,0.307,0.134,6,13,59,64,52198,0.199,0.00,0.0026,0.076,437,0.664,0.001,0.771,0.473,3.90,4.65,5.68,0.34,0.136,1.81,1.34,2.01,0.684,0.00671,3.49,189.0874,6193.32,103410.7,139384.1,36.857,79.1730,201.713,403.911,0.961,0.346,41.4,44.359,153.466,206,516.9,57.94,8.787,105.749,1821.7,86.290,0.135,2.00,8.2863,20649.5,0.7501,0.3555
100000,2434,2.271,0.546,6.74,234578,206649,20,17182,10785,1506903,1008547.6,1830540.5,0.024,0.732,0.135,0.109,98,24.10,20.16,3.53,6.56,3.46,7.23,0.14,1.59,16.97,12.00,0.54,1.16,0.065,0.130,1156,0.061,0.034,0.941,0.000,0.025,421855,353131,3,0.366,0.188,0.013,322979,0.129,2.187,0.036,17.48,116395,147,1.215,0.329,0.676,14882677,1.97,10.60,0.126,0.359,0.203,6,15,64,64,58659,0.224,0.00,0.0024,0.078,425,0.663,0.001,0.780,0.469,4.20,5.07,5.68,0.55,0.206,2.07,1.29,2.44,0.682,0.00668,3.43,192.5921,6196.64,106000.0,139354.7,36.592,79.8344,203.453,400.002,0.969,0.357,45.7,44.239,153.687,214,509.8,40.60,8.611,106.337,1856.3,86.928,0.135,2.00,7.2585,17667.1,0.6612,0.3759
