step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain
10000,4557,1.675,0.626,6.07,327729,306469,95,3,18088,3115,1021085.1,2387885.8,0.191,0.454,0.133,0.221,71,12.12,4.91,0.08,1.19,0.03,0.45,0.17,1.32,11.84,4.50,0.00,0.00,0.004,0.050,683,0.168,0.015,0.964,0.000,0.021,646760,580731,10,0.592,0.214,0.033,2175595,0.217,2.227,0.045,15.86,183727,50,766.576,0.333,0.878,21996753,1.03,14.64,0.000,0.000,0.000,7,12,17,56,55209,0.211,0.00,0.0019,0.027,347,0.855,0.000,0.828,0.507,4.20,6.26,4.79,0.00,0.001,1.02,1.03,1.03,0.855,0.00107,2.10,370.2626,8306.45,60221.1,140073.4,48.851,114.0622,298.447,412.785,0.822,0.202,4.4,4.854,159.133,290,670.2,61.69,28.840,97.032,876.3,84.461,0.135,2.00,13.3525,60847.2,1.3633,0.3014
20000,4069,1.726,0.537,4.99,243736,227042,390,0,16792,152,701778.1,2000074.2,0.249,0.472,0.112,0.167,92,11.35,3.54,0.03,0.66,0.03,0.63,0.06,1.08,11.22,3.30,0.00,0.02,0.002,0.042,352,0.499,0.008,0.977,0.000,0.015,515713,489896,6,0.707,0.094,0.009,777932,0.196,1.926,0.038,10.88,114561,0,13158.383,0.000,0.894,25854841,1.01,15.75,0.000,0.000,0.000,7,12,14,64,46170,0.176,0.00,0.0015,0.012,132,0.882,0.000,0.671,0.541,5.63,7.14,7.04,0.00,0.001,1.01,1.02,1.01,0.882,0.00074,2.27,288.7335,6461.83,45921.5,140069.9,76.564,80.5869,238.101,156.163,0.576,0.150,2.0,2.989,154.462,393,1058.2,39.38,6.600,74.130,810.7,65.810,0.135,2.00,19.0213,77397.6,1.8781,0.3597
30000,3710,1.752,0.534,4.09,177925,160970,694,3,16617,115,620173.2,1887541.6,0.263,0.538,0.072,0.127,94,11.74,3.49,0.02,0.59,0.02,0.58,0.05,1.15,11.65,3.02,0.00,0.00,0.002,0.037,169,0.732,0.005,0.985,0.000,0.010,490240,484633,6,0.812,0.011,0.003,238461,0.208,1.900,0.038,8.59,85293,33,16413.405,1.000,0.916,29600779,1.01,16.08,0.001,0.000,0.000,9,12,12,64,43546,0.166,0.00,0.0014,0.011,120,0.927,0.000,0.390,0.645,6.20,7.61,7.35,0.00,0.000,1.01,1.01,1.01,0.927,0.00046,1.83,267.1103,6412.20,41418.9,140065.1,88.008,71.8448,209.951,134.519,0.517,0.134,2.0,1.710,153.299,373,1125.4,43.05,5.272,65.412,686.4,58.051,0.135,2.00,22.2445,82527.2,2.0537,0.2359
40000,3635,1.756,0.516,3.92,170241,152753,680,1,16882,43,607472.1,1883244.9,0.239,0.581,0.057,0.123,95,11.81,2.82,0.01,0.42,0.03,0.56,0.06,1.10,11.71,2.56,0.00,0.00,0.003,0.044,134,0.766,0.003,0.986,0.000,0.011,482263,479153,6,0.834,0.013,0.006,157972,0.206,1.969,0.036,8.78,76083,99,43796.392,0.000,0.919,31059813,1.00,16.05,0.000,0.000,0.000,9,12,12,56,42915,0.164,0.00,0.0014,0.011,131,0.923,0.000,0.295,0.655,6.37,7.64,7.33,0.00,0.000,1.00,1.01,1.00,0.923,0.00050,2.02,265.0880,6217.16,41573.9,140059.7,89.753,70.2518,207.443,129.497,0.515,0.137,2.0,1.827,151.746,380,1139.4,36.27,5.284,63.280,605.2,56.279,0.134,2.00,22.7749,82786.9,2.0732,0.4051
50000,3640,1.777,0.544,3.71,168561,150716,707,1,17132,62,602773.9,1887646.1,0.213,0.610,0.050,0.127,93,11.87,3.03,0.01,0.54,0.02,0.43,0.02,0.53,11.81,2.79,0.00,0.00,0.002,0.032,121,0.820,0.003,0.988,0.000,0.009,483004,479858,5,0.850,0.000,0.003,297282,0.150,1.958,0.041,8.83,77544,42,30445.905,1.000,0.925,32596978,1.00,16.08,0.001,0.000,0.000,11,12,12,64,43193,0.165,0.00,0.0014,0.009,98,0.926,0.000,0.296,0.659,6.47,7.74,7.52,0.00,0.000,1.00,1.00,1.00,0.926,0.00051,2.15,265.0532,6110.02,42080.3,140054.2,90.044,69.8423,206.731,129.611,0.516,0.137,1.6,1.858,150.502,477,1532.1,49.91,5.150,62.817,720.0,55.763,0.135,2.00,22.4543,81733.5,2.0523,0.6139
60000,3609,1.750,0.519,3.55,171101,153170,677,0,17285,49,604500.2,1886089.2,0.165,0.660,0.048,0.127,93,11.89,3.47,0.02,0.60,0.01,0.34,0.06,1.23,11.79,3.11,0.00,0.00,0.001,0.032,142,0.799,0.004,0.985,0.000,0.012,481283,477803,5,0.860,0.000,0.006,143794,0.206,1.905,0.038,8.91,75461,0,38491.617,0.000,0.930,35567987,1.01,16.10,0.001,0.000,0.000,11,12,12,64,42926,0.164,0.00,0.0014,0.010,107,0.929,0.000,0.282,0.654,6.38,7.66,7.42,0.00,0.000,1.01,1.01,1.01,0.929,0.00055,2.08,264.8395,6315.01,41885.2,140048.9,90.102,69.6698,207.386,131.936,0.523,0.139,2.0,1.965,150.654,371,1014.9,33.80,5.272,62.744,666.8,55.750,0.134,2.00,22.8544,82481.5,2.0860,0.1915
70000,3770,1.764,0.525,3.72,175983,157547,671,0,17604,20,607768.6,1903941.4,0.138,0.677,0.056,0.128,95,11.70,2.64,0.01,0.27,0.02,0.28,0.09,1.15,11.58,2.33,0.00,0.00,0.002,0.039,141,0.801,0.007,0.981,0.000,0.011,481404,477451,4,0.841,0.000,0.020,255950,0.167,2.015,0.037,9.11,73310,0,95197.069,0.000,0.920,36882115,1.00,16.29,0.000,0.000,0.000,11,12,12,47,44102,0.168,0.00,0.0014,0.015,142,0.922,0.000,0.267,0.645,6.19,7.52,7.34,0.00,0.000,1.00,1.00,1.00,0.922,0.00060,2.30,267.4266,6778.93,41475.1,140043.4,89.564,69.6992,210.781,128.631,0.492,0.137,2.3,2.235,148.215,257,610.8,37.96,5.140,62.868,749.3,56.088,0.135,2.00,21.8639,82426.8,2.0233,0.2639
80000,3681,1.746,0.462,3.61,176502,159310,669,0,16612,37,603829.4,1910271.6,0.113,0.701,0.057,0.128,95,11.90,3.16,0.05,1.01,0.03,0.49,0.13,1.06,11.69,2.62,0.00,0.00,0.003,0.045,163,0.811,0.006,0.983,0.000,0.011,481674,477895,3,0.867,0.000,0.041,812685,0.147,1.839,0.031,8.97,72627,0,51628.963,0.000,0.918,38424158,1.01,16.17,0.000,0.000,0.000,11,12,12,60,43806,0.167,0.00,0.0014,0.011,157,0.923,0.000,0.241,0.644,6.21,7.51,7.40,0.00,0.000,1.01,1.02,1.01,0.923,0.00062,2.37,267.2167,5829.39,40586.8,140038.0,89.979,69.1194,211.250,127.765,0.490,0.134,2.5,2.284,146.738,271,677.3,38.11,4.914,62.518,558.4,55.799,0.134,2.00,22.9746,84569.4,2.1125,0.8460
90000,3726,1.749,0.487,3.48,176593,159263,720,0,16565,5,605943.9,1901298.5,0.093,0.720,0.052,0.134,95,11.64,2.71,0.01,0.27,0.03,0.48,0.08,1.08,11.52,2.31,0.00,0.00,0.003,0.043,126,0.823,0.006,0.982,0.000,0.012,485139,481318,3,0.864,0.000,0.025,1117105,0.137,1.884,0.036,9.06,70125,0,380259.700,0.000,0.919,39386231,1.00,16.35,0.000,0.000,0.000,11,12,12,57,43362,0.165,0.00,0.0014,0.013,135,0.923,0.000,0.250,0.646,6.17,7.55,7.34,0.00,0.000,1.00,1.00,1.00,0.923,0.00064,2.43,266.5745,5958.71,41632.0,140032.7,89.621,69.5354,209.794,129.942,0.581,0.137,2.5,2.356,146.444,313,852.5,43.63,4.861,62.725,719.1,55.890,0.134,2.00,22.2858,83036.7,2.0632,0.8485
100000,3818,1.739,0.434,3.70,179597,162315,741,0,16449,8,610998.5,1900949.2,0.083,0.726,0.049,0.142,96,11.64,2.97,0.01,0.33,0.01,0.45,0.11,1.26,11.50,2.55,0.00,0.00,0.001,0.019,149,0.804,0.006,0.987,0.000,0.007,486002,481822,3,0.831,0.000,0.051,1030531,0.136,1.676,0.031,9.24,70450,0,237618.656,0.000,0.925,39637696,1.01,16.30,0.001,0.000,0.000,11,12,12,64,44448,0.170,0.00,0.0014,0.014,177,0.919,0.000,0.263,0.641,6.20,7.54,7.28,0.00,0.000,1.01,1.01,1.01,0.919,0.00065,2.57,267.1589,5484.78,41871.5,140027.3,88.685,70.1274,210.937,133.229,0.500,0.139,2.3,2.481,145.988,221,526.2,34.33,4.939,63.349,651.7,56.304,0.135,2.00,21.8732,83512.0,2.0368,0.1754
