step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain
10000,3137,1.736,0.460,6.74,228255,215920,82,12,10587,3667,1137396.5,1258248.9,0.132,0.521,0.177,0.170,94,13.63,6.77,0.08,0.91,0.12,1.19,0.09,0.99,13.35,6.45,0.00,0.02,0.006,0.060,610,0.052,0.032,0.948,0.000,0.021,406092,367224,7,0.844,0.087,0.019,1306417,0.215,1.776,0.028,20.60,123887,57,343.128,0.333,0.584,14164178,1.02,12.31,0.000,0.001,0.000,6,13,20,64,42771,0.163,0.00,0.0027,0.025,533,0.785,0.000,0.784,0.462,4.03,4.68,6.18,0.00,0.001,1.01,1.03,1.03,0.785,0.00169,2.60,184.8389,4762.34,97870.9,140072.5,33.054,75.6072,195.635,758.689,0.985,0.310,60.6,62.368,157.691,336,979.5,63.49,33.352,107.592,1324.3,86.660,0.135,2.00,9.0231,28305.4,0.9206,0.2367
20000,3066,1.814,0.453,6.18,229275,213047,205,0,16094,146,1014842.5,1297226.2,0.099,0.553,0.186,0.163,115,14.18,6.57,0.06,0.81,0.06,1.21,0.09,0.94,13.97,6.24,0.00,0.00,0.003,0.044,463,0.249,0.020,0.963,0.000,0.017,416757,391031,1,0.926,0.074,0.018,529783,0.221,1.724,0.028,21.25,104536,0,8885.111,0.000,0.618,19954587,1.01,11.74,0.001,0.000,0.000,8,12,21,64,43479,0.166,0.00,0.0024,0.015,540,0.829,0.000,0.681,0.469,5.31,6.18,7.37,0.00,0.002,1.00,1.01,1.03,0.829,0.00137,4.94,179.3703,4524.96,93092.2,140070.2,38.213,59.0499,194.104,552.244,0.958,0.293,58.9,61.156,151.941,328,1034.0,57.21,11.526,99.437,1371.4,85.185,0.135,2.00,10.7869,33072.7,0.9716,0.4044
30000,3136,1.768,0.508,5.90,201573,185462,304,0,15737,88,1001484.3,1303348.0,0.073,0.600,0.162,0.165,108,13.70,6.71,0.03,0.58,0.04,0.73,0.06,0.73,13.57,6.55,0.00,0.00,0.002,0.034,346,0.486,0.016,0.969,0.000,0.015,427358,411949,1,1.000,0.000,0.016,606298,0.197,1.964,0.030,20.74,105698,0,14810.773,0.000,0.658,22735944,1.01,12.96,0.001,0.000,0.000,8,12,20,64,42953,0.164,0.00,0.0024,0.016,508,0.867,0.000,0.544,0.542,5.81,6.86,7.72,0.00,0.000,1.00,1.01,1.01,0.867,0.00112,5.89,181.5186,5114.67,90137.4,140067.8,37.704,61.3293,187.244,532.007,0.984,0.285,58.8,58.620,149.486,342,1061.2,39.30,10.208,99.508,1665.1,84.004,0.136,2.00,11.2070,35145.3,1.0486,0.3685
40000,3234,1.746,0.430,5.19,203796,186093,339,0,17266,64,1000641.6,1328992.0,0.050,0.718,0.084,0.149,108,13.03,5.72,0.02,0.42,0.05,0.88,0.03,0.71,12.93,5.59,0.00,0.00,0.002,0.035,189,0.681,0.016,0.971,0.000,0.013,418296,406603,2,0.883,0.113,0.004,360345,0.203,1.708,0.024,22.07,90041,0,20765.500,0.000,0.624,30096564,1.01,14.49,0.001,0.001,0.000,11,12,19,64,42128,0.161,0.00,0.0024,0.017,609,0.889,0.000,0.382,0.525,6.13,7.32,7.75,0.00,0.000,1.01,1.00,1.01,0.889,0.00113,7.49,182.6161,4107.96,85894.0,140064.5,37.035,57.6799,195.558,563.247,0.966,0.267,60.3,61.213,147.624,296,887.0,59.17,10.381,97.252,1452.6,82.832,0.135,2.00,12.5466,40575.7,1.1977,0.2497
50000,3243,1.762,0.501,5.29,202977,185006,525,0,17437,60,990278.8,1339740.5,0.052,0.737,0.052,0.159,109,13.00,5.95,0.03,0.86,0.02,0.46,0.11,2.02,12.84,5.55,0.00,0.00,0.001,0.015,185,0.690,0.010,0.978,0.000,0.013,418258,408480,2,0.877,0.004,0.007,183043,0.218,2.379,0.027,22.48,81623,0,22329.008,0.000,0.653,31459767,1.01,14.47,0.002,0.000,0.000,11,12,15,64,42145,0.161,0.00,0.0024,0.014,612,0.887,0.000,0.272,0.527,6.17,7.16,7.77,0.00,0.000,1.01,1.01,1.01,0.887,0.00113,8.85,183.3692,5172.90,86988.4,140060.6,37.319,56.1633,196.847,550.278,0.978,0.266,59.7,61.619,145.305,308,852.4,66.50,9.559,95.190,1602.2,81.390,0.135,2.00,11.7942,38248.7,1.1312,0.5453
60000,3544,1.726,0.435,4.86,206155,188628,446,0,16780,66,994173.1,1342143.5,0.055,0.739,0.049,0.157,108,12.43,4.74,0.02,0.37,0.06,1.33,0.06,1.01,12.29,4.56,0.00,0.00,0.003,0.049,180,0.743,0.017,0.970,0.000,0.012,415188,404114,2,0.885,0.084,0.007,239810,0.210,1.822,0.024,22.38,83176,0,20335.508,0.000,0.646,32466136,1.01,14.98,0.001,0.000,0.000,12,12,13,64,44067,0.168,0.00,0.0023,0.017,656,0.887,0.000,0.313,0.517,6.12,7.30,7.77,0.00,0.000,1.01,1.01,1.00,0.887,0.00105,8.73,183.6098,4526.28,86974.7,140056.8,36.905,55.6714,199.792,563.620,0.988,0.270,64.1,62.537,145.537,263,762.6,66.49,9.598,95.834,1275.9,82.170,0.135,2.00,10.9724,38886.1,1.1035,0.5323
70000,3434,1.726,0.431,4.93,207165,191171,436,0,15668,47,995149.5,1343972.2,0.058,0.744,0.044,0.154,109,12.58,4.61,0.06,1.07,0.05,0.86,0.05,1.05,12.42,4.43,0.00,0.00,0.003,0.038,197,0.713,0.015,0.976,0.000,0.010,411521,401661,2,0.853,0.000,0.004,227083,0.208,1.527,0.027,22.52,80831,0,28595.154,0.000,0.654,32879312,1.02,14.68,0.002,0.000,0.000,12,12,14,64,43209,0.165,0.00,0.0023,0.017,614,0.887,0.000,0.275,0.510,6.11,7.15,7.81,0.00,0.001,1.01,1.02,1.02,0.887,0.00110,8.79,183.4436,4342.63,86666.7,140052.9,36.670,55.3076,201.386,573.196,0.982,0.268,62.3,63.040,145.739,304,871.3,43.38,9.793,95.858,1311.7,82.162,0.134,2.00,11.4940,39470.5,1.1363,0.1535
80000,3531,1.708,0.428,4.61,205119,189274,531,0,15217,90,997056.5,1351522.4,0.057,0.727,0.039,0.178,109,12.26,3.65,0.02,0.59,0.02,0.38,0.06,1.34,12.15,3.44,0.00,0.00,0.001,0.022,152,0.765,0.016,0.975,0.000,0.009,425057,415299,2,0.976,0.000,0.006,241710,0.200,1.683,0.023,22.59,79109,0,15016.915,0.000,0.644,32395506,1.01,15.01,0.000,0.000,0.000,12,12,12,50,43288,0.165,0.00,0.0023,0.015,642,0.887,0.000,0.291,0.529,6.09,7.25,7.85,0.00,0.000,1.00,1.01,1.01,0.887,0.00104,9.04,184.8193,4377.78,86572.6,140048.9,36.428,55.5191,200.893,568.207,0.980,0.268,63.4,62.840,145.133,291,742.9,48.91,9.503,95.775,1284.2,82.279,0.135,2.00,11.1869,39501.0,1.1071,0.9319
90000,3521,1.708,0.401,4.55,207444,194263,391,0,12800,50,994813.1,1350340.1,0.061,0.733,0.031,0.175,110,12.70,4.72,0.04,0.65,0.02,0.53,0.03,0.91,12.61,4.52,0.00,0.00,0.001,0.017,193,0.737,0.012,0.978,0.000,0.010,405613,396255,2,0.875,0.000,0.003,257378,0.198,1.484,0.023,22.92,74416,0,27006.803,0.000,0.632,32737486,1.01,14.65,0.001,0.000,0.000,12,12,14,64,44705,0.171,0.00,0.0022,0.012,665,0.885,0.000,0.231,0.501,6.17,7.31,7.82,0.00,0.000,1.01,1.01,1.01,0.885,0.00109,9.42,183.5518,3840.82,86870.5,140045.1,36.328,53.9786,204.905,567.080,0.980,0.272,64.2,64.145,144.924,276,726.8,50.32,9.970,95.170,1382.6,81.950,0.134,2.00,11.2567,39635.0,1.0887,0.8184
100000,3392,1.668,0.409,4.54,207258,195248,385,0,11754,100,995061.2,1346339.6,0.064,0.726,0.034,0.176,109,12.52,4.76,0.06,1.14,0.01,0.39,0.08,1.30,12.37,4.31,0.00,0.00,0.000,0.013,169,0.746,0.016,0.972,0.000,0.012,400813,391556,2,0.874,0.023,0.009,220715,0.211,1.561,0.024,22.83,75242,0,13463.396,0.000,0.625,32226355,1.02,14.89,0.001,0.000,0.000,11,12,13,64,42470,0.162,0.00,0.0024,0.017,654,0.886,0.000,0.236,0.496,6.20,7.29,7.86,0.00,0.000,1.02,1.02,1.02,0.886,0.00111,9.73,183.0643,3972.60,85769.2,140041.3,35.703,54.1617,205.024,564.694,0.973,0.263,61.3,64.138,144.555,265,787.4,37.62,9.753,95.579,1385.7,82.028,0.134,2.00,12.0886,41004.6,1.1682,0.3372
110000,3540,1.713,0.413,4.59,208848,195993,406,1,12300,104,996929.1,1357380.4,0.054,0.728,0.036,0.182,110,12.41,4.64,0.02,0.72,0.05,0.93,0.03,0.84,12.31,4.30,0.00,0.00,0.001,0.028,169,0.737,0.014,0.979,0.000,0.007,406486,397372,2,0.868,0.014,0.003,231320,0.205,1.626,0.025,22.82,76536,14,13051.734,1.000,0.654,32824763,1.00,14.94,0.001,0.000,0.000,11,12,13,64,43936,0.168,0.00,0.0023,0.018,663,0.888,0.000,0.227,0.499,6.11,7.20,7.82,0.00,0.000,1.00,1.01,1.00,0.888,0.00105,9.73,184.9145,4217.75,87404.2,140037.5,35.815,54.0307,206.123,570.617,0.984,0.269,64.0,64.424,144.876,249,700.4,48.89,9.885,95.468,1366.8,82.359,0.134,2.00,10.9786,38864.3,1.1136,0.3880
120000,3505,1.704,0.404,4.44,207040,194300,411,0,12364,103,993802.9,1353143.2,0.053,0.736,0.030,0.181,112,12.50,4.58,0.04,0.52,0.01,0.29,0.13,1.92,12.32,4.15,0.00,0.00,0.001,0.026,172,0.726,0.012,0.976,0.000,0.011,407342,398869,1,1.000,0.000,0.008,211285,0.201,1.578,0.023,22.46,77242,0,13137.313,0.000,0.644,32890719,1.01,14.82,0.001,0.000,0.000,12,12,14,64,43798,0.167,0.00,0.0023,0.017,683,0.888,0.000,0.233,0.504,6.20,7.33,7.78,0.00,0.000,1.01,1.01,1.01,0.888,0.00106,9.25,183.8757,4103.11,87784.7,140033.7,36.472,54.1550,204.650,581.649,0.975,0.269,63.4,63.996,145.648,232,624.5,40.32,10.101,95.651,1330.6,82.265,0.135,2.00,11.0470,38719.7,1.0822,0.9126
130000,3567,1.712,0.394,4.56,208282,195434,377,0,12409,193,997408.2,1353302.9,0.062,0.717,0.034,0.188,112,12.34,4.07,0.07,1.07,0.04,0.83,0.04,0.89,12.20,3.76,0.00,0.00,0.001,0.026,162,0.728,0.017,0.974,0.000,0.010,409205,399869,2,0.854,0.000,0.004,194022,0.201,1.578,0.022,22.11,77129,0,7011.932,0.000,0.643,31410250,1.02,14.87,0.000,0.000,0.000,11,12,13,64,44025,0.168,0.00,0.0023,0.013,631,0.883,0.000,0.240,0.503,6.12,7.16,7.84,0.00,0.000,1.01,1.02,1.02,0.883,0.00104,9.32,184.2004,3870.75,87525.4,140029.9,35.842,55.0102,203.485,574.765,0.978,0.274,64.4,63.641,145.475,237,740.5,39.08,9.616,96.565,1335.8,82.922,0.135,2.00,10.9348,39004.4,1.0806,0.5344
140000,3398,1.732,0.430,4.33,203716,191534,385,0,11966,173,1002856.6,1381264.9,0.074,0.698,0.034,0.194,111,13.12,5.72,0.08,1.41,0.10,1.60,0.06,1.06,12.88,5.22,0.00,0.07,0.004,0.043,187,0.654,0.017,0.975,0.000,0.008,415076,405420,1,0.861,0.139,0.007,201259,0.201,1.692,0.026,22.57,76336,0,7984.190,0.000,0.655,30261835,1.02,14.33,0.003,0.000,0.000,11,12,20,64,44584,0.170,0.00,0.0023,0.014,651,0.879,0.000,0.219,0.521,6.13,7.25,7.75,0.00,0.000,1.01,1.03,1.02,0.879,0.00112,9.70,186.9612,4364.57,87352.6,140026.2,35.029,55.2495,203.961,559.852,0.983,0.269,63.0,63.847,144.238,276,886.8,44.14,9.319,96.543,1277.0,82.906,0.135,2.00,11.4152,38788.8,1.0719,0.2922
150000,3298,1.736,0.445,4.54,197751,185515,387,1,11948,217,1001353.8,1374366.4,0.081,0.688,0.037,0.194,111,13.31,5.05,0.05,0.60,0.03,0.68,0.06,1.14,13.17,4.87,0.00,0.00,0.002,0.028,164,0.566,0.019,0.973,0.000,0.008,427219,417102,1,1.000,0.000,0.014,349640,0.210,1.634,0.028,22.19,77374,518,6333.486,0.000,0.620,28408712,1.01,13.72,0.001,0.001,0.000,11,12,20,64,43905,0.167,0.00,0.0023,0.021,659,0.872,0.000,0.253,0.548,6.08,6.93,7.82,0.00,0.001,1.01,1.01,1.02,0.872,0.00119,9.28,186.7468,4455.08,85184.4,140022.5,35.435,56.8057,197.877,548.399,0.961,0.266,62.5,62.102,144.057,274,850.7,38.11,8.800,96.933,1467.6,82.742,0.135,2.00,12.3949,40878.4,1.1117,0.4054
160000,3410,1.712,0.415,4.24,199962,187013,381,2,12454,283,1002341.7,1369741.6,0.082,0.702,0.033,0.184,113,12.99,5.23,0.07,1.11,0.05,0.76,0.07,1.34,12.80,4.79,0.00,0.03,0.003,0.039,189,0.587,0.018,0.970,0.000,0.012,424726,415076,1,1.000,0.000,0.005,221689,0.203,1.488,0.025,21.81,77649,82,4840.076,0.500,0.638,29441013,1.02,14.14,0.002,0.000,0.000,10,12,20,64,44294,0.169,0.00,0.0023,0.019,617,0.874,0.000,0.260,0.540,6.09,7.09,7.75,0.00,0.001,1.01,1.02,1.02,0.874,0.00114,8.94,187.0039,4081.36,86928.7,140019.0,35.442,57.1549,199.194,551.095,0.980,0.275,63.1,62.479,144.631,245,706.9,33.59,8.811,97.651,1450.7,83.437,0.134,2.00,11.5838,39500.7,1.0796,0.3273
