step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat
100000,12,12,0,0,0,12,0,1.00,16,0.000,3000,0.71,74.00,201.33,107,0,0,0,1.00,1.00,1.00,8,8,8,12.9,167.999
100000,12,12,0,0,0,12,0,1.00,16,0.000,2994,1.48,102.14,210.63,107,0,0,0,1.00,1.00,1.00,6,8,8,14.1,167.663
100000,12,12,0,0,0,12,0,1.00,16,0.000,2959,1.30,59.23,210.71,107,1,1,0,1.00,1.00,1.00,8,8,8,25.0,165.703
100000,12,12,0,0,0,12,0,1.00,16,0.000,2957,2.01,53.24,189.87,107,0,0,0,1.00,1.00,1.00,8,8,8,1.1,165.591
100000,12,12,0,0,0,12,0,1.00,16,0.000,2956,0.62,103.13,179.93,107,0,0,0,1.00,1.00,1.00,8,8,8,10.4,165.535
100000,12,12,0,0,0,12,0,1.00,16,0.000,2942,2.90,77.50,200.62,107,0,0,0,1.00,1.00,1.00,8,8,8,6.8,164.751
100000,12,12,0,0,0,12,0,1.00,16,0.000,2940,2.68,66.33,195.39,107,0,0,0,1.00,1.00,1.00,8,8,8,8.2,164.639
100000,12,12,0,0,0,12,0,1.00,16,0.000,2939,1.88,77.81,247.08,644,0,0,0,1.00,1.00,1.00,8,8,8,16.0,164.583
100000,12,12,0,0,0,12,0,1.00,16,0.000,2924,1.60,80.77,195.27,644,0,0,0,1.00,1.00,1.00,8,8,8,21.7,163.743
100000,12,12,0,0,0,12,0,1.00,16,0.000,2918,2.91,81.52,187.11,107,0,0,0,1.00,1.00,1.00,8,8,8,16.4,163.407
100000,12,12,0,0,0,12,0,1.00,16,0.000,2914,2.53,84.21,215.07,107,0,0,0,1.00,1.00,1.00,8,8,8,21.4,163.183
100000,12,12,0,0,0,12,0,1.00,16,0.000,2887,1.07,90.73,192.50,107,0,0,0,1.00,1.00,1.00,6,8,8,10.4,161.671
100000,12,12,0,0,0,12,0,1.00,16,0.000,2886,2.84,86.56,193.51,644,0,0,0,1.00,1.00,1.00,8,8,8,19.3,161.615
100000,12,12,0,0,0,12,0,1.00,16,0.000,2883,1.45,87.40,196.35,107,0,0,0,1.00,1.00,1.00,6,8,8,18.4,161.447
