step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat
100000,4,8,2,0,0,2,0,2.75,24,0.000,912,1.15,27.60,22.68,164,1,0,0,3.00,1.00,3.50,2,2,2,26.7,35.270
100000,4,15,2,0,0,2,0,2.40,22,0.000,640,0.68,26.16,12.30,164,0,1,0,3.00,1.00,2.67,2,3,2,19.4,21.528
100000,2,12,0,0,0,2,0,1.00,26,0.000,561,1.04,15.63,23.07,517,1,1,0,1.00,1.00,1.00,1,1,2,37.6,9.399
100000,6,16,0,0,0,6,0,1.00,18,0.000,535,0.79,19.72,26.54,517,1,2,0,1.00,1.00,1.00,3,3,4,39.5,16.886
100000,4,17,0,0,0,4,0,1.00,22,0.000,517,1.31,14.77,24.28,517,2,2,0,1.00,1.00,1.00,2,4,1,49.9,11.707
100000,4,18,1,0,0,3,0,1.60,22,0.000,517,2.06,16.45,22.46,517,0,0,0,1.50,1.50,2.00,3,1,7,22.4,17.342
100000,3,19,0,0,0,3,0,1.00,24,0.000,500,0.91,13.18,22.32,517,2,2,0,1.00,1.00,1.00,2,2,2,59.4,10.889
100000,2,6,0,0,0,2,0,1.00,26,0.000,478,1.05,14.83,8.45,164,0,0,0,1.00,1.00,1.00,1,2,1,15.4,14.410
100000,3,19,0,0,0,3,0,1.00,22,0.000,467,1.90,13.53,20.95,517,2,2,0,1.00,1.00,1.00,3,3,2,49.9,9.899
100000,2,7,0,0,0,2,0,1.00,26,0.000,466,1.07,12.72,7.86,164,0,0,0,1.00,1.00,1.00,1,2,1,17.6,16.197
100000,2,17,0,0,0,2,0,1.00,26,0.000,466,0.90,32.00,14.80,164,1,1,0,1.00,1.00,1.00,1,1,2,27.8,7.987
100000,3,15,0,0,0,3,0,1.00,24,0.000,465,1.49,9.58,20.26,517,1,2,0,1.00,1.00,1.00,2,3,1,40.0,12.008
100000,3,20,0,0,0,3,0,1.00,24,0.000,455,0.32,9.02,13.23,517,2,2,0,1.00,1.00,1.00,2,1,3,41.9,13.134
100000,2,15,0,0,0,2,0,1.00,26,0.000,454,0.93,11.00,17.60,517,2,2,0,1.00,1.00,1.00,1,1,2,46.2,6.331
100000,4,17,0,0,0,4,0,1.00,22,0.000,451,1.83,10.60,15.32,517,2,2,0,1.00,1.00,1.00,3,3,4,43.8,15.738
100000,2,17,0,0,0,2,0,1.00,26,0.000,448,0.42,9.52,43.47,164,1,1,0,1.00,1.00,1.00,2,5,1,27.1,6.146
100000,6,15,2,0,0,4,0,2.40,22,0.000,425,0.52,18.82,9.35,164,2,1,0,3.00,1.00,2.67,2,3,2,55.7,17.375
100000,3,16,0,0,0,3,0,1.00,24,0.000,423,0.63,13.97,26.36,517,2,2,0,1.00,1.00,1.00,1,2,2,44.8,7.047
100000,4,8,2,0,0,2,0,2.75,24,0.000,420,1.17,10.69,11.70,164,1,0,0,3.00,1.00,3.50,1,2,2,28.5,15.509
100000,1,7,0,0,0,1,0,1.00,28,0.000,411,0.39,19.61,3.65,164,1,0,0,1.00,1.00,1.00,1,1,1,29.5,4.531
100000,2,13,0,0,0,2,0,1.00,26,0.000,409,1.25,28.22,17.78,517,0,0,0,1.00,1.00,1.00,2,1,2,23.4,9.792
100000,3,22,0,0,0,3,0,1.00,24,0.000,405,1.00,27.48,10.11,164,1,1,0,1.00,1.00,1.00,2,4,2,29.5,10.026
100000,2,11,0,0,0,2,0,1.00,26,0.000,403,1.37,10.78,9.47,164,1,0,0,1.00,1.00,1.00,1,2,1,24.6,12.094
100000,2,11,0,0,0,2,0,1.00,26,0.000,399,0.79,12.68,4.77,164,0,0,0,1.00,1.00,1.00,1,2,1,17.0,13.434
100000,2,13,0,0,0,2,0,1.00,26,0.000,399,0.78,27.38,5.79,517,1,1,0,1.00,1.00,1.00,1,2,1,24.8,10.851
100000,7,8,2,3,0,2,2,2.17,20,0.429,397,0.73,10.85,25.07,164,0,0,2,3.00,1.00,2.25,2,4,2,20.2,18.074
100000,4,9,0,0,0,4,0,1.00,24,0.000,394,1.99,13.22,14.44,164,1,1,0,1.00,1.00,1.00,1,2,2,31.0,11.380
100000,5,18,0,0,0,5,0,1.00,22,0.000,392,2.28,10.88,15.79,517,2,2,0,1.00,1.00,1.00,1,3,2,52.0,15.975
100000,4,30,0,0,0,4,0,1.00,24,0.000,391,2.39,12.21,9.92,517,1,1,0,1.00,1.00,1.00,2,4,2,26.1,12.232
100000,3,13,0,0,0,3,0,1.00,24,0.000,388,0.60,10.07,20.88,517,2,2,0,1.00,1.00,1.00,1,3,1,46.6,8.016
100000,5,14,0,0,0,5,0,1.00,20,0.000,386,0.33,9.38,22.72,517,2,2,0,1.00,1.00,1.00,2,2,4,53.8,11.090
100000,2,36,0,0,0,2,0,1.00,26,0.000,386,1.93,9.17,15.48,164,0,1,0,1.00,1.00,1.00,2,2,1,23.1,8.251
100000,11,14,2,0,0,9,0,1.64,18,0.000,384,0.66,9.39,20.14,517,2,2,0,2.00,1.00,1.83,2,3,4,55.5,20.234
100000,1,20,0,0,0,1,0,1.00,28,0.000,380,0.02,17.35,13.22,502,0,0,0,1.00,1.00,1.00,1,1,1,17.3,2.821
100000,4,8,2,1,0,1,1,2.60,22,0.250,380,0.55,3.91,26.62,164,2,2,1,3.00,2.00,2.67,2,3,2,43.1,9.870
100000,7,10,4,0,0,3,0,3.67,20,0.000,379,2.05,21.77,4.80,164,0,0,0,4.00,2.67,4.00,4,3,3,10.4,16.150
100000,2,6,0,0,0,2,0,1.00,26,0.000,375,0.90,15.91,8.72,164,0,0,0,1.00,1.00,1.00,1,2,1,16.0,9.843
100000,2,11,0,0,0,2,0,1.00,26,0.000,374,0.75,46.95,13.56,164,0,0,0,1.00,1.00,1.00,2,2,1,19.7,5.524
100000,4,11,0,0,0,4,0,1.00,24,0.000,373,0.36,8.65,14.42,164,0,0,0,1.00,1.00,1.00,1,2,2,17.3,10.160
100000,3,14,0,0,0,3,0,1.00,24,0.000,372,1.61,3.87,28.90,518,1,1,0,1.00,1.00,1.00,1,1,3,25.3,8.844
100000,5,15,0,0,0,5,0,1.00,22,0.000,372,1.80,11.89,18.44,517,2,2,0,1.00,1.00,1.00,2,2,3,46.5,12.338
100000,4,13,0,0,0,4,0,1.00,22,0.000,372,0.71,5.10,14.63,517,2,2,0,1.00,1.00,1.00,2,1,4,47.7,12.322
100000,4,8,2,0,0,2,0,2.75,24,0.000,366,0.83,6.44,17.24,164,0,1,0,3.00,1.00,3.50,2,2,2,17.5,12.365
100000,6,8,2,2,0,2,1,2.40,22,0.333,366,0.40,8.31,20.56,164,1,1,1,3.00,1.00,2.67,1,3,2,26.9,15.187
100000,5,9,2,2,0,1,2,2.33,20,0.400,365,0.91,5.33,61.52,164,1,1,2,3.00,2.00,2.25,2,5,2,30.7,10.551
100000,3,17,0,0,0,3,0,1.00,24,0.000,364,1.09,10.29,20.40,517,2,2,0,1.00,1.00,1.00,3,4,2,42.7,6.672
100000,6,9,2,1,0,3,1,2.40,22,0.167,363,1.19,15.19,10.22,164,1,1,1,3.00,1.00,2.67,4,3,2,26.7,14.823
100000,1,11,0,0,0,1,0,1.00,28,0.000,362,0.18,6.86,9.59,517,2,2,0,1.00,1.00,1.00,1,1,1,55.2,4.004
100000,3,13,0,0,0,3,0,1.00,22,0.000,361,0.93,9.02,13.91,517,2,2,0,1.00,1.00,1.00,2,3,2,52.7,7.358
