step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain
10000,3338,1.944,0.612,7.78,295252,253141,10,23272,16911,1069845,1106282.6,2453591.5,0.106,0.543,0.129,0.222,77,17.75,13.14,2.09,7.06,1.09,4.61,0.31,1.66,14.25,7.53,0.19,0.83,0.020,0.083,1093,0.075,0.027,0.953,0.000,0.020,573851,470028,5,0.434,0.269,0.069,2591908,0.167,2.262,0.041,17.57,173144,147,2.293,0.310,0.766,15818610,1.55,11.37,0.027,0.209,0.056,6,14,32,64,59248,0.226,0.00,0.0023,0.072,586,0.741,0.000,0.839,0.503,3.89,5.61,4.77,0.20,0.057,1.69,1.22,1.68,0.756,0.00390,3.09,298.1182,7178.26,93139.2,139677.3,35.178,109.3499,265.078,455.376,0.953,0.314,24.3,25.532,157.257,211,480.8,63.62,28.490,107.997,1984.8,88.479,0.134,2.00,8.6311,28810.5,0.8573,0.5099
20000,2625,2.232,0.639,8.83,273249,225588,3,32175,16196,1478266,964171.1,2197316.0,0.078,0.621,0.116,0.185,91,23.61,19.40,3.55,6.91,3.75,8.47,0.12,1.29,16.19,9.83,0.75,1.69,0.064,0.142,1274,0.035,0.029,0.955,0.000,0.016,478997,364960,9,0.236,0.293,0.022,912157,0.185,2.191,0.042,18.29,145916,142,1.486,0.320,0.725,14786507,1.89,10.18,0.107,0.408,0.184,5,17,64,64,61976,0.236,0.00,0.0023,0.074,537,0.681,0.001,0.847,0.454,4.19,4.84,6.16,0.76,0.186,2.07,1.24,2.22,0.704,0.00682,3.11,229.8268,7175.53,100552.6,139634.4,38.888,94.2285,229.409,337.467,0.977,0.342,32.9,28.360,156.524,358,881.5,53.96,11.055,103.558,1955.1,82.616,0.135,2.00,8.1828,21479.9,0.7815,0.4888
30000,2610,2.171,0.627,8.68,255461,210303,10,33004,12159,1790963,974135.9,2171301.0,0.056,0.656,0.175,0.112,87,22.41,18.50,2.92,6.58,3.23,8.22,0.16,1.40,16.09,10.19,0.61,1.54,0.058,0.143,1243,0.023,0.033,0.948,0.000,0.020,449370,340837,14,0.186,0.231,0.031,828192,0.197,2.242,0.041,19.41,139180,135,1.212,0.329,0.720,13861435,1.74,10.68,0.093,0.354,0.153,5,16,62,64,58483,0.223,0.00,0.0023,0.077,444,0.656,0.001,0.806,0.457,4.02,4.85,5.89,0.62,0.155,1.86,1.26,2.00,0.684,0.00798,3.36,217.5684,7088.26,102264.9,139581.0,37.909,91.8819,224.483,344.431,0.956,0.343,29.4,30.858,155.531,243,556.4,58.74,11.650,103.160,2169.1,82.115,0.134,2.00,7.7282,20170.7,0.7346,0.4382
40000,2371,2.348,0.623,8.67,247283,203398,4,31929,12191,1957542,984823.1,2193298.0,0.038,0.672,0.166,0.124,85,25.81,20.60,3.30,6.54,4.07,8.36,0.20,1.63,18.23,11.79,0.61,1.32,0.072,0.145,1144,0.037,0.036,0.943,0.000,0.021,445385,343707,9,0.277,0.316,0.046,817495,0.209,2.101,0.043,19.52,136708,131,1.120,0.334,0.695,13361006,1.84,9.49,0.142,0.391,0.206,6,19,64,64,61184,0.233,0.00,0.0023,0.082,465,0.652,0.001,0.791,0.469,4.34,4.94,6.39,0.62,0.206,1.97,1.17,2.22,0.682,0.00903,3.39,216.7135,6779.24,103575.3,139529.0,37.347,91.9630,221.843,339.991,0.982,0.347,32.0,31.267,155.295,348,923.5,55.80,11.645,103.579,2081.9,82.887,0.136,2.00,7.9836,18929.1,0.6633,0.4158
50000,1973,2.472,0.641,9.11,221378,184356,1,27870,9549,2278572,987176.6,2140372.8,0.030,0.726,0.127,0.117,85,29.37,21.45,3.83,6.44,4.99,8.75,0.12,0.97,20.44,12.90,0.73,1.35,0.090,0.154,1118,0.053,0.033,0.947,0.000,0.019,410079,314725,5,0.382,0.386,0.032,734579,0.204,2.285,0.043,20.51,132206,132,0.939,0.319,0.661,12384460,1.98,8.16,0.174,0.463,0.268,6,21,64,64,57949,0.221,0.00,0.0024,0.084,414,0.634,0.001,0.765,0.484,4.82,5.15,6.84,0.74,0.270,2.07,1.21,2.51,0.669,0.01194,3.18,203.6659,6724.80,106014.2,139467.9,36.633,91.3942,213.453,355.572,0.978,0.356,31.5,32.875,155.608,405,1064.6,50.97,13.177,103.515,2288.7,81.340,0.134,2.00,8.5593,16887.5,0.6306,0.3741
60000,2487,2.329,0.630,8.64,212316,179020,0,24204,8578,2327940,983571.9,2085708.0,0.038,0.735,0.120,0.106,86,25.70,20.83,3.48,6.38,4.31,8.64,0.03,0.50,17.87,12.12,0.61,1.27,0.079,0.150,1228,0.050,0.035,0.950,0.000,0.015,392580,302997,7,0.373,0.133,0.006,358896,0.205,2.294,0.043,20.24,129466,127,0.896,0.338,0.728,11699944,1.93,10.31,0.141,0.407,0.225,6,17,64,64,63905,0.244,0.00,0.0022,0.076,460,0.625,0.001,0.773,0.485,4.38,4.82,6.08,0.63,0.226,1.91,1.34,2.42,0.661,0.00957,2.91,199.3899,7089.99,104171.9,139413.4,37.369,90.5007,209.145,355.554,0.971,0.352,34.6,32.872,156.080,322,816.9,56.27,13.454,103.316,2010.8,81.156,0.135,2.00,7.1613,17810.1,0.6243,0.3541
70000,1987,2.495,0.664,8.45,231700,191311,1,30429,10459,2301766,989168.5,2132036.8,0.038,0.707,0.136,0.119,86,29.10,22.03,4.15,6.30,5.87,9.79,0.03,0.39,19.05,13.04,0.90,1.54,0.107,0.170,1125,0.046,0.028,0.956,0.000,0.016,409714,306760,7,0.385,0.311,0.012,144362,0.210,2.242,0.043,19.78,127905,122,0.926,0.350,0.701,12316359,2.08,8.97,0.171,0.455,0.299,6,20,64,64,57829,0.221,0.00,0.0026,0.089,411,0.627,0.001,0.807,0.462,4.65,5.39,6.19,0.92,0.310,2.13,1.36,2.61,0.661,0.01168,2.60,204.1851,6855.27,105611.7,139356.0,37.229,91.4977,215.557,368.287,0.981,0.357,32.5,32.657,157.045,438,1128.1,52.81,13.293,104.227,2431.6,82.538,0.134,2.00,8.4137,16718.1,0.6310,0.3686
80000,2633,2.167,0.591,9.49,234762,194304,1,27799,12012,2317256,985601.9,2143917.5,0.043,0.713,0.132,0.112,86,23.12,19.65,3.22,6.06,3.67,8.23,0.04,0.78,16.18,11.15,0.54,1.26,0.066,0.144,1391,0.025,0.032,0.947,0.000,0.021,407844,307594,10,0.275,0.305,0.008,199453,0.201,2.009,0.041,20.10,131399,120,0.925,0.353,0.706,12280832,1.85,11.55,0.109,0.367,0.180,5,15,64,64,60872,0.232,0.00,0.0023,0.085,497,0.621,0.001,0.784,0.454,4.02,4.70,5.58,0.56,0.186,1.82,1.40,2.19,0.654,0.00892,2.64,206.2502,6664.76,103254.2,139303.1,38.068,89.8608,218.108,367.247,0.975,0.348,30.4,33.038,157.288,289,721.3,39.05,13.871,103.034,1882.1,82.154,0.135,2.00,7.3751,19418.7,0.6932,0.3608
90000,2234,2.472,0.670,8.66,240097,200391,1,27881,12223,2233263,985482.4,2214030.8,0.040,0.677,0.156,0.127,86,27.99,21.69,4.14,6.89,5.01,9.02,0.03,0.77,18.80,12.73,0.72,1.39,0.092,0.162,1252,0.069,0.032,0.949,0.000,0.019,428975,324475,7,0.179,0.389,0.004,215402,0.206,2.282,0.048,19.34,140703,127,0.991,0.343,0.718,12508985,2.08,9.43,0.164,0.434,0.263,6,20,64,64,62521,0.238,0.00,0.0023,0.077,417,0.635,0.001,0.793,0.467,4.60,5.20,6.16,0.76,0.272,2.09,1.39,2.61,0.668,0.01008,3.17,215.0872,7519.21,103982.1,139248.3,38.324,90.0952,222.087,346.996,0.970,0.352,33.5,32.324,155.598,326,942.6,59.91,11.902,103.010,2082.5,82.855,0.135,2.00,7.8282,17488.3,0.6301,0.3746
100000,2179,2.402,0.670,8.30,225211,189987,4,25522,9753,2276448,989415.7,2176410.8,0.045,0.702,0.141,0.113,87,27.76,20.87,3.82,6.51,4.91,9.47,0.14,1.61,18.89,12.37,0.73,1.45,0.088,0.164,1250,0.034,0.024,0.956,0.000,0.020,416643,319895,10,0.298,0.417,0.039,465678,0.189,2.321,0.043,19.63,139445,131,0.956,0.330,0.710,12469028,2.01,9.00,0.150,0.435,0.238,6,20,64,64,60480,0.231,0.00,0.0024,0.080,438,0.640,0.001,0.789,0.484,4.62,5.13,6.50,0.74,0.239,2.02,1.39,2.47,0.674,0.01058,3.16,210.4954,7612.24,103829.3,139189.4,37.536,90.4972,218.084,351.355,0.966,0.350,30.9,32.627,155.539,321,857.6,48.79,12.148,103.505,2005.0,82.761,0.134,2.00,8.2211,17913.7,0.6524,0.3674
