step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat
100000,12,12,0,0,0,12,0,1.00,10,0.000,2543,0.12,321.81,50.38,180,2,1,0,1.00,1.00,1.00,4,3,8,38.0,71.204
100000,15,15,0,1,0,14,0,1.00,10,0.067,2512,0.48,498.69,120.64,266,0,1,0,1.00,1.00,1.00,4,5,6,25.3,77.869
100000,8,8,0,0,0,8,0,1.00,16,0.000,2510,2.12,197.46,98.28,35,1,1,0,1.00,1.00,1.00,3,2,8,28.2,60.238
100000,23,23,0,0,0,23,0,1.00,0,0.000,2496,4.09,435.02,225.07,180,1,1,0,1.00,1.00,1.00,4,8,8,29.3,97.346
100000,8,8,0,0,0,8,0,1.00,16,0.000,2489,1.79,173.14,52.83,35,1,1,0,1.00,1.00,1.00,2,2,8,31.8,59.734
100000,8,8,0,0,0,8,0,1.00,16,0.000,2480,1.67,131.62,106.86,35,1,1,0,1.00,1.00,1.00,3,2,8,28.5,59.518
100000,8,8,0,0,0,8,0,1.00,16,0.000,2474,2.01,331.81,30.64,35,1,1,0,1.00,1.00,1.00,3,2,8,31.1,59.374
100000,8,8,0,0,0,8,0,1.00,16,0.000,2391,1.38,236.77,74.83,35,0,0,0,1.00,1.00,1.00,3,2,8,24.5,57.382
100000,12,12,0,0,0,12,0,1.00,12,0.000,2381,3.11,371.93,173.38,35,1,0,0,1.00,1.00,1.00,2,2,8,26.6,66.668
100000,6,6,0,0,0,6,0,1.00,20,0.000,2348,1.70,92.14,72.34,35,0,0,0,1.00,1.00,1.00,4,2,8,25.4,51.655
100000,8,8,0,0,0,8,0,1.00,16,0.000,2281,2.68,177.67,49.28,35,0,0,0,1.00,1.00,1.00,3,2,8,11.7,54.743
100000,16,16,0,0,0,16,0,1.00,10,0.000,2273,1.85,337.45,54.73,273,0,0,0,1.00,1.00,1.00,6,3,8,24.8,72.737
100000,11,11,0,0,0,11,0,1.00,10,0.000,2267,1.14,191.46,199.21,35,0,0,0,1.00,1.00,1.00,4,4,8,22.0,61.210
100000,16,16,0,0,0,16,0,1.00,10,0.000,2257,3.36,686.46,8.56,273,1,0,0,1.00,1.00,1.00,3,3,8,25.8,72.225
100000,12,12,0,0,0,12,0,1.00,12,0.000,2253,1.94,260.18,32.58,35,1,1,0,1.00,1.00,1.00,3,2,8,28.6,63.084
100000,18,18,0,0,0,18,0,1.00,10,0.000,2241,1.67,489.39,84.80,180,0,0,0,1.00,1.00,1.00,3,3,8,17.9,76.193
100000,9,9,0,0,0,9,0,1.00,14,0.000,2239,1.55,119.62,97.96,180,1,1,0,1.00,1.00,1.00,3,2,8,25.9,55.976
100000,16,16,0,0,0,16,0,1.00,10,0.000,2224,2.56,385.65,42.34,273,1,0,0,1.00,1.00,1.00,6,3,8,27.5,71.169
100000,14,14,0,10,0,4,0,1.00,10,0.714,2224,2.92,148.66,28.02,35,1,1,0,1.00,1.00,1.00,5,3,8,26.6,66.719
100000,23,23,0,0,0,23,0,1.00,0,0.000,2222,2.65,433.58,166.46,180,1,1,0,1.00,1.00,1.00,5,8,8,29.5,86.660
100000,12,12,0,0,0,12,0,1.00,10,0.000,2190,2.52,113.59,159.18,180,0,0,0,1.00,1.00,1.00,3,3,8,24.1,61.320
100000,14,14,0,10,0,4,0,1.00,10,0.714,2168,2.70,168.04,5.19,35,1,1,0,1.00,1.00,1.00,3,3,8,28.1,65.039
100000,12,12,0,0,0,12,0,1.00,12,0.000,2158,1.64,496.42,17.51,35,1,1,0,1.00,1.00,1.00,4,2,8,27.6,60.424
100000,14,14,0,10,0,4,0,1.00,10,0.714,2149,2.68,167.90,4.02,35,1,1,0,1.00,1.00,1.00,2,3,8,27.6,64.469
100000,6,6,1,0,0,5,0,1.43,18,0.000,2132,2.12,126.77,40.90,35,1,1,0,1.00,1.50,1.67,4,8,8,27.0,46.903
100000,11,11,1,0,0,10,0,1.27,10,0.000,2125,0.97,154.49,134.90,35,1,1,0,1.67,1.67,1.12,3,8,8,28.9,57.376
100000,4,4,0,0,0,4,0,1.00,22,0.000,2110,1.65,84.60,7.95,35,0,0,0,1.00,1.00,1.00,3,8,1,23.6,42.201
100000,10,10,0,0,0,10,0,1.00,12,0.000,2097,2.43,202.71,108.94,35,0,0,0,1.00,1.00,1.00,3,2,8,17.4,54.522
100000,8,8,0,0,0,8,0,1.00,16,0.000,2077,1.96,122.28,30.48,35,0,0,0,1.00,1.00,1.00,5,2,8,13.0,49.847
100000,40,40,0,0,0,40,0,1.00,0,0.000,2070,5.78,893.55,367.37,35,0,0,0,1.00,1.00,1.00,6,8,8,16.7,115.920
100000,14,14,0,0,0,14,0,1.00,10,0.000,2006,2.41,131.89,192.93,272,0,0,0,1.00,1.00,1.00,4,3,8,22.2,60.179
100000,11,11,1,0,0,10,0,1.27,10,0.000,2003,2.27,205.39,178.51,35,1,1,0,1.67,1.67,1.12,4,8,8,27.7,54.082
100000,8,8,0,0,0,8,0,1.00,16,0.000,1997,2.05,116.20,26.31,35,0,0,0,1.00,1.00,1.00,5,2,8,18.1,47.927
100000,10,10,0,0,0,10,0,1.00,12,0.000,1991,1.76,89.99,136.66,35,0,0,0,1.00,1.00,1.00,3,2,8,20.6,51.766
100000,16,16,0,0,0,16,0,1.00,10,0.000,1988,2.59,163.87,22.06,273,1,1,0,1.00,1.00,1.00,3,3,8,27.4,63.617
