step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat
100000,12,12,0,0,0,12,0,1.00,16,0.000,2980,1.06,150.05,193.37,1,1,1,0,1.00,1.00,1.00,6,8,8,26.3,116.816
100000,12,12,0,0,0,12,0,1.00,16,0.000,2944,2.96,290.13,91.28,1,1,1,0,1.00,1.00,1.00,8,8,8,29.1,115.404
100000,12,12,0,0,0,12,0,1.00,16,0.000,2913,2.33,217.34,76.49,1,1,1,0,1.00,1.00,1.00,8,8,8,28.7,114.189
100000,12,12,0,0,0,12,0,1.00,16,0.000,2897,1.91,193.06,183.71,1,0,0,0,1.00,1.00,1.00,8,8,8,21.3,113.562
100000,12,12,0,0,0,12,0,1.00,16,0.000,2878,2.00,261.14,170.57,1,0,0,0,1.00,1.00,1.00,8,8,8,24.1,112.817
100000,12,12,0,0,0,12,0,1.00,16,0.000,2870,1.93,182.86,94.70,1,1,1,0,1.00,1.00,1.00,8,8,8,27.6,112.504
100000,12,12,0,0,0,12,0,1.00,16,0.000,2856,2.89,146.49,188.03,1,0,0,0,1.00,1.00,1.00,6,8,8,9.4,111.955
100000,24,24,10,0,0,14,0,3.57,4,0.000,2851,2.28,597.99,131.35,1,1,1,0,3.75,1.50,4.83,8,8,8,26.1,159.655
100000,12,12,0,0,0,12,0,1.00,16,0.000,2845,1.64,334.44,160.95,1,0,0,0,1.00,1.00,1.00,8,8,8,25.5,111.524
100000,12,12,0,0,0,12,0,1.00,16,0.000,2830,2.22,196.95,166.86,1,0,0,0,1.00,1.00,1.00,8,8,8,25.7,110.936
100000,12,12,0,0,0,12,0,1.00,16,0.000,2830,2.99,158.36,69.54,1,1,1,0,1.00,1.00,1.00,8,8,8,26.1,110.936
100000,12,12,0,0,0,12,0,1.00,16,0.000,2823,1.39,124.06,182.28,1,0,0,0,1.00,1.00,1.00,6,8,8,13.1,110.661
100000,12,12,0,0,0,12,0,1.00,16,0.000,2820,2.36,280.14,114.17,1,0,0,0,1.00,1.00,1.00,8,8,8,24.4,110.544
100000,12,12,0,0,0,12,0,1.00,16,0.000,2808,3.10,160.35,164.91,1,1,1,0,1.00,1.00,1.00,4,8,8,26.0,110.073
100000,12,12,0,0,0,12,0,1.00,16,0.000,2792,2.49,114.70,263.31,1,0,0,0,1.00,1.00,1.00,8,8,8,24.1,109.446
100000,12,12,0,0,0,12,0,1.00,16,0.000,2791,1.84,146.00,126.21,1,1,0,0,1.00,1.00,1.00,8,8,8,26.0,109.407
