step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain
10000,4665,1.708,0.615,9.14,330786,305818,89,8,21643,3934,999924.1,2377623.0,0.182,0.379,0.262,0.177,71,12.13,5.29,0.07,0.93,0.08,0.67,0.13,1.14,11.86,4.98,0.00,0.03,0.005,0.050,895,0.026,0.019,0.959,0.001,0.022,652218,572390,29,0.186,0.315,0.030,2337815,0.210,2.144,0.043,14.53,209605,153,604.378,0.125,0.870,16709483,1.02,14.04,0.001,0.002,0.000,6,12,18,64,56600,0.216,0.00,0.0018,0.038,269,0.824,0.000,0.888,0.505,3.55,6.08,3.83,0.00,0.000,1.03,1.03,1.02,0.824,0.00112,2.20,363.2001,8223.41,61687.1,139736.4,51.466,111.1318,291.415,366.074,0.849,0.200,5.1,5.207,157.163,277,610.1,60.65,27.103,95.640,779.2,83.342,0.135,2.00,12.6185,58865.2,1.3677,0.3242
20000,4649,1.637,0.656,9.05,315825,292090,337,0,23414,254,789308.4,2189051.8,0.160,0.406,0.264,0.170,80,11.22,5.05,0.05,0.68,0.07,0.90,0.05,0.81,11.05,4.76,0.00,0.00,0.005,0.053,769,0.084,0.018,0.958,0.000,0.023,605971,511610,31,0.133,0.406,0.013,989181,0.211,2.566,0.043,11.93,208530,0,8618.314,0.000,0.865,18157025,1.02,15.14,0.000,0.000,0.000,6,11,17,64,52172,0.199,0.00,0.0015,0.037,303,0.793,0.000,0.904,0.493,3.73,6.12,4.05,0.00,0.000,1.02,1.02,1.02,0.793,0.00117,2.52,318.9440,8914.26,56313.1,139734.1,66.119,89.2462,262.753,174.042,0.818,0.181,5.6,5.416,152.376,257,558.5,73.48,6.423,83.267,878.1,74.802,0.134,2.00,13.7689,64011.6,1.5808,0.4625
30000,4679,1.640,0.562,8.62,304101,279755,451,1,23864,194,763056.8,2134091.8,0.195,0.409,0.245,0.151,79,10.98,4.61,0.01,0.22,0.09,0.91,0.03,0.52,10.84,4.38,0.00,0.04,0.007,0.062,619,0.234,0.020,0.961,0.000,0.019,570662,495601,24,0.256,0.095,0.011,614231,0.196,2.065,0.039,11.96,187897,68,11000.473,0.000,0.880,19353742,1.00,15.72,0.001,0.000,0.000,6,11,15,64,51369,0.196,0.00,0.0015,0.038,291,0.785,0.000,0.874,0.484,4.35,6.63,4.71,0.00,0.000,1.00,1.00,1.00,0.785,0.00119,2.43,310.0330,7418.52,51415.7,139731.4,69.417,85.9921,259.451,173.831,0.831,0.165,5.1,5.511,154.257,253,570.7,47.39,6.515,80.029,800.1,71.970,0.134,2.00,15.0475,70407.4,1.7257,0.3686
40000,4086,1.660,0.613,7.92,247964,224339,593,2,23623,78,701169.9,1938851.9,0.269,0.404,0.209,0.118,84,10.62,3.97,0.02,0.60,0.02,0.42,0.05,0.97,10.53,3.71,0.00,0.00,0.002,0.037,389,0.400,0.008,0.977,0.000,0.015,509192,468568,19,0.441,0.108,0.007,345717,0.201,2.337,0.043,11.80,152325,248,24857.075,0.500,0.896,19766143,1.00,16.28,0.000,0.000,0.000,6,12,13,55,43386,0.166,0.00,0.0016,0.023,196,0.799,0.000,0.808,0.530,5.09,7.31,5.47,0.00,0.000,1.00,1.01,1.00,0.799,0.00106,2.36,282.0157,7805.61,45455.7,139727.4,77.368,79.2392,233.665,153.443,0.655,0.153,3.2,4.278,152.112,376,902.0,59.54,6.636,72.315,840.7,64.603,0.136,2.00,18.7425,76581.9,2.0512,0.9156
50000,3801,1.677,0.513,7.56,198751,176467,723,0,21846,27,638778.1,1821610.9,0.347,0.375,0.174,0.104,86,10.83,3.67,0.05,0.95,0.03,0.38,0.01,0.31,10.75,3.49,0.00,0.00,0.002,0.033,251,0.540,0.009,0.984,0.000,0.007,474227,459061,10,0.600,0.004,0.002,228663,0.200,1.834,0.033,10.21,129712,0,67467.069,0.000,0.916,19350925,1.01,16.22,0.000,0.001,0.000,6,12,12,64,41164,0.157,0.00,0.0016,0.011,150,0.862,0.000,0.683,0.592,5.88,7.67,6.71,0.00,0.000,1.01,1.02,1.01,0.862,0.00066,1.91,262.9889,5888.46,42944.5,139722.5,85.635,73.5644,212.352,133.000,0.519,0.148,1.9,2.479,151.384,465,1258.5,41.78,6.086,66.087,662.3,58.721,0.134,2.00,21.3559,81173.7,2.2188,0.5823
60000,3617,1.783,0.534,7.56,172610,150554,856,0,21384,8,597145.9,1806039.5,0.406,0.381,0.133,0.080,89,11.35,3.24,0.01,0.42,0.03,0.63,0.01,0.21,11.30,3.07,0.00,0.03,0.002,0.035,210,0.648,0.003,0.989,0.000,0.008,464729,458240,5,0.651,0.061,0.003,151038,0.198,2.042,0.035,8.56,126539,0,225754.938,0.000,0.917,20329223,1.00,16.01,0.001,0.000,0.000,8,12,12,64,41041,0.157,0.00,0.0015,0.013,97,0.901,0.000,0.414,0.636,6.43,7.70,7.44,0.00,0.000,1.00,1.00,1.00,0.901,0.00047,1.86,255.7052,6223.22,38365.3,139717.7,91.229,68.6037,202.499,121.538,0.482,0.133,2.2,1.694,147.479,458,1314.8,46.32,4.966,62.192,629.9,55.328,0.135,2.00,23.5921,85332.7,2.2750,0.8620
70000,3594,1.768,0.528,7.57,161743,139942,939,0,20885,42,577756.2,1814202.5,0.439,0.346,0.136,0.080,90,11.55,3.00,0.03,0.52,0.03,0.60,0.03,0.59,11.46,2.90,0.00,0.00,0.002,0.039,195,0.747,0.003,0.987,0.000,0.010,463303,459069,6,0.733,0.040,0.006,114498,0.231,1.925,0.038,8.23,126645,0,43195.298,0.000,0.930,18141478,1.01,16.03,0.000,0.000,0.000,9,12,12,49,41514,0.158,0.00,0.0014,0.009,82,0.905,0.000,0.224,0.657,6.68,7.70,7.56,0.00,0.000,1.01,1.01,1.01,0.905,0.00039,1.70,254.1236,5949.51,36808.0,139712.6,93.958,66.6216,198.882,115.984,0.462,0.126,1.3,1.404,149.688,484,1334.8,44.24,4.879,59.949,755.7,53.318,0.135,2.00,24.2264,87069.8,2.2646,1.6461
80000,3663,1.745,0.494,7.50,162754,140512,969,0,21204,117,582051.1,1847956.8,0.464,0.325,0.134,0.077,90,11.68,3.12,0.04,1.03,0.02,0.47,0.06,1.12,11.55,2.67,0.00,0.03,0.002,0.036,161,0.814,0.004,0.987,0.000,0.009,469953,465137,5,0.759,0.011,0.007,166294,0.200,1.907,0.033,8.68,131163,0,15794.502,0.000,0.918,16461627,1.01,16.09,0.001,0.000,0.000,10,12,12,64,42785,0.163,0.00,0.0014,0.011,120,0.883,0.000,0.179,0.661,6.82,7.76,7.52,0.00,0.000,1.01,1.01,1.01,0.883,0.00043,1.80,257.9849,5667.16,35393.2,139707.0,93.408,66.9267,201.284,118.051,0.451,0.119,1.4,1.568,149.237,457,1202.8,36.17,5.084,59.955,648.7,53.313,0.135,2.00,24.2892,88971.3,2.2385,1.1855
90000,3583,1.783,0.545,7.51,159543,137194,1022,35,21372,1782,570658.9,1868705.2,0.494,0.283,0.145,0.078,92,11.37,2.74,0.02,0.34,0.01,0.26,0.03,0.47,11.32,2.66,0.00,0.00,0.001,0.025,117,0.797,0.004,0.987,0.000,0.009,470068,465343,4,0.757,0.000,0.006,162673,0.200,2.205,0.037,8.13,129443,351,1048.656,0.286,0.921,14049149,1.00,16.20,0.000,0.000,0.000,8,12,12,64,40743,0.155,0.00,0.0014,0.017,112,0.869,0.000,0.163,0.667,6.79,7.72,7.38,0.00,0.000,1.00,1.00,1.00,0.870,0.00035,1.78,259.2816,6546.32,34175.5,139701.0,94.750,65.9231,201.932,122.976,0.412,0.114,1.4,1.263,148.754,411,1141.4,53.81,4.774,59.180,656.8,52.671,0.135,2.00,24.9478,89387.9,2.3177,1.9754
100000,3757,1.789,0.493,7.60,161231,138941,1062,0,21054,56,565654.8,1876881.4,0.523,0.254,0.143,0.079,93,11.46,2.37,0.01,0.23,0.01,0.31,0.01,0.23,11.42,2.36,0.00,0.00,0.001,0.024,136,0.804,0.004,0.987,0.000,0.009,466028,460975,4,0.729,0.000,0.002,179956,0.203,1.905,0.034,8.19,126656,0,33515.739,0.000,0.927,12358493,1.01,16.20,0.000,0.000,0.000,9,12,12,52,43047,0.164,0.00,0.0013,0.012,108,0.844,0.000,0.187,0.661,6.83,7.69,7.39,0.00,0.000,1.01,1.01,1.01,0.844,0.00036,1.86,259.5389,5798.24,32876.2,139694.8,95.434,65.0825,203.196,121.152,0.459,0.109,1.3,1.334,149.527,384,1122.5,37.50,4.752,58.352,630.5,52.025,0.135,2.00,24.2654,91165.3,2.2427,0.1176
