step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain
10000,2784,2.252,0.726,8.32,277681,230912,1,29616,15788,1885422,1120505.8,2614561.5,0.102,0.608,0.174,0.116,95,23.39,19.33,3.33,5.96,3.12,6.54,0.10,1.07,16.84,11.70,0.46,1.00,0.065,0.141,1268,0.042,0.028,0.936,0.001,0.036,565566,472268,4,0.316,0.492,0.019,1437150,0.167,2.249,0.052,19.03,162827,128,1.387,0.341,0.752,16418978,1.88,10.37,0.048,0.362,0.189,6,15,61,64,65108,0.248,0.00,0.0024,0.078,443,0.749,0.001,0.821,0.524,4.20,5.22,5.73,0.47,0.192,1.95,1.31,2.28,0.774,0.00596,2.12,298.8711,8841.21,97812.0,139671.9,34.896,120.0890,261.731,420.618,0.972,0.333,16.2,16.514,158.892,382,881.2,44.49,31.454,107.788,1762.1,87.177,0.134,2.00,8.0357,22371.5,0.6933,0.4180
20000,2645,2.321,0.723,6.66,267659,220880,1,33344,13573,2215097,976840.1,2486313.0,0.047,0.717,0.135,0.101,119,25.68,20.76,3.59,6.28,3.59,7.18,0.12,1.30,18.38,12.55,0.62,1.24,0.066,0.136,1169,0.081,0.022,0.957,0.000,0.020,510049,416406,6,0.774,0.129,0.013,713772,0.141,2.437,0.049,17.83,136154,125,1.122,0.359,0.762,16870364,1.94,9.50,0.134,0.387,0.221,6,16,64,64,67927,0.259,0.00,0.0020,0.077,435,0.716,0.001,0.825,0.494,4.42,5.10,6.22,0.63,0.222,2.01,1.31,2.37,0.743,0.00719,2.58,253.1325,8767.18,97738.0,139637.3,41.343,100.9935,236.816,295.809,0.953,0.334,22.5,18.920,157.064,267,629.0,41.58,11.361,102.088,2003.5,84.471,0.135,2.00,8.5216,22539.5,0.6996,0.4110
30000,2750,2.301,0.694,5.43,256852,209132,4,33579,14032,2517089,979974.5,2540166.5,0.065,0.667,0.147,0.121,123,24.19,20.80,3.32,5.72,3.56,7.23,0.15,1.41,17.16,12.52,0.62,1.23,0.065,0.133,1121,0.092,0.027,0.950,0.000,0.023,512754,435845,2,0.837,0.155,0.018,495407,0.125,2.374,0.046,17.28,120827,125,1.009,0.354,0.773,15136100,1.87,10.52,0.124,0.413,0.214,6,15,64,64,66509,0.254,0.00,0.0021,0.074,429,0.712,0.001,0.839,0.516,4.17,4.99,5.83,0.62,0.215,1.93,1.29,2.29,0.746,0.00714,3.05,251.0535,8618.28,97388.4,139599.2,40.252,100.9640,235.401,290.007,0.939,0.335,18.8,19.542,155.285,259,595.7,60.06,10.177,103.265,1684.6,85.133,0.135,2.00,8.4239,23165.7,0.7436,0.3925
40000,2903,2.209,0.665,5.41,288619,228864,3,42216,17383,2408123,979896.4,2604806.5,0.048,0.665,0.147,0.140,123,22.89,20.41,3.35,6.27,3.19,6.69,0.19,2.08,16.15,11.86,0.58,1.20,0.059,0.129,1180,0.086,0.032,0.942,0.000,0.026,543743,455080,1,0.685,0.315,0.017,566466,0.127,2.253,0.045,16.66,122698,119,1.082,0.368,0.762,16919997,1.89,12.25,0.109,0.370,0.199,5,14,64,64,66447,0.253,0.00,0.0021,0.080,471,0.715,0.001,0.845,0.488,3.93,4.61,5.30,0.58,0.200,1.97,1.31,2.30,0.743,0.00662,3.00,260.2283,8167.56,98010.8,139557.4,41.267,100.5326,244.812,288.412,0.963,0.337,19.9,19.106,155.256,268,566.5,53.04,9.198,102.918,1736.6,86.378,0.135,2.00,7.8819,22881.1,0.7360,0.4158
50000,2741,2.305,0.747,5.43,283379,216506,5,49757,17273,2556740,988640.1,2611058.0,0.033,0.681,0.122,0.163,123,24.58,21.66,3.50,6.15,3.75,6.99,0.14,1.49,17.20,12.67,0.69,1.27,0.068,0.126,1111,0.104,0.029,0.949,0.000,0.022,532915,447396,2,0.617,0.345,0.015,432552,0.115,2.705,0.048,17.23,121311,117,1.021,0.373,0.774,16246985,1.91,11.93,0.138,0.404,0.239,5,14,64,64,67372,0.257,0.00,0.0021,0.077,425,0.700,0.001,0.827,0.488,4.05,4.75,5.31,0.69,0.239,2.01,1.24,2.37,0.730,0.00739,2.69,255.7424,9460.28,97899.1,139517.5,40.989,99.9931,241.970,299.627,0.947,0.337,20.9,20.159,156.302,248,571.1,60.98,10.149,102.936,1738.7,86.293,0.134,2.00,7.9113,21685.0,0.7360,0.4087
60000,2825,2.244,0.703,5.47,289594,218866,5,53743,16896,2676844,987977.2,2644207.8,0.042,0.676,0.120,0.161,123,23.41,21.16,3.40,6.03,3.50,7.03,0.15,1.62,16.36,12.44,0.60,1.22,0.066,0.133,1091,0.092,0.034,0.942,0.000,0.025,535304,452218,1,0.668,0.332,0.017,538631,0.122,2.383,0.049,17.20,120017,113,0.988,0.379,0.750,16176374,1.88,12.36,0.116,0.349,0.209,5,13,64,64,66135,0.252,0.00,0.0021,0.076,472,0.694,0.001,0.840,0.480,3.96,4.76,5.09,0.61,0.214,1.98,1.26,2.30,0.726,0.00724,2.64,255.2610,8600.75,98385.4,139482.3,41.133,99.7686,244.291,298.654,0.954,0.335,20.7,20.348,156.423,269,680.6,49.41,10.250,102.863,1779.1,86.275,0.134,2.00,7.7527,21901.5,0.7339,0.4056
70000,2949,2.249,0.667,5.37,295316,222104,0,56501,16587,2777563,990496.7,2706321.0,0.060,0.653,0.119,0.168,124,23.16,20.66,3.25,6.19,3.36,6.83,0.13,1.38,16.41,11.84,0.60,1.21,0.060,0.122,1088,0.093,0.034,0.941,0.000,0.026,544347,459867,1,0.999,0.001,0.020,437166,0.119,2.368,0.045,16.81,117288,113,0.974,0.380,0.792,15517892,1.85,12.48,0.122,0.354,0.210,6,14,64,64,68287,0.260,0.00,0.0020,0.073,472,0.678,0.001,0.854,0.479,3.90,4.97,4.82,0.61,0.210,1.95,1.22,2.28,0.711,0.00710,2.86,259.2663,8406.78,97643.1,139443.6,40.968,99.0856,248.744,299.148,0.955,0.336,21.2,20.849,155.665,220,451.4,54.92,9.435,103.199,1606.4,87.088,0.135,2.00,7.7478,22848.2,0.7174,0.4023
80000,3198,2.178,0.685,5.49,296743,225720,5,55127,15642,2730069,986484.1,2722685.2,0.082,0.624,0.126,0.168,125,21.88,19.81,2.45,5.05,3.03,6.74,0.16,1.62,16.24,11.51,0.50,1.13,0.059,0.137,1104,0.081,0.034,0.935,0.000,0.032,551825,472074,1,1.000,0.000,0.016,481506,0.116,2.527,0.046,16.58,119877,114,0.997,0.374,0.753,14649323,1.64,12.75,0.108,0.348,0.171,5,14,64,64,69976,0.267,0.00,0.0019,0.077,516,0.669,0.001,0.865,0.484,3.82,4.77,4.88,0.50,0.172,1.70,1.16,1.98,0.703,0.00647,2.93,260.8511,8880.90,96483.7,139401.3,41.241,98.9546,248.303,298.345,0.937,0.331,21.5,20.594,155.558,178,369.4,65.61,9.110,103.087,1559.4,86.890,0.134,2.00,7.2900,23313.6,0.7129,0.4064
90000,3010,2.177,0.618,5.52,296850,227254,0,54929,14855,2663662,986226.0,2715854.5,0.098,0.600,0.134,0.168,126,22.18,20.30,2.94,5.60,3.21,6.73,0.09,1.04,15.94,11.71,0.55,1.19,0.062,0.130,1106,0.079,0.034,0.942,0.000,0.024,560064,478198,1,0.698,0.302,0.013,444648,0.126,2.155,0.042,15.83,122170,115,1.020,0.377,0.768,14150932,1.77,12.50,0.116,0.363,0.191,5,14,64,64,66756,0.255,0.00,0.0021,0.080,451,0.662,0.001,0.872,0.492,3.88,4.93,4.85,0.56,0.192,1.86,1.20,2.17,0.696,0.00679,2.93,261.8407,7713.34,97585.6,139357.4,41.243,99.4469,247.341,293.871,0.951,0.338,19.2,20.327,155.496,199,426.1,47.29,8.228,103.837,1557.7,87.689,0.135,2.00,7.8889,23745.5,0.7462,0.4133
100000,3027,2.268,0.660,5.43,298379,229234,2,55125,14001,2753599,990420.6,2755920.2,0.086,0.612,0.134,0.168,124,23.36,20.07,2.91,5.61,3.43,7.20,0.15,1.65,16.87,11.64,0.57,1.22,0.064,0.134,1205,0.079,0.033,0.941,0.000,0.026,559388,477444,1,0.992,0.008,0.017,446729,0.116,2.206,0.046,16.17,125958,113,1.001,0.385,0.778,14351465,1.75,11.77,0.115,0.388,0.194,6,15,64,64,70716,0.270,0.00,0.0019,0.078,512,0.660,0.001,0.870,0.488,4.03,5.16,4.99,0.58,0.196,1.84,1.21,2.11,0.696,0.00689,2.99,263.5856,8275.20,98151.8,139316.0,40.885,99.2689,250.241,297.691,0.950,0.337,22.7,20.751,155.545,225,515.4,50.89,8.546,103.795,1619.9,87.884,0.135,2.00,7.2811,22040.0,0.6647,0.4069
110000,3020,2.255,0.670,5.72,306158,235014,2,56305,14844,2763857,985012.9,2791492.0,0.097,0.595,0.132,0.176,124,23.28,21.23,3.08,5.37,3.60,7.01,0.18,1.70,16.42,12.35,0.62,1.22,0.068,0.135,1075,0.094,0.037,0.937,0.000,0.025,569794,479691,1,0.677,0.323,0.020,456082,0.121,2.261,0.045,16.39,129933,112,1.010,0.382,0.761,14338474,1.80,12.49,0.127,0.388,0.219,5,14,64,64,70302,0.268,0.00,0.0020,0.073,533,0.663,0.001,0.869,0.485,3.95,4.87,4.91,0.63,0.220,1.89,1.20,2.23,0.699,0.00686,2.92,266.7543,8201.85,97469.2,139273.5,41.577,98.6450,253.380,301.411,0.951,0.333,22.4,20.628,155.867,246,587.7,56.78,8.862,102.952,1742.0,87.285,0.135,2.00,7.4787,22585.7,0.7184,0.4076
