step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain
10000,2665,1.867,0.454,7.89,230992,220256,29,11,9527,3344,1158814.2,1270767.4,0.122,0.586,0.119,0.173,94,16.68,8.47,0.27,1.59,0.04,0.57,0.42,2.96,15.94,7.92,0.00,0.02,0.002,0.025,643,0.084,0.041,0.936,0.000,0.023,381387,337490,6,0.376,0.528,0.084,2815044,0.189,1.689,0.031,22.50,110188,114,380.014,0.273,0.566,13572188,1.07,9.85,0.003,0.001,0.000,8,15,25,64,44439,0.170,0.00,0.0027,0.040,468,0.733,0.000,0.787,0.426,3.94,4.90,6.44,0.00,0.001,1.08,1.08,1.08,0.733,0.00293,2.33,185.3176,4401.79,106687.9,140225.9,34.039,72.5462,200.568,770.752,0.986,0.341,60.4,65.597,158.554,362,1096.6,47.93,35.483,104.977,1447.7,86.745,0.135,2.00,7.5702,20174.6,0.6468,0.2373
20000,3200,1.715,0.410,7.67,243904,231644,48,1,11676,521,1019926.2,1199448.6,0.062,0.641,0.133,0.164,113,13.80,6.89,0.10,1.23,0.11,1.04,0.16,1.31,13.44,6.45,0.00,0.00,0.005,0.046,643,0.062,0.038,0.938,0.000,0.024,372906,325460,10,0.665,0.141,0.045,1754033,0.146,1.589,0.028,23.73,109662,155,2302.205,0.000,0.566,17237324,1.04,11.61,0.003,0.000,0.000,7,13,20,64,44175,0.169,0.00,0.0024,0.032,602,0.743,0.000,0.848,0.376,3.69,4.22,6.50,0.00,0.000,1.04,1.04,1.04,0.743,0.00234,4.07,166.3484,4223.90,104025.6,140224.6,39.950,56.7168,192.049,572.359,0.981,0.336,65.0,62.833,152.933,261,752.2,62.15,14.102,96.089,1267.9,82.945,0.136,2.00,7.1993,23037.7,0.7187,0.4864
30000,3329,1.714,0.404,7.65,260666,249900,66,0,10571,309,1027213.6,1254376.2,0.048,0.713,0.099,0.140,109,13.15,5.52,0.07,1.16,0.20,1.48,0.11,0.98,12.76,5.05,0.00,0.02,0.011,0.071,559,0.056,0.039,0.944,0.000,0.017,382948,330901,4,0.800,0.033,0.045,1017421,0.158,1.470,0.026,23.90,115557,0,4059.470,0.000,0.613,22046481,1.02,11.63,0.002,0.000,0.000,8,12,18,64,43760,0.167,0.00,0.0024,0.028,621,0.753,0.000,0.830,0.347,3.95,3.99,7.25,0.00,0.001,1.02,1.03,1.02,0.754,0.00241,4.97,170.4213,4182.10,102729.5,140223.0,39.220,52.9465,203.318,587.440,0.997,0.329,65.7,66.576,151.481,311,871.2,46.07,12.936,95.754,1160.1,84.125,0.135,2.00,7.2782,24229.3,0.7664,0.2498
40000,3168,1.666,0.415,7.67,246629,236682,136,0,9972,262,1014676.3,1231457.1,0.036,0.723,0.096,0.146,106,12.49,5.65,0.05,0.62,0.27,1.86,0.07,0.84,12.09,5.24,0.00,0.11,0.014,0.081,534,0.085,0.032,0.951,0.000,0.017,391208,347002,6,0.783,0.026,0.027,988919,0.151,1.560,0.026,24.31,118063,0,4700.218,0.000,0.589,22636563,1.02,11.15,0.000,0.001,0.000,7,12,18,64,39574,0.151,0.00,0.0026,0.029,607,0.767,0.000,0.826,0.392,3.95,4.46,7.23,0.00,0.001,1.02,1.02,1.02,0.767,0.00238,5.80,168.7820,4231.26,99364.3,140221.4,38.898,54.5398,196.742,554.121,0.972,0.324,61.1,64.266,148.549,258,721.8,56.17,11.359,94.835,1341.0,82.263,0.134,2.00,8.8148,27925.3,0.9634,0.3222
50000,3357,1.662,0.393,8.20,246560,235581,178,0,10612,254,1014060.6,1243913.1,0.037,0.718,0.093,0.152,100,12.60,6.24,0.02,0.44,0.20,1.30,0.11,1.23,12.28,5.87,0.00,0.00,0.012,0.069,490,0.103,0.040,0.940,0.000,0.020,408339,374585,4,0.708,0.029,0.027,1035908,0.131,1.458,0.023,24.01,125357,0,4897.296,0.000,0.586,24410295,1.01,11.10,0.003,0.000,0.000,7,12,18,64,42311,0.161,0.00,0.0025,0.029,653,0.795,0.000,0.836,0.415,4.25,4.88,7.46,0.00,0.000,1.01,1.01,1.01,0.795,0.00192,5.85,171.5109,3960.40,97944.9,140220.3,38.280,56.1621,196.412,544.094,0.952,0.321,63.5,63.401,147.962,240,686.0,50.88,10.724,95.694,1269.9,82.760,0.134,2.00,8.7403,29341.2,0.9247,0.1777
60000,3326,1.681,0.423,8.97,231453,221426,207,1,9850,150,1006963.0,1249022.6,0.035,0.739,0.082,0.144,98,12.65,5.80,0.03,0.49,0.11,1.39,0.16,1.71,12.35,5.32,0.00,0.00,0.005,0.050,547,0.072,0.031,0.955,0.000,0.014,408582,374688,5,0.331,0.032,0.032,907010,0.140,1.665,0.025,24.21,127607,10,8326.817,1.000,0.619,26292011,1.01,11.86,0.002,0.000,0.000,6,13,18,64,42078,0.161,0.00,0.0025,0.025,616,0.813,0.000,0.818,0.450,4.48,5.27,7.40,0.00,0.000,1.01,1.01,1.01,0.813,0.00183,6.49,172.4646,4479.16,96197.5,140218.9,38.385,56.2990,194.182,528.291,0.962,0.315,62.6,62.495,146.328,228,618.3,51.68,10.126,94.757,1336.5,81.546,0.134,2.00,9.1978,30591.7,0.9772,0.2136
70000,3138,1.744,0.395,9.54,218927,209888,178,2,9047,190,995793.9,1244045.8,0.026,0.769,0.075,0.130,96,13.47,7.33,0.03,0.41,0.10,0.87,0.33,2.95,13.02,6.45,0.00,0.00,0.006,0.047,519,0.109,0.027,0.955,0.000,0.017,397308,372080,6,0.546,0.050,0.033,962526,0.146,1.483,0.026,24.03,126052,14,6547.609,1.000,0.606,28429208,1.01,12.00,0.004,0.000,0.000,7,13,18,64,42258,0.161,0.00,0.0024,0.021,587,0.837,0.000,0.815,0.465,5.13,6.13,7.57,0.00,0.000,1.01,1.01,1.01,0.837,0.00180,6.48,171.9589,3930.97,95142.1,140217.1,39.164,56.3692,192.625,529.024,0.961,0.310,60.9,61.717,146.832,264,730.4,41.08,10.600,94.165,1318.9,80.633,0.134,2.00,10.2678,32220.5,1.0099,0.4098
80000,3156,1.729,0.448,9.42,206095,196203,244,1,9629,92,986785.2,1238882.4,0.018,0.794,0.059,0.129,96,13.06,6.98,0.01,0.42,0.10,1.28,0.28,2.57,12.67,6.12,0.00,0.04,0.004,0.046,492,0.162,0.026,0.962,0.000,0.012,401575,383306,6,0.504,0.032,0.034,912402,0.157,1.672,0.027,23.80,127232,2,13466.113,1.000,0.616,29907854,1.01,12.47,0.006,0.000,0.000,7,13,17,64,41233,0.157,0.00,0.0025,0.019,622,0.852,0.000,0.792,0.502,5.12,6.26,7.57,0.00,0.000,1.01,1.00,1.01,0.852,0.00164,6.53,172.0290,4579.79,92710.3,140215.8,40.202,56.9322,187.727,522.331,0.950,0.305,59.5,59.932,146.457,265,789.7,58.99,10.454,93.312,1427.1,79.681,0.136,2.00,10.7189,33828.8,1.0910,0.2797
90000,3114,1.755,0.425,9.61,205447,194750,306,0,10433,69,978736.1,1235040.6,0.017,0.806,0.055,0.122,96,12.96,6.66,0.02,0.31,0.05,0.74,0.25,2.32,12.64,6.02,0.00,0.00,0.003,0.035,429,0.148,0.020,0.969,0.000,0.011,393028,376326,4,0.508,0.072,0.034,828993,0.157,1.520,0.026,23.94,125411,0,17899.139,0.000,0.613,30944311,1.00,12.76,0.002,0.001,0.000,6,13,17,64,40362,0.154,0.00,0.0025,0.015,555,0.859,0.000,0.770,0.492,5.18,6.27,7.61,0.00,0.000,1.00,1.00,1.00,0.859,0.00161,6.53,170.8702,4236.22,94173.6,140214.4,40.884,56.6474,188.060,526.411,0.964,0.311,59.3,59.922,146.736,306,871.1,41.53,10.813,92.482,1317.8,78.721,0.135,2.00,10.5169,32749.8,1.1034,0.4877
100000,3174,1.766,0.426,8.85,204630,193110,324,0,11136,29,978575.5,1238873.4,0.017,0.806,0.051,0.126,96,13.01,6.72,0.01,0.28,0.09,1.20,0.19,2.29,12.72,6.03,0.00,0.00,0.003,0.033,435,0.231,0.019,0.968,0.000,0.013,398138,383112,5,0.541,0.032,0.027,828311,0.155,1.498,0.026,24.15,122023,0,42719.772,0.000,0.627,30842916,1.00,12.91,0.004,0.000,0.000,6,12,16,64,41293,0.158,0.00,0.0024,0.016,563,0.859,0.000,0.747,0.501,5.26,6.51,7.52,0.00,0.000,1.00,1.00,1.00,0.859,0.00158,6.90,171.3736,4397.86,93837.2,140213.5,40.762,56.3419,187.699,521.065,0.970,0.308,59.7,59.807,145.968,299,813.1,39.66,10.634,92.030,1226.2,78.458,0.135,2.00,10.3686,32909.8,1.0629,0.5743
