step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
5000,59,1310,16.9,0.6,0.2,0.2,15.9,0.0,1.15,11.3,520,114,5.99,9.18,578,490,242,0.0,1.05,1.28,1.15,3.83,4.95,5.63,28.3
5000,69,555,50.9,13.1,16.4,0.3,21.1,3.4,4.34,1.9,404,120,12.71,27.80,267,229,59,3.5,5.09,1.71,5.64,6.63,7.26,7.85,25.4
5000,24,316,13.7,0.6,0.1,0.2,12.9,0.0,1.21,14.5,156,114,5.41,6.70,93,172,51,0.0,1.17,1.20,1.26,3.08,3.85,4.91,29.5
5000,52,126,15.8,0.2,0.2,0.3,15.0,0.0,1.06,10.9,62,87,3.62,6.00,30,48,48,0.0,1.03,1.11,1.06,3.58,5.52,5.05,32.4
5000,39,114,11.9,0.0,0.0,0.0,11.9,0.0,1.00,14.1,42,130,6.82,8.70,49,65,0,0.0,1.00,1.00,1.00,3.30,2.43,6.79,25.9
5000,13,36,11.1,0.0,0.0,0.0,11.1,0.0,1.00,16.8,16,261,19.62,16.55,29,7,0,0.0,1.00,1.00,1.00,2.42,2.86,4.72,22.6
5000,14,29,18.5,0.4,0.1,0.0,18.0,0.0,1.06,9.0,19,115,3.63,9.46,18,11,0,0.1,1.00,1.10,1.07,3.86,4.66,6.83,26.1
5000,18,19,11.5,0.0,0.0,0.0,11.5,0.0,1.00,14.6,11,217,11.11,14.29,0,19,0,0.0,1.00,1.00,1.00,3.05,3.63,5.11,34.2
5000,17,19,9.1,0.0,0.0,0.0,9.1,0.0,1.00,18.9,4,182,4.75,9.57,0,16,3,0.0,1.00,1.00,1.00,2.63,2.79,3.74,35.5
5000,5,17,13.3,2.2,2.2,0.0,8.9,0.0,2.09,14.7,13,178,15.76,11.09,17,0,0,0.2,1.48,2.70,2.12,2.65,3.29,5.35,13.9
5000,23,16,8.9,0.0,0.3,0.3,8.2,0.0,1.00,18.4,8,110,4.16,4.65,0,9,7,0.0,1.00,1.00,1.00,2.44,3.56,3.38,37.4
5000,10,14,9.9,0.1,0.0,0.0,9.9,0.0,1.04,18.0,11,136,2.93,7.04,0,8,6,0.0,1.07,1.07,1.02,2.86,4.00,3.43,37.5
5000,3,9,6.6,0.0,0.0,0.6,6.0,0.0,1.00,20.0,6,102,2.16,5.13,9,0,0,0.0,1.00,1.00,1.00,2.11,4.33,1.67,22.1
6000,59,1223,15.9,0.4,0.2,0.2,15.1,0.0,1.12,11.8,510,124,6.26,8.93,610,394,219,0.0,1.05,1.20,1.12,3.73,4.65,5.66,27.9
6000,69,716,47.3,10.9,12.7,0.2,23.5,2.4,3.73,3.1,452,120,12.21,29.26,348,271,97,2.4,4.30,1.56,4.89,6.29,6.91,7.59,26.7
