step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
100000,0,3001,11.58,0.01,0.02,0.03,11.53,0.00,1.00,0.000,0.396,421741.0,1059251.9,3,29,6.61,1.00,1.00,213.8740,3924.55,41573.9,4.2694,1.1423,5462,0.8272,32,53.6341,479992.4
100000,1,640,11.72,0.03,0.01,0.25,11.42,0.00,1.02,0.000,0.088,108245.3,316556.0,1,25,5.18,1.02,1.02,43.3411,1049.28,271.0,37.5069,4.1241,5461,0.8270,93,7.9567,70292.4
100000,2,177,12.36,0.08,0.00,0.98,11.29,0.00,1.03,0.000,0.025,52399.6,52703.0,1,20,2.89,1.03,1.02,9.9439,510.95,26.6,46.9091,3.9693,5461,0.8270,96,1.7581,12754.6
110000,0,2949,11.63,0.00,0.02,0.02,11.58,0.00,1.00,0.000,0.392,418804.6,1061501.2,3,22,6.53,1.00,1.00,213.5626,5155.55,41353.5,4.4226,1.2240,5462,0.7431,42,53.0198,476236.8
110000,1,700,11.14,0.01,0.01,0.14,10.97,0.00,1.01,0.000,0.090,109240.6,321085.9,1,24,4.95,1.02,1.02,44.1515,1234.95,288.0,38.1895,4.0913,5461,0.7430,110,8.2673,71806.5
110000,2,160,10.12,0.01,0.00,0.39,9.73,0.00,1.00,0.000,0.019,48909.8,48232.6,1,17,2.38,1.00,1.00,9.2580,399.04,40.0,46.7215,3.7249,5461,0.7430,169,1.7124,12208.1
120000,0,3001,11.66,0.01,0.01,0.00,11.64,0.00,1.00,0.000,0.400,419193.5,1066697.0,3,44,6.50,1.00,1.00,213.4484,4890.85,42019.3,4.4344,1.1970,5462,0.8307,20,53.0381,476481.0
120000,1,752,11.41,0.01,0.00,0.10,11.30,0.00,1.00,0.000,0.099,115450.1,343842.2,1,22,5.04,1.00,1.00,46.7277,1541.27,306.0,36.9136,4.2301,5461,0.8305,90,8.6992,76792.9
120000,2,182,11.99,0.05,0.00,0.42,11.51,0.00,1.02,0.000,0.025,54344.6,56838.7,1,20,2.86,1.00,1.05,10.6176,534.56,48.4,46.6707,3.9943,5461,0.8305,138,1.9959,14538.3
130000,0,2968,11.61,0.01,0.01,0.00,11.59,0.00,1.00,0.000,0.394,417112.8,1061916.0,2,17,6.60,1.00,1.00,214.8600,4851.24,40949.2,4.4617,1.1039,5462,0.8731,24,52.7079,475493.6
130000,1,643,11.80,0.02,0.01,0.06,11.71,0.00,1.00,0.000,0.088,115048.3,340359.2,1,21,5.37,1.00,1.01,46.1582,1046.43,258.8,37.2983,4.3195,5461,0.8730,102,8.5676,75818.2
130000,2,176,11.92,0.03,0.00,0.31,11.59,0.00,1.01,0.000,0.024,54082.1,58322.4,1,24,3.10,1.01,1.01,10.7210,482.13,61.8,46.5383,4.0826,5461,0.8730,181,1.9010,13891.9
140000,0,3064,11.59,0.00,0.00,0.01,11.58,0.00,1.00,0.000,0.405,418538.6,1063201.1,2,22,6.60,1.00,1.00,215.8400,4496.89,40908.5,4.4929,1.0611,5462,0.8807,29,53.0720,478312.9
140000,1,626,11.71,0.05,0.04,0.31,11.31,0.00,1.02,0.000,0.086,112575.0,337352.7,2,30,5.13,1.01,1.02,45.8125,1245.92,244.0,37.1178,4.3244,5461,0.8806,108,8.2390,73160.3
140000,2,212,11.30,0.08,0.00,0.54,10.68,0.00,1.03,0.000,0.027,55315.3,58738.4,1,17,2.80,1.02,1.03,10.8084,460.72,34.0,46.5564,4.1236,5461,0.8806,127,1.9021,14157.6
150000,0,3041,11.59,0.00,0.02,0.00,11.56,0.00,1.00,0.000,0.403,417933.7,1062104.5,2,20,6.57,1.00,1.00,215.8224,4799.26,41040.0,4.5959,1.0707,5462,0.8811,26,52.9284,476808.6
150000,1,669,11.65,0.05,0.02,0.21,11.36,0.00,1.02,0.000,0.089,110978.2,331844.5,2,27,5.18,1.03,1.03,45.0540,1234.54,261.4,37.7283,4.2734,5461,0.8809,108,8.0660,71907.2
150000,2,161,10.41,0.00,0.00,0.06,10.35,0.00,1.00,0.000,0.019,55107.1,59264.7,1,24,2.75,1.00,1.00,10.8489,401.26,43.0,46.1223,4.1292,5461,0.8809,122,1.8969,14183.7
160000,0,3050,11.43,0.01,0.03,0.01,11.38,0.00,1.00,0.000,0.399,419605.1,1061020.6,2,30,6.49,1.00,1.00,215.1667,4877.81,41369.4,4.3032,1.0578,5462,0.8430,20,53.2440,478888.9
160000,1,643,11.42,0.01,0.01,0.12,11.28,0.00,1.01,0.000,0.084,109092.1,318898.3,1,13,5.26,1.00,1.00,43.7367,1111.39,283.6,38.0506,4.3188,5461,0.8428,100,7.8222,69458.4
160000,2,187,10.27,0.12,0.00,0.15,10.00,0.00,1.04,0.000,0.022,53017.6,55120.3,1,16,2.69,1.02,1.04,10.2835,451.76,34.5,46.3494,3.9818,5461,0.8428,121,1.8439,13531.4
170000,0,3080,11.54,0.01,0.02,0.00,11.51,0.00,1.00,0.000,0.406,423355.8,1059702.1,2,28,6.56,1.00,1.00,217.0003,4113.55,41357.6,4.3813,1.0376,5462,0.7772,17,53.7125,483412.7
