id,n_blocks_before,n_blocks_after,dist1,dist2
0,64,64,0,44
1,64,64,0,0
2,33,33,0,0
3,0,0,0,1
4,64,64,0,0
5,64,64,0,0
6,51,46,16,0
7,38,27,15,0
8,64,64,0,0
9,0,0,0,0
10,64,64,18,13
11,52,52,0,0
12,7,7,0,0
13,64,64,7,0
14,64,64,0,0
15,64,64,0,0
16,50,44,9,0
17,64,64,37,0
18,50,50,0,0
19,64,64,0,11
20,58,58,0,0
21,64,64,0,10
22,35,36,5,0
23,64,64,0,0
24,64,64,0,0
25,64,64,6,0
26,41,41,0,0
27,64,64,0,0
28,64,64,0,0
29,64,64,0,0
30,64,64,0,0
31,64,64,0,0
32,64,64,0,25
33,64,64,0,0
34,64,64,0,0
35,48,37,21,20
36,64,64,0,0
37,46,46,0,0
38,64,64,0,0
39,64,56,12,46
40,64,64,32,0
41,64,64,0,0
42,0,0,0,0
43,64,64,0,0
44,55,55,0,0
45,64,64,14,0
46,64,64,0,0
47,64,64,0,0
48,63,63,0,0
49,60,60,0,0
50,64,64,0,0
51,0,0,0,7
52,64,64,0,17
53,64,64,0,0
54,64,64,0,0
55,64,64,0,0
56,64,64,0,0
57,48,48,0,0
58,59,64,29,0
59,64,64,0,0
60,27,27,0,2
61,58,62,4,5
62,62,62,0,0
63,44,44,0,0
64,16,16,0,20
65,64,64,0,0
66,64,64,0,0
67,64,64,0,0
68,64,64,0,1
69,64,64,29,0
70,64,64,0,0
71,64,64,0,0
72,64,64,0,0
73,7,7,0,0
74,64,64,0,0
75,64,64,0,25
76,50,50,0,0
77,64,64,0,0
78,40,40,0,0
79,0,0,0,0
80,34,34,0,8
81,42,42,0,10
82,64,64,0,19
83,64,64,0,2
84,36,36,0,0
85,50,50,0,0
86,64,64,0,0
87,64,64,0,0
88,21,21,0,11
89,64,64,0,0
90,64,64,0,0
91,58,64,6,0
92,46,46,0,0
93,64,64,0,0
94,64,64,0,0
95,64,64,0,0
96,28,28,0,0
97,64,64,0,0
98,64,64,0,10
99,64,64,0,0
100,64,64,0,0
101,64,64,0,0
102,54,58,4,31
103,64,64,0,5
104,44,44,0,2
105,37,37,0,26
106,38,38,0,0
107,34,34,0,3
108,50,64,16,13
109,21,27,29,19
110,64,64,0,0
111,64,64,0,0
112,64,64,0,17
113,34,34,0,9
114,64,64,0,0
115,64,64,0,16
116,64,64,0,0
117,60,60,0,0
118,58,58,0,14
119,64,64,0,0
120,19,19,0,25
121,40,39,3,0
122,43,43,0,4
123,64,64,0,0
124,64,64,0,0
125,58,61,3,0
126,64,64,0,0
127,52,52,0,0
128,64,64,0,0
129,41,41,0,6
130,64,64,0,0
131,6,6,0,0
132,46,46,0,0
133,51,64,36,0
134,64,64,0,0
135,34,34,0,0
136,52,52,0,0
137,64,64,0,0
138,64,64,8,2
139,64,64,0,0
140,64,64,0,0
141,64,64,0,0
142,64,64,0,0
143,28,28,0,0
144,50,50,0,0
145,37,37,0,0
146,64,64,0,0
147,64,64,0,0
148,64,64,9,6
149,64,64,0,0
150,56,64,8,0
151,64,64,0,34
152,64,64,0,0
153,32,32,0,0
154,64,64,2,18
155,64,64,0,6
156,64,64,0,0
157,8,8,0,0
158,63,63,0,11
159,64,64,0,0
160,64,64,0,0
161,64,64,0,0
162,64,64,0,0
163,64,64,0,11
164,64,64,0,0
165,64,53,38,0
166,64,64,0,0
167,48,48,0,0
168,64,64,0,0
169,64,64,5,0
170,42,42,0,0
171,64,64,0,0
172,64,64,0,0
173,61,61,0,0
174,52,48,6,0
175,38,38,0,0
176,64,64,10,1
177,64,64,0,0
178,0,0,0,64
179,58,58,0,0
180,64,64,0,0
181,64,64,0,10
182,64,64,0,0
183,64,64,0,0
184,47,50,12,0
185,64,64,0,0
186,49,49,0,40
187,64,64,0,0
188,64,64,0,60
189,64,64,0,0
190,64,64,0,0
191,64,64,0,44
192,64,64,0,2
193,47,47,0,32
194,0,0,0,25
195,54,54,0,0
196,56,56,0,0
197,64,64,0,0
198,64,64,0,14
199,64,64,0,0
200,64,64,22,0
201,53,53,0,0
202,46,46,0,19
203,64,64,0,0
204,64,64,0,12
205,64,64,0,0
206,64,43,21,9
207,64,64,0,0
208,64,64,0,0
209,64,64,1,0
210,64,64,0,0
211,64,64,0,44
212,64,64,0,0
213,64,64,0,0
214,58,58,0,0
215,64,64,0,0
216,28,28,0,0
217,64,64,0,0
218,64,64,0,16
219,64,64,0,9
220,64,64,0,0
221,64,64,0,0
222,49,64,22,0
223,64,64,0,0
224,64,64,6,0
225,64,64,0,0
226,38,38,0,26
227,64,64,0,0
228,64,64,0,21
229,29,29,0,0
230,43,43,0,0
231,64,64,0,0
232,44,44,0,0
233,64,64,0,0
234,64,64,0,25
235,64,64,0,13
236,61,61,0,3
237,64,64,22,0
238,64,64,0,8
239,64,64,0,0
240,64,64,0,10
241,64,64,0,0
242,41,41,0,0
243,64,64,0,14
244,53,53,0,39
245,64,64,40,0
246,53,53,0,4
247,63,63,0,0
248,58,58,0,0
249,51,38,13,0
250,61,61,0,14
251,64,64,0,26
252,59,59,0,0
253,57,57,0,0
254,53,53,0,0
255,64,64,0,0
256,64,64,0,0
257,64,64,0,5
258,6,6,0,0
259,64,64,0,25
260,64,55,11,0
261,64,64,0,0
262,64,64,0,0
263,62,62,0,0
264,41,41,0,0
265,64,64,0,16
266,64,64,0,0
267,64,64,17,0
268,64,64,0,0
269,47,47,0,17
270,64,64,0,0
