id,n_genes,gene_edges,morph_edges,n_blocks,hard,muscle,sensor,digestive,largest,connected,dev_ns
3161,4,0,8,64,0,0,64,0,64,1,83292
3162,2,0,4,32,32,0,0,0,32,1,65458
3163,5,2,9,56,56,0,0,0,56,1,106708
3164,10,7,12,61,0,12,49,0,61,1,275584
3165,2,0,2,64,0,0,64,0,64,1,65584
3166,14,8,20,64,64,0,0,0,64,1,464459
3167,13,7,26,64,22,12,0,30,64,1,424125
3168,9,3,18,40,3,2,35,0,37,0,235500
3169,9,7,22,62,0,0,62,0,62,1,235542
3170,10,5,22,64,0,64,0,0,64,1,283292
3171,10,3,11,23,0,0,21,2,23,1,275417
3172,4,1,5,64,3,0,61,0,64,1,83334
3173,7,3,16,64,0,64,0,0,64,1,185167
3174,4,1,4,4,0,4,0,0,2,0,83292
3175,9,2,13,56,0,21,10,25,56,1,239167
3176,8,4,9,32,0,18,0,14,32,1,208166
3177,8,2,5,64,5,0,59,0,64,1,203791
3178,7,4,13,64,0,7,0,57,64,1,177125
3179,4,0,8,64,39,18,7,0,64,1,83333
3180,5,2,10,64,20,0,44,0,64,1,110750
3181,7,8,12,9,0,1,3,5,5,0,179542
3182,11,7,17,64,0,58,6,0,64,1,325791
3183,5,2,10,64,12,0,0,52,64,1,108375
3184,10,8,19,40,32,3,0,5,40,1,279500
3185,10,7,24,58,50,0,8,0,58,1,288834
3186,4,1,11,59,20,0,0,39,59,1,84500
3187,8,3,14,58,3,55,0,0,58,1,214459
3188,11,3,25,48,0,0,0,48,48,1,332958
3189,11,11,21,64,0,0,28,36,64,1,324500
3190,8,6,16,49,21,0,28,0,49,1,222792
3191,4,2,10,64,11,0,42,11,64,1,87000
3192,11,7,12,22,0,0,22,0,22,1,324458
3193,7,3,12,4,4,0,0,0,4,1,176791
3194,13,5,23,64,0,0,56,8,64,1,417167
3195,9,6,12,23,0,7,16,0,23,1,253208
3196,7,1,10,32,0,0,0,32,32,1,190542
3197,6,4,6,59,59,0,0,0,59,1,157667
3198,10,4,17,64,10,0,54,0,64,1,275417
3199,13,7,20,60,0,33,27,0,60,1,420417
3200,10,5,8,64,34,0,30,0,64,1,283125
3201,7,4,11,50,0,42,8,0,50,1,176833
3202,10,7,16,64,0,3,61,0,64,1,286083
3203,6,1,8,62,62,0,0,0,62,1,146209
3204,9,7,18,46,0,11,35,0,46,1,247875
3205,2,0,2,64,0,0,64,0,64,1,75542
3206,9,3,15,64,0,0,64,0,64,1,252000
3207,10,5,21,53,2,0,0,51,53,1,282208
3208,9,4,14,21,0,6,15,0,21,1,246250
3209,4,1,8,0,0,0,0,0,0,0,87291
3210,6,1,12,64,40,24,0,0,64,1,156000
3211,9,1,15,64,36,0,18,10,64,1,256000
3212,5,2,9,64,12,0,52,0,64,1,108250
3213,10,4,14,64,64,0,0,0,64,1,297000
3214,9,1,14,64,0,0,55,9,64,1,253417
3215,6,1,6,64,23,0,25,16,64,1,155583
3216,5,0,3,64,0,0,46,18,64,1,113208
3217,11,6,26,64,64,0,0,0,64,1,343792
3218,3,0,4,31,31,0,0,0,31,1,72250
3219,5,1,10,64,63,0,1,0,64,1,118375
3220,10,9,22,64,0,31,33,0,64,1,290667
3221,5,1,6,64,0,19,45,0,64,1,114708
3222,2,1,2,64,0,0,64,0,64,1,66750
3223,11,7,15,58,0,21,4,33,58,1,337875
3224,11,4,18,64,3,0,52,9,64,1,338083
3225,3,1,3,64,0,0,64,0,64,1,79708
3226,10,3,13,64,0,0,64,0,64,1,296625
3227,13,9,21,19,0,0,0,19,19,1,431667
3228,12,8,15,52,0,24,28,0,52,1,372000
3229,8,6,10,41,21,0,2,18,41,1,201958
3230,7,3,9,64,0,64,0,0,64,1,173709
3231,7,0,10,64,0,0,56,8,64,1,175583
3232,4,0,6,49,0,0,49,0,49,1,82416
3233,5,1,7,64,47,0,0,17,64,1,112000
3234,10,5,9,39,26,13,0,0,39,1,279792
3235,5,0,6,6,6,0,0,0,6,1,105042
3236,7,3,11,36,0,0,36,0,36,1,210333
3237,4,0,5,64,0,0,62,2,64,1,96125
3238,9,7,21,64,7,47,4,6,64,1,255000
3239,10,8,13,29,0,23,0,6,29,1,289166
3240,12,15,16,64,33,14,17,0,64,1,373000
3241,7,0,10,27,25,2,0,0,27,1,183834
3242,3,0,3,64,46,0,0,18,64,1,72584
3243,8,1,19,64,15,28,21,0,64,1,205125
3244,3,1,7,64,34,27,3,0,64,1,67458
3245,8,2,11,29,0,29,0,0,29,1,198500
3246,10,4,15,44,34,0,5,5,39,0,275417
3247,12,5,16,64,0,63,0,1,64,1,370792
3248,7,2,14,38,17,0,2,19,38,1,171917
3249,10,7,11,64,32,0,32,0,64,1,289792
3250,5,0,9,64,0,0,1,63,64,1,103833
3251,13,6,23,20,0,0,0,20,20,1,410417
3252,8,4,8,48,0,7,5,36,48,1,207125
3253,3,0,5,64,0,0,64,0,64,1,67333
3254,7,2,10,64,0,0,0,64,64,1,171875
3255,12,8,14,56,9,1,46,0,56,1,359541
3256,11,2,16,64,18,0,40,6,64,1,353792
3257,8,1,5,64,0,64,0,0,64,1,210167
3258,8,1,13,64,48,0,16,0,64,1,198458
3259,10,7,23,64,64,0,0,0,64,1,272333
3260,7,1,7,51,32,19,0,0,51,1,174416
3261,9,4,16,42,34,7,1,0,42,1,229500
3262,7,2,10,64,0,0,64,0,64,1,184833
3263,5,2,6,6,0,0,6,0,6,1,110417
3264,12,7,22,64,0,0,64,0,64,1,377000
3265,8,6,13,64,0,35,29,0,64,1,198292
3266,11,7,16,64,0,32,32,0,64,1,315792
3267,5,2,5,64,34,0,0,30,64,1,110834
3268,6,1,7,64,0,0,0,64,64,1,141750
3269,4,1,8,0,0,0,0,0,0,0,97875
3270,6,4,10,63,0,0,22,41,63,1,141541
3271,9,5,10,64,59,0,5,0,64,1,244542
3272,12,8,19,64,0,0,0,64,64,1,356500
3273,7,1,10,64,0,0,0,64,64,1,181417
3274,6,2,11,64,0,3,0,61,64,1,144958
3275,8,3,10,64,64,0,0,0,64,1,198292
3276,10,2,15,64,0,0,28,36,64,1,274458
3277,4,0,9,64,0,0,17,47,64,1,83292
3278,9,4,21,57,0,4,39,14,57,1,235542
3279,5,0,6,64,56,0,0,8,64,1,110042
3280,11,8,17,64,0,0,24,40,64,1,324417
3281,6,2,9,64,0,0,33,31,64,1,145500
3282,9,3,12,64,64,0,0,0,64,1,243375
3283,4,0,6,64,0,0,64,0,64,1,87458
3284,7,4,8,60,0,0,60,0,60,1,176792
