id,n_blocks_before,n_blocks_after,dist1,dist2
0,64,64,0,17
1,64,64,0,0
2,49,50,10,0
3,33,23,14,0
4,4,4,0,0
5,64,64,0,0
6,64,64,0,0
7,34,34,0,0
8,3,3,0,1
9,34,34,0,0
10,64,64,0,8
11,64,64,0,0
12,64,64,0,0
13,32,36,4,21
14,32,39,9,0
15,6,6,0,0
16,64,64,0,0
17,9,9,0,0
18,64,64,0,0
19,22,22,0,0
20,34,34,0,0
21,64,64,0,0
22,61,61,0,12
23,64,64,0,0
24,52,52,0,0
25,24,24,0,0
26,62,62,0,14
27,21,21,0,33
28,34,34,0,0
29,64,64,0,0
30,64,64,35,17
31,45,45,0,0
32,64,64,0,19
33,64,64,0,0
34,64,64,0,0
35,64,64,12,21
36,34,34,0,0
37,59,51,50,8
38,51,51,0,0
39,44,44,0,0
40,3,3,0,0
41,64,64,0,0
42,64,64,0,0
43,60,60,0,37
44,37,58,21,0
45,64,64,0,0
46,61,61,0,0
47,33,33,0,15
48,0,0,0,0
49,64,64,0,0
50,64,64,18,23
51,64,64,0,13
52,0,0,0,0
53,0,0,0,0
54,64,64,0,0
55,64,64,0,1
56,64,64,0,0
57,33,33,0,0
58,64,64,0,0
59,0,0,0,0
60,26,26,0,0
61,30,30,0,0
62,64,64,0,0
63,48,48,0,23
64,42,42,0,1
65,64,64,0,4
66,48,47,12,0
67,64,64,18,20
68,57,57,0,0
69,12,12,0,0
70,32,37,23,0
71,48,48,0,0
72,64,64,0,0
73,64,64,0,0
74,24,11,13,0
75,64,64,0,0
76,64,64,0,23
77,64,64,0,0
78,4,4,0,0
79,53,42,12,0
80,58,58,0,0
81,62,62,0,3
82,64,64,0,0
83,64,64,0,8
84,27,27,0,0
85,61,61,0,0
86,38,64,26,0
87,64,64,35,25
88,62,62,0,0
89,64,64,0,4
90,64,64,14,0
91,0,0,0,0
92,64,64,0,0
93,64,64,0,17
94,64,64,0,0
95,49,49,0,9
96,40,40,0,0
97,64,64,0,0
98,64,64,0,5
99,45,64,19,0
100,64,64,0,4
101,1,1,0,63
102,64,64,0,0
103,64,64,20,0
104,64,64,0,0
105,64,64,0,7
106,13,13,0,0
107,0,64,64,0
108,20,20,0,0
109,48,48,0,0
110,47,47,0,0
111,64,64,0,2
112,64,64,0,0
113,64,64,0,0
114,32,64,43,0
115,64,64,0,0
116,1,1,0,1
117,64,55,26,0
118,29,29,0,0
119,51,51,0,0
120,64,64,0,21
121,56,56,0,0
122,64,64,0,0
123,0,0,0,0
124,64,64,0,0
125,51,51,0,13
126,3,3,0,0
127,64,64,0,9
128,64,64,0,0
129,64,64,0,0
130,53,53,0,0
131,39,39,0,0
132,18,18,0,12
133,64,64,0,0
134,40,40,0,0
135,47,47,0,0
136,0,0,0,0
137,0,0,0,0
138,45,45,0,24
139,64,64,0,0
140,64,64,0,0
141,41,41,0,4
142,64,64,0,0
143,64,64,0,0
144,63,63,0,0
145,64,64,0,5
146,64,64,0,0
147,57,54,33,0
148,64,64,0,0
149,64,64,0,0
150,30,30,0,0
151,64,64,0,62
152,64,64,0,0
153,53,53,0,0
154,3,3,0,0
155,64,64,0,0
156,50,50,0,22
157,64,64,0,0
158,64,64,0,0
159,22,22,0,42
160,32,32,0,0
161,60,60,0,0
162,64,64,23,0
163,64,64,0,0
164,57,57,0,7
165,6,6,0,31
166,64,64,0,0
167,64,64,0,0
168,64,64,0,0
169,32,32,0,0
170,30,30,0,17
171,64,64,0,0
172,14,14,0,14
173,64,64,6,0
174,37,37,0,0
175,64,64,0,0
176,64,64,0,0
177,22,22,0,0
178,64,64,0,0
179,64,64,12,0
180,38,38,0,0
181,24,24,0,3
182,64,64,14,15
183,64,64,0,5
184,63,63,0,0
185,27,27,0,0
186,64,33,38,0
187,64,64,0,0
188,56,56,0,20
189,0,0,0,0
190,38,38,0,27
191,16,16,0,18
192,27,27,6,16
193,45,45,0,0
194,64,64,0,0
195,52,52,0,0
196,57,57,0,33
197,64,64,0,0
198,20,20,0,33
199,64,64,1,0
200,64,64,0,34
201,4,4,0,0
202,54,56,2,3
203,30,30,0,50
204,64,64,0,12
205,64,64,8,0
206,57,57,0,0
207,56,56,0,0
208,48,64,44,44
209,64,64,0,0
210,40,40,0,4
211,64,64,41,0
212,0,0,0,0
213,64,64,0,0
214,64,64,0,0
215,64,64,0,0
216,14,14,0,0
217,62,62,0,26
218,54,54,0,0
219,40,40,0,0
220,40,40,0,0
221,16,16,0,0
222,64,64,0,0
223,6,6,0,1
224,62,62,0,0
225,29,29,0,0
226,1,1,0,0
227,64,64,14,0
228,64,64,20,0
229,19,19,0,0
230,64,64,0,0
231,64,64,0,0
232,64,64,0,0
233,64,64,0,0
234,46,46,4,0
235,13,16,3,0
236,28,28,0,35
237,64,64,0,0
238,64,64,0,11
239,64,64,0,0
240,64,64,0,19
241,12,12,0,0
242,62,62,0,0
243,27,27,0,1
244,43,43,0,0
245,41,41,0,0
246,64,64,0,0
247,38,40,34,40
248,48,48,0,0
249,64,64,0,0
250,25,36,11,11
251,64,64,0,7
252,64,64,0,41
253,0,0,0,0
254,64,64,0,0
255,22,22,0,0
256,64,64,0,0
257,0,0,0,0
258,27,27,0,0
259,64,64,0,0
260,64,64,0,0
261,64,64,0,12
262,4,4,0,0
263,64,64,0,0
264,52,52,0,0
265,0,0,0,0
266,27,64,48,8
267,64,64,0,0
268,64,64,0,0
269,52,52,0,0
270,43,43,0,0
271,49,49,0,21
272,64,64,0,0
273,64,64,0,0
274,42,43,2,0
275,64,64,0,12
276,64,64,0,0
277,64,64,2,5
278,0,0,0,0
279,64,64,0,0
280,18,18,0,0
281,64,64,0,0
282,50,13,45,16
283,64,64,0,0
284,48,48,0,0
285,64,64,0,0
286,0,2,2,0
287,64,56,14,14
288,64,64,0,0
289,44,50,6,0
290,64,64,0,0
291,28,28,0,14
292,59,59,0,0
293,53,53,0,0
294,64,64,0,24
295,58,58,0,5
296,64,64,0,0
297,34,34,0,0
298,48,48,0,0
299,64,64,0,0
300,57,64,35,43
301,10,10,0,0
302,64,64,0,0
303,55,55,0,0
304,64,64,0,0
305,0,0,0,0
306,12,12,0,0
307,64,64,12,0
308,43,43,0,0
309,64,64,24,0
310,0,0,0,0
311,64,64,0,0
312,48,48,0,5
313,64,64,0,0
314,64,64,0,1
315,64,64,0,0
316,64,64,18,21
317,64,64,0,0
318,64,64,0,11
319,9,11,2,0
320,27,27,0,0
321,63,63,0,20
322,64,64,0,0
323,64,64,0,0
324,41,40,23,26
325,64,64,0,0
326,55,55,19,9
327,64,64,0,0
328,40,40,0,21
329,49,49,0,0
330,58,58,0,0
331,49,49,0,0
332,40,40,0,0
333,64,64,0,0
334,51,51,0,0
335,64,64,0,28
336,0,0,0,0
337,64,64,2,4
338,5,11,6,0
339,64,64,0,43
340,47,47,0,0
341,64,64,0,0
342,0,0,0,0
343,64,64,0,64
344,64,64,0,0
345,64,64,0,0
346,50,53,4,14
347,64,64,0,0
348,1,4,3,1
349,50,50,0,22
350,4,4,0,0
351,64,64,0,0
352,64,64,0,0
353,52,52,0,42
354,54,54,0,0
355,64,64,0,2
356,53,53,0,0
357,64,64,0,15
358,64,64,0,0
359,64,64,0,0
360,62,62,0,2
361,64,64,0,0
362,51,51,0,0
363,63,63,0,0
364,54,54,0,42
365,64,64,0,0
366,64,64,0,0
367,63,63,0,0
368,38,56,20,6
369,24,24,0,0
370,64,64,0,0
371,64,64,0,1
372,64,62,26,16
373,54,54,0,0
374,64,64,0,0
375,29,29,0,0
376,64,64,0,0
377,53,52,20,13
378,29,29,0,2
379,36,36,0,0
380,64,64,0,38
381,63,63,0,0
382,64,64,0,0
383,62,62,0,23
384,38,38,0,8
385,28,28,0,0
386,47,47,0,6
387,64,64,0,0
388,50,50,0,19
389,64,64,0,2
390,35,35,0,0
391,42,42,0,0
392,64,64,0,0
393,6,6,0,0
394,64,64,0,0
395,18,18,0,0
396,64,64,0,0
397,23,23,0,0
398,64,64,0,0
399,64,64,0,0
400,48,48,0,0
401,23,23,0,13
402,63,63,0,1
403,33,33,0,0
404,64,64,0,0
405,64,64,0,0
406,46,46,0,15
407,63,63,0,0
408,19,19,0,0
409,64,64,0,0
410,43,43,0,0
411,64,64,15,0
412,35,35,0,0
413,34,34,0,10
414,64,64,0,1
415,24,24,0,0
416,44,42,2,0
417,38,38,0,0
418,35,35,0,0
419,64,64,0,0
420,0,0,0,12
421,11,11,0,0
422,13,13,0,0
423,64,64,46,0
424,64,64,0,0
425,34,34,0,6
426,12,12,0,5
427,63,61,2,0
