id,n_genes,gene_edges,morph_edges,n_blocks,hard,muscle,sensor,digestive,largest,connected,dev_ns
0,13,7,21,64,64,0,0,0,64,1,426042
1,10,5,17,64,16,0,48,0,64,1,279542
2,9,8,12,64,0,0,64,0,64,1,248459
3,4,3,13,60,60,0,0,0,60,1,87292
4,8,3,12,25,0,19,0,6,25,1,217166
5,8,1,10,64,10,2,52,0,64,1,213167
6,5,0,9,4,0,0,0,4,4,1,121708
7,10,4,17,64,0,33,31,0,64,1,294625
8,4,1,5,0,0,0,0,0,0,0,87083
9,8,2,14,64,6,0,0,58,64,1,218791
10,9,3,13,64,64,0,0,0,64,1,245500
11,5,2,8,37,0,31,6,0,37,1,113333
12,11,2,17,32,29,0,3,0,32,1,342542
13,6,3,9,19,0,0,19,0,19,1,152958
14,6,1,12,64,0,50,0,14,64,1,152125
15,5,2,7,64,4,10,41,9,64,1,111625
16,6,3,12,64,0,29,0,35,64,1,151958
17,8,0,19,64,36,0,28,0,64,1,213208
18,8,3,16,40,0,40,0,0,40,1,213750
19,4,1,8,31,0,31,0,0,31,1,87583
20,8,3,14,64,0,28,0,36,64,1,213042
21,7,3,12,64,18,0,14,32,64,1,184875
22,8,2,12,22,22,0,0,0,22,1,213625
23,9,4,17,42,39,0,3,0,42,1,246583
24,7,3,9,53,0,14,0,39,53,1,185083
25,6,5,8,64,41,0,0,23,64,1,152375
26,7,3,12,60,5,20,35,0,60,1,184875
27,9,4,11,64,0,24,36,4,64,1,247042
28,14,9,20,64,0,64,0,0,64,1,481542
29,9,4,18,45,24,21,0,0,45,1,230125
30,11,7,21,64,0,20,44,0,64,1,339042
31,7,1,5,64,64,0,0,0,64,1,184291
32,10,6,14,52,0,0,48,4,52,1,292750
33,9,5,12,64,12,27,0,25,64,1,245083
34,5,0,5,19,0,0,19,0,19,1,107458
35,9,6,14,64,0,0,32,32,64,1,245083
36,8,4,14,64,35,0,0,29,64,1,212958
37,11,7,19,64,32,0,0,32,64,1,335583
38,6,2,6,64,24,0,40,0,64,1,154708
39,14,10,18,64,14,31,19,0,64,1,450625
40,8,2,11,64,0,64,0,0,64,1,211834
41,4,0,6,58,21,4,32,1,58,1,81917
42,10,3,15,32,0,0,0,32,32,1,279958
43,10,6,9,64,0,0,45,19,64,1,293459
44,7,2,10,62,41,21,0,0,62,1,176750
45,8,5,14,0,0,0,0,0,0,0,208834
46,5,0,8,43,40,0,0,3,40,0,102959
47,11,2,17,64,64,0,0,0,64,1,324542
