a,b,dist
3876,1107,49
1494,1189,64
3392,574,64
836,446,62
1422,4321,58
1523,1820,42
1431,1000,35
1997,1,49
1635,4554,64
2347,1021,62
4273,4805,22
4520,4143,53
2782,2558,46
4509,4030,58
863,4648,42
4932,1014,57
4267,1723,3
3795,900,12
3298,4787,64
878,1720,57
3702,4913,64
4571,3346,64
4342,529,64
4526,4548,64
4243,2021,30
427,4755,64
2510,147,44
3142,1792,38
4387,1107,24
3181,1536,40
341,3030,64
3053,376,52
3685,1483,62
4291,3890,42
2631,399,14
625,4041,15
910,2268,64
787,3076,64
4890,4142,64
1179,400,61
288,1026,55
1816,3710,59
620,4735,64
211,1147,49
292,2405,64
1399,2626,38
532,2431,62
571,1858,64
2200,3791,51
1403,841,23
4969,3583,64
2986,204,37
727,3012,58
4384,3551,57
2773,4493,14
1458,3186,41
1843,4680,42
4605,3167,47
1915,2018,54
395,4580,44
3477,3979,56
2662,368,53
4250,1984,57
3523,4932,55
896,2816,59
272,2612,64
3128,942,49
1014,3385,44
2923,4366,35
4964,131,64
3198,4691,64
66,2872,64
2113,2842,53
3846,2832,40
33,3302,57
307,4546,22
555,3724,63
675,2597,34
546,1168,64
3523,4077,57
3729,4228,64
1252,4347,50
4559,3275,16
2938,786,64
319,4076,62
2713,3099,56
1143,1057,32
2163,3792,62
1698,1704,36
4546,2455,64
2525,3536,24
2245,1873,29
4853,3456,52
3361,1700,40
4936,4760,56
2018,3678,64
3971,4694,58
1374,2576,64
4378,1207,52
2012,1048,64
3949,315,64
3246,2516,40
2015,2161,51
3686,321,51
646,900,64
3536,694,1
4678,2840,44
4502,158,19
2720,4009,61
2263,4768,64
652,2849,62
1917,829,56
127,1677,60
4957,2636,64
4792,4393,42
4243,1737,39
2473,3595,64
1621,2189,60
3519,2461,64
3703,3716,19
2561,996,64
4251,1593,64
3705,3725,64
1581,2824,50
1880,4454,8
4736,3203,52
1497,387,64
291,244,64
2947,777,64
3085,3410,55
1040,2801,33
2741,3354,64
1373,2259,59
4425,1042,50
4631,2403,43
3010,3318,26
2384,2196,64
3419,1241,63
324,3363,42
983,1482,64
1489,3830,35
1759,2176,27
4905,789,61
1430,553,54
2653,3921,64
2777,304,55
1728,3590,56
3128,351,54
3255,1077,53
1918,3540,62
345,3038,64
4442,341,55
2693,542,59
2068,3394,64
287,2359,64
1052,358,59
289,4394,35
2779,1275,64
1386,920,59
3111,1016,55
901,4932,64
3159,348,62
2549,1586,46
3436,2571,40
2386,1220,57
3797,721,56
684,1031,5
808,4086,63
641,4989,42
1150,1508,39
2307,4785,64
900,2866,26
1471,1171,52
1416,4979,35
1992,940,30
4820,1879,51
27,4163,64
1467,4071,33
2847,4480,35
2416,2176,64
1437,533,64
3925,1789,64
3904,3282,18
586,2494,34
4569,1536,61
614,4358,6
4872,1750,31
4153,1413,51
185,2021,61
4253,2480,64
2823,394,64
3153,2053,36
28,89,5
817,1125,22
604,2854,26
1161,2379,36
4322,3552,49
2053,4242,55
1637,1221,46
2185,3570,60
4082,2721,30
2434,1195,46
1796,1214,64
889,3007,52
1341,3917,54
2826,1356,61
2259,3160,47
2172,228,64
1,806,64
4348,3437,63
2660,4147,64
1339,462,64
102,2695,36
463,763,61
2538,1561,63
1601,4422,54
4994,2367,64
269,4873,62
1642,3102,46
712,2092,43
1551,783,64
809,287,64
1147,767,64
3978,4334,51
181,4940,42
4685,2354,55
3565,1948,53
309,912,64
4139,2393,47
130,689,60
1339,2185,64
4850,364,41
4489,3100,64
1331,2697,40
4820,2206,63
777,1706,49
2496,203,3
2583,1483,28
665,769,64
553,3181,37
3535,3524,15
97,2071,30
3590,2401,40
1848,2264,64
2098,3537,45
4657,2982,60
812,4836,42
3997,3820,64
4772,2504,35
2330,3028,64
1453,4399,15
2733,1455,62
871,4288,51
4705,2112,64
2494,3349,45
1109,1355,53
751,3852,59
972,1731,27
3065,3777,64
1943,645,19
2448,2799,64
2523,1727,32
44,591,35
3421,1453,59
4880,37,25
4313,3815,46
3983,3304,64
4924,1589,62
3937,4257,62
2776,3404,64
4695,4498,33
2686,1213,62
1516,2646,64
1193,2988,0
3489,3672,45
817,1154,62
3487,931,55
3873,3351,64
3423,3287,62
4622,1735,39
3778,2591,40
1740,330,64
2128,1788,60
2862,1418,62
2672,3789,64
4885,4628,0
1848,1830,32
838,4702,37
2210,624,58
984,4413,63
29,4200,43
1163,285,57
359,2783,64
500,395,39
1631,1195,29
2244,206,39
3895,4104,22
2427,253,64
2535,600,59
3272,2375,44
238,4731,60
1984,4107,63
1349,1064,61
1694,1940,59
4065,628,48
2762,4491,40
2765,3555,64
735,4325,64
224,1258,59
3092,2526,61
4813,1308,64
3088,692,49
493,1495,24
2820,1167,0
1281,3058,64
251,1818,64
2395,4695,54
4321,412,56
4536,2223,64
1500,2703,64
2370,955,61
362,2967,64
1816,4066,54
2146,2578,47
3475,2729,64
4646,2853,64
3455,1052,54
1739,2004,51
4491,2419,32
3930,3482,59
2888,3196,39
87,4786,51
1174,2251,17
179,3783,61
130,758,39
3886,4200,64
2429,4844,64
1305,3854,41
4203,438,64
1770,888,64
4900,619,64
4016,1464,64
195,2279,64
16,733,64
1609,789,63
1491,4218,44
2161,4632,64
33,3822,52
2986,4874,49
4187,2109,48
4846,2583,64
3536,1902,58
529,4406,63
2085,4253,4
684,1412,58
17,910,51
2075,4934,64
3152,3114,64
3227,1020,61
4171,2237,46
2955,1849,64
1576,2411,64
2432,4615,51
542,3901,53
391,1314,48
1794,813,44
3350,4998,64
437,3887,51
4104,367,63
509,2564,64
237,3466,64
4118,437,31
2033,4772,64
69,4076,55
3026,510,64
2572,2182,54
1083,2643,60
4326,2665,48
4951,3417,39
147,4876,57
4710,1287,59
2342,2057,5
1203,4834,64
1330,1469,58
1567,760,49
2387,4755,56
768,3137,64
2623,4270,64
2345,4684,40
2775,126,38
2524,4029,34
992,455,41
1981,575,5
1601,3801,48
2792,1555,14
907,580,28
1487,4979,59
858,2668,29
4714,2312,64
2110,4192,64
3827,1106,60
2903,3698,43
494,4737,64
4530,2485,30
3745,1143,64
516,4913,53
1881,1821,56
2622,4332,37
1676,4584,40
3943,1969,0
551,4558,64
1629,840,47
1404,4661,39
834,922,54
3684,1530,64
2406,1592,28
3787,299,64
4536,4248,18
3492,647,39
806,2748,63
3875,4828,64
175,4523,24
1506,4077,9
760,2464,56
3095,2089,64
1744,2243,47
3900,4334,41
202,4546,62
4686,1461,24
1203,4346,25
1109,4,58
90,891,64
2358,4960,42
1926,4913,64
3125,1668,55
2248,317,54
3229,2312,64
3818,4442,64
254,3991,30
3452,4078,55
1694,416,56
3326,4726,48
1057,2813,51
2201,4156,58
3940,1117,63
3088,3505,36
608,1652,15
159,4679,46
3827,848,44
4871,1158,41
5,665,55
2374,4938,62
492,3951,59
3247,4158,45
395,1723,54
3130,2443,64
2167,3795,64
1205,4669,7
1559,3732,55
341,4959,43
3230,354,40
2451,3390,32
4150,3586,27
2876,3758,63
664,3637,54
4820,1937,48
1270,3922,57
2281,1053,53
199,1264,64
1516,2238,64
1335,3683,50
2001,536,64
4290,3522,60
2764,3401,64
2430,4733,64
3339,100,62
1398,3820,17
2999,2551,27
4180,1543,50
2745,1178,53
2797,2594,64
3148,4462,22
3717,908,32
3889,672,60
1652,4155,30
855,779,61
1243,3984,18
4492,3636,49
2797,4726,37
240,1778,47
4007,3139,28
2775,4941,64
3789,3470,56
1778,3891,58
2095,3606,57
3283,3938,58
2670,2338,64
3390,3140,61
3630,1963,37
3636,4568,58
104,3508,64
1423,3086,61
4004,3800,33
1077,4857,50
590,814,51
1875,4123,64
2360,4833,64
3017,2569,64
616,487,47
382,4262,33
4873,1303,61
3844,4256,64
2933,2706,46
4434,3975,62
4454,1025,62
4574,1039,35
787,4790,64
1417,2577,58
650,3782,34
314,3032,21
2973,4229,56
4928,3498,48
3791,1742,63
1739,2634,51
4006,3561,21
1035,2471,60
4731,487,37
1502,3022,48
273,4221,55
602,846,42
1761,2769,29
855,4738,64
2384,1003,64
808,2162,48
1109,4831,64
3810,1776,64
2207,3702,55
2750,911,52
2324,2421,54
2343,4937,44
3452,4432,39
2679,3523,57
734,244,43
2726,1383,31
3677,2120,4
1488,2296,32
2526,3025,63
421,3767,26
3666,1862,64
2146,43,33
4199,4931,52
4018,3278,44
3023,1456,27
670,1554,64
2964,3558,56
2352,4783,46
2222,2348,47
4913,4417,63
4337,2124,56
1044,2439,64
336,2063,59
1337,2924,7
2430,2943,21
1680,3716,57
2600,3670,49
3201,1259,64
1655,179,61
2441,2008,40
3581,3093,7
192,931,52
2197,630,58
1063,3280,64
2094,814,33
3156,4084,64
3944,3436,64
2713,4929,64
1077,771,57
4550,180,64
1807,4888,64
3611,4866,64
4970,1639,52
1767,2089,64
3369,2974,64
1440,4770,44
4226,4786,46
77,2840,62
4797,452,60
1249,2521,64
1960,212,41
671,4744,64
310,3287,36
3497,3858,44
1244,3254,64
4582,1748,64
4623,3984,2
2531,4538,23
3819,159,60
1692,4605,61
4840,1298,41
1190,581,64
729,932,56
3601,4318,55
4721,541,37
2808,3949,12
281,933,44
2710,4749,64
2307,2208,64
4503,287,55
1064,1432,64
913,3067,64
506,1194,36
2868,759,60
2000,1837,24
2733,873,58
3579,44,58
2972,4282,64
2359,4111,61
65,2759,57
367,4981,39
1943,1118,24
4026,414,36
4172,2934,63
1459,182,44
3316,3952,18
2877,2220,64
4252,454,53
2182,3508,64
3465,2515,53
188,819,48
3967,4682,54
767,3211,64
2492,4882,64
3784,589,64
4305,3538,43
294,2123,64
2763,2766,64
3647,3353,64
1047,2840,54
3530,1461,56
2147,3149,37
4122,4507,19
2419,3446,64
3729,2069,55
2865,2954,64
513,1235,62
3990,2445,64
2805,4728,43
1144,3718,48
4740,957,37
3878,850,64
4746,198,56
2819,1969,64
4025,3250,64
4069,2481,58
1842,2478,43
4275,2141,37
2575,238,34
1605,581,13
338,3365,49
1777,348,29
2013,1561,60
3000,1778,61
4143,3883,54
648,4273,64
2368,1490,33
86,4744,41
4261,2362,51
3326,4102,37
3391,2679,64
2236,1366,64
1759,2874,38
566,4540,59
2576,663,52
2418,2272,64
4168,4556,64
1555,4296,0
4792,2694,44
2301,2946,61
1079,2842,21
3045,1311,54
1461,3770,48
2026,945,45
2630,4538,29
4090,3992,49
4239,1154,47
3539,4618,64
869,1317,51
631,4052,31
2056,3814,64
2688,1183,43
934,3827,40
4534,1744,64
4422,2119,63
4335,938,64
2671,4807,64
4427,1327,54
4071,3983,50
2986,4360,54
4696,1414,0
1899,3331,63
2183,3771,64
912,1396,64
3108,3105,63
3125,3313,63
4856,4195,52
2010,4278,51
4933,4577,64
2831,3441,24
477,3633,50
1311,1937,47
1197,3752,46
2817,2854,64
3744,698,36
4867,4873,58
932,3387,60
3599,360,32
2747,3308,53
2953,302,36
4941,1287,26
2041,563,63
178,1522,64
2613,4536,34
3481,4114,62
4156,3251,37
199,1634,48
3306,2740,42
4428,4196,34
1059,4780,44
2042,1673,41
4064,3241,9
4074,4044,34
775,2417,59
2056,3884,64
2207,1631,24
2543,1236,49
3651,2044,64
3019,1468,61
877,2228,64
1881,4591,56
4626,661,46
1637,2780,64
4164,438,0
4702,4756,53
3374,4659,49
4021,2620,56
399,1223,59
3777,1332,64
4672,4168,64
812,4835,50
1392,175,60
325,590,42
4928,587,54
3676,2110,64
4645,1149,55
1322,2373,60
184,233,64
1811,2388,53
4295,1359,47
4851,4284,64
3169,2720,34
1137,1979,62
1096,3999,55
3126,4994,54
684,3888,16
2512,4999,16
1594,1041,61
1304,4707,0
4945,2685,38
2533,4063,55
2320,2117,64
3536,576,18
402,4725,64
4082,1287,64
4007,1399,64
1617,2508,44
2201,1378,61
1205,3550,52
1607,3820,64
2235,4863,61
4522,4902,49
22,2563,63
3995,1543,53
2435,1483,41
1267,1917,58
1880,2271,42
4856,3673,35
2535,3630,64
2587,554,64
2417,4368,44
4856,4453,57
899,3687,45
3387,3780,46
2639,2112,64
1966,3709,54
2814,4452,5
1841,4571,64
3344,2443,34
809,1931,64
1308,1827,64
2145,4682,29
2868,2365,58
784,4620,64
1466,2933,43
3880,459,18
4067,1040,32
3396,2485,64
767,926,57
4315,2796,46
3371,3492,41
2874,3597,64
1464,3930,26
4542,4828,64
2202,1847,58
3388,1445,53
1898,3483,60
1302,4290,33
4282,3661,64
4106,899,62
3904,4013,64
4578,3719,59
4175,877,64
1661,4287,64
1580,2979,62
1090,2426,28
3210,4162,28
723,2334,50
4648,2184,34
2325,4182,55
1472,3064,55
3343,4428,64
1253,1792,64
961,1190,58
4676,165,31
809,4306,8
3017,4069,55
481,3099,46
4516,4702,48
1834,4605,64
1073,2381,45
1867,2811,35
1582,156,64
3535,1184,19
4771,1231,64
350,577,60
2883,949,64
462,231,58
4529,3504,64
3281,237,64
1430,1247,64
522,403,64
2982,3833,43
4227,2777,64
1665,2706,52
3691,2705,33
4347,220,59
3096,1696,64
4886,4990,4
1881,2741,51
3366,1858,43
3468,3618,48
453,1712,27
2483,2304,64
256,3355,44
1300,3139,3
2174,1438,64
4123,4338,47
4884,3212,64
862,3657,51
2438,1080,64
2501,2651,64
2387,1467,64
1343,237,64
2361,3760,26
3862,4514,62
873,2517,64
1531,4018,46
3268,4058,55
2856,152,44
4223,301,52
3691,1838,57
1894,2627,63
3286,1588,49
2493,2834,38
2737,2299,48
16,4548,64
1442,1577,64
204,3463,22
1769,2987,62
1046,1049,63
754,1175,45
4954,2002,63
2550,3511,41
1763,4728,64
1946,3955,54
3492,2818,42
2959,216,64
168,4260,58
2748,828,48
589,1580,64
2022,2115,64
4117,1693,51
1238,2033,60
3863,3610,52
3868,1143,64
4147,89,64
4928,4909,47
3197,2917,57
2278,3609,63
4114,1892,49
487,3284,47
3775,1474,58
3443,2821,63
4680,4643,55
3478,1147,24
4833,3978,49
2445,3626,34
3431,3462,58
4412,800,57
3508,1066,64
531,2949,0
3005,1223,45
934,1676,24
4919,29,40
4064,564,64
4363,4418,56
1604,2324,57
4753,2466,64
3195,2723,63
4732,3075,46
1242,2936,62
2200,4511,58
4319,467,63
1944,1980,39
1740,3145,40
1636,4280,43
1860,4438,42
3481,2426,39
4003,407,42
1902,3215,64
3785,4034,46
1577,4690,63
1754,4741,64
360,1907,45
259,616,44
1339,3657,54
2746,1608,61
3774,2343,64
2212,4265,51
961,4232,41
3763,820,64
838,252,35
3830,1927,0
3704,4308,64
128,3039,12
854,1388,42
4005,702,51
2155,3043,59
2469,1747,64
1422,1811,32
3571,3823,40
2584,3482,57
222,2522,64
4572,3100,40
919,3685,61
977,2348,44
1971,1098,64
4263,2230,47
3348,4506,63
1089,523,21
1872,1311,22
3658,1397,13
2576,3886,2
3333,743,56
1689,3547,64
1785,1765,64
2653,4936,64
1335,3792,16
2618,213,64
4122,4423,64
3432,3218,41
2535,420,64
2135,4651,57
4752,318,35
2540,3390,59
450,3882,25
1035,3905,38
2094,1876,64
402,3337,63
1843,4655,44
63,4119,47
1149,2919,62
1969,1364,64
4625,375,64
1017,4286,46
3432,1313,61
2643,4721,64
1913,1458,61
1320,4145,64
140,4405,64
721,2561,20
4445,1619,41
2852,771,41
970,1484,52
1493,2098,7
14,4007,37
2453,500,64
2918,4413,55
4633,644,64
3199,4567,35
2305,4081,40
1398,4873,62
1104,1090,36
23,909,53
4265,3000,2
776,1793,50
122,3397,64
3200,3850,51
571,1951,36
2150,526,64
2406,2600,64
3712,4970,63
4765,3725,48
2420,4690,57
132,678,64
1438,1678,64
1065,1413,44
2688,2907,22
1497,3261,64
4334,4387,48
2600,1464,64
2800,729,29
367,1300,64
2091,4390,39
1481,2511,50
4290,1389,63
687,3768,59
4862,2780,37
4088,3778,61
4843,4048,63
219,2788,36
3883,2826,56
4607,4468,45
4152,1979,64
4982,4213,64
4842,2415,64
3450,2749,64
3460,3972,62
2761,1360,51
1628,4456,20
4373,3852,64
2468,594,37
1805,3360,64
2724,2632,28
671,3505,55
3162,244,53
4285,4586,58
3216,1408,64
912,324,64
209,2615,56
4110,4160,64
1059,3571,34
4586,1997,16
2128,2669,64
2984,1081,61
95,4001,28
3119,2470,64
3123,1447,64
202,1104,4
4495,397,63
4155,3988,55
99,48,33
51,4274,64
4578,4134,54
607,3505,62
1718,1748,64
3879,672,53
2400,4787,64
4982,1904,47
3257,1861,49
2027,1601,53
3986,2283,56
3209,525,0
4772,4084,29
805,2350,42
3576,1964,64
3421,2568,58
1670,4105,63
2269,2442,64
2904,4336,47
2189,1362,64
1470,3252,35
4290,3225,58
523,3874,51
2837,1841,64
177,441,30
958,3343,52
3168,3027,58
3828,1424,47
2140,4847,50
1056,3231,30
1935,914,56
4416,2703,64
1697,2733,34
4240,2173,58
4254,3570,19
603,3585,60
1238,1207,63
4169,3596,64
1349,3796,61
779,1166,21
4963,1274,60
2889,144,64
1082,2380,64
3526,2781,64
293,806,12
2196,1069,27
1619,4015,64
3350,4829,42
4936,1557,55
971,1817,45
1865,3439,64
1048,2840,35
4797,834,63
4120,464,35
3115,4072,29
922,2112,54
4877,1986,64
1043,4280,47
2979,2826,64
1120,4439,40
898,4233,45
4255,3543,51
1816,2513,60
3206,2115,61
3194,371,57
604,4564,54
1573,2328,51
3977,1246,29
1965,1918,63
33,3673,54
4144,2240,24
3746,2816,53
1162,312,51
1448,242,43
3305,3619,55
521,1663,59
1553,2909,46
4287,3396,24
4039,2574,63
2512,3767,50
539,2953,64
3295,1218,64
1862,2952,61
2960,1300,62
4714,1680,54
631,4439,64
1655,2292,50
2403,4855,64
3079,3960,52
3553,1563,58
363,4832,52
2655,3578,64
2008,2328,56
1697,3572,47
1904,3138,59
3142,666,56
1262,3763,32
1986,1483,64
4664,4029,64
3967,3646,61
4011,4950,64
455,2835,64
1753,2755,40
3612,1782,64
588,1956,64
4465,3480,64
4335,2703,64
3933,917,64
2418,4671,64
3898,2437,61
3544,1142,54
1723,823,47
1794,2704,57
2863,4669,64
3040,4178,60
2373,3725,64
484,4342,63
3753,2986,39
1827,1921,64
305,4661,40
837,3605,58
2882,1976,64
4052,4393,40
4936,4567,55
2598,2567,64
1523,2937,28
1012,2286,64
3945,4176,64
4037,2028,41
1765,1257,61
722,4225,60
1798,2918,64
1325,643,55
3422,4044,39
4683,2349,52
1256,3869,56
3696,124,32
2723,2831,64
4356,2627,64
1181,3996,52
420,4280,35
2557,2865,54
252,1233,0
3193,302,32
2380,1869,43
869,3305,55
3942,510,64
3920,1958,62
2996,1299,54
1857,1564,63
