a,b,dist
2776,994,60
3105,2317,26
1726,3607,64
2865,1566,33
4115,1712,63
694,4734,44
150,185,64
4591,872,64
704,2633,0
3798,2111,25
1757,2785,64
4959,3643,46
4369,4554,34
1596,1832,50
7,2884,44
1194,299,64
1093,698,64
1267,836,62
2316,4401,62
1930,2844,64
1361,4812,64
4834,1147,64
3302,3044,41
87,965,43
2864,663,20
4487,4645,61
3012,2349,55
2396,4319,63
1138,4747,35
3485,3780,59
3333,1173,64
754,3588,64
2964,1817,30
4631,4855,63
4078,4076,55
1805,563,61
3581,3514,52
519,4934,64
4175,1169,64
3484,566,64
641,2818,63
2799,2217,64
2574,411,36
22,830,57
4511,2093,64
1231,961,64
1063,1024,44
1944,3492,40
608,4075,64
4382,24,53
2174,1213,11
2110,3116,26
1100,1885,53
4218,4426,59
1427,3026,43
1476,3522,28
1878,1134,54
2769,4870,64
4146,2659,64
4665,2906,42
2813,4713,64
4366,1709,64
875,4424,64
3836,2566,46
3248,4587,36
2949,3293,64
2744,980,59
4665,578,64
537,113,64
4898,1844,64
4849,91,47
3408,4470,64
1982,4190,52
3562,3683,56
4000,2052,64
4099,4686,63
1037,295,63
938,2298,40
986,4390,64
2195,1137,64
4528,2303,64
434,4494,64
4867,2386,49
4750,1106,43
1001,3496,64
2090,4820,54
1760,3050,60
4589,2905,61
2775,1475,43
721,308,58
1831,2663,60
3251,1370,64
2037,517,64
144,3881,58
3927,4859,37
4158,996,64
2070,1060,24
619,2726,54
2705,3736,27
2424,470,64
3862,1738,57
4044,2232,64
2244,4725,64
3340,4468,52
4482,840,59
1390,400,64
3034,4485,0
1558,3673,64
4650,360,62
2690,1731,24
4561,1461,64
4376,3277,64
1228,3462,58
3480,2898,63
2974,1265,33
4236,1038,64
2908,4440,52
3168,1833,50
261,3031,60
4835,3069,49
1478,3453,64
1432,1425,61
488,1514,16
240,1873,64
2912,85,55
1588,3995,53
4028,2784,63
1517,4720,57
1051,4849,21
1300,877,52
4529,1449,64
4066,4531,64
3423,2752,56
4271,1581,49
612,1764,61
1935,2350,61
3711,1172,64
3720,4108,64
831,1517,60
2995,3406,64
1879,2439,64
1796,65,64
4423,2999,41
3222,2239,64
4514,1911,62
1875,4879,61
2077,1565,64
623,4475,22
396,1438,31
1899,958,54
1121,4729,6
2661,4410,64
3239,3778,45
1651,2491,1
1831,4403,59
2617,2036,46
3803,3241,27
4737,2745,54
3458,3593,64
4923,1089,53
4187,4149,64
4314,1948,64
3258,1743,55
4134,2144,64
151,4681,40
4708,1845,53
4717,2648,56
79,113,34
1567,362,64
4446,3854,64
1084,1718,46
3947,1350,44
964,3898,60
1022,4361,43
2786,3282,64
2534,1077,64
3732,965,64
352,4506,26
4860,1123,64
4310,1121,25
1896,984,54
1940,73,64
2565,1157,64
2083,3727,19
2388,1184,35
3357,4985,64
930,3612,62
3506,3973,45
4967,4614,64
3737,2686,57
2424,2109,35
2737,3332,45
405,2484,62
4586,2509,59
3104,3256,48
2453,4790,55
3310,4425,24
2351,540,64
1306,758,34
2906,4935,41
2038,317,40
424,4470,64
3071,3386,64
4827,949,64
4563,3870,39
3088,1837,56
975,929,58
261,4072,13
4983,4391,64
4898,2713,26
2763,505,57
1463,1474,45
4774,2500,39
3734,3480,63
2687,88,58
1710,293,64
4001,2227,12
1058,4576,52
1306,2684,44
1006,2917,53
3267,4146,61
2561,4324,29
4035,3361,59
3138,882,33
2522,4105,59
2478,196,56
4553,3553,61
3848,1757,42
2705,3884,57
1652,4369,64
3562,1164,64
3308,314,56
3152,3785,43
1589,4044,50
512,3146,64
464,1742,20
651,2576,64
2662,4900,64
1834,1509,64
2899,1854,64
3340,737,42
2778,3543,64
3180,102,64
3611,2150,25
3163,1102,50
2543,678,34
3916,4747,52
1334,1782,7
3677,4246,64
3301,1949,64
359,837,45
4418,3323,64
3649,4584,64
375,1474,47
757,731,21
2754,3483,50
3362,1369,28
3216,4777,23
2950,2539,64
2157,3971,56
2351,1843,20
1032,320,61
1016,3011,64
4235,2155,45
3355,68,35
1848,2489,57
2500,4404,44
1859,126,59
1663,4415,63
2827,4647,54
3841,4130,59
1216,1352,46
527,1148,60
2824,884,56
3076,1115,48
140,122,64
1840,4231,64
1681,2668,62
2607,1878,0
150,2581,39
270,2259,64
1840,4383,63
296,2634,58
3547,1546,64
2609,3390,58
2964,2399,47
3023,581,42
749,1148,64
4146,2426,30
3790,299,7
1474,1193,55
860,2242,32
2466,38,64
4006,4386,60
4804,633,55
3878,1308,52
723,3608,29
226,3864,62
852,4440,64
71,3824,64
1484,182,38
732,4872,64
40,4730,61
2963,1262,64
1276,2077,49
158,4424,61
1280,4174,64
233,1554,59
3524,1171,41
1866,2170,64
614,1002,54
1243,114,26
1198,1212,4
3638,1340,58
2177,1500,64
457,573,39
1657,926,13
4935,2609,64
3494,4139,64
2769,2040,60
3809,3950,64
1579,4129,49
179,261,47
1890,394,35
4946,897,64
2202,802,62
2673,594,62
38,1540,40
2118,3380,64
4716,3883,51
1578,1562,64
4230,3785,64
4347,4479,64
4966,451,42
2390,4647,49
4161,1892,64
1641,510,64
4783,4533,18
4282,51,64
4909,385,56
2471,2422,64
2197,2971,37
2854,3256,63
2845,300,33
3544,3540,19
2253,2798,35
1349,3387,64
136,3546,32
1981,3863,64
4215,3368,64
1735,2571,59
4383,1189,58
2079,268,7
856,1379,63
980,4518,56
4940,2480,64
3998,4663,41
1774,4232,0
4838,3648,47
1184,1232,44
3828,1054,0
3470,2044,28
3804,3532,63
2178,2100,60
4969,928,57
748,3587,64
2095,175,45
1494,362,64
2779,1715,64
2655,704,64
1649,3444,41
4319,72,64
1172,254,64
53,3151,64
4957,2803,33
4726,1800,64
1914,342,64
3770,1853,51
2656,2945,0
1095,3705,26
1363,4796,49
3512,2256,64
4579,2052,31
2468,4378,53
3496,1661,3
2192,1586,53
1804,731,21
96,798,63
4060,1778,44
897,784,44
4328,1946,62
388,4160,29
4611,3169,34
1163,1257,64
4743,2463,15
603,131,58
147,2858,19
15,3467,40
4028,1041,62
3589,92,38
3242,2433,33
1768,3021,64
547,1299,64
126,3354,64
511,585,64
2473,2213,61
4150,1368,33
4449,1027,15
890,906,24
3504,3980,56
3535,3661,40
3193,4413,64
163,3303,50
4352,1603,64
1749,2776,58
1963,4035,55
3629,431,64
2428,3142,64
921,3477,42
2200,3594,64
1073,3595,64
709,3331,56
93,2032,64
4210,3816,55
2598,2172,57
2917,591,64
3707,4147,64
3092,1521,60
3861,104,63
3521,327,64
1356,2845,55
1083,2936,45
1926,724,60
2587,1950,45
924,2015,64
3813,4287,63
2228,1747,54
3056,175,44
2597,4889,64
1677,1836,64
1603,4821,64
3479,4707,53
3428,1858,48
2661,3851,52
1114,302,54
627,868,48
1370,4017,55
215,2583,64
