a,b,dist
3221,4438,57
1628,2127,64
3122,4067,46
4553,3877,60
473,992,64
2115,4008,54
3069,1095,63
2498,2552,57
2800,1095,63
1452,3863,49
722,3798,32
2548,478,64
408,4958,64
2053,2187,64
1871,668,64
4901,3814,55
1309,2464,34
1908,3090,64
1196,1711,52
2461,49,64
3877,4113,24
3778,724,55
4339,4973,62
4924,872,64
3396,2341,48
1467,3240,34
230,4618,64
2276,488,23
1599,708,24
1409,1549,55
2498,615,60
51,200,33
1814,3271,60
3270,4548,64
139,1996,18
188,4007,53
149,3681,61
30,276,63
701,3721,34
375,2910,31
3796,2469,33
3602,3334,41
3126,4373,58
1225,3614,53
156,3070,42
252,444,46
2996,344,64
686,1317,64
4350,2401,22
3581,2110,55
4924,3442,64
313,1243,56
3020,3920,64
2185,4467,62
4233,4406,64
4706,1067,48
1241,464,47
529,985,58
3927,2707,50
2607,570,64
3216,3680,64
3126,3068,62
4049,2462,52
3750,1279,63
4360,346,55
248,4968,56
1633,4195,36
4139,245,57
2374,4786,64
3572,30,64
1843,4642,64
1946,1251,38
3098,1857,64
451,3842,34
1044,3595,63
2949,350,64
3961,630,39
4380,1109,39
4563,926,42
2985,4700,33
2122,4130,64
3101,1069,41
3638,538,60
3410,2470,64
3361,3026,43
4212,2909,62
3491,4532,49
2357,571,30
1986,4394,44
630,2670,25
1577,2727,64
4937,3093,41
3710,1061,55
173,3952,59
2806,2036,48
1730,195,52
919,498,59
2180,279,61
1362,4236,51
2438,1641,1
936,1418,64
1216,2331,61
2837,4983,55
4948,695,54
1713,1490,64
4406,2659,61
1632,3117,43
4288,2389,64
980,3209,57
2477,4479,33
4985,910,44
316,1740,64
2808,1716,64
4155,776,64
4901,1726,60
311,4179,64
4713,1662,4
3570,1972,20
3355,418,48
4270,532,28
1727,541,50
2103,471,64
4645,728,37
610,4680,22
4899,3523,46
2273,356,64
3532,4317,44
2607,2411,60
1211,3028,61
2448,1350,64
4556,3687,64
2034,3328,46
4376,1288,40
3537,1291,50
3281,1179,42
1502,2114,64
3569,2715,33
1002,2245,64
1507,4192,53
3167,1936,36
300,4944,16
4588,17,53
3961,357,56
4260,3324,33
3955,3379,64
3122,3545,21
2686,2745,37
457,4122,62
3877,3788,51
4764,2819,20
185,3818,64
2036,2119,52
4589,2958,60
1401,3878,57
859,3671,29
1602,3852,64
2678,3585,64
169,4447,32
3506,2890,53
419,4969,2
3050,459,64
383,1240,45
1955,306,22
2864,3562,51
1647,779,64
4299,1877,56
4206,1838,64
4122,3701,64
3765,271,45
2543,4869,64
4761,795,42
1776,2516,52
4412,32,53
2335,2115,64
1726,281,64
1586,3317,52
265,2126,64
4685,2541,15
3261,3268,39
874,2023,57
4426,201,64
149,4878,64
3352,160,47
4900,4927,32
2792,4131,64
1109,3497,64
4307,1226,63
2036,2600,64
3272,1153,60
490,1810,64
3931,3378,54
4664,3744,50
1817,4420,64
3049,2555,42
4769,2712,64
2467,3839,28
2924,1466,64
2894,1807,59
3474,1875,54
351,4636,45
2068,273,32
536,1155,45
4723,367,64
3271,635,49
4888,1287,64
4050,4023,31
3819,4931,64
2725,3115,11
3314,4613,60
3023,3252,54
1157,1143,60
3630,2828,63
1518,510,19
4101,1044,57
3768,120,64
3960,831,46
637,4680,64
3122,2033,64
3373,1056,46
276,2786,41
