id,n_blocks_before,n_blocks_after,dist1,dist2
0,64,64,0,0
1,64,64,16,9
2,64,64,0,0
3,60,60,0,0
4,25,30,5,0
5,64,64,0,9
6,4,4,0,0
7,64,64,0,45
8,0,13,13,0
9,64,64,0,28
10,64,64,0,0
11,37,37,0,0
12,32,36,6,0
13,19,19,0,0
14,64,64,0,0
15,64,64,0,0
16,64,64,0,2
17,64,64,0,0
18,40,40,0,0
19,31,31,0,0
20,64,64,7,18
21,64,64,0,0
22,22,22,0,0
23,42,42,0,25
24,53,63,49,39
25,64,64,0,0
26,60,60,0,0
27,64,64,28,28
28,64,64,0,0
29,45,45,0,32
30,64,64,0,0
31,64,64,0,0
32,52,52,0,0
33,64,64,0,0
34,19,19,0,0
35,64,64,0,0
36,64,64,0,0
37,64,64,0,0
38,64,64,0,0
39,64,64,7,14
40,64,64,0,0
41,58,58,0,0
42,32,32,0,0
43,64,64,0,8
44,62,62,0,28
45,0,0,0,0
46,43,43,0,0
47,64,64,0,0
48,9,9,0,0
49,24,24,0,2
50,64,64,0,9
51,64,64,0,0
52,59,50,10,19
53,64,64,0,0
54,64,64,0,0
55,64,64,0,0
56,56,56,0,0
57,64,64,0,0
58,27,27,0,0
59,64,64,12,0
60,28,28,0,5
61,52,52,0,0
62,64,64,0,0
63,64,64,0,16
64,64,64,0,0
65,64,64,0,0
66,64,64,0,0
67,61,48,22,0
68,64,64,0,32
69,34,34,0,11
70,64,64,0,14
71,63,63,0,0
72,64,64,0,21
73,64,64,0,0
74,0,0,0,0
75,62,62,0,44
76,64,64,0,13
77,64,64,0,0
78,48,48,5,12
79,64,64,0,0
80,14,14,0,0
81,42,42,0,20
82,29,29,0,0
83,49,49,0,0
84,64,64,0,0
85,64,64,23,0
86,49,42,9,14
87,0,0,0,0
88,52,52,0,9
89,64,64,0,5
90,64,64,0,0
91,64,64,0,0
92,64,64,0,38
93,64,64,5,2
94,41,41,0,0
95,64,64,0,0
96,64,64,0,0
97,64,64,0,1
98,64,64,0,0
99,33,33,0,0
100,38,31,24,33
101,64,64,0,0
102,64,64,0,0
103,29,20,10,0
104,64,64,0,0
105,64,64,0,23
106,64,64,0,0
107,9,9,0,0
108,64,64,0,0
109,64,64,0,0
110,64,64,0,0
111,60,60,30,0
112,43,39,33,0
113,59,64,16,0
114,64,64,0,0
115,56,56,0,0
116,64,64,6,0
117,43,43,0,0
118,64,64,0,0
119,64,64,13,0
120,64,64,0,0
121,31,64,33,0
122,64,64,11,0
123,64,64,0,4
124,64,64,0,20
125,64,64,17,0
126,64,64,0,34
127,64,64,2,0
128,64,64,0,0
129,64,64,0,0
130,64,64,0,0
131,64,64,0,0
132,64,64,0,0
133,0,0,0,0
134,64,64,0,0
135,64,64,0,0
